inventory_movement_id,movement_datetime,plant_id,item_id,product_id,movement_type,quantity,uom,location_code,source_system
IM-0000042,2025-08-13 20:12:00,P02,PRD-076,PRD-076,FG_SHIP,-2467,EA,WIP-01,WMS
IM-0000043,2026-06-07 05:57:00,P03,MAT-018,PRD-050,RM_ISSUE,-712,EA,FG-01,WMS
IM-0000044,2026-01-14 01:31:00,P01,MAT-031,PRD-008,RM_ISSUE,-1363,EA,WIP-01,WMS
IM-0000045,2026-04-01 05:41:00,P01,PRD-019,PRD-019,FG_RECEIPT,555,EA,RM-B,WMS
IM-0000046,2025-11-28 19:57:00,P02,PRD-031,PRD-031,FG_RECEIPT,827,EA,RM-B,WMS
IM-0000047,2025-10-23 05:03:00,P02,PRD-026,PRD-026,FG_SHIP,-2653,EA,WIP-01,WMS
IM-0000048,2026-01-05 06:13:00,P03,PRD-009,PRD-009,FG_RECEIPT,1817,EA,FG-01,WMS
IM-0000049,2026-05-07 13:38:00,P03,PRD-007,PRD-007,FG_SHIP,-1918,EA,WIP-01,WMS
IM-0000050,2025-09-10 22:48:00,P01,PRD-080,PRD-080,FG_SHIP,-1457,EA,WIP-01,WMS
IM-0000051,2025-10-29 19:23:00,P03,PRD-013,PRD-013,FG_RECEIPT,3285,EA,FG-01,WMS
IM-0000052,2026-07-23 21:39:00,P03,MAT-008,PRD-036,RM_ISSUE,-445,EA,RM-B,WMS
IM-0000053,2025-08-20 13:15:00,P01,PRD-006,PRD-006,FG_RECEIPT,4478,EA,FG-02,WMS
IM-0000054,2025-12-28 20:28:00,P02,PRD-073,PRD-073,ADJUSTMENT,3183,EA,RM-A,WMS
IM-0000055,2026-04-27 21:56:00,P03,PRD-062,PRD-062,FG_SHIP,-4890,EA,RM-B,WMS
IM-0000056,2025-11-04 04:14:00,P03,MAT-033,PRD-017,RM_ISSUE,-3752,EA,WIP-01,WMS
IM-0000057,2026-04-17 15:36:00,P01,MAT-001,PRD-039,RM_ISSUE,-1705,EA,WIP-01,WMS
IM-0000058,2026-02-06 02:09:00,P03,PRD-054,PRD-054,ADJUSTMENT,2473,EA,RM-A,WMS
IM-0000059,2026-01-18 08:02:00,P03,MAT-014,PRD-070,RM_ISSUE,-4630,EA,RM-A,WMS
IM-0000060,2025-12-14 22:11:00,P01,MAT-012,PRD-011,RM_ISSUE,-890,EA,RM-A,WMS
IM-0000061,2026-06-07 10:36:00,P01,MAT-005,PRD-033,RM_RECEIPT,1119,EA,RM-A,WMS
IM-0000062,2026-07-04 14:57:00,P01,MAT-001,PRD-056,RM_ISSUE,-668,EA,WIP-01,WMS
IM-0000063,2026-06-03 13:37:00,P01,MAT-006,PRD-001,RM_ISSUE,-1019,EA,WIP-01,WMS
IM-0000064,2026-02-11 18:26:00,P01,PRD-048,PRD-048,FG_SHIP,-1594,EA,FG-02,WMS
IM-0000065,2025-10-01 20:44:00,P02,PRD-031,PRD-031,FG_RECEIPT,2661,EA,WIP-01,WMS
IM-0000066,2025-12-16 02:01:00,P03,MAT-030,PRD-062,RM_RECEIPT,218,EA,RM-A,WMS
IM-0000067,2026-01-23 02:56:00,P03,MAT-015,PRD-034,RM_ISSUE,-1073,EA,WIP-01,WMS
IM-0000068,2026-03-25 07:49:00,P01,PRD-011,PRD-011,FG_SHIP,-4118,EA,FG-01,WMS
IM-0000069,2026-01-28 03:42:00,P02,PRD-027,PRD-027,FG_RECEIPT,2564,EA,RM-A,WMS
IM-0000070,2026-07-25 07:31:00,P01,MAT-029,PRD-045,RM_ISSUE,-802,EA,FG-02,WMS
IM-0000071,2026-03-05 14:53:00,P01,MAT-029,PRD-045,RM_RECEIPT,1643,EA,FG-01,WMS
IM-0000072,2025-08-01 11:43:00,P03,MAT-017,PRD-079,RM_ISSUE,-3032,EA,FG-01,WMS
IM-0000073,2025-10-04 22:05:00,P02,PRD-025,PRD-025,FG_RECEIPT,1287,EA,FG-02,WMS
IM-0000074,2026-06-26 21:43:00,P01,PRD-057,PRD-057,FG_SHIP,-1732,EA,FG-01,WMS
IM-0000075,2026-02-21 16:27:00,P01,MAT-032,PRD-015,RM_RECEIPT,1589,EA,WIP-01,WMS
IM-0000076,2025-11-29 00:23:00,P01,PRD-012,PRD-012,FG_SHIP,-5593,EA,RM-A,WMS
IM-0000077,2025-09-24 18:45:00,P03,PRD-015,PRD-015,FG_RECEIPT,617,EA,WIP-01,WMS
IM-0000078,2025-10-05 20:40:00,P03,PRD-065,PRD-065,FG_RECEIPT,1117,EA,FG-01,WMS
IM-0000079,2025-11-27 14:20:00,P02,PRD-064,PRD-064,FG_RECEIPT,1360,EA,RM-A,WMS
IM-0000080,2026-03-18 06:30:00,P03,MAT-012,PRD-011,RM_RECEIPT,391,EA,WIP-01,WMS
IM-0000081,2026-04-02 12:17:00,P01,MAT-023,PRD-007,RM_RECEIPT,1508,EA,WIP-01,WMS
IM-0000082,2025-09-20 19:07:00,P02,PRD-055,PRD-055,FG_RECEIPT,996,EA,FG-02,WMS
IM-0000083,2026-06-07 20:06:00,P02,MAT-018,PRD-030,RM_ISSUE,-4736,EA,WIP-01,WMS
IM-0000084,2026-03-04 22:58:00,P03,MAT-030,PRD-009,RM_RECEIPT,5452,EA,FG-02,WMS
IM-0000085,2025-08-12 23:24:00,P01,PRD-057,PRD-057,ADJUSTMENT,1425,EA,FG-01,WMS
IM-0000086,2026-05-21 21:23:00,P01,MAT-018,PRD-067,RM_ISSUE,-693,EA,FG-01,WMS
IM-0000087,2026-02-13 06:52:00,P02,PRD-018,PRD-018,FG_RECEIPT,2184,EA,RM-A,WMS
IM-0000088,2025-11-26 10:47:00,P03,MAT-010,PRD-027,RM_ISSUE,-728,EA,FG-02,WMS
IM-0000089,2025-10-01 00:23:00,P02,MAT-005,PRD-058,RM_ISSUE,-387,EA,RM-A,WMS
IM-0000090,2025-11-27 07:51:00,P03,PRD-061,PRD-061,FG_SHIP,-2360,EA,RM-A,WMS
IM-0000091,2026-03-26 03:15:00,P02,PRD-017,PRD-017,FG_SHIP,-1729,EA,FG-01,WMS
IM-0000092,2026-06-26 07:14:00,P01,PRD-069,PRD-069,FG_SHIP,-1488,EA,RM-B,WMS
IM-0000093,2026-05-24 17:29:00,P01,PRD-074,PRD-074,FG_SHIP,-2895,EA,WIP-01,WMS
IM-0000094,2026-04-15 05:00:00,P01,MAT-005,PRD-033,RM_ISSUE,-645,EA,RM-B,WMS
IM-0000095,2026-01-21 03:03:00,P03,MAT-005,PRD-021,RM_RECEIPT,2727,EA,RM-A,WMS
IM-0000096,2026-06-06 10:20:00,P01,PRD-074,PRD-074,ADJUSTMENT,3167,EA,FG-02,WMS
IM-0000097,2026-02-08 04:07:00,P01,MAT-031,PRD-052,RM_RECEIPT,1161,EA,WIP-01,WMS
IM-0000098,2025-09-04 11:40:00,P02,PRD-036,PRD-036,FG_RECEIPT,2834,EA,RM-A,WMS
IM-0000099,2026-05-10 21:48:00,P02,PRD-025,PRD-025,FG_SHIP,-946,EA,WIP-01,WMS
IM-0000100,2025-12-17 10:25:00,P03,PRD-010,PRD-010,ADJUSTMENT,2165,EA,FG-02,WMS
IM-0000101,2026-06-16 16:16:00,P01,PRD-019,PRD-019,FG_RECEIPT,1395,EA,FG-02,WMS
IM-0000102,2026-06-30 21:12:00,P02,PRD-045,PRD-045,FG_RECEIPT,1160,EA,FG-02,WMS
IM-0000103,2025-12-09 14:46:00,P01,MAT-032,PRD-077,RM_ISSUE,-3009,EA,WIP-01,WMS
IM-0000104,2026-06-14 09:48:00,P03,MAT-008,PRD-065,RM_ISSUE,-2586,EA,FG-02,WMS
IM-0000105,2026-01-14 14:04:00,P01,PRD-057,PRD-057,FG_SHIP,-2259,EA,RM-A,WMS
IM-0000106,2026-06-27 10:03:00,P01,MAT-017,PRD-079,RM_RECEIPT,12538,EA,WIP-01,WMS
IM-0000107,2026-05-25 03:50:00,P01,PRD-079,PRD-079,ADJUSTMENT,2243,EA,RM-A,WMS
IM-0000108,2026-02-14 17:23:00,P01,MAT-008,PRD-036,RM_ISSUE,-375,EA,RM-B,WMS
IM-0000109,2026-03-29 21:32:00,P01,PRD-012,PRD-012,ADJUSTMENT,3829,EA,FG-01,WMS
IM-0000110,2026-03-09 05:40:00,P02,PRD-041,PRD-041,FG_RECEIPT,4719,EA,FG-01,WMS
IM-0000111,2026-04-26 20:10:00,P01,PRD-003,PRD-003,ADJUSTMENT,2543,EA,FG-02,WMS
IM-0000112,2025-12-11 14:54:00,P01,PRD-023,PRD-023,FG_RECEIPT,4891,EA,RM-B,WMS
IM-0000113,2026-03-08 16:11:00,P01,MAT-015,PRD-025,RM_RECEIPT,854,EA,FG-01,WMS
IM-0000114,2025-12-01 02:00:00,P03,PRD-036,PRD-036,FG_SHIP,-2084,EA,RM-B,WMS
IM-0000115,2026-03-23 16:02:00,P02,PRD-019,PRD-019,ADJUSTMENT,4584,EA,WIP-01,WMS
IM-0000116,2026-04-04 17:00:00,P02,MAT-018,PRD-030,RM_RECEIPT,2944,EA,RM-B,WMS
IM-0000117,2026-06-01 03:52:00,P03,PRD-044,PRD-044,FG_RECEIPT,1746,EA,FG-01,WMS
IM-0000118,2025-12-12 18:51:00,P02,PRD-065,PRD-065,ADJUSTMENT,1714,EA,FG-02,WMS
IM-0000119,2026-05-12 02:49:00,P03,PRD-057,PRD-057,FG_SHIP,-3621,EA,RM-A,WMS
IM-0000120,2026-07-13 03:27:00,P01,MAT-018,PRD-030,RM_RECEIPT,3084,EA,FG-02,WMS
IM-0000121,2025-12-16 03:22:00,P03,MAT-004,PRD-048,RM_RECEIPT,880,EA,WIP-01,WMS
IM-0000122,2025-12-09 14:34:00,P01,MAT-030,PRD-012,RM_ISSUE,-2024,EA,FG-02,WMS
IM-0000123,2026-06-03 18:47:00,P03,PRD-007,PRD-007,FG_RECEIPT,2740,EA,WIP-01,WMS
IM-0000124,2026-04-20 00:08:00,P02,MAT-022,PRD-047,RM_RECEIPT,9392,EA,FG-02,WMS
IM-0000125,2026-04-24 03:36:00,P03,PRD-055,PRD-055,FG_RECEIPT,689,EA,FG-01,WMS
IM-0000126,2026-01-16 02:45:00,P02,PRD-040,PRD-040,FG_SHIP,-991,EA,RM-B,WMS
IM-0000127,2025-12-01 19:40:00,P01,MAT-022,PRD-042,RM_RECEIPT,2464,EA,RM-B,WMS
IM-0000128,2026-01-01 06:36:00,P01,MAT-031,PRD-043,RM_ISSUE,-4237,EA,RM-B,WMS
IM-0000129,2026-07-23 01:35:00,P01,PRD-011,PRD-011,FG_SHIP,-3436,EA,WIP-01,WMS
IM-0000130,2026-04-25 18:57:00,P01,MAT-024,PRD-013,RM_RECEIPT,1764,EA,WIP-01,WMS
IM-0000131,2026-03-11 01:02:00,P02,MAT-033,PRD-022,RM_RECEIPT,2247,EA,RM-A,WMS
IM-0000132,2025-08-31 07:29:00,P02,MAT-001,PRD-056,RM_ISSUE,-1658,EA,WIP-01,WMS
IM-0000133,2025-10-17 17:08:00,P01,PRD-019,PRD-019,FG_SHIP,-3917,EA,WIP-01,WMS
IM-0000134,2025-10-19 11:32:00,P02,MAT-032,PRD-038,RM_RECEIPT,10386,EA,RM-A,WMS
IM-0000135,2026-04-15 03:10:00,P01,PRD-063,PRD-063,ADJUSTMENT,7524,EA,FG-02,WMS
IM-0000136,2026-05-20 05:30:00,P02,PRD-075,PRD-075,FG_SHIP,-1236,EA,WIP-01,WMS
IM-0000137,2026-02-13 02:30:00,P01,MAT-004,PRD-040,RM_ISSUE,-4180,EA,RM-A,WMS
IM-0000138,2025-11-05 01:51:00,P01,PRD-008,PRD-008,FG_SHIP,-2889,EA,FG-01,WMS
IM-0000139,2026-01-03 11:10:00,P01,MAT-022,PRD-073,RM_ISSUE,-787,EA,RM-B,WMS
IM-0000140,2025-12-30 15:21:00,P02,MAT-002,PRD-069,RM_RECEIPT,2494,EA,FG-02,WMS
IM-0000141,2026-01-31 00:42:00,P01,PRD-079,PRD-079,FG_RECEIPT,3004,EA,RM-A,WMS
IM-0000142,2026-01-08 17:16:00,P01,MAT-018,PRD-030,RM_ISSUE,-3262,EA,FG-02,WMS
IM-0000143,2026-02-18 01:07:00,P02,MAT-022,PRD-047,RM_ISSUE,-1093,EA,RM-B,WMS
IM-0000144,2026-05-17 02:56:00,P02,PRD-036,PRD-036,FG_SHIP,-3072,EA,FG-01,WMS
IM-0000145,2026-03-03 05:50:00,P03,MAT-019,PRD-071,RM_RECEIPT,1765,EA,FG-01,WMS
IM-0000146,2026-06-20 08:05:00,P02,MAT-008,PRD-036,RM_RECEIPT,2677,EA,RM-B,WMS
IM-0000147,2026-01-03 13:17:00,P03,PRD-005,PRD-005,FG_RECEIPT,1315,EA,RM-B,WMS
IM-0000148,2026-03-16 18:34:00,P02,MAT-017,PRD-019,RM_RECEIPT,206,EA,RM-B,WMS
IM-0000149,2026-03-08 09:42:00,P02,MAT-018,PRD-002,RM_ISSUE,-2586,EA,FG-01,WMS
IM-0000150,2025-10-08 03:20:00,P02,MAT-032,PRD-005,RM_RECEIPT,1710,EA,RM-B,WMS
IM-0000151,2025-11-07 23:07:00,P02,MAT-018,PRD-078,RM_RECEIPT,650,EA,WIP-01,WMS
IM-0000152,2025-12-09 07:52:00,P01,MAT-033,PRD-044,RM_ISSUE,-1804,EA,FG-02,WMS
IM-0000153,2026-07-12 18:49:00,P02,MAT-018,PRD-026,RM_RECEIPT,3498,EA,RM-B,WMS
IM-0000154,2025-12-03 16:15:00,P01,PRD-030,PRD-030,FG_RECEIPT,1154,EA,RM-A,WMS
IM-0000155,2025-12-05 23:24:00,P01,PRD-023,PRD-023,FG_SHIP,-1711,EA,FG-01,WMS
IM-0000156,2026-03-04 19:13:00,P02,MAT-024,PRD-013,RM_ISSUE,-5238,EA,RM-A,WMS
IM-0000157,2026-01-09 19:40:00,P01,PRD-017,PRD-017,FG_RECEIPT,3877,EA,FG-02,WMS
IM-0000158,2025-10-20 18:28:00,P03,PRD-077,PRD-077,FG_SHIP,-1011,EA,WIP-01,WMS
IM-0000159,2026-04-09 16:39:00,P01,MAT-033,PRD-022,RM_RECEIPT,5458,EA,WIP-01,WMS
IM-0000160,2025-12-09 07:42:00,P01,MAT-017,PRD-079,RM_RECEIPT,4965,EA,WIP-01,WMS
IM-0000161,2026-07-31 19:19:00,P01,MAT-018,PRD-054,RM_ISSUE,-2866,EA,WIP-01,WMS
IM-0000162,2026-06-06 12:09:00,P03,PRD-003,PRD-003,FG_SHIP,-1921,EA,WIP-01,WMS
IM-0000163,2026-01-15 10:43:00,P01,MAT-033,PRD-017,RM_ISSUE,-2796,EA,RM-A,WMS
IM-0000164,2025-12-17 00:47:00,P01,MAT-030,PRD-064,RM_ISSUE,-2178,EA,RM-B,WMS
IM-0000165,2026-04-23 04:15:00,P01,PRD-039,PRD-039,FG_RECEIPT,8062,EA,WIP-01,WMS
IM-0000166,2026-04-15 19:03:00,P02,PRD-016,PRD-016,ADJUSTMENT,1145,EA,WIP-01,WMS
IM-0000167,2026-03-29 16:02:00,P03,MAT-029,PRD-045,RM_ISSUE,-1179,EA,RM-B,WMS
IM-0000168,2026-07-17 07:15:00,P02,PRD-029,PRD-029,FG_RECEIPT,13352,EA,RM-B,WMS
IM-0000169,2026-01-03 19:41:00,P02,PRD-011,PRD-011,FG_SHIP,-1434,EA,RM-A,WMS
IM-0000170,2026-05-20 10:26:00,P01,PRD-064,PRD-064,FG_SHIP,-1825,EA,FG-02,WMS
IM-0000171,2025-10-04 10:20:00,P01,PRD-059,PRD-059,ADJUSTMENT,1234,EA,RM-B,WMS
IM-0000172,2026-01-31 21:58:00,P01,MAT-024,PRD-003,RM_RECEIPT,5684,EA,FG-02,WMS
IM-0000173,2025-11-27 15:58:00,P01,MAT-019,PRD-071,RM_RECEIPT,2867,EA,FG-02,WMS
IM-0000174,2025-11-02 10:48:00,P01,PRD-059,PRD-059,FG_RECEIPT,3455,EA,WIP-01,WMS
IM-0000175,2026-01-20 22:12:00,P02,PRD-030,PRD-030,FG_RECEIPT,1009,EA,FG-01,WMS
IM-0000176,2026-02-04 15:18:00,P01,MAT-002,PRD-069,RM_RECEIPT,1774,EA,FG-02,WMS
IM-0000177,2025-10-31 20:31:00,P03,MAT-026,PRD-059,RM_ISSUE,-1619,EA,RM-A,WMS
IM-0000178,2026-05-25 02:06:00,P01,PRD-071,PRD-071,FG_SHIP,-1412,EA,RM-B,WMS
IM-0000179,2025-10-06 21:11:00,P01,MAT-026,PRD-028,RM_ISSUE,-563,EA,FG-02,WMS
IM-0000180,2026-06-13 16:11:00,P02,MAT-006,PRD-001,RM_ISSUE,-9946,EA,FG-02,WMS
IM-0000181,2026-07-30 07:24:00,P03,MAT-007,PRD-055,RM_ISSUE,-4744,EA,RM-B,WMS
IM-0000182,2025-10-24 03:14:00,P01,PRD-044,PRD-044,ADJUSTMENT,14685,EA,FG-01,WMS
IM-0000183,2025-09-13 13:50:00,P01,MAT-008,PRD-036,RM_ISSUE,-3200,EA,FG-01,WMS
IM-0000184,2025-08-09 10:31:00,P03,MAT-015,PRD-025,RM_RECEIPT,901,EA,WIP-01,WMS
IM-0000185,2026-05-15 16:29:00,P02,MAT-035,PRD-053,RM_RECEIPT,778,EA,FG-02,WMS
IM-0000186,2026-04-21 20:15:00,P02,MAT-026,PRD-059,RM_ISSUE,-1999,EA,RM-B,WMS
IM-0000187,2025-11-02 13:35:00,P01,PRD-080,PRD-080,FG_RECEIPT,1109,EA,WIP-01,WMS
IM-0000188,2026-01-02 08:02:00,P02,MAT-012,PRD-011,RM_RECEIPT,1070,EA,FG-01,WMS
IM-0000189,2026-06-06 01:30:00,P03,MAT-037,PRD-018,RM_RECEIPT,286,EA,FG-01,WMS
IM-0000190,2025-08-02 13:04:00,P02,MAT-033,PRD-022,RM_ISSUE,-6959,EA,RM-A,WMS
IM-0000191,2025-09-26 00:19:00,P02,MAT-030,PRD-041,RM_RECEIPT,6692,EA,RM-A,WMS
IM-0000192,2025-12-26 14:34:00,P01,PRD-068,PRD-068,FG_SHIP,-11951,EA,RM-A,WMS
IM-0000193,2026-02-22 21:25:00,P02,MAT-033,PRD-017,RM_ISSUE,-732,EA,FG-01,WMS
IM-0000194,2025-09-25 10:47:00,P02,PRD-028,PRD-028,FG_RECEIPT,1452,EA,RM-B,WMS
IM-0000195,2025-09-16 00:45:00,P01,MAT-005,PRD-021,RM_RECEIPT,7281,EA,FG-02,WMS
IM-0000196,2025-08-09 17:13:00,P03,PRD-014,PRD-014,FG_RECEIPT,558,EA,WIP-01,WMS
IM-0000197,2026-03-26 22:15:00,P01,MAT-004,PRD-040,RM_RECEIPT,2005,EA,RM-B,WMS
IM-0000198,2025-09-19 05:48:00,P03,PRD-069,PRD-069,FG_RECEIPT,5020,EA,FG-01,WMS
IM-0000199,2025-10-31 08:53:00,P03,MAT-027,PRD-061,RM_RECEIPT,2593,EA,RM-A,WMS
IM-0000200,2026-06-12 08:18:00,P01,MAT-004,PRD-048,RM_ISSUE,-1076,EA,WIP-01,WMS
IM-0000201,2026-03-27 14:44:00,P02,PRD-021,PRD-021,FG_RECEIPT,281,EA,RM-A,WMS
IM-0000202,2026-07-15 05:22:00,P02,PRD-033,PRD-033,FG_RECEIPT,898,EA,FG-01,WMS
IM-0000203,2026-07-25 13:35:00,P03,MAT-030,PRD-060,RM_ISSUE,-3139,EA,RM-B,WMS
IM-0000204,2026-05-11 14:05:00,P02,PRD-079,PRD-079,FG_SHIP,-3312,EA,RM-B,WMS
IM-0000205,2026-06-06 14:52:00,P01,MAT-036,PRD-020,RM_RECEIPT,3159,EA,RM-A,WMS
IM-0000206,2026-07-15 10:34:00,P03,MAT-030,PRD-062,RM_RECEIPT,1752,EA,RM-A,WMS
IM-0000207,2026-01-27 04:31:00,P01,MAT-033,PRD-076,RM_ISSUE,-6985,EA,WIP-01,WMS
IM-0000208,2026-03-13 00:12:00,P03,MAT-018,PRD-030,RM_ISSUE,-6215,EA,FG-01,WMS
IM-0000209,2025-10-08 02:56:00,P02,PRD-034,PRD-034,FG_RECEIPT,5015,EA,FG-01,WMS
IM-0000210,2026-05-26 13:10:00,P02,MAT-005,PRD-024,RM_ISSUE,-1054,EA,FG-01,WMS
IM-0000211,2026-03-05 15:02:00,P03,PRD-051,PRD-051,FG_RECEIPT,5068,EA,WIP-01,WMS
IM-0000212,2025-10-09 18:52:00,P01,MAT-022,PRD-073,RM_ISSUE,-4772,EA,WIP-01,WMS
IM-0000213,2026-03-30 12:06:00,P02,PRD-071,PRD-071,FG_RECEIPT,1853,EA,FG-02,WMS
IM-0000214,2026-02-20 16:39:00,P02,MAT-012,PRD-006,RM_ISSUE,-2815,EA,FG-02,WMS
IM-0000215,2025-10-21 06:17:00,P02,PRD-010,PRD-010,FG_RECEIPT,1935,EA,WIP-01,WMS
IM-0000216,2025-11-01 11:52:00,P01,MAT-035,PRD-053,RM_RECEIPT,1992,EA,FG-02,WMS
IM-0000217,2026-07-11 15:40:00,P02,MAT-023,PRD-007,RM_ISSUE,-2531,EA,RM-A,WMS
IM-0000218,2026-03-15 06:37:00,P02,MAT-018,PRD-050,RM_RECEIPT,2213,EA,FG-01,WMS
IM-0000219,2026-06-28 10:41:00,P02,MAT-035,PRD-053,RM_RECEIPT,935,EA,WIP-01,WMS
IM-0000220,2026-01-02 07:31:00,P03,PRD-071,PRD-071,FG_SHIP,-10458,EA,RM-B,WMS
IM-0000221,2025-10-27 10:33:00,P03,MAT-024,PRD-013,RM_ISSUE,-2558,EA,RM-A,WMS
IM-0000222,2026-02-09 17:10:00,P01,MAT-035,PRD-066,RM_RECEIPT,478,EA,WIP-01,WMS
IM-0000223,2026-01-21 00:05:00,P03,MAT-022,PRD-073,RM_RECEIPT,10549,EA,FG-02,WMS
IM-0000224,2026-04-15 19:10:00,P02,PRD-073,PRD-073,FG_SHIP,-2039,EA,RM-B,WMS
IM-0000225,2025-12-28 11:08:00,P02,PRD-064,PRD-064,ADJUSTMENT,3347,EA,RM-A,WMS
IM-0000226,2025-10-14 13:09:00,P03,MAT-005,PRD-033,RM_ISSUE,-4322,EA,WIP-01,WMS
IM-0000227,2025-11-20 01:40:00,P01,PRD-069,PRD-069,FG_RECEIPT,7107,EA,WIP-01,WMS
IM-0000228,2026-05-13 17:30:00,P02,MAT-026,PRD-028,RM_ISSUE,-2438,EA,FG-01,WMS
IM-0000229,2026-04-13 17:27:00,P02,MAT-033,PRD-044,RM_ISSUE,-2536,EA,FG-02,WMS
IM-0000230,2026-02-10 03:35:00,P03,PRD-079,PRD-079,FG_RECEIPT,2225,EA,WIP-01,WMS
IM-0000231,2026-05-12 04:35:00,P02,PRD-014,PRD-014,FG_SHIP,-998,EA,WIP-01,WMS
IM-0000232,2025-10-01 12:27:00,P02,PRD-048,PRD-048,FG_RECEIPT,3255,EA,FG-01,WMS
