sales_order_id,order_line_id,customer_id,product_id,order_date,requested_delivery_date,promised_delivery_date,ordered_quantity,unit_price,discount_pct,customer_priority,order_status,source_system,load_timestamp
SO-000032,SOL-000032-01,CUST-0041,PRD-020,2025-11-15,2025-12-18,2025-12-19,4435,693.93,10.0,normal,open,ERP,2025-11-15 17:31:00
SO-000033,SOL-000033-01,CUST-0001,PRD-058,2025-09-26,2025-10-13,2025-10-11,2809,424.67,10.0,high,cancelled,ERP,2025-09-27 09:48:00
SO-000034,SOL-000034-01,CUST-0022,PRD-057,2025-08-31,2025-09-14,2025-09-17,1862,491.04,5.0,normal,open,ERP,2025-08-31 00:21:00
SO-000035,SOL-000035-01,CUST-0049,PRD-073,2026-01-29,2026-02-22,2026-02-21,7272,657.96,1.0,normal,completed,ERP,2026-01-31 15:11:00
SO-000036,SOL-000036-01,CUST-0034,PRD-055,2025-10-05,2025-10-30,2025-11-01,5995,615.76,5.0,low,completed,ERP,2025-10-07 07:58:00
SO-000037,SOL-000037-01,CUST-0061,PRD-035,2026-04-29,2026-05-12,2026-05-10,3792,249.65,2.0,low,completed,ERP,2026-04-29 09:33:00
SO-000038,SOL-000038-01,CUST-0062,PRD-071,2026-05-22,2026-06-10,2026-06-09,6317,55.3,2.0,normal,completed,ERP,2026-05-23 08:40:00
SO-000039,SOL-000039-01,CUST-0003,PRD-041,2025-11-11,2025-12-15,2025-12-18,2375,771.8,2.0,low,completed,ERP,2025-11-12 01:00:00
SO-000040,SOL-000040-01,CUST-0074,PRD-023,2026-05-22,2026-06-26,2026-06-26,7611,416.54,3.0,high,completed,ERP,2026-05-22 12:14:00
SO-000041,SOL-000041-01,CUST-0065,PRD-060,2026-04-05,2026-04-22,2026-04-24,3357,509.81,1.0,high,completed,ERP,2026-04-05 18:03:00
SO-000042,SOL-000042-01,CUST-0001,PRD-039,2026-04-06,2026-04-17,2026-04-19,1932,603.8,3.0,high,open,ERP,2026-04-07 07:30:00
SO-000043,SOL-000043-01,CUST-0039,PRD-014,2026-01-13,2026-02-17,2026-02-19,3820,623.07,5.0,high,completed,ERP,2026-01-13 22:15:00
SO-000044,SOL-000044-01,CUST-0070,PRD-066,2026-03-31,2026-05-04,2026-05-03,2374,107.35,2.0,low,completed,ERP,2026-03-31 03:44:00
SO-000045,SOL-000045-01,CUST-0020,PRD-032,2026-01-26,2026-02-02,2026-02-02,2408,727.47,0.0,normal,completed,ERP,2026-01-27 17:58:00
SO-000046,SOL-000046-01,CUST-0032,PRD-080,2025-12-20,2026-01-15,2026-01-14,2193,700.86,0.0,high,open,ERP,2025-12-20 17:28:00
SO-000047,SOL-000047-01,CUST-0039,PRD-073,2026-03-22,2026-04-03,2026-04-02,11920,695.8,2.0,high,completed,ERP,2026-03-23 01:37:00
SO-000048,SOL-000048-01,CUST-0086,PRD-010,2025-12-27,2026-01-03,2026-01-02,4306,432.64,3.0,normal,completed,ERP,2025-12-28 15:18:00
SO-000049,SOL-000049-01,CUST-0034,PRD-068,2025-10-16,2025-11-06,2025-11-06,1922,259.55,10.0,low,completed,ERP,2025-10-18 04:28:00
SO-000050,SOL-000050-01,CUST-0082,PRD-016,2026-01-11,2026-02-06,2026-02-06,2350,212.72,2.0,low,open,ERP,2026-01-13 00:33:00
SO-000051,SOL-000051-01,CUST-0011,PRD-056,2025-08-04,2025-08-21,2025-08-19,1708,354.63,0.0,normal,completed,ERP,2025-08-05 15:14:00
SO-000052,SOL-000052-01,CUST-0045,PRD-003,2025-10-12,2025-11-13,2025-11-11,3329,494.33,2.5,normal,completed,ERP,2025-10-12 13:30:00
SO-000053,SOL-000053-01,CUST-0062,PRD-027,2026-04-01,2026-04-17,2026-04-16,3020,794.87,5.0,normal,completed,ERP,2026-04-03 06:11:00
SO-000054,SOL-000054-01,CUST-0061,PRD-023,2026-02-25,2026-03-17,2026-03-17,1347,443.52,5.0,low,completed,ERP,2026-02-25 16:51:00
SO-000055,SOL-000055-01,CUST-0111,PRD-044,2025-10-14,2025-11-18,2025-11-17,4546,709.79,2.0,high,completed,ERP,2025-10-14 09:36:00
SO-000056,SOL-000056-01,CUST-0072,PRD-063,2026-04-28,2026-06-02,2026-05-31,1160,747.31,2.0,normal,open,ERP,2026-04-29 18:51:00
SO-000057,SOL-000057-01,CUST-0028,PRD-006,2025-11-20,2025-12-04,2025-12-04,2608,573.81,3.0,normal,open,ERP,2025-11-22 22:43:00
SO-000058,SOL-000058-01,CUST-0069,PRD-032,2026-04-23,2026-05-03,2026-05-03,8347,720.97,10.0,high,open,ERP,2026-04-24 09:38:00
SO-000059,SOL-000059-01,CUST-0018,PRD-076,2025-12-13,2026-01-08,2026-01-07,2426,536.98,1.0,normal,completed,ERP,2025-12-13 14:59:00
SO-000060,SOL-000060-01,CUST-0043,PRD-024,2026-06-06,2026-06-15,2026-06-18,1635,871.52,10.0,high,completed,ERP,2026-06-06 13:58:00
SO-000061,SOL-000061-01,CUST-0031,PRD-021,2026-03-19,2026-04-14,2026-04-12,4303,504.57,5.0,high,completed,ERP,2026-03-21 16:02:00
SO-000062,SOL-000062-01,CUST-0090,PRD-004,2026-02-19,2026-03-22,2026-03-22,1276,556.18,1.5,normal,completed,ERP,2026-02-20 10:30:00
SO-000063,SOL-000063-01,CUST-0116,PRD-070,2025-08-13,2025-08-24,2025-08-24,2934,611.09,10.0,low,open,ERP,2025-08-14 16:32:00
SO-000064,SOL-000064-01,CUST-0071,PRD-062,2025-11-08,2025-11-18,2025-11-18,1520,54.55,8.0,low,open,ERP,2025-11-09 04:20:00
SO-000065,SOL-000065-01,CUST-0002,PRD-001,2025-09-26,2025-10-24,2025-10-27,2688,364.27,8.0,low,open,ERP,2025-09-27 04:43:00
SO-000066,SOL-000066-01,CUST-0110,PRD-018,2026-01-13,2026-01-27,2026-01-27,5946,134.59,10.0,normal,completed,ERP,2026-01-15 13:30:00
SO-000067,SOL-000067-01,CUST-0046,PRD-053,2026-01-27,2026-02-06,2026-02-05,6986,502.5,1.5,normal,open,ERP,2026-01-28 20:49:00
SO-000068,SOL-000068-01,CUST-0060,PRD-051,2025-10-18,2025-11-20,2025-11-19,14231,427.94,8.0,normal,completed,ERP,2025-10-20 04:01:00
SO-000069,SOL-000069-01,CUST-0024,PRD-018,2025-10-09,2025-10-22,2025-10-25,1633,134.64,5.0,normal,open,ERP,2025-10-10 21:19:00
SO-000070,SOL-000070-01,CUST-0017,PRD-044,2025-08-03,2025-09-02,2025-09-04,7759,706.1,1.5,low,open,ERP,2025-08-05 00:30:00
SO-000071,SOL-000071-01,CUST-0028,PRD-010,2025-08-19,2025-08-27,2025-08-25,2519,425.97,1.0,normal,completed,ERP,2025-08-21 12:14:00
SO-000072,SOL-000072-01,CUST-0046,PRD-006,2025-12-19,2026-01-12,2026-01-12,1686,516.6,1.5,normal,completed,ERP,2025-12-21 05:53:00
SO-000073,SOL-000073-01,CUST-0002,PRD-001,2026-02-08,2026-02-22,2026-02-20,2189,322.01,5.0,low,completed,ERP,2026-02-08 06:26:00
SO-000074,SOL-000074-01,CUST-0042,PRD-015,2025-12-10,2026-01-03,2026-01-01,3127,941.12,3.0,normal,cancelled,ERP,2025-12-10 08:05:00
SO-000075,SOL-000075-01,CUST-0039,PRD-044,2026-02-08,2026-03-12,2026-03-14,1131,652.0,1.0,high,open,ERP,2026-02-10 19:15:00
SO-000076,SOL-000076-01,CUST-0111,PRD-001,2025-10-05,2025-10-31,2025-11-03,2576,343.91,8.0,high,completed,ERP,2025-10-06 19:26:00
SO-000077,SOL-000077-01,CUST-0042,PRD-078,2026-04-06,2026-04-22,2026-04-22,4767,534.48,3.0,normal,completed,ERP,2026-04-08 17:40:00
SO-000078,SOL-000078-01,CUST-0058,PRD-003,2026-02-02,2026-02-16,2026-02-17,3059,490.54,2.0,high,completed,ERP,2026-02-02 18:23:00
SO-000079,SOL-000079-01,CUST-0026,PRD-061,2026-03-11,2026-03-24,2026-03-26,6249,414.76,5.0,high,completed,ERP,2026-03-12 01:50:00
SO-000080,SOL-000080-01,CUST-0018,PRD-027,2025-10-01,2025-10-11,2025-10-11,2502,720.61,2.5,normal,completed,ERP,2025-10-02 07:28:00
SO-000081,SOL-000081-01,CUST-0055,PRD-015,2025-12-18,2025-12-27,2025-12-28,9023,974.2,5.0,high,completed,ERP,2025-12-19 19:12:00
SO-000082,SOL-000082-01,CUST-0095,PRD-031,2026-06-10,2026-06-24,2026-06-25,21535,785.75,0.0,high,open,ERP,2026-06-12 16:49:00
SO-000083,SOL-000083-01,CUST-0038,PRD-041,2025-12-31,2026-02-03,2026-02-03,2028,795.18,10.0,low,open,ERP,2026-01-02 05:08:00
SO-000084,SOL-000084-01,CUST-0050,PRD-035,2026-06-12,2026-06-29,2026-07-02,4692,236.34,5.0,high,completed,ERP,2026-06-13 15:36:00
SO-000085,SOL-000085-01,CUST-0070,PRD-015,2026-03-15,2026-04-19,2026-04-19,4349,1025.46,2.0,low,completed,ERP,2026-03-17 02:07:00
SO-000086,SOL-000086-01,CUST-0096,PRD-030,2026-02-05,2026-02-28,2026-02-28,2725,621.85,5.0,high,completed,ERP,2026-02-07 21:34:00
SO-000087,SOL-000087-01,CUST-0073,PRD-059,2026-04-23,2026-05-21,2026-05-21,4938,314.57,5.0,normal,completed,ERP,2026-04-23 23:58:00
SO-000088,SOL-000088-01,CUST-0027,PRD-020,2025-12-11,2026-01-02,2026-01-02,3350,714.61,2.0,low,open,ERP,2025-12-12 23:50:00
SO-000089,SOL-000089-01,CUST-0081,PRD-067,2025-10-30,2025-11-14,2025-11-15,1164,43.2,0.0,high,completed,ERP,2025-10-30 00:50:00
SO-000090,SOL-000090-01,CUST-0106,PRD-033,2026-03-25,2026-04-28,2026-05-01,5395,501.43,10.0,high,completed,ERP,2026-03-27 22:33:00
SO-000091,SOL-000091-01,CUST-0118,PRD-036,2025-11-06,2025-12-02,2025-11-30,3012,73.64,10.0,normal,completed,ERP,2025-11-06 09:44:00
SO-000092,SOL-000092-01,CUST-0107,PRD-049,2026-05-20,2026-06-12,2026-06-13,8131,309.04,4.0,low,completed,ERP,2026-05-21 15:17:00
SO-000093,SOL-000093-01,CUST-0041,PRD-053,2026-03-07,2026-03-24,2026-03-24,1982,551.54,0.0,normal,completed,ERP,2026-03-07 02:05:00
SO-000094,SOL-000094-01,CUST-0098,PRD-045,2026-01-29,2026-03-04,2026-03-05,6558,523.71,10.0,normal,open,ERP,2026-01-29 22:00:00
SO-000095,SOL-000095-01,CUST-0089,PRD-002,2025-12-13,2025-12-31,2025-12-31,5368,615.86,8.0,high,open,ERP,2025-12-15 11:42:00
SO-000096,SOL-000096-01,CUST-0009,PRD-051,2025-11-04,2025-12-03,2025-12-03,1617,466.14,10.0,normal,completed,ERP,2025-11-05 06:12:00
SO-000097,SOL-000097-01,CUST-0001,PRD-068,2026-05-16,2026-05-29,2026-05-31,2842,285.16,3.0,high,completed,ERP,2026-05-18 21:44:00
SO-000098,SOL-000098-01,CUST-0047,PRD-010,2025-12-14,2026-01-08,2026-01-07,1681,412.98,1.0,high,completed,ERP,2025-12-15 10:12:00
SO-000099,SOL-000099-01,CUST-0076,PRD-047,2026-04-16,2026-05-13,2026-05-14,2344,931.36,10.0,high,completed,ERP,2026-04-16 13:17:00
SO-000100,SOL-000100-01,CUST-0043,PRD-027,2026-06-05,2026-06-21,2026-06-23,3244,775.26,5.0,high,open,ERP,2026-06-06 13:18:00
SO-000101,SOL-000101-01,CUST-0067,PRD-070,2026-06-11,2026-07-12,2026-07-12,2869,595.33,8.0,normal,completed,ERP,2026-06-13 01:43:00
SO-000102,SOL-000102-01,CUST-0039,PRD-003,2025-11-07,2025-11-16,2025-11-18,7098,489.99,0.0,high,completed,ERP,2025-11-07 22:21:00
SO-000103,SOL-000103-01,CUST-0092,PRD-024,2026-01-28,2026-02-13,2026-02-16,11946,817.96,8.0,normal,completed,ERP,2026-01-30 06:50:00
SO-000104,SOL-000104-01,CUST-0048,PRD-019,2026-01-26,2026-02-11,2026-02-13,7514,326.8,0.0,normal,completed,ERP,2026-01-26 19:15:00
SO-000105,SOL-000105-01,CUST-0080,PRD-005,2026-02-07,2026-03-12,2026-03-13,1717,205.0,10.0,normal,completed,ERP,2026-02-07 02:58:00
SO-000106,SOL-000106-01,CUST-0108,PRD-061,2026-06-11,2026-07-16,2026-07-14,3952,408.62,10.0,high,open,ERP,2026-06-11 00:29:00
SO-000107,SOL-000107-01,CUST-0073,PRD-068,2026-02-21,2026-03-04,2026-03-02,3451,265.63,1.5,normal,completed,ERP,2026-02-23 09:26:00
SO-000108,SOL-000108-01,CUST-0103,PRD-032,2026-02-15,2026-03-05,2026-03-06,4469,662.23,1.0,high,open,ERP,2026-02-15 04:42:00
SO-000109,SOL-000109-01,CUST-0021,PRD-019,2026-03-24,2026-04-18,2026-04-18,6173,354.93,3.0,normal,completed,ERP,2026-03-24 21:24:00
SO-000110,SOL-000110-01,CUST-0026,PRD-055,2025-10-29,2025-12-03,2025-12-03,1711,570.62,0.0,high,completed,ERP,2025-10-29 18:10:00
SO-000111,SOL-000111-01,CUST-0098,PRD-074,2025-08-10,2025-09-10,2025-09-09,1161,308.88,1.0,normal,completed,ERP,2025-08-10 02:19:00
SO-000112,SOL-000112-01,CUST-0025,PRD-061,2026-03-23,2026-04-08,2026-04-08,839,433.32,1.0,normal,completed,ERP,2026-03-23 15:50:00
SO-000113,SOL-000113-01,CUST-0097,PRD-071,2025-11-20,2025-12-07,2025-12-08,4712,56.58,5.0,normal,completed,ERP,2025-11-21 01:56:00
SO-000114,SOL-000114-01,CUST-0041,PRD-018,2026-05-05,2026-05-16,2026-05-16,3043,142.25,2.0,normal,completed,ERP,2026-05-05 07:46:00
SO-000115,SOL-000115-01,CUST-0045,PRD-042,2026-03-19,2026-04-16,2026-04-15,4550,43.57,0.5,normal,completed,ERP,2026-03-19 16:06:00
SO-000116,SOL-000116-01,CUST-0073,PRD-033,2026-01-19,2026-01-26,2026-01-27,3820,518.78,0.5,normal,completed,ERP,2026-01-20 06:51:00
SO-000117,SOL-000117-01,CUST-0036,PRD-080,2026-06-16,2026-07-10,2026-07-11,7304,704.71,2.0,high,completed,ERP,2026-06-16 11:24:00
SO-000118,SOL-000118-01,CUST-0025,PRD-033,2026-02-20,2026-03-13,2026-03-13,6070,487.63,1.5,normal,cancelled,ERP,2026-02-21 07:36:00
SO-000119,SOL-000119-01,CUST-0024,PRD-042,2026-01-29,2026-02-16,2026-02-16,1511,45.09,8.0,normal,completed,ERP,2026-01-31 10:36:00
SO-000120,SOL-000120-01,CUST-0009,PRD-023,2025-11-19,2025-12-07,2025-12-07,5758,432.81,0.0,normal,completed,ERP,2025-11-20 01:07:00
SO-000121,SOL-000121-01,CUST-0024,PRD-047,2025-11-25,2025-12-24,2025-12-26,5528,970.87,5.0,normal,completed,ERP,2025-11-27 09:51:00
SO-000122,SOL-000122-01,CUST-0085,PRD-036,2025-12-11,2025-12-19,2025-12-20,2866,71.52,10.0,low,completed,ERP,2025-12-13 19:42:00
SO-000123,SOL-000123-01,CUST-0030,PRD-050,2026-01-17,2026-02-08,2026-02-06,2054,394.83,10.0,normal,completed,ERP,2026-01-18 02:38:00
SO-000124,SOL-000124-01,CUST-0067,PRD-062,2026-03-06,2026-04-09,2026-04-09,8658,54.43,5.0,normal,open,ERP,2026-03-07 01:12:00
SO-000125,SOL-000125-01,CUST-0005,PRD-074,2026-04-18,2026-05-17,2026-05-17,3224,315.77,5.0,high,completed,ERP,2026-04-18 13:14:00
SO-000126,SOL-000126-01,CUST-0024,PRD-028,2025-08-15,2025-09-19,2025-09-20,3302,656.22,3.0,normal,completed,ERP,2025-08-16 07:44:00
SO-000127,SOL-000127-01,CUST-0011,PRD-070,2025-10-12,2025-11-05,2025-11-05,2687,601.46,3.0,normal,open,ERP,2025-10-14 00:34:00
SO-000128,SOL-000128-01,CUST-0031,PRD-052,2026-03-08,2026-04-08,2026-04-08,3956,717.36,8.0,high,completed,ERP,2026-03-08 03:20:00
SO-000129,SOL-000129-01,CUST-0021,PRD-047,2026-02-04,2026-02-26,2026-02-28,3677,1013.87,1.0,normal,completed,ERP,2026-02-05 06:11:00
SO-000130,SOL-000130-01,CUST-0080,PRD-002,2025-11-03,2025-11-29,2025-12-02,2578,668.6,10.0,normal,completed,ERP,2025-11-04 03:47:00
SO-000131,SOL-000131-01,CUST-0012,PRD-015,2025-08-23,2025-09-09,2025-09-09,1586,1043.47,0.0,normal,completed,ERP,2025-08-24 06:24:00
SO-000132,SOL-000132-01,CUST-0078,PRD-069,2025-10-12,2025-11-12,2025-11-13,4131,1010.5,10.0,high,open,ERP,2025-10-12 00:56:00
SO-000133,SOL-000133-01,CUST-0027,PRD-026,2026-06-03,2026-06-20,2026-06-19,11023,301.14,2.0,low,cancelled,ERP,2026-06-05 20:34:00
SO-000134,SOL-000134-01,CUST-0100,PRD-059,2025-10-17,2025-10-28,2025-10-28,1503,277.28,2.5,normal,open,ERP,2025-10-17 12:34:00
SO-000135,SOL-000135-01,CUST-0094,PRD-007,2026-02-27,2026-03-26,2026-03-28,1916,270.52,4.0,normal,cancelled,ERP,2026-02-28 20:57:00
SO-000136,SOL-000136-01,CUST-0024,PRD-028,2026-03-07,2026-04-04,2026-04-04,2787,622.52,8.0,normal,completed,ERP,2026-03-07 08:04:00
SO-000137,SOL-000137-01,CUST-0070,PRD-005,2026-04-16,2026-04-27,2026-04-25,8012,221.69,1.0,low,completed,ERP,2026-04-17 01:06:00
SO-000138,SOL-000138-01,CUST-0066,PRD-066,2025-08-07,2025-09-07,2025-09-08,2102,100.54,1.0,normal,completed,ERP,2025-08-09 01:23:00
SO-000139,SOL-000139-01,CUST-0106,PRD-022,2026-02-12,2026-02-25,2026-02-27,8093,439.24,3.0,high,completed,ERP,2026-02-13 20:42:00
SO-000140,SOL-000140-01,CUST-0104,PRD-045,2025-11-08,2025-11-28,2025-11-27,2547,480.39,1.0,low,completed,ERP,2025-11-10 08:37:00
SO-000141,SOL-000141-01,CUST-0108,PRD-042,2025-11-08,2025-11-27,2025-11-28,4156,44.04,8.0,high,completed,ERP,2025-11-09 17:12:00
SO-000142,SOL-000142-01,CUST-0109,PRD-044,2026-04-12,2026-05-15,2026-05-14,1525,699.12,8.0,high,completed,ERP,2026-04-12 17:06:00
SO-000143,SOL-000143-01,CUST-0096,PRD-062,2025-12-17,2026-01-05,2026-01-07,3816,50.29,0.0,high,completed,ERP,2025-12-19 20:44:00
SO-000144,SOL-000144-01,CUST-0118,PRD-064,2025-12-17,2026-01-21,2026-01-21,1697,113.97,3.0,normal,completed,ERP,2025-12-17 09:18:00
SO-000145,SOL-000145-01,CUST-0072,PRD-072,2026-06-08,2026-06-16,2026-06-15,7335,617.08,0.0,normal,completed,ERP,2026-06-10 06:54:00
SO-000146,SOL-000146-01,CUST-0102,PRD-076,2025-11-08,2025-12-13,2025-12-15,9586,531.04,0.0,high,completed,ERP,2025-11-08 02:14:00
SO-000147,SOL-000147-01,CUST-0067,PRD-005,2026-05-06,2026-05-23,2026-05-21,6594,206.22,3.0,normal,completed,ERP,2026-05-06 05:55:00
SO-000148,SOL-000148-01,CUST-0115,PRD-021,2026-04-12,2026-04-21,2026-04-21,2447,526.3,5.0,normal,cancelled,ERP,2026-04-12 00:59:00
SO-000149,SOL-000149-01,CUST-0036,PRD-016,2026-01-21,2026-02-16,2026-02-17,5463,206.76,1.0,high,completed,ERP,2026-01-21 01:43:00
SO-000150,SOL-000150-01,CUST-0056,PRD-012,2026-01-22,2026-02-16,2026-02-18,1801,441.75,2.0,normal,cancelled,ERP,2026-01-23 20:06:00
SO-000151,SOL-000151-01,CUST-0067,PRD-048,2025-10-07,2025-11-03,2025-11-02,8408,236.79,2.0,normal,open,ERP,2025-10-09 08:08:00
SO-000152,SOL-000152-01,CUST-0032,PRD-070,2026-06-12,2026-06-20,2026-06-21,2439,567.25,0.0,high,completed,ERP,2026-06-14 18:00:00
SO-000153,SOL-000153-01,CUST-0033,PRD-060,2025-11-18,2025-12-20,2025-12-20,5008,479.55,4.0,normal,open,ERP,2025-11-18 18:54:00
SO-000154,SOL-000154-01,CUST-0071,PRD-032,2026-01-05,2026-02-04,2026-02-07,4735,682.98,0.0,low,completed,ERP,2026-01-05 17:36:00
SO-000155,SOL-000155-01,CUST-0017,PRD-001,2026-03-11,2026-04-15,2026-04-17,2750,353.81,1.0,low,completed,ERP,2026-03-11 12:14:00
SO-000156,SOL-000156-01,CUST-0050,PRD-075,2026-05-31,2026-06-11,2026-06-13,1407,711.6,0.0,high,completed,ERP,2026-05-31 06:45:00
SO-000157,SOL-000157-01,CUST-0077,PRD-069,2025-10-24,2025-11-26,2025-11-24,3610,1041.96,8.0,high,completed,ERP,2025-10-25 06:30:00
SO-000158,SOL-000158-01,CUST-0119,PRD-076,2026-04-18,2026-05-13,2026-05-14,1310,486.76,10.0,normal,completed,ERP,2026-04-18 17:55:00
SO-000159,SOL-000159-01,CUST-0016,PRD-037,2026-01-13,2026-02-16,2026-02-16,3072,139.19,0.0,low,cancelled,ERP,2026-01-15 16:43:00
SO-000160,SOL-000160-01,CUST-0091,PRD-076,2026-05-31,2026-06-22,2026-06-25,3562,553.71,3.0,normal,completed,ERP,2026-05-31 17:40:00
SO-000161,SOL-000161-01,CUST-0044,PRD-051,2026-05-07,2026-05-15,2026-05-15,7349,401.7,2.0,normal,completed,ERP,2026-05-08 07:11:00
SO-000162,SOL-000162-01,CUST-0042,PRD-060,2026-06-07,2026-07-09,2026-07-08,2219,507.57,1.0,normal,open,ERP,2026-06-07 23:14:00
SO-000163,SOL-000163-01,CUST-0102,PRD-006,2026-05-24,2026-06-16,2026-06-16,5820,538.48,5.0,high,completed,ERP,2026-05-25 01:35:00
SO-000164,SOL-000164-01,CUST-0044,PRD-053,2025-10-26,2025-11-22,2025-11-22,7029,530.14,0.0,normal,completed,ERP,2025-10-26 05:48:00
SO-000165,SOL-000165-01,CUST-0063,PRD-013,2025-10-13,2025-10-21,2025-10-21,1447,368.53,5.0,low,cancelled,ERP,2025-10-15 18:04:00
SO-000166,SOL-000166-01,CUST-0030,PRD-075,2026-03-09,2026-04-03,2026-04-03,3472,696.58,0.0,normal,open,ERP,2026-03-09 14:49:00
SO-000167,SOL-000167-01,CUST-0090,PRD-031,2026-05-03,2026-05-27,2026-05-28,6537,819.83,0.0,normal,open,ERP,2026-05-05 15:12:00
