inspection_id,run_id,work_order_id,product_id,machine_id,inspection_datetime,sample_size,defect_count,defect_code,measurement_1,measurement_2,lower_spec_limit,upper_spec_limit,pass_fail,inspector_id,source_system
QI-0000056,RUN-000056,WO-000028,PRD-070,MCH-033,2025-08-02 12:19:43,125,4,DIMENSION,10.1795,5.1147,10.075,10.315,pass,INS-007,QMS
QI-0000057,RUN-000057,WO-000029,PRD-020,MCH-011,2025-08-03 21:17:33,50,5,SCRATCH,10.4344,5.271,10.27,10.51,fail,INS-023,QMS
QI-0000058,RUN-000058,WO-000029,PRD-020,MCH-007,2025-08-04 00:25:06,80,7,SCRATCH,10.3421,5.2513,10.27,10.51,fail,INS-024,QMS
QI-0000059,RUN-000059,WO-000030,PRD-070,MCH-013,2025-08-03 15:00:17,50,2,CONTAMINATION,10.221,5.0746,10.075,10.315,pass,INS-011,QMS
QI-0000060,RUN-000060,WO-000030,PRD-070,MCH-016,2025-08-03 19:04:35,125,2,SURFACE_DENT,10.1501,5.1352,10.075,10.315,pass,INS-018,QMS
QI-0000061,RUN-000061,WO-000031,PRD-070,MCH-018,2025-08-03 06:38:11,125,3,SOLDER_VOID,10.1563,5.0862,10.075,10.315,pass,INS-007,QMS
QI-0000062,RUN-000062,WO-000031,PRD-070,MCH-016,2025-08-03 11:13:23,80,4,SOLDER_VOID,10.1817,5.1172,10.075,10.315,pass,INS-012,QMS
QI-0000063,RUN-000063,WO-000032,PRD-031,MCH-023,2025-08-04 01:35:15,80,5,SOLDER_VOID,10.3651,5.2368,10.23,10.47,fail,INS-001,QMS
QI-0000064,RUN-000064,WO-000032,PRD-031,MCH-021,2025-08-04 06:04:31,80,4,CONTAMINATION,10.295,5.2028,10.23,10.47,pass,INS-002,QMS
QI-0000065,RUN-000065,WO-000033,PRD-031,MCH-024,2025-08-03 04:20:03,125,7,SCRATCH,10.3335,5.23,10.23,10.47,pass,INS-019,QMS
QI-0000066,RUN-000066,WO-000033,PRD-031,MCH-019,2025-08-03 07:47:06,200,7,SCRATCH,10.3608,5.1654,10.23,10.47,pass,INS-017,QMS
QI-0000067,RUN-000067,WO-000034,PRD-052,MCH-028,2025-08-04 01:00:58,200,16,SCRATCH,10.3715,5.2003,10.24,10.48,fail,INS-022,QMS
QI-0000068,RUN-000068,WO-000034,PRD-052,MCH-025,2025-08-04 04:19:56,125,11,SCRATCH,10.397,5.2256,10.24,10.48,fail,INS-016,QMS
QI-0000069,RUN-000069,WO-000035,PRD-048,MCH-033,2025-08-04 04:36:49,100,2,CONTAMINATION,10.2106,5.128,10.11,10.35,pass,INS-002,QMS
QI-0000070,RUN-000070,WO-000035,PRD-048,MCH-032,2025-08-04 07:48:38,100,3,SOLDER_VOID,10.2407,5.0787,10.11,10.35,pass,INS-005,QMS
QI-0000071,RUN-000071,WO-000036,PRD-079,MCH-006,2025-08-04 18:44:56,200,10,MISSING_PART,10.1125,5.0904,10.045,10.285,pass,INS-001,QMS
QI-0000072,RUN-000072,WO-000036,PRD-079,MCH-005,2025-08-04 22:29:52,100,7,CONTAMINATION,10.1663,5.0999,10.045,10.285,fail,INS-009,QMS
QI-0000073,RUN-000073,WO-000037,PRD-001,MCH-006,2025-08-05 00:23:27,200,21,SOLDER_VOID,10.456,5.2433,10.29,10.53,fail,INS-009,QMS
QI-0000074,RUN-000074,WO-000037,PRD-001,MCH-001,2025-08-05 04:19:54,200,16,DIMENSION,10.3893,5.2261,10.29,10.53,fail,INS-010,QMS
QI-0000075,RUN-000075,WO-000038,PRD-064,MCH-003,2025-08-04 05:26:37,200,7,SURFACE_DENT,10.2334,5.1264,10.125,10.365,pass,INS-008,QMS
QI-0000076,RUN-000076,WO-000038,PRD-064,MCH-004,2025-08-04 09:41:15,50,2,SURFACE_DENT,10.2739,5.1234,10.125,10.365,pass,INS-012,QMS
QI-0000077,RUN-000077,WO-000039,PRD-017,MCH-010,2025-08-04 14:01:07,200,5,DIMENSION,10.2451,5.1124,10.095,10.335,pass,INS-004,QMS
QI-0000078,RUN-000078,WO-000039,PRD-017,MCH-009,2025-08-04 17:06:15,80,2,CONTAMINATION,10.2119,5.1267,10.095,10.335,pass,INS-019,QMS
QI-0000079,RUN-000079,WO-000040,PRD-035,MCH-008,2025-08-04 20:54:28,125,4,CONTAMINATION,10.1904,5.1085,10.095,10.335,pass,INS-001,QMS
QI-0000080,RUN-000080,WO-000040,PRD-035,MCH-007,2025-08-05 00:14:57,100,1,MISSING_PART,10.2106,5.1069,10.095,10.335,pass,INS-022,QMS
QI-0000081,RUN-000081,WO-000041,PRD-011,MCH-011,2025-08-04 07:45:52,100,4,DIMENSION,10.0577,5.026,9.95,10.19,pass,INS-006,QMS
QI-0000082,RUN-000082,WO-000041,PRD-011,MCH-010,2025-08-04 11:09:45,80,1,CONTAMINATION,10.0456,5.0177,9.95,10.19,pass,INS-015,QMS
QI-0000083,RUN-000083,WO-000042,PRD-019,MCH-013,2025-08-04 11:39:36,125,18,DIMENSION,10.3609,5.2553,10.24,10.48,fail,INS-021,QMS
QI-0000084,RUN-000084,WO-000042,PRD-019,MCH-015,2025-08-04 14:34:13,200,23,SURFACE_DENT,10.3229,5.2221,10.24,10.48,fail,INS-008,QMS
QI-0000085,RUN-000085,WO-000043,PRD-019,MCH-018,2025-08-04 23:16:15,100,10,DIMENSION,10.381,5.1836,10.24,10.48,fail,INS-015,QMS
QI-0000086,RUN-000086,WO-000043,PRD-019,MCH-013,2025-08-05 02:59:31,125,14,SOLDER_VOID,10.3325,5.2725,10.24,10.48,fail,INS-013,QMS
QI-0000087,RUN-000087,WO-000044,PRD-015,MCH-017,2025-08-04 04:39:18,125,7,SURFACE_DENT,10.5036,5.3025,10.32,10.56,pass,INS-005,QMS
QI-0000088,RUN-000088,WO-000044,PRD-015,MCH-015,2025-08-04 09:07:37,80,4,MISSING_PART,10.4383,5.2779,10.32,10.56,fail,INS-005,QMS
QI-0000089,RUN-000089,WO-000045,PRD-062,MCH-024,2025-08-04 13:21:15,125,17,DIMENSION,10.2519,5.1867,10.22,10.46,fail,INS-010,QMS
QI-0000090,RUN-000090,WO-000045,PRD-062,MCH-022,2025-08-04 17:47:30,100,7,MISSING_PART,,5.217,10.22,10.46,fail,INS-007,QMS
QI-0000091,RUN-000091,WO-000046,PRD-062,MCH-022,2025-08-05 01:26:34,100,10,MISSING_PART,10.2661,5.1775,10.22,10.46,fail,INS-008,QMS
QI-0000092,RUN-000092,WO-000046,PRD-062,MCH-024,2025-08-05 05:38:09,125,13,SURFACE_DENT,10.3789,5.1159,10.22,10.46,fail,INS-021,QMS
QI-0000093,RUN-000093,WO-000047,PRD-062,MCH-023,2025-08-04 10:21:13,80,8,SURFACE_DENT,10.3593,5.2015,10.22,10.46,fail,INS-001,QMS
QI-0000094,RUN-000094,WO-000047,PRD-062,MCH-024,2025-08-04 14:14:26,125,14,SURFACE_DENT,10.3788,5.1883,10.22,10.46,fail,INS-016,QMS
QI-0000095,RUN-000095,WO-000048,PRD-075,MCH-028,2025-08-04 18:52:27,125,7,SCRATCH,10.2874,5.1904,10.22,10.46,pass,INS-006,QMS
QI-0000096,RUN-000096,WO-000048,PRD-075,MCH-030,2025-08-04 22:34:55,125,6,SCRATCH,10.3386,5.1775,10.22,10.46,pass,INS-019,QMS
QI-0000097,RUN-000097,WO-000049,PRD-075,MCH-029,2025-08-04 22:33:09,80,3,SCRATCH,10.3917,5.1794,10.22,10.46,pass,INS-010,QMS
QI-0000098,RUN-000098,WO-000049,PRD-075,MCH-028,2025-08-05 02:29:18,125,6,SOLDER_VOID,10.3489,5.2369,10.22,10.46,pass,INS-015,QMS
QI-0000099,RUN-000099,WO-000050,PRD-075,MCH-029,2025-08-04 05:50:22,125,3,SOLDER_VOID,10.3077,5.1976,10.22,10.46,pass,INS-012,QMS
QI-0000100,RUN-000100,WO-000050,PRD-075,MCH-026,2025-08-04 08:56:44,200,10,SCRATCH,10.2505,5.2105,10.22,10.46,pass,INS-011,QMS
QI-0000101,RUN-000101,WO-000051,PRD-016,MCH-032,2025-08-04 16:22:48,200,6,SCRATCH,10.1724,5.1885,10.095,10.335,pass,INS-013,QMS
QI-0000102,RUN-000102,WO-000051,PRD-016,MCH-031,2025-08-04 19:53:36,100,1,SOLDER_VOID,10.2213,5.1309,10.095,10.335,pass,INS-015,QMS
QI-0000103,RUN-000103,WO-000052,PRD-043,MCH-034,2025-08-04 22:35:34,50,2,SURFACE_DENT,10.1828,5.1453,10.09,10.33,pass,INS-024,QMS
QI-0000104,RUN-000104,WO-000052,PRD-043,MCH-033,2025-08-05 02:31:08,125,3,SCRATCH,10.1967,5.1203,10.09,10.33,pass,INS-014,QMS
QI-0000105,RUN-000105,WO-000053,PRD-016,MCH-034,2025-08-04 07:48:28,80,3,SCRATCH,10.2156,5.1345,10.095,10.335,pass,INS-010,QMS
QI-0000106,RUN-000106,WO-000053,PRD-016,MCH-032,2025-08-04 10:48:56,80,2,SCRATCH,10.2292,5.1239,10.095,10.335,pass,INS-020,QMS
QI-0000107,RUN-000107,WO-000054,PRD-009,MCH-002,2025-08-05 15:35:58,200,12,DIMENSION,10.2308,5.118,10.13,10.37,pass,INS-004,QMS
QI-0000108,RUN-000108,WO-000054,PRD-009,MCH-001,2025-08-05 18:34:57,80,5,CONTAMINATION,10.2362,5.1327,10.13,10.37,fail,INS-004,QMS
QI-0000109,RUN-000109,WO-000055,PRD-009,MCH-002,2025-08-05 22:20:40,100,8,DIMENSION,10.2435,5.1377,10.13,10.37,fail,INS-017,QMS
QI-0000110,RUN-000110,WO-000055,PRD-009,MCH-004,2025-08-06 01:19:21,125,9,SOLDER_VOID,10.2716,5.1182,10.13,10.37,fail,INS-012,QMS
QI-0000111,RUN-000111,WO-000056,PRD-074,MCH-005,2025-08-05 04:58:50,125,3,SCRATCH,10.3353,5.187,10.2,10.44,pass,INS-013,QMS
QI-0000112,RUN-000112,WO-000056,PRD-074,MCH-001,2025-08-05 09:32:41,80,3,SURFACE_DENT,10.2882,5.2126,10.2,10.44,pass,INS-020,QMS
QI-0000113,RUN-000113,WO-000057,PRD-012,MCH-008,2025-08-05 14:37:15,100,3,SURFACE_DENT,10.1446,5.0821,9.985,10.225,pass,INS-002,QMS
QI-0000114,RUN-000114,WO-000057,PRD-012,MCH-012,2025-08-05 18:40:30,50,0,NONE,10.0807,5.0658,9.985,10.225,pass,INS-018,QMS
QI-0000115,RUN-000115,WO-000058,PRD-012,MCH-012,2025-08-05 23:22:57,200,6,MISSING_PART,10.0634,5.0689,9.985,10.225,pass,INS-020,QMS
QI-0000116,RUN-000116,WO-000058,PRD-012,MCH-009,2025-08-06 03:01:54,200,0,NONE,10.1314,5.0292,9.985,10.225,pass,INS-022,QMS
QI-0000117,RUN-000117,WO-000059,PRD-012,MCH-008,2025-08-05 04:23:32,100,3,CONTAMINATION,10.0649,5.0754,9.985,10.225,pass,INS-023,QMS
QI-0000118,RUN-000118,WO-000059,PRD-012,MCH-012,2025-08-05 07:47:04,200,4,SCRATCH,10.1198,5.0929,9.985,10.225,pass,INS-009,QMS
QI-0000119,RUN-000119,WO-000060,PRD-042,MCH-018,2025-08-05 13:00:23,200,0,NONE,10.0911,5.0452,9.95,10.19,pass,INS-014,QMS
QI-0000120,RUN-000120,WO-000060,PRD-042,MCH-013,2025-08-05 15:47:46,50,0,NONE,10.0748,5.0778,9.95,10.19,pass,INS-016,QMS
QI-0000121,RUN-000121,WO-000061,PRD-075,MCH-018,2025-08-05 20:05:33,200,8,SOLDER_VOID,10.3281,5.2398,10.22,10.46,pass,INS-008,QMS
QI-0000122,RUN-000122,WO-000061,PRD-075,MCH-014,2025-08-05 23:25:06,80,4,DIMENSION,10.2896,5.2301,10.22,10.46,pass,INS-022,QMS
QI-0000123,RUN-000123,WO-000062,PRD-045,MCH-013,2025-08-05 09:30:30,50,0,NONE,10.1063,5.076,10.005,10.245,pass,INS-021,QMS
QI-0000124,RUN-000124,WO-000062,PRD-045,MCH-017,2025-08-05 12:31:01,50,1,SURFACE_DENT,10.1126,5.0836,10.005,10.245,pass,INS-017,QMS
QI-0000125,RUN-000125,WO-000063,PRD-078,MCH-019,2025-08-05 13:44:56,50,3,MISSING_PART,10.248,5.1011,10.11,10.35,pass,INS-017,QMS
QI-0000126,RUN-000126,WO-000063,PRD-078,MCH-024,2025-08-05 17:26:52,125,6,NONE,10.2173,5.1118,10.11,10.35,pass,INS-003,QMS
QI-0000127,RUN-000127,WO-000064,PRD-036,MCH-021,2025-08-06 00:44:05,80,3,SURFACE_DENT,10.1731,5.1529,10.085,10.325,pass,INS-004,QMS
QI-0000128,RUN-000128,WO-000064,PRD-036,MCH-022,2025-08-06 04:51:11,200,2,DIMENSION,10.1882,5.1748,10.085,10.325,pass,INS-020,QMS
QI-0000129,RUN-000129,WO-000065,PRD-078,MCH-022,2025-08-05 08:37:14,200,4,SOLDER_VOID,10.1899,5.1457,10.11,10.35,pass,INS-014,QMS
QI-0000130,RUN-000130,WO-000065,PRD-078,MCH-020,2025-08-05 12:41:28,100,6,SURFACE_DENT,10.2072,5.1527,10.11,10.35,pass,INS-004,QMS
QI-0000131,RUN-000131,WO-000066,PRD-079,MCH-028,2025-08-05 18:05:52,100,7,CONTAMINATION,10.131,5.0905,10.045,10.285,fail,INS-023,QMS
QI-0000132,RUN-000132,WO-000066,PRD-079,MCH-027,2025-08-05 21:39:45,80,4,DIMENSION,10.1553,5.0877,10.045,10.285,pass,INS-012,QMS
QI-0000133,RUN-000133,WO-000067,PRD-009,MCH-027,2025-08-05 18:32:11,125,8,SURFACE_DENT,10.1697,5.1657,10.13,10.37,fail,INS-011,QMS
QI-0000134,RUN-000134,WO-000067,PRD-009,MCH-028,2025-08-05 22:36:23,50,2,SCRATCH,10.2668,5.1335,10.13,10.37,pass,INS-012,QMS
QI-0000135,RUN-000135,WO-000068,PRD-079,MCH-028,2025-08-05 05:36:42,50,3,CONTAMINATION,10.1611,5.109,10.045,10.285,pass,INS-022,QMS
QI-0000136,RUN-000136,WO-000068,PRD-079,MCH-027,2025-08-05 09:40:24,100,4,SURFACE_DENT,10.1701,5.0417,10.045,10.285,pass,INS-002,QMS
QI-0000137,RUN-000137,WO-000069,PRD-056,MCH-031,2025-08-05 20:41:01,80,2,SCRATCH,10.2379,5.1485,10.095,10.335,pass,INS-004,QMS
QI-0000138,RUN-000138,WO-000069,PRD-056,MCH-033,2025-08-05 23:32:02,125,0,NONE,10.1791,5.1363,10.095,10.335,pass,INS-015,QMS
QI-0000139,RUN-000139,WO-000070,PRD-073,MCH-034,2025-08-05 21:12:04,50,1,CONTAMINATION,10.178,5.1339,10.05,10.29,pass,INS-014,QMS
QI-0000140,RUN-000140,WO-000070,PRD-073,MCH-031,2025-08-06 00:07:08,200,4,CONTAMINATION,10.151,5.1179,10.05,10.29,pass,INS-009,QMS
QI-0000141,RUN-000141,WO-000071,PRD-073,MCH-036,2025-08-05 09:48:50,125,2,SCRATCH,10.1728,5.0685,10.05,10.29,pass,INS-019,QMS
QI-0000142,RUN-000142,WO-000071,PRD-073,MCH-032,2025-08-05 13:35:41,80,1,SURFACE_DENT,10.2029,5.1419,10.05,10.29,pass,INS-016,QMS
QI-0000143,RUN-000143,WO-000072,PRD-046,MCH-006,2025-08-06 12:00:58,125,9,CONTAMINATION,10.227,5.219,10.11,10.35,fail,INS-014,QMS
QI-0000144,RUN-000144,WO-000072,PRD-046,MCH-004,2025-08-06 16:02:56,80,5,SCRATCH,10.2982,5.0979,10.11,10.35,fail,INS-007,QMS
QI-0000145,RUN-000145,WO-000073,PRD-046,MCH-006,2025-08-07 02:46:34,125,5,CONTAMINATION,10.2202,5.1107,10.11,10.35,pass,INS-007,QMS
QI-0000146,RUN-000146,WO-000073,PRD-046,MCH-005,2025-08-07 06:11:09,80,6,SCRATCH,10.337,5.1506,10.11,10.35,fail,INS-002,QMS
QI-0000147,RUN-000147,WO-000074,PRD-050,MCH-004,2025-08-07 03:59:37,125,4,SCRATCH,10.2544,5.1716,10.155,10.395,pass,INS-020,QMS
QI-0000148,RUN-000148,WO-000074,PRD-050,MCH-003,2025-08-07 07:56:14,200,5,MISSING_PART,10.3033,5.1912,10.155,10.395,pass,INS-013,QMS
QI-0000149,RUN-000149,WO-000075,PRD-007,MCH-011,2025-08-06 15:05:10,100,4,DIMENSION,10.2156,5.109,10.075,10.315,pass,INS-019,QMS
QI-0000150,RUN-000150,WO-000075,PRD-007,MCH-008,2025-08-06 18:56:20,100,2,SOLDER_VOID,10.1273,5.1021,10.075,10.315,pass,INS-020,QMS
QI-0000151,RUN-000151,WO-000076,PRD-039,MCH-011,2025-08-06 19:56:35,125,6,SCRATCH,10.2959,5.1652,10.16,10.4,pass,INS-019,QMS
QI-0000152,RUN-000152,WO-000076,PRD-039,MCH-007,2025-08-07 00:29:10,200,7,SOLDER_VOID,10.3536,5.1525,10.16,10.4,pass,INS-009,QMS
QI-0000153,RUN-000153,WO-000077,PRD-039,MCH-011,2025-08-06 11:16:44,100,1,SOLDER_VOID,,5.1337,10.16,10.4,pass,INS-002,QMS
QI-0000154,RUN-000154,WO-000077,PRD-039,MCH-008,2025-08-06 14:18:28,80,1,SOLDER_VOID,10.2514,5.2085,10.16,10.4,pass,INS-011,QMS
QI-0000155,RUN-000155,WO-000078,PRD-042,MCH-016,2025-08-06 13:25:46,50,0,NONE,10.0995,5.0402,9.95,10.19,pass,INS-012,QMS
QI-0000156,RUN-000156,WO-000078,PRD-042,MCH-014,2025-08-06 17:55:32,125,2,SCRATCH,10.0798,5.061,9.95,10.19,pass,INS-002,QMS
QI-0000157,RUN-000157,WO-000079,PRD-042,MCH-018,2025-08-06 23:17:12,80,1,CONTAMINATION,10.0661,5.0228,9.95,10.19,pass,INS-013,QMS
QI-0000158,RUN-000158,WO-000079,PRD-042,MCH-016,2025-08-07 03:18:24,100,3,DIMENSION,10.0488,5.0714,9.95,10.19,pass,INS-016,QMS
