sales_order_id,late_delivery_flag,delay_days,root_cause,material_shortage_flag,quality_hold_flag,production_delay_days
SO-000090,1,1,production_delay,0,0,1
SO-000091,1,7,logistics,0,0,6
SO-000092,1,6,production_delay,0,0,6
SO-000093,1,5,production_delay,0,0,4
SO-000094,1,5,quality_hold,0,0,4
SO-000095,1,10,production_delay,0,1,10
SO-000096,0,0,on_time,0,0,0
SO-000097,1,4,quality_hold,0,0,4
SO-000098,1,6,production_delay,0,0,6
SO-000099,0,0,on_time,0,0,-1
SO-000100,1,11,production_delay,1,0,11
SO-000101,0,0,on_time,0,0,-1
SO-000102,1,3,production_delay,0,0,2
SO-000103,1,1,quality_hold,0,0,1
SO-000104,1,1,logistics,0,0,1
SO-000105,0,0,on_time,0,0,-1
SO-000106,1,8,logistics,0,0,7
SO-000107,1,8,production_delay,0,0,6
SO-000108,1,4,production_delay,0,0,6
SO-000109,0,0,on_time,0,0,-1
SO-000110,1,4,production_delay,0,0,4
SO-000111,1,2,logistics,0,0,1
SO-000112,1,7,production_delay,0,0,6
SO-000113,1,2,logistics,0,0,0
SO-000114,1,4,production_delay,0,0,4
SO-000115,0,0,on_time,0,0,0
SO-000116,1,2,production_delay,0,0,2
SO-000117,1,5,production_delay,0,0,5
SO-000119,1,1,logistics,0,0,1
SO-000120,1,8,logistics,1,0,9
SO-000121,0,0,on_time,0,0,0
SO-000122,1,6,production_delay,0,0,6
SO-000123,0,0,on_time,0,0,1
SO-000124,1,9,production_delay,1,0,10
SO-000125,1,3,material_shortage,0,0,2
SO-000126,1,3,production_delay,0,0,3
SO-000127,0,0,on_time,0,0,-1
SO-000128,1,5,material_shortage,0,1,5
SO-000129,1,1,logistics,0,0,2
SO-000130,1,7,quality_hold,0,0,7
SO-000131,1,1,logistics,0,0,1
SO-000132,1,3,material_shortage,0,1,3
SO-000134,1,6,production_delay,1,0,7
SO-000136,1,5,material_shortage,0,0,3
SO-000137,1,6,quality_hold,0,0,4
SO-000138,1,5,logistics,0,0,5
SO-000139,1,8,logistics,0,0,7
SO-000140,0,0,on_time,0,0,-1
SO-000141,0,0,on_time,0,0,0
SO-000142,0,0,on_time,0,0,0
SO-000143,1,10,material_shortage,1,1,12
SO-000144,0,0,on_time,0,0,0
SO-000145,1,4,production_delay,0,0,6
SO-000146,1,1,production_delay,0,0,0
SO-000147,1,2,production_delay,0,0,2
SO-000149,1,8,material_shortage,0,0,7
SO-000151,1,5,quality_hold,1,1,6
SO-000152,0,0,on_time,0,0,0
SO-000153,1,7,production_delay,0,0,6
SO-000154,1,3,material_shortage,0,0,2
SO-000155,1,5,quality_hold,0,1,5
SO-000156,1,3,logistics,0,0,3
SO-000157,1,1,logistics,0,0,2
SO-000158,1,1,production_delay,0,0,0
SO-000160,1,6,quality_hold,0,0,4
SO-000161,1,5,quality_hold,0,0,5
SO-000162,1,3,logistics,0,0,3
SO-000163,1,2,quality_hold,0,0,4
SO-000164,1,4,logistics,0,0,6
SO-000166,1,7,quality_hold,0,0,7
SO-000167,1,2,logistics,0,0,1
SO-000168,1,5,production_delay,0,0,7
SO-000169,1,4,production_delay,0,0,5
SO-000170,1,3,logistics,0,1,4
SO-000171,1,6,production_delay,0,1,7
SO-000172,0,0,on_time,0,0,1
SO-000173,1,7,quality_hold,0,0,6
SO-000174,0,0,on_time,0,0,-1
SO-000175,1,6,production_delay,0,0,6
SO-000176,1,7,production_delay,0,0,5
SO-000177,0,0,on_time,0,0,2
SO-000178,1,8,logistics,1,0,6
SO-000179,1,7,production_delay,0,0,5
SO-000180,0,0,on_time,0,0,0
SO-000181,1,1,material_shortage,0,0,2
SO-000182,1,4,material_shortage,0,0,5
SO-000183,1,1,production_delay,0,0,-1
SO-000184,1,10,logistics,1,0,10
SO-000185,0,0,on_time,0,0,0
SO-000186,1,5,logistics,0,0,3
SO-000187,1,2,logistics,0,0,0
SO-000188,1,2,production_delay,0,0,2
SO-000189,0,0,on_time,0,0,1
SO-000190,1,3,production_delay,0,0,5
SO-000191,0,0,on_time,0,0,0
SO-000192,1,9,material_shortage,0,0,7
SO-000193,0,0,on_time,0,0,-1
SO-000194,1,5,logistics,0,0,5
SO-000196,1,4,production_delay,0,0,2
SO-000197,1,4,production_delay,0,0,5
SO-000198,0,0,on_time,0,0,1
SO-000199,1,2,logistics,0,0,2
SO-000200,1,5,logistics,0,0,5
SO-000201,0,0,on_time,0,0,1
SO-000202,1,3,production_delay,0,0,5
SO-000203,1,3,quality_hold,0,0,2
SO-000204,1,2,logistics,0,0,0
SO-000205,1,6,production_delay,1,0,6
SO-000206,1,5,logistics,0,0,3
SO-000207,1,8,production_delay,0,1,10
SO-000209,1,1,material_shortage,0,0,3
SO-000210,1,6,production_delay,0,0,6
SO-000211,1,1,logistics,0,0,1
SO-000212,1,6,quality_hold,0,0,4
SO-000213,0,0,on_time,0,0,-1
SO-000214,1,1,logistics,0,0,3
SO-000215,1,4,production_delay,0,0,6
SO-000216,1,7,production_delay,0,0,5
SO-000217,1,1,production_delay,0,0,1
SO-000218,1,9,production_delay,0,1,9
SO-000219,1,8,production_delay,0,0,6
SO-000220,1,9,material_shortage,1,0,8
SO-000221,1,4,production_delay,0,0,6
SO-000223,0,0,on_time,0,0,0
SO-000224,1,9,material_shortage,0,0,7
SO-000225,1,8,production_delay,0,1,7
SO-000226,1,9,quality_hold,0,0,7
SO-000227,1,6,quality_hold,0,0,5
SO-000228,0,0,on_time,0,0,1
SO-000229,1,2,material_shortage,0,0,2
SO-000230,1,8,logistics,0,0,7
SO-000231,1,7,production_delay,0,0,6
SO-000232,0,0,on_time,0,0,1
SO-000233,1,1,logistics,0,0,1
SO-000234,1,3,material_shortage,0,0,2
SO-000235,1,7,production_delay,0,0,5
SO-000236,1,9,production_delay,0,1,7
SO-000237,1,3,quality_hold,0,0,2
SO-000238,1,7,quality_hold,0,0,6
SO-000239,1,8,production_delay,0,1,6
SO-000240,1,4,production_delay,0,0,3
SO-000241,0,0,on_time,0,0,1
SO-000242,1,6,production_delay,0,0,5
SO-000243,1,7,quality_hold,0,0,7
SO-000244,1,7,quality_hold,0,0,5
SO-000245,0,0,on_time,0,0,-1
SO-000246,1,1,logistics,0,0,2
SO-000247,1,8,production_delay,0,0,7
SO-000248,1,1,production_delay,0,0,1
SO-000249,1,7,material_shortage,0,0,7
SO-000250,0,0,on_time,0,0,-1
SO-000251,1,3,quality_hold,0,1,3
SO-000252,1,5,logistics,0,0,5
SO-000253,1,3,production_delay,0,0,1
SO-000254,1,3,quality_hold,0,0,3
SO-000255,0,0,on_time,0,0,0
SO-000256,1,7,production_delay,0,0,7
SO-000257,1,4,quality_hold,0,0,4
SO-000258,1,7,logistics,0,0,7
SO-000259,1,8,production_delay,0,0,7
SO-000260,1,3,material_shortage,0,0,2
SO-000261,1,3,production_delay,0,0,5
SO-000262,0,0,on_time,0,0,0
SO-000263,1,8,logistics,0,0,6
SO-000265,1,5,quality_hold,0,0,5
SO-000266,1,1,production_delay,0,0,1
SO-000267,1,1,production_delay,0,0,-1
SO-000268,1,2,production_delay,0,0,0
SO-000269,0,0,on_time,0,0,-1
SO-000270,1,4,logistics,0,0,5
SO-000271,1,2,logistics,0,0,4
SO-000272,1,2,production_delay,0,0,2
SO-000273,0,0,on_time,0,0,0
SO-000274,1,3,material_shortage,0,0,4
SO-000275,0,0,on_time,0,0,2
SO-000276,1,4,production_delay,0,0,2
SO-000277,1,3,material_shortage,0,0,4
SO-000278,0,0,on_time,0,0,0
SO-000279,1,5,logistics,0,0,5
SO-000280,1,7,quality_hold,0,1,7
SO-000281,1,6,material_shortage,1,0,7
SO-000282,1,2,production_delay,0,0,0
SO-000283,1,3,production_delay,0,0,5
SO-000284,1,1,production_delay,0,0,2
SO-000285,1,7,logistics,0,0,6
SO-000286,1,7,logistics,0,1,5
SO-000287,1,1,production_delay,0,0,3
SO-000288,1,7,production_delay,0,0,7
SO-000289,0,0,on_time,0,0,-1
SO-000290,1,1,production_delay,0,0,1
SO-000291,0,0,on_time,0,0,1
SO-000292,1,6,material_shortage,0,0,6
SO-000294,1,1,production_delay,0,0,0
SO-000295,1,5,logistics,0,0,5
SO-000296,1,4,production_delay,0,0,2
SO-000297,1,4,logistics,0,0,5
SO-000299,1,3,production_delay,0,0,5
SO-000300,0,0,on_time,0,0,1
SO-000301,1,2,production_delay,0,0,2
SO-000302,0,0,on_time,0,0,0
SO-000303,0,0,on_time,0,0,0
SO-000304,1,6,production_delay,0,0,4
SO-000305,0,0,on_time,0,0,0
SO-000306,1,3,production_delay,0,0,5
SO-000307,1,10,quality_hold,0,1,10
SO-000308,1,6,material_shortage,0,0,5
SO-000309,0,0,on_time,0,0,-1
SO-000310,1,2,production_delay,0,0,3
SO-000311,1,4,logistics,0,0,4
SO-000312,1,3,production_delay,0,0,1
SO-000313,1,11,production_delay,0,1,9
SO-000314,1,4,production_delay,0,0,4
SO-000315,0,0,on_time,0,0,1
SO-000316,1,2,production_delay,0,0,4
SO-000317,0,0,on_time,0,0,1
SO-000318,1,2,material_shortage,0,0,2
SO-000319,1,4,production_delay,0,0,3
SO-000320,1,1,material_shortage,0,0,0
SO-000321,1,8,logistics,1,0,6
SO-000322,0,0,on_time,0,0,0
SO-000323,1,7,logistics,0,0,7
SO-000324,1,7,production_delay,0,0,6
SO-000325,0,0,on_time,0,0,-1
SO-000326,1,5,production_delay,0,1,5
SO-000327,1,8,production_delay,0,1,10
SO-000328,1,4,quality_hold,0,0,2
SO-000329,1,5,logistics,0,0,5
SO-000330,1,9,logistics,1,0,8
SO-000331,0,0,on_time,0,0,-1
SO-000332,1,3,production_delay,0,0,1
SO-000333,1,4,production_delay,0,0,4
SO-000334,1,3,production_delay,0,0,2
SO-000335,1,1,logistics,0,0,1
SO-000336,1,2,material_shortage,0,1,4
SO-000337,1,4,quality_hold,0,0,4
SO-000338,1,5,quality_hold,0,0,7
SO-000339,1,5,production_delay,0,0,5
SO-000340,0,0,on_time,0,0,0
SO-000342,0,0,on_time,0,0,-1
SO-000343,1,6,logistics,0,0,5
SO-000344,0,0,on_time,0,0,-1
SO-000345,1,6,production_delay,0,0,6
SO-000346,1,10,production_delay,1,0,9
SO-000347,1,4,material_shortage,0,0,4
SO-000348,1,3,quality_hold,0,0,3
SO-000350,0,0,on_time,0,0,-1
SO-000351,0,0,on_time,0,0,-1
SO-000352,1,5,logistics,0,0,5
SO-000353,1,5,production_delay,0,0,5
SO-000354,1,2,production_delay,0,0,0
SO-000355,1,5,logistics,0,1,6
SO-000356,1,7,production_delay,0,0,7
SO-000357,1,6,production_delay,0,0,6
SO-000358,0,0,on_time,0,0,-1
SO-000359,1,6,quality_hold,0,0,4
SO-000360,0,0,on_time,0,0,-1
SO-000361,1,5,logistics,0,0,6
SO-000362,1,1,production_delay,0,0,3
SO-000363,1,7,production_delay,0,0,6
SO-000364,1,6,logistics,0,0,5
SO-000365,1,5,production_delay,1,0,3
SO-000366,1,6,production_delay,0,0,4
SO-000367,1,4,material_shortage,1,0,5
SO-000368,1,5,material_shortage,0,0,7
SO-000369,1,8,production_delay,0,0,7
SO-000370,1,5,production_delay,0,0,3
SO-000371,1,1,material_shortage,0,0,0
SO-000372,1,1,logistics,0,0,1
SO-000373,1,6,production_delay,0,0,6
SO-000374,1,8,logistics,0,1,9
SO-000375,1,3,production_delay,0,0,1
SO-000376,1,5,production_delay,0,0,7
SO-000377,1,4,production_delay,0,0,3
SO-000378,1,2,production_delay,0,0,0
SO-000379,1,4,production_delay,0,0,3
SO-000380,1,5,production_delay,0,0,5
SO-000381,1,3,production_delay,0,0,5
SO-000382,1,5,quality_hold,0,0,6
SO-000383,1,6,quality_hold,0,0,6
SO-000384,1,6,material_shortage,0,0,7
SO-000385,1,6,material_shortage,0,0,4
SO-000386,1,6,logistics,0,0,4
SO-000387,1,3,logistics,0,0,2
SO-000388,0,0,on_time,0,0,2
SO-000390,1,7,quality_hold,0,0,7
SO-000391,0,0,on_time,0,0,-1
SO-000392,1,4,logistics,0,0,5
SO-000393,1,5,production_delay,0,0,6
SO-000394,1,1,production_delay,0,0,1
SO-000395,1,4,logistics,0,0,4
SO-000396,1,7,production_delay,0,0,6
SO-000397,1,3,production_delay,0,1,3
SO-000398,1,6,production_delay,0,0,5
SO-000399,1,3,production_delay,0,0,4
SO-000400,0,0,on_time,0,0,0
SO-000401,0,0,on_time,0,0,0
SO-000402,1,6,production_delay,0,1,6
SO-000403,1,4,logistics,0,0,3
SO-000404,0,0,on_time,0,0,0
SO-000405,1,4,production_delay,0,0,5
SO-000406,0,0,on_time,0,0,-1
SO-000407,1,2,material_shortage,0,0,1
SO-000408,1,1,quality_hold,0,0,3
SO-000409,0,0,on_time,0,0,-1
SO-000410,1,5,logistics,0,0,5
SO-000411,1,4,quality_hold,0,0,5
SO-000412,1,9,production_delay,0,0,7
SO-000413,1,1,production_delay,0,0,2
SO-000414,1,1,production_delay,0,1,2
SO-000415,1,5,quality_hold,0,1,6
SO-000416,0,0,on_time,0,0,-1
SO-000417,0,0,on_time,0,0,-1
SO-000418,0,0,on_time,0,0,-1
SO-000419,0,0,on_time,0,0,0
SO-000420,1,4,production_delay,0,0,6
SO-000421,0,0,on_time,0,0,-1
SO-000422,1,2,production_delay,0,0,4
SO-000423,0,0,on_time,0,0,0
SO-000424,1,4,production_delay,0,1,6
SO-000425,1,7,logistics,0,0,7
SO-000426,1,1,material_shortage,0,0,2
SO-000427,1,2,material_shortage,0,0,2
SO-000428,0,0,on_time,0,0,1
SO-000429,0,0,on_time,0,0,0
SO-000430,0,0,on_time,0,0,-1
SO-000431,1,2,production_delay,1,0,4
SO-000432,1,3,logistics,0,0,4
SO-000433,1,5,production_delay,0,0,3
SO-000434,1,1,production_delay,0,0,1
SO-000435,1,2,production_delay,0,0,3
SO-000436,1,9,production_delay,1,0,9
SO-000437,1,3,logistics,0,0,5
SO-000438,1,3,production_delay,0,0,2
SO-000439,1,8,production_delay,0,0,7
SO-000440,0,0,on_time,0,0,-1
SO-000441,1,4,production_delay,0,0,2
SO-000442,1,2,logistics,0,0,0
SO-000443,1,3,material_shortage,1,0,3
SO-000444,1,5,logistics,0,0,7
SO-000445,1,3,production_delay,0,0,3
SO-000446,1,4,quality_hold,0,0,5
SO-000447,0,0,on_time,0,0,2
SO-000448,1,6,quality_hold,0,0,6
SO-000450,1,9,production_delay,0,0,7
SO-000451,1,6,quality_hold,0,0,6
SO-000452,1,6,logistics,0,0,6
SO-000453,1,8,logistics,0,0,6
SO-000454,1,1,production_delay,0,0,-1
SO-000455,1,5,quality_hold,0,0,3
SO-000456,1,4,production_delay,0,0,4
SO-000457,1,7,quality_hold,0,0,6
SO-000458,1,7,production_delay,0,0,7
SO-000459,1,10,quality_hold,1,0,11
SO-000460,1,6,material_shortage,0,0,5
SO-000461,0,0,on_time,0,0,0
SO-000462,1,4,production_delay,0,0,4
SO-000463,1,3,material_shortage,0,0,3
SO-000464,1,5,material_shortage,0,0,7
SO-000465,1,12,production_delay,0,1,10
SO-000466,1,5,production_delay,1,0,6
SO-000467,1,1,production_delay,0,0,2
SO-000468,1,4,production_delay,0,0,4
SO-000469,1,5,production_delay,0,0,5
SO-000470,0,0,on_time,0,0,0
SO-000471,1,1,production_delay,0,0,1
SO-000472,1,2,logistics,0,0,3
SO-000473,1,9,production_delay,0,0,7
SO-000474,1,5,production_delay,0,0,5
SO-000475,0,0,on_time,0,0,-1
SO-000476,1,7,material_shortage,0,0,7
SO-000477,1,5,logistics,1,0,6
SO-000478,0,0,on_time,0,0,0
SO-000480,1,2,quality_hold,0,0,4
SO-000482,0,0,on_time,0,0,0
SO-000483,1,7,production_delay,0,0,7
SO-000484,1,5,logistics,0,0,4
SO-000485,1,7,quality_hold,0,0,7
SO-000486,1,5,production_delay,0,0,5
SO-000487,1,6,material_shortage,0,1,7
SO-000488,1,7,logistics,0,0,5
SO-000489,1,3,logistics,0,0,4
SO-000490,1,1,logistics,0,0,1
SO-000491,1,5,logistics,0,0,5
SO-000492,1,3,material_shortage,0,0,3
SO-000493,1,5,logistics,0,0,6
SO-000494,1,8,material_shortage,0,0,6
SO-000495,1,2,production_delay,0,0,2
SO-000496,1,6,production_delay,0,0,6
SO-000497,0,0,on_time,0,0,0
SO-000498,1,2,production_delay,0,0,1
SO-000499,1,3,production_delay,0,0,2
SO-000500,1,4,logistics,0,0,6
SO-000501,1,5,production_delay,0,0,5
SO-000502,1,3,logistics,0,0,5
SO-000503,1,2,logistics,0,0,2
SO-000504,1,7,production_delay,0,0,7
SO-000505,1,1,logistics,0,0,1
SO-000506,1,4,production_delay,0,0,4
SO-000507,1,7,quality_hold,0,0,7
SO-000508,1,6,production_delay,0,0,4
SO-000509,1,7,production_delay,0,0,7
SO-000510,1,4,logistics,0,0,2
SO-000511,1,3,production_delay,0,0,2
SO-000512,1,4,quality_hold,0,0,3
SO-000513,1,3,quality_hold,0,0,2
SO-000514,1,7,production_delay,0,0,7
SO-000515,1,4,material_shortage,0,0,4
SO-000516,1,2,production_delay,0,1,2
SO-000517,1,3,production_delay,0,1,3
SO-000518,1,1,logistics,0,0,0
SO-000519,1,6,quality_hold,0,0,4
SO-000520,1,5,quality_hold,0,0,7
SO-000521,1,6,production_delay,0,0,6
SO-000522,1,5,quality_hold,0,0,3
SO-000523,1,7,logistics,0,0,5
SO-000524,1,9,production_delay,0,0,7
SO-000525,1,12,quality_hold,0,1,10
SO-000526,0,0,on_time,0,0,-1
SO-000527,0,0,on_time,0,0,0
SO-000528,1,4,logistics,0,0,4
SO-000529,1,6,logistics,0,0,5
SO-000530,1,1,logistics,0,0,2
SO-000531,1,5,production_delay,0,0,4
SO-000532,1,6,production_delay,0,0,4
SO-000533,1,7,quality_hold,0,1,8
SO-000534,1,1,production_delay,0,0,2
SO-000535,1,3,production_delay,0,0,3
SO-000536,1,6,material_shortage,0,0,4
SO-000537,0,0,on_time,0,0,0
SO-000538,1,2,material_shortage,0,0,1
SO-000539,1,4,production_delay,0,0,5
SO-000540,1,1,production_delay,0,0,1
SO-000541,1,3,production_delay,0,0,4
SO-000542,1,4,production_delay,0,0,6
SO-000543,0,0,on_time,0,0,-1
SO-000544,1,6,production_delay,0,0,5
SO-000545,0,0,on_time,0,0,0
SO-000546,1,5,production_delay,0,0,5
SO-000547,1,5,logistics,0,0,5
SO-000548,1,2,quality_hold,0,0,1
SO-000549,1,10,material_shortage,1,0,10
SO-000550,0,0,on_time,0,0,1
SO-000551,1,9,production_delay,1,0,9
SO-000552,1,4,quality_hold,0,0,3
SO-000553,1,9,material_shortage,1,0,9
SO-000554,1,3,production_delay,0,0,2
SO-000555,0,0,on_time,0,0,-1
SO-000556,1,5,logistics,0,0,4
SO-000557,0,0,on_time,0,0,0
SO-000559,0,0,on_time,0,0,-1
SO-000560,1,3,production_delay,0,0,1
SO-000561,0,0,on_time,0,0,1
SO-000562,0,0,on_time,0,0,0
SO-000563,0,0,on_time,0,0,-1
SO-000564,1,9,production_delay,0,0,7
SO-000565,1,9,logistics,0,0,7
SO-000566,0,0,on_time,0,0,1
SO-000567,1,1,logistics,0,0,0
SO-000568,1,7,quality_hold,0,0,5
SO-000569,1,1,production_delay,0,0,3
SO-000570,1,4,quality_hold,0,0,6
SO-000571,0,0,on_time,0,0,-1
SO-000572,1,4,production_delay,0,0,4
SO-000573,1,1,logistics,0,0,3
SO-000574,1,1,production_delay,0,0,3
SO-000575,1,4,logistics,0,0,5
SO-000577,1,3,logistics,0,0,1
SO-000578,1,4,production_delay,0,0,5
SO-000579,1,3,production_delay,0,1,2
SO-000580,1,3,production_delay,0,0,3
SO-000581,1,3,material_shortage,0,0,1
SO-000582,0,0,on_time,0,0,-1
SO-000583,0,0,on_time,0,0,0
SO-000584,1,4,production_delay,0,0,4
SO-000585,0,0,on_time,0,0,1
SO-000586,1,7,material_shortage,0,0,7
SO-000587,1,5,material_shortage,0,0,7
SO-000588,0,0,on_time,0,0,1
SO-000589,0,0,on_time,0,0,0
SO-000590,1,8,logistics,0,1,9
SO-000591,0,0,on_time,0,0,2
SO-000592,1,3,logistics,0,0,4
SO-000593,0,0,on_time,0,0,2
SO-000594,1,6,logistics,0,0,6
SO-000595,1,4,quality_hold,0,0,4
SO-000596,0,0,on_time,0,0,1
SO-000597,1,4,production_delay,1,0,6
SO-000598,0,0,on_time,0,0,-1
SO-000599,0,0,on_time,0,0,0
SO-000600,1,3,logistics,0,0,4
SO-000601,1,5,production_delay,0,0,5
SO-000602,1,2,logistics,0,0,2
SO-000603,0,0,on_time,0,0,-1
SO-000604,1,1,logistics,0,0,3
SO-000605,1,2,production_delay,0,0,2
SO-000606,1,9,production_delay,0,1,7
SO-000607,1,3,logistics,0,0,4
SO-000608,0,0,on_time,0,0,0
SO-000609,1,7,logistics,0,0,7
SO-000610,1,2,production_delay,0,0,4
SO-000611,1,2,logistics,0,0,2
SO-000612,1,1,logistics,0,0,0
SO-000613,1,2,quality_hold,0,0,4
SO-000614,1,2,production_delay,0,0,3
SO-000615,1,3,material_shortage,0,0,5
SO-000617,1,4,production_delay,0,0,4
SO-000618,0,0,on_time,0,0,0
SO-000619,1,1,production_delay,0,0,2
SO-000620,1,4,logistics,0,0,5
SO-000621,0,0,on_time,0,0,-1
SO-000622,1,1,quality_hold,0,0,1
SO-000623,1,8,logistics,0,1,6
SO-000624,1,3,production_delay,0,0,3
SO-000625,1,4,logistics,0,0,6
SO-000626,0,0,on_time,0,0,-1
SO-000627,1,8,production_delay,0,0,6
SO-000628,1,5,logistics,0,0,4
SO-000629,1,3,production_delay,0,0,2
SO-000630,1,5,production_delay,1,0,7
SO-000631,1,4,logistics,0,0,6
SO-000632,1,1,production_delay,0,0,1
SO-000633,0,0,on_time,0,0,-1
SO-000634,1,1,logistics,0,0,0
SO-000635,1,3,logistics,0,0,1
SO-000636,1,5,logistics,1,0,5
SO-000637,0,0,on_time,0,0,-1
SO-000638,1,2,logistics,0,0,4
SO-000640,1,6,production_delay,0,0,6
SO-000641,1,1,material_shortage,0,0,0
SO-000642,1,7,production_delay,0,0,5
SO-000643,1,1,production_delay,0,0,1
SO-000644,1,4,logistics,0,1,2
SO-000645,1,2,material_shortage,0,0,2
SO-000646,1,5,production_delay,0,0,5
SO-000647,1,2,quality_hold,0,1,3
SO-000648,1,5,production_delay,0,0,3
SO-000649,1,4,production_delay,0,0,2
SO-000650,1,6,quality_hold,0,0,7
SO-000651,1,5,quality_hold,0,1,5
SO-000652,1,4,material_shortage,0,0,4
SO-000653,1,3,material_shortage,0,0,3
SO-000654,1,1,production_delay,0,0,1
SO-000655,1,5,production_delay,0,0,5
SO-000656,1,9,production_delay,0,0,7
SO-000657,0,0,on_time,0,1,2
SO-000658,0,0,on_time,0,0,0
SO-000659,0,0,on_time,0,0,-1
SO-000660,1,5,logistics,0,1,4
SO-000661,1,2,production_delay,0,0,2
SO-000662,0,0,on_time,0,0,1
SO-000663,1,3,production_delay,0,0,5
SO-000664,0,0,on_time,0,0,0
SO-000665,1,3,production_delay,0,0,3
SO-000666,0,0,on_time,0,0,0
SO-000667,1,1,quality_hold,0,0,2
SO-000668,1,2,material_shortage,0,0,2
SO-000669,1,9,quality_hold,0,1,9
SO-000670,1,6,material_shortage,1,0,5
SO-000671,1,10,quality_hold,0,1,8
SO-000672,0,0,on_time,0,0,-1
SO-000673,1,6,production_delay,0,0,4
SO-000674,1,9,quality_hold,0,0,7
SO-000675,0,0,on_time,0,0,2
SO-000676,0,0,on_time,0,0,0
SO-000677,1,7,production_delay,0,0,5
SO-000678,1,3,production_delay,0,0,2
SO-000679,1,9,quality_hold,0,1,8
SO-000680,0,0,on_time,0,0,0
SO-000681,1,3,production_delay,0,0,2
SO-000682,1,10,production_delay,0,1,9
SO-000683,1,6,material_shortage,0,0,5
SO-000684,1,5,logistics,0,0,7
SO-000685,0,0,on_time,0,0,-1
SO-000686,0,0,on_time,0,0,0
SO-000687,1,7,production_delay,0,0,7
SO-000688,1,4,production_delay,0,0,4
SO-000689,1,5,production_delay,0,0,7
SO-000690,1,3,production_delay,0,0,3
SO-000691,1,6,production_delay,0,0,4
SO-000692,1,6,production_delay,0,0,5
