run_id,defect_rate,high_defect_risk,dominant_defect_code,risk_prob
RUN-000203,0.0875,1,DIMENSION,0.2904
RUN-000204,0.032,0,SCRATCH,0.257
RUN-000205,0.05,0,SOLDER_VOID,0.2319
RUN-000206,0.024,0,CONTAMINATION,0.1044
RUN-000207,0.025,0,SOLDER_VOID,0.1763
RUN-000208,0.04,0,SOLDER_VOID,0.1382
RUN-000209,0.0,0,NONE,0.0906
RUN-000210,0.03,0,CONTAMINATION,0.1245
RUN-000211,0.0375,0,CONTAMINATION,0.1427
RUN-000212,0.025,0,SOLDER_VOID,0.1489
RUN-000213,0.056,1,NONE,0.2161
RUN-000214,0.045,0,SOLDER_VOID,0.2202
RUN-000215,0.04,0,DIMENSION,0.2715
RUN-000216,0.06,1,DIMENSION,0.2731
RUN-000217,0.02,0,SCRATCH,0.1923
RUN-000218,0.0375,0,DIMENSION,0.2909
RUN-000219,0.048,0,SCRATCH,0.2909
RUN-000220,0.024,0,DIMENSION,0.2239
RUN-000221,0.05,0,DIMENSION,0.4118
RUN-000222,0.125,1,DIMENSION,0.7365
RUN-000223,0.12,1,CONTAMINATION,0.7514
RUN-000224,0.104,1,SOLDER_VOID,0.6446
RUN-000225,0.05,0,SURFACE_DENT,0.2655
RUN-000226,0.04,0,CONTAMINATION,0.1443
RUN-000227,0.05,0,SURFACE_DENT,0.171
RUN-000228,0.016,0,SOLDER_VOID,0.1802
RUN-000229,0.035,0,MISSING_PART,0.1835
RUN-000230,0.03,0,DIMENSION,0.1537
RUN-000231,0.02,0,DIMENSION,0.1788
RUN-000232,0.03,0,SCRATCH,0.1146
RUN-000233,0.1,1,SOLDER_VOID,0.5037
RUN-000234,0.06,1,DIMENSION,0.5087
RUN-000235,0.1,1,SOLDER_VOID,0.5147
RUN-000236,0.07,1,SOLDER_VOID,0.4628
RUN-000237,0.088,1,CONTAMINATION,0.492
RUN-000238,0.09,1,DIMENSION,0.4828
RUN-000239,0.01,0,SOLDER_VOID,0.0596
RUN-000240,0.02,0,DIMENSION,0.0542
RUN-000241,0.12,1,SURFACE_DENT,0.8095
RUN-000242,0.14,1,SCRATCH,0.8367
RUN-000243,0.025,0,SOLDER_VOID,0.0585
RUN-000244,0.04,0,SCRATCH,0.1862
RUN-000245,0.0,0,NONE,0.0455
RUN-000246,0.032,0,DIMENSION,0.0411
RUN-000247,0.02,0,SCRATCH,0.0221
RUN-000248,0.02,0,SCRATCH,0.0462
RUN-000249,0.04,0,DIMENSION,0.0579
RUN-000250,0.02,0,MISSING_PART,0.0407
RUN-000251,0.064,1,DIMENSION,0.447
RUN-000252,0.0625,1,DIMENSION,0.447
RUN-000253,0.115,1,SURFACE_DENT,0.5861
RUN-000254,0.1,1,SOLDER_VOID,0.6094
RUN-000255,0.065,1,CONTAMINATION,0.4886
RUN-000256,0.08,1,DIMENSION,0.4746
RUN-000257,0.02,0,DIMENSION,0.2202
RUN-000258,0.025,0,MISSING_PART,0.183
RUN-000259,0.03,0,SOLDER_VOID,0.055
RUN-000260,0.0,0,NONE,0.0317
RUN-000261,0.06,1,CONTAMINATION,0.3002
RUN-000262,0.06,1,SCRATCH,0.1763
RUN-000263,0.09,1,MISSING_PART,0.5229
RUN-000264,0.08,1,DIMENSION,0.4709
RUN-000265,0.04,0,SCRATCH,0.1103
RUN-000266,0.02,0,SOLDER_VOID,0.105
RUN-000267,0.04,1,SCRATCH,0.2636
RUN-000268,0.05,0,CONTAMINATION,0.2831
RUN-000269,0.0,0,NONE,0.0475
RUN-000270,0.025,0,DIMENSION,0.0269
RUN-000271,0.01,0,DIMENSION,0.0613
RUN-000272,0.02,0,SURFACE_DENT,0.0542
RUN-000273,0.03,0,DIMENSION,0.2008
RUN-000274,0.048,0,CONTAMINATION,0.1995
RUN-000275,0.024,0,DIMENSION,0.1483
RUN-000276,0.04,0,SOLDER_VOID,0.1366
RUN-000277,0.008,0,SCRATCH,0.0631
RUN-000278,0.032,0,SCRATCH,0.055
RUN-000279,0.0,0,NONE,0.0402
RUN-000280,0.0,0,NONE,0.0377
RUN-000281,0.0,0,NONE,0.0201
RUN-000282,0.0125,0,SURFACE_DENT,0.0443
RUN-000283,0.025,0,DIMENSION,0.1236
RUN-000284,0.035,0,NONE,0.1323
RUN-000285,0.03,0,DIMENSION,0.1694
RUN-000286,0.04,0,CONTAMINATION,0.2585
RUN-000287,0.06,1,SCRATCH,0.292
RUN-000288,0.05,0,SOLDER_VOID,0.2616
RUN-000289,0.005,0,NONE,0.0136
RUN-000290,0.02,0,DIMENSION,0.0293
RUN-000291,0.0,0,NONE,0.0276
RUN-000292,0.02,0,DIMENSION,0.0089
RUN-000293,0.025,0,SOLDER_VOID,0.2283
RUN-000294,0.0,0,NONE,0.0694
RUN-000295,0.03,1,SURFACE_DENT,0.2342
RUN-000296,0.032,0,DIMENSION,0.2097
RUN-000297,0.055,1,DIMENSION,0.2364
RUN-000298,0.025,0,SURFACE_DENT,0.1008
RUN-000299,0.0,0,NONE,0.0201
RUN-000300,0.025,0,DIMENSION,0.0332
RUN-000301,0.08,1,SCRATCH,0.4352
RUN-000302,0.04,0,SCRATCH,0.2808
RUN-000303,0.03,0,DIMENSION,0.0392
RUN-000304,0.04,0,SURFACE_DENT,0.0342
RUN-000305,0.1,1,SCRATCH,0.7509
RUN-000306,0.11,1,SCRATCH,0.7206
RUN-000307,0.14,1,DIMENSION,0.756
RUN-000308,0.12,1,CONTAMINATION,0.7715
RUN-000309,0.11,1,DIMENSION,0.7506
RUN-000310,0.13,1,SURFACE_DENT,0.7141
RUN-000311,0.0125,0,SURFACE_DENT,0.1091
RUN-000312,0.04,0,SURFACE_DENT,0.1261
RUN-000313,0.01,0,SCRATCH,0.0866
RUN-000314,0.024,0,CONTAMINATION,0.1076
RUN-000315,0.056,1,SOLDER_VOID,0.2876
RUN-000316,0.024,0,CONTAMINATION,0.181
RUN-000317,0.075,1,DIMENSION,0.4918
RUN-000318,0.05,0,SURFACE_DENT,0.4148
RUN-000319,0.1,1,SCRATCH,0.4898
RUN-000320,0.09,1,SOLDER_VOID,0.6671
RUN-000321,0.075,1,SOLDER_VOID,0.3691
RUN-000322,0.06,1,DIMENSION,0.4013
RUN-000323,0.06,1,SURFACE_DENT,0.3954
RUN-000324,0.045,0,MISSING_PART,0.3838
RUN-000325,0.06,1,MISSING_PART,0.3782
RUN-000326,0.06,1,MISSING_PART,0.4046
RUN-000327,0.05,0,SURFACE_DENT,0.4145
RUN-000328,0.06,1,DIMENSION,0.4415
RUN-000329,0.12,1,SOLDER_VOID,0.6484
RUN-000330,0.1,1,DIMENSION,0.6804
RUN-000331,0.1125,1,NONE,0.6955
RUN-000332,0.096,1,SOLDER_VOID,0.6647
RUN-000333,0.072,1,SOLDER_VOID,0.4216
RUN-000334,0.075,1,SCRATCH,0.4216
RUN-000335,0.06,1,SURFACE_DENT,0.3082
RUN-000336,0.056,1,SCRATCH,0.2827
RUN-000337,0.05,0,MISSING_PART,0.2425
RUN-000338,0.032,0,SOLDER_VOID,0.2025
RUN-000339,0.06,1,SURFACE_DENT,0.2779
RUN-000340,0.045,0,MISSING_PART,0.2626
RUN-000341,0.04,0,SOLDER_VOID,0.1523
RUN-000342,0.045,0,MISSING_PART,0.2572
RUN-000343,0.064,1,MISSING_PART,0.3655
RUN-000344,0.045,0,SURFACE_DENT,0.3208
RUN-000345,0.06,1,DIMENSION,0.2696
RUN-000346,0.035,0,SOLDER_VOID,0.2364
RUN-000347,0.04,1,SURFACE_DENT,0.2647
RUN-000348,0.04,0,SOLDER_VOID,0.2647
RUN-000349,0.05,0,MISSING_PART,0.2773
RUN-000350,0.06,1,NONE,0.2616
RUN-000351,0.1,1,CONTAMINATION,0.7093
RUN-000352,0.11,1,SCRATCH,0.6949
RUN-000353,0.016,0,MISSING_PART,0.1984
RUN-000354,0.02,0,SURFACE_DENT,0.184
RUN-000355,0.064,1,CONTAMINATION,0.2211
RUN-000356,0.04,0,DIMENSION,0.181
RUN-000357,0.085,1,CONTAMINATION,0.4628
RUN-000358,0.06,1,DIMENSION,0.3811
RUN-000359,0.0875,1,SURFACE_DENT,0.5586
RUN-000360,0.1,1,SOLDER_VOID,0.535
RUN-000361,0.05,0,SURFACE_DENT,0.189
RUN-000362,0.035,0,SURFACE_DENT,0.2202
RUN-000363,0.088,1,DIMENSION,0.5428
RUN-000364,0.0875,1,SOLDER_VOID,0.3869
RUN-000365,0.016,0,CONTAMINATION,0.0607
RUN-000366,0.035,0,SOLDER_VOID,0.1274
RUN-000367,0.02,0,SOLDER_VOID,0.1375
RUN-000368,0.016,0,SCRATCH,0.0811
RUN-000369,0.03,0,SCRATCH,0.1358
RUN-000370,0.025,0,SOLDER_VOID,0.0442
RUN-000371,0.075,1,SOLDER_VOID,0.522
RUN-000372,0.08,1,SURFACE_DENT,0.4056
RUN-000373,0.06,1,SOLDER_VOID,0.5585
RUN-000374,0.08,1,SCRATCH,0.518
RUN-000375,0.06,1,SOLDER_VOID,0.3725
RUN-000376,0.05,0,SCRATCH,0.3725
RUN-000377,0.032,0,MISSING_PART,0.3172
RUN-000378,0.024,0,CONTAMINATION,0.1659
RUN-000379,0.06,1,SCRATCH,0.2925
RUN-000380,0.0375,0,DIMENSION,0.2794
RUN-000381,0.04,0,SURFACE_DENT,0.2344
RUN-000382,0.0625,1,DIMENSION,0.1556
RUN-000383,0.05,0,DIMENSION,0.2261
RUN-000384,0.04,0,SCRATCH,0.1727
RUN-000385,0.02,0,DIMENSION,0.1741
RUN-000386,0.0375,0,MISSING_PART,0.1707
RUN-000387,0.015,0,CONTAMINATION,0.0611
RUN-000388,0.025,0,SURFACE_DENT,0.101
RUN-000389,0.064,1,SOLDER_VOID,0.3935
RUN-000390,0.04,0,CONTAMINATION,0.3667
RUN-000391,0.06,1,NONE,0.3991
RUN-000392,0.03,0,MISSING_PART,0.2109
RUN-000393,0.045,0,SURFACE_DENT,0.341
RUN-000394,0.03,0,SURFACE_DENT,0.1258
RUN-000395,0.03,0,MISSING_PART,0.1622
RUN-000396,0.016,0,SOLDER_VOID,0.1689
RUN-000397,0.055,1,DIMENSION,0.4184
RUN-000398,0.04,0,SCRATCH,0.2498
RUN-000399,0.04,0,SCRATCH,0.1822
RUN-000400,0.04,0,CONTAMINATION,0.2376
RUN-000401,0.04,0,DIMENSION,0.1073
RUN-000402,0.016,0,CONTAMINATION,0.0959
RUN-000403,0.065,1,SOLDER_VOID,0.2009
RUN-000404,0.05,0,SURFACE_DENT,0.2292
RUN-000405,0.008,0,SCRATCH,0.1084
RUN-000406,0.0125,0,SURFACE_DENT,0.118
RUN-000407,0.02,0,DIMENSION,0.1609
RUN-000408,0.025,0,DIMENSION,0.0754
RUN-000409,0.02,0,SCRATCH,0.1016
RUN-000410,0.025,0,DIMENSION,0.1642
RUN-000411,0.04,0,DIMENSION,0.1404
RUN-000412,0.04,0,SURFACE_DENT,0.2197
RUN-000413,0.06,1,SURFACE_DENT,0.3991
RUN-000414,0.06,1,MISSING_PART,0.3632
RUN-000415,0.056,1,SOLDER_VOID,0.4087
RUN-000416,0.0625,1,SURFACE_DENT,0.3029
RUN-000417,0.105,1,DIMENSION,0.5606
RUN-000418,0.08,1,SOLDER_VOID,0.5579
RUN-000419,0.075,1,SURFACE_DENT,0.4102
RUN-000420,0.1,1,CONTAMINATION,0.4068
RUN-000421,0.05,0,DIMENSION,0.2608
RUN-000422,0.075,1,DIMENSION,0.3799
RUN-000423,0.056,1,SURFACE_DENT,0.4052
RUN-000424,0.055,1,MISSING_PART,0.3743
RUN-000425,0.06,1,SCRATCH,0.4752
RUN-000426,0.088,1,SOLDER_VOID,0.5192
RUN-000427,0.05,0,MISSING_PART,0.2652
RUN-000428,0.08,1,DIMENSION,0.5391
RUN-000429,0.096,1,DIMENSION,0.5682
RUN-000430,0.08,1,DIMENSION,0.5898
RUN-000431,0.03,0,SOLDER_VOID,0.1453
RUN-000432,0.0375,0,SCRATCH,0.1253
RUN-000433,0.0125,0,DIMENSION,0.1524
RUN-000434,0.032,0,DIMENSION,0.1093
RUN-000435,0.06,1,SOLDER_VOID,0.2838
RUN-000436,0.0125,0,NONE,0.174
RUN-000437,0.12,1,SCRATCH,0.7397
RUN-000438,0.12,1,SCRATCH,0.7111
RUN-000439,0.0875,1,SOLDER_VOID,0.5331
RUN-000440,0.1,1,SCRATCH,0.6245
RUN-000441,0.065,1,SURFACE_DENT,0.5132
RUN-000442,0.104,1,SCRATCH,0.691
RUN-000443,0.01,0,CONTAMINATION,0.158
RUN-000444,0.0,0,NONE,0.158
RUN-000445,0.04,0,CONTAMINATION,0.1713
RUN-000446,0.03,0,DIMENSION,0.1658
RUN-000447,0.01,0,SCRATCH,0.0851
RUN-000448,0.02,0,MISSING_PART,0.169
RUN-000449,0.08,1,DIMENSION,0.4372
RUN-000450,0.104,1,SCRATCH,0.4699
RUN-000451,0.016,0,CONTAMINATION,0.0471
RUN-000452,0.032,0,CONTAMINATION,0.0471
RUN-000453,0.08,1,DIMENSION,0.4848
RUN-000454,0.08,1,SCRATCH,0.4968
RUN-000455,0.06,1,SCRATCH,0.2008
RUN-000456,0.08,1,SCRATCH,0.3375
RUN-000457,0.032,0,SCRATCH,0.0758
RUN-000458,0.02,0,DIMENSION,0.0705
RUN-000459,0.06,1,SURFACE_DENT,0.3576
RUN-000460,0.08,1,MISSING_PART,0.445
RUN-000461,0.032,0,SURFACE_DENT,0.194
RUN-000462,0.025,0,SOLDER_VOID,0.1978
RUN-000463,0.04,0,MISSING_PART,0.3003
RUN-000464,0.055,1,DIMENSION,0.2604
RUN-000465,0.0625,1,SOLDER_VOID,0.3477
RUN-000466,0.07,1,SOLDER_VOID,0.4285
RUN-000467,0.024,0,CONTAMINATION,0.1109
RUN-000468,0.0,0,NONE,0.0855
RUN-000469,0.04,0,CONTAMINATION,0.1711
RUN-000470,0.0125,0,SURFACE_DENT,0.1237
RUN-000471,0.02,0,SURFACE_DENT,0.1723
RUN-000472,0.02,0,SOLDER_VOID,0.1746
RUN-000473,0.0125,0,SURFACE_DENT,0.0759
RUN-000474,0.0,0,NONE,0.0864
RUN-000475,0.02,0,SCRATCH,0.1964
RUN-000476,0.072,1,SCRATCH,0.2493
RUN-000477,0.055,1,CONTAMINATION,0.2385
RUN-000478,0.04,0,SOLDER_VOID,0.2077
RUN-000479,0.03,0,SCRATCH,0.2865
RUN-000480,0.05,0,SCRATCH,0.1091
RUN-000481,0.0125,0,SOLDER_VOID,0.1609
RUN-000482,0.03,0,SURFACE_DENT,0.1609
RUN-000483,0.024,0,SCRATCH,0.1453
RUN-000484,0.025,0,MISSING_PART,0.1197
RUN-000485,0.04,0,NONE,0.2734
RUN-000486,0.03,0,SOLDER_VOID,0.1727
RUN-000487,0.0375,0,SOLDER_VOID,0.1153
RUN-000488,0.0,0,NONE,0.1009
RUN-000489,0.06,1,SOLDER_VOID,0.2235
RUN-000490,0.025,0,CONTAMINATION,0.2479
RUN-000491,0.0,0,NONE,0.0815
RUN-000492,0.025,0,DIMENSION,0.1711
RUN-000493,0.025,0,MISSING_PART,0.257
RUN-000494,0.06,1,CONTAMINATION,0.2874
RUN-000495,0.04,0,SURFACE_DENT,0.3742
RUN-000496,0.064,1,SCRATCH,0.4014
RUN-000497,0.02,0,SOLDER_VOID,0.1427
RUN-000498,0.05,0,SURFACE_DENT,0.2454
RUN-000499,0.016,0,SOLDER_VOID,0.0581
RUN-000500,0.02,0,SOLDER_VOID,0.1251
RUN-000501,0.05,0,CONTAMINATION,0.2954
RUN-000502,0.05,0,DIMENSION,0.2904
RUN-000503,0.04,0,DIMENSION,0.325
RUN-000504,0.1,1,SOLDER_VOID,0.4924
RUN-000505,0.0375,0,NONE,0.1606
RUN-000506,0.06,1,NONE,0.2629
RUN-000507,0.048,0,CONTAMINATION,0.3079
RUN-000508,0.0625,1,MISSING_PART,0.2742
RUN-000509,0.04,0,SCRATCH,0.3012
RUN-000510,0.04,0,SCRATCH,0.1787
RUN-000511,0.025,0,SURFACE_DENT,0.1148
RUN-000512,0.025,0,SOLDER_VOID,0.0714
RUN-000513,0.1,1,SOLDER_VOID,0.5227
RUN-000514,0.08,1,DIMENSION,0.5528
RUN-000515,0.1125,1,SCRATCH,0.652
RUN-000516,0.08,1,CONTAMINATION,0.457
RUN-000517,0.12,1,DIMENSION,0.7024
RUN-000518,0.1125,1,SCRATCH,0.73
RUN-000519,0.04,0,SCRATCH,0.3465
RUN-000520,0.07,1,SURFACE_DENT,0.3269
RUN-000521,0.05,0,SURFACE_DENT,0.2053
RUN-000522,0.07,1,SURFACE_DENT,0.3516
RUN-000523,0.06,1,NONE,0.3599
RUN-000524,0.06,1,MISSING_PART,0.2927
RUN-000525,0.04,0,DIMENSION,0.1078
RUN-000526,0.02,0,SCRATCH,0.1738
RUN-000527,0.0,0,NONE,0.024
RUN-000528,0.02,0,SOLDER_VOID,0.043
RUN-000529,0.1125,1,SURFACE_DENT,0.7441
RUN-000530,0.0875,1,SCRATCH,0.5467
RUN-000531,0.0,0,NONE,0.0264
RUN-000532,0.0,0,NONE,0.044
RUN-000533,0.008,0,SCRATCH,0.0483
RUN-000534,0.02,0,SCRATCH,0.0431
