table_name,relative_path,column_name,data_type_hint,description,sensitive_or_private,suggested_use
entity_relationship_map,00_documentation/entity_relationship_map.csv,from_key,string,From key.,no,analysis/modeling
entity_relationship_map,00_documentation/entity_relationship_map.csv,to_table,string,To table.,no,analysis/modeling
entity_relationship_map,00_documentation/entity_relationship_map.csv,to_key,string,To key.,no,analysis/modeling
entity_relationship_map,00_documentation/entity_relationship_map.csv,relationship,string,Relationship.,no,analysis/modeling
plant_master,01_raw/master/plant_master.csv,plant_id,string,Plant identifier.,no,key/join
plant_master,01_raw/master/plant_master.csv,plant_name,string,Plant name.,no,analysis/modeling
plant_master,01_raw/master/plant_master.csv,region,string,Region.,no,analysis/modeling
plant_master,01_raw/master/plant_master.csv,country,numeric,Country.,no,analysis/modeling
plant_master,01_raw/master/plant_master.csv,timezone,datetime,Timezone.,no,analysis/modeling
plant_master,01_raw/master/plant_master.csv,utc_offset,string,Utc offset.,no,analysis/modeling
plant_master,01_raw/master/plant_master.csv,latitude,string,Latitude.,no,analysis/modeling
plant_master,01_raw/master/plant_master.csv,longitude,string,Longitude.,no,analysis/modeling
plant_master,01_raw/master/plant_master.csv,industry_cluster,string,Industry cluster.,no,analysis/modeling
plant_master,01_raw/master/plant_master.csv,capacity_units_per_day,string,Capacity units per day.,no,analysis/modeling
line_master,01_raw/master/line_master.csv,line_id,string,Production line identifier.,no,key/join
line_master,01_raw/master/line_master.csv,plant_id,string,Plant identifier.,no,key/join
line_master,01_raw/master/line_master.csv,line_name,string,Line name.,no,analysis/modeling
line_master,01_raw/master/line_master.csv,line_type,string,Line type.,no,analysis/modeling
line_master,01_raw/master/line_master.csv,technology_level,string,Technology level.,no,analysis/modeling
line_master,01_raw/master/line_master.csv,shift_pattern,string,Shift pattern.,no,analysis/modeling
line_master,01_raw/master/line_master.csv,design_rate_units_per_hour,numeric,Design rate units per hour.,no,analysis/modeling
line_master,01_raw/master/line_master.csv,commission_date,datetime,Commission date.,no,analysis/modeling
line_master,01_raw/master/line_master.csv,active_flag,numeric,Active flag.,no,analysis/modeling
machine_master,01_raw/master/machine_master.csv,machine_id,string,Machine identifier.,no,key/join
machine_master,01_raw/master/machine_master.csv,plant_id,string,Plant identifier.,no,key/join
machine_master,01_raw/master/machine_master.csv,line_id,string,Production line identifier.,no,key/join
machine_master,01_raw/master/machine_master.csv,machine_name,string,Machine name.,no,analysis/modeling
machine_master,01_raw/master/machine_master.csv,machine_type,string,Machine type.,no,analysis/modeling
machine_master,01_raw/master/machine_master.csv,manufacturer,string,Manufacturer.,no,analysis/modeling
machine_master,01_raw/master/machine_master.csv,install_date,datetime,Install date.,no,analysis/modeling
machine_master,01_raw/master/machine_master.csv,machine_age_years,string,Machine age years.,no,analysis/modeling
machine_master,01_raw/master/machine_master.csv,criticality,string,Criticality.,no,analysis/modeling
machine_master,01_raw/master/machine_master.csv,nominal_speed_rpm,numeric,Nominal speed rpm.,no,analysis/modeling
machine_master,01_raw/master/machine_master.csv,sensor_enabled,string,Sensor enabled.,no,analysis/modeling
machine_master,01_raw/master/machine_master.csv,maintenance_interval_days,numeric,Maintenance interval days.,no,analysis/modeling
machine_master,01_raw/master/machine_master.csv,edge_device_id,string,Edge device id.,no,key/join
machine_master,01_raw/master/machine_master.csv,source_system_machine_code,string,Source system machine code.,no,analysis/modeling
supplier_master,01_raw/master/supplier_master.csv,supplier_id,string,Supplier identifier.,no,key/join
supplier_master,01_raw/master/supplier_master.csv,supplier_name,string,Supplier name.,no,analysis/modeling
supplier_master,01_raw/master/supplier_master.csv,country,numeric,Country.,no,analysis/modeling
supplier_master,01_raw/master/supplier_master.csv,quality_score,numeric,Quality score.,no,analysis/modeling
supplier_master,01_raw/master/supplier_master.csv,lead_time_days,datetime,Lead time days.,no,analysis/modeling
supplier_master,01_raw/master/supplier_master.csv,on_time_rate,datetime,On time rate.,no,analysis/modeling
supplier_master,01_raw/master/supplier_master.csv,risk_rating,string,Risk rating.,no,analysis/modeling
supplier_master,01_raw/master/supplier_master.csv,preferred_flag,numeric,Preferred flag.,no,analysis/modeling
supplier_master,01_raw/master/supplier_master.csv,last_audit_date,datetime,Last audit date.,no,analysis/modeling
product_master,01_raw/master/product_master.csv,product_id,string,Product identifier.,no,key/join
product_master,01_raw/master/product_master.csv,product_name,string,Product name.,no,analysis/modeling
product_master,01_raw/master/product_master.csv,product_family,string,Product family.,no,analysis/modeling
product_master,01_raw/master/product_master.csv,complexity_score,numeric,Complexity score.,no,analysis/modeling
product_master,01_raw/master/product_master.csv,standard_cycle_seconds,string,Standard cycle seconds.,no,analysis/modeling
product_master,01_raw/master/product_master.csv,standard_scrap_rate,numeric,Standard scrap rate.,no,analysis/modeling
product_master,01_raw/master/product_master.csv,standard_energy_kwh_per_unit,numeric,Standard energy kwh per unit.,no,analysis/modeling
product_master,01_raw/master/product_master.csv,primary_supplier_id,string,Primary supplier id.,no,key/join
product_master,01_raw/master/product_master.csv,material_id,string,Material id.,no,key/join
product_master,01_raw/master/product_master.csv,standard_unit_cost,numeric,Standard unit cost.,no,analysis/modeling
product_master,01_raw/master/product_master.csv,list_price,string,List price.,no,analysis/modeling
product_master,01_raw/master/product_master.csv,launch_date,datetime,Launch date.,no,analysis/modeling
product_master,01_raw/master/product_master.csv,active_flag,numeric,Active flag.,no,analysis/modeling
customer_master,01_raw/master/customer_master.csv,customer_id,string,Customer identifier.,no,key/join
customer_master,01_raw/master/customer_master.csv,customer_name,string,Customer name.,no,analysis/modeling
customer_master,01_raw/master/customer_master.csv,region,string,Region.,no,analysis/modeling
customer_master,01_raw/master/customer_master.csv,country,numeric,Country.,no,analysis/modeling
customer_master,01_raw/master/customer_master.csv,customer_segment,string,Customer segment.,no,analysis/modeling
customer_master,01_raw/master/customer_master.csv,priority_level,string,Priority level.,no,analysis/modeling
customer_master,01_raw/master/customer_master.csv,credit_risk_score,numeric,Credit risk score.,no,analysis/modeling
customer_master,01_raw/master/customer_master.csv,created_date,datetime,Created date.,no,analysis/modeling
calendar_master,01_raw/master/calendar_master.csv,date,datetime,Date.,no,analysis/modeling
calendar_master,01_raw/master/calendar_master.csv,year,string,Year.,no,analysis/modeling
calendar_master,01_raw/master/calendar_master.csv,month,string,Month.,no,analysis/modeling
calendar_master,01_raw/master/calendar_master.csv,month_name,string,Month name.,no,analysis/modeling
calendar_master,01_raw/master/calendar_master.csv,week_of_year,string,Week of year.,no,analysis/modeling
calendar_master,01_raw/master/calendar_master.csv,day_of_week,string,Day of week.,no,analysis/modeling
calendar_master,01_raw/master/calendar_master.csv,is_weekend,string,Is weekend.,no,analysis/modeling
calendar_master,01_raw/master/calendar_master.csv,is_holiday,string,Is holiday.,no,analysis/modeling
calendar_master,01_raw/master/calendar_master.csv,fiscal_year,string,Fiscal year.,no,analysis/modeling
data_quality_rules,01_raw/master/data_quality_rules.csv,rule_id,string,Rule id.,no,key/join
data_quality_rules,01_raw/master/data_quality_rules.csv,table_name,string,Table name.,no,analysis/modeling
data_quality_rules,01_raw/master/data_quality_rules.csv,field_name,string,Field name.,no,analysis/modeling
data_quality_rules,01_raw/master/data_quality_rules.csv,rule_description,string,Rule description.,no,analysis/modeling
data_quality_rules,01_raw/master/data_quality_rules.csv,severity,string,Severity.,no,analysis/modeling
data_quality_rules,01_raw/master/data_quality_rules.csv,suggested_action,string,Suggested action.,no,analysis/modeling
sales_order,01_raw/erp/sales_order.csv,sales_order_id,string,Sales order id.,no,key/join
sales_order,01_raw/erp/sales_order.csv,order_line_id,string,Order line id.,no,key/join
sales_order,01_raw/erp/sales_order.csv,customer_id,string,Customer identifier.,no,key/join
sales_order,01_raw/erp/sales_order.csv,product_id,string,Product identifier.,no,key/join
sales_order,01_raw/erp/sales_order.csv,order_date,datetime,Order date.,no,analysis/modeling
sales_order,01_raw/erp/sales_order.csv,requested_delivery_date,datetime,Requested delivery date.,no,analysis/modeling
sales_order,01_raw/erp/sales_order.csv,promised_delivery_date,datetime,Promised delivery date.,no,analysis/modeling
sales_order,01_raw/erp/sales_order.csv,ordered_quantity,numeric,Ordered quantity.,no,analysis/modeling
sales_order,01_raw/erp/sales_order.csv,unit_price,string,Unit price.,no,analysis/modeling
sales_order,01_raw/erp/sales_order.csv,discount_pct,numeric,Discount pct.,no,analysis/modeling
sales_order,01_raw/erp/sales_order.csv,customer_priority,string,Customer priority.,no,analysis/modeling
sales_order,01_raw/erp/sales_order.csv,order_status,string,Order status.,no,analysis/modeling
sales_order,01_raw/erp/sales_order.csv,source_system,string,Originating synthetic business system.,no,analysis/modeling
sales_order,01_raw/erp/sales_order.csv,load_timestamp,datetime,Load timestamp.,no,analysis/modeling
invoice,01_raw/erp/invoice.csv,invoice_id,string,Invoice id.,no,key/join
invoice,01_raw/erp/invoice.csv,sales_order_id,string,Sales order id.,no,key/join
invoice,01_raw/erp/invoice.csv,invoice_date,datetime,Invoice date.,no,analysis/modeling
invoice,01_raw/erp/invoice.csv,customer_id,string,Customer identifier.,no,key/join
invoice,01_raw/erp/invoice.csv,product_id,string,Product identifier.,no,key/join
invoice,01_raw/erp/invoice.csv,quantity,numeric,Quantity.,no,analysis/modeling
invoice,01_raw/erp/invoice.csv,gross_amount,numeric,Gross amount.,no,analysis/modeling
invoice,01_raw/erp/invoice.csv,discount_amount,numeric,Discount amount.,no,analysis/modeling
invoice,01_raw/erp/invoice.csv,net_amount,numeric,Net amount.,no,analysis/modeling
invoice,01_raw/erp/invoice.csv,standard_cost,numeric,Standard cost.,no,analysis/modeling
invoice,01_raw/erp/invoice.csv,margin_amount,numeric,Margin amount.,no,analysis/modeling
invoice,01_raw/erp/invoice.csv,payment_status,string,Payment status.,no,analysis/modeling
inventory_movement,01_raw/erp/inventory_movement.csv,inventory_movement_id,string,Inventory movement id.,no,key/join
inventory_movement,01_raw/erp/inventory_movement.csv,movement_datetime,datetime,Movement datetime.,no,analysis/modeling
inventory_movement,01_raw/erp/inventory_movement.csv,plant_id,string,Plant identifier.,no,key/join
inventory_movement,01_raw/erp/inventory_movement.csv,item_id,string,Item id.,no,key/join
inventory_movement,01_raw/erp/inventory_movement.csv,product_id,string,Product identifier.,no,key/join
inventory_movement,01_raw/erp/inventory_movement.csv,movement_type,string,Movement type.,no,analysis/modeling
inventory_movement,01_raw/erp/inventory_movement.csv,quantity,numeric,Quantity.,no,analysis/modeling
inventory_movement,01_raw/erp/inventory_movement.csv,uom,string,Uom.,no,analysis/modeling
inventory_movement,01_raw/erp/inventory_movement.csv,location_code,string,Location code.,no,analysis/modeling
inventory_movement,01_raw/erp/inventory_movement.csv,source_system,string,Originating synthetic business system.,no,analysis/modeling
production_plan,01_raw/mes/production_plan.csv,plan_id,string,Plan id.,no,key/join
production_plan,01_raw/mes/production_plan.csv,plan_date,datetime,Plan date.,no,analysis/modeling
production_plan,01_raw/mes/production_plan.csv,plant_id,string,Plant identifier.,no,key/join
production_plan,01_raw/mes/production_plan.csv,line_id,string,Production line identifier.,no,key/join
production_plan,01_raw/mes/production_plan.csv,product_id,string,Product identifier.,no,key/join
production_plan,01_raw/mes/production_plan.csv,planned_quantity,numeric,Planned quantity.,no,analysis/modeling
production_plan,01_raw/mes/production_plan.csv,planned_capacity_units,string,Planned capacity units.,no,analysis/modeling
production_plan,01_raw/mes/production_plan.csv,capacity_utilization_plan,string,Capacity utilization plan.,no,analysis/modeling
production_plan,01_raw/mes/production_plan.csv,plan_version,string,Plan version.,no,analysis/modeling
production_plan,01_raw/mes/production_plan.csv,planner_id,string,Planner id.,no,key/join
production_plan,01_raw/mes/production_plan.csv,source_system,string,Originating synthetic business system.,no,analysis/modeling
work_order,01_raw/mes/work_order.csv,work_order_id,string,Manufacturing work order identifier.,no,key/join
work_order,01_raw/mes/work_order.csv,sales_order_id,string,Sales order id.,no,key/join
work_order,01_raw/mes/work_order.csv,plant_id,string,Plant identifier.,no,key/join
work_order,01_raw/mes/work_order.csv,line_id,string,Production line identifier.,no,key/join
work_order,01_raw/mes/work_order.csv,product_id,string,Product identifier.,no,key/join
work_order,01_raw/mes/work_order.csv,planned_start_datetime,datetime,Planned start datetime.,no,analysis/modeling
work_order,01_raw/mes/work_order.csv,planned_end_datetime,datetime,Planned end datetime.,no,analysis/modeling
work_order,01_raw/mes/work_order.csv,actual_start_datetime,datetime,Actual start datetime.,no,analysis/modeling
work_order,01_raw/mes/work_order.csv,actual_end_datetime,datetime,Actual end datetime.,no,analysis/modeling
work_order,01_raw/mes/work_order.csv,planned_quantity,numeric,Planned quantity.,no,analysis/modeling
work_order,01_raw/mes/work_order.csv,actual_quantity,numeric,Actual quantity.,no,analysis/modeling
work_order,01_raw/mes/work_order.csv,rejected_quantity,numeric,Rejected quantity.,no,analysis/modeling
work_order,01_raw/mes/work_order.csv,rework_quantity,numeric,Rework quantity.,no,analysis/modeling
work_order,01_raw/mes/work_order.csv,work_order_status,string,Work order status.,no,analysis/modeling
work_order,01_raw/mes/work_order.csv,priority_level,string,Priority level.,no,analysis/modeling
work_order,01_raw/mes/work_order.csv,operator_team_id,string,Operator team id.,no,key/join
work_order,01_raw/mes/work_order.csv,source_system,string,Originating synthetic business system.,no,analysis/modeling
work_order,01_raw/mes/work_order.csv,load_timestamp,datetime,Load timestamp.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,run_id,string,Production run identifier.,no,key/join
production_run,01_raw/mes/production_run.csv,work_order_id,string,Manufacturing work order identifier.,no,key/join
production_run,01_raw/mes/production_run.csv,machine_id,string,Machine identifier.,no,key/join
production_run,01_raw/mes/production_run.csv,batch_id,string,Batch id.,no,key/join
production_run,01_raw/mes/production_run.csv,run_start_datetime,datetime,Run start datetime.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,run_end_datetime,datetime,Run end datetime.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,input_quantity,numeric,Input quantity.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,output_quantity,numeric,Output quantity.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,scrap_quantity,numeric,Scrap quantity.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,rework_quantity,numeric,Rework quantity.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,setup_minutes,numeric,Setup minutes.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,runtime_minutes,datetime,Runtime minutes.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,idle_minutes,numeric,Idle minutes.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,speed_actual_ppm,numeric,Speed actual ppm.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,speed_standard_ppm,numeric,Speed standard ppm.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,operator_id,string,Operator id.,synthetic_pseudonymous,key/join
production_run,01_raw/mes/production_run.csv,material_lot_id,string,Material lot id.,no,key/join
production_run,01_raw/mes/production_run.csv,run_status,string,Run status.,no,analysis/modeling
production_run,01_raw/mes/production_run.csv,source_system,string,Originating synthetic business system.,no,analysis/modeling
shift_production,01_raw/mes/shift_production.csv,shift_record_id,string,Shift record id.,no,key/join
shift_production,01_raw/mes/shift_production.csv,production_date,datetime,Production date.,no,analysis/modeling
shift_production,01_raw/mes/shift_production.csv,plant_id,string,Plant identifier.,no,key/join
shift_production,01_raw/mes/shift_production.csv,line_id,string,Production line identifier.,no,key/join
shift_production,01_raw/mes/shift_production.csv,shift_id,string,Shift id.,no,key/join
shift_production,01_raw/mes/shift_production.csv,planned_output,string,Planned output.,no,analysis/modeling
shift_production,01_raw/mes/shift_production.csv,good_output,string,Good output.,no,analysis/modeling
shift_production,01_raw/mes/shift_production.csv,scrap_quantity,numeric,Scrap quantity.,no,analysis/modeling
shift_production,01_raw/mes/shift_production.csv,rework_quantity,numeric,Rework quantity.,no,analysis/modeling
shift_production,01_raw/mes/shift_production.csv,runtime_minutes,datetime,Runtime minutes.,no,analysis/modeling
shift_production,01_raw/mes/shift_production.csv,downtime_minutes,datetime,Downtime minutes.,no,analysis/modeling
shift_production,01_raw/mes/shift_production.csv,labor_hours,numeric,Labor hours.,no,analysis/modeling
shift_production,01_raw/mes/shift_production.csv,energy_kwh,numeric,Energy kwh.,no,analysis/modeling
shift_production,01_raw/mes/shift_production.csv,oee_estimate,numeric,Oee estimate.,no,analysis/modeling
shift_production,01_raw/mes/shift_production.csv,supervisor_id,string,Supervisor id.,no,key/join
shift_production,01_raw/mes/shift_production.csv,source_system,string,Originating synthetic business system.,no,analysis/modeling
machine_state_event,01_raw/scada/machine_state_event.csv,event_id,string,Event id.,no,key/join
machine_state_event,01_raw/scada/machine_state_event.csv,machine_id,string,Machine identifier.,no,key/join
machine_state_event,01_raw/scada/machine_state_event.csv,line_id,string,Production line identifier.,no,key/join
machine_state_event,01_raw/scada/machine_state_event.csv,event_start,string,Event start.,no,analysis/modeling
machine_state_event,01_raw/scada/machine_state_event.csv,event_end,string,Event end.,no,analysis/modeling
machine_state_event,01_raw/scada/machine_state_event.csv,state_code,string,State code.,no,analysis/modeling
machine_state_event,01_raw/scada/machine_state_event.csv,reason_code,string,Reason code.,no,analysis/modeling
machine_state_event,01_raw/scada/machine_state_event.csv,operator_id,string,Operator id.,synthetic_pseudonymous,key/join
machine_state_event,01_raw/scada/machine_state_event.csv,linked_work_order_id,string,Linked work order id.,no,key/join
machine_state_event,01_raw/scada/machine_state_event.csv,source_system,string,Originating synthetic business system.,no,analysis/modeling
downtime_event,01_raw/scada/downtime_event.csv,downtime_id,datetime,Downtime id.,no,key/join
downtime_event,01_raw/scada/downtime_event.csv,event_id,string,Event id.,no,key/join
downtime_event,01_raw/scada/downtime_event.csv,machine_id,string,Machine identifier.,no,key/join
downtime_event,01_raw/scada/downtime_event.csv,line_id,string,Production line identifier.,no,key/join
downtime_event,01_raw/scada/downtime_event.csv,downtime_start,datetime,Downtime start.,no,analysis/modeling
downtime_event,01_raw/scada/downtime_event.csv,downtime_end,datetime,Downtime end.,no,analysis/modeling
downtime_event,01_raw/scada/downtime_event.csv,downtime_minutes,datetime,Downtime minutes.,no,analysis/modeling
downtime_event,01_raw/scada/downtime_event.csv,reason_code,string,Reason code.,no,analysis/modeling
downtime_event,01_raw/scada/downtime_event.csv,severity,string,Severity.,no,analysis/modeling
downtime_event,01_raw/scada/downtime_event.csv,linked_work_order_id,string,Linked work order id.,no,key/join
downtime_event,01_raw/scada/downtime_event.csv,recorded_by,string,Recorded by.,no,analysis/modeling
sensor_reading,01_raw/scada/sensor_reading.csv,timestamp,datetime,Event or sensor timestamp.,no,analysis/modeling
sensor_reading,01_raw/scada/sensor_reading.csv,plant_id,string,Plant identifier.,no,key/join
sensor_reading,01_raw/scada/sensor_reading.csv,line_id,string,Production line identifier.,no,key/join
sensor_reading,01_raw/scada/sensor_reading.csv,machine_id,string,Machine identifier.,no,key/join
sensor_reading,01_raw/scada/sensor_reading.csv,sensor_id,string,Sensor id.,no,key/join
sensor_reading,01_raw/scada/sensor_reading.csv,temperature_c,numeric,Temperature c.,no,analysis/modeling
sensor_reading,01_raw/scada/sensor_reading.csv,vibration_mm_s,numeric,Vibration mm s.,no,analysis/modeling
sensor_reading,01_raw/scada/sensor_reading.csv,pressure_bar,numeric,Pressure bar.,no,analysis/modeling
sensor_reading,01_raw/scada/sensor_reading.csv,current_amp,numeric,Current amp.,no,analysis/modeling
sensor_reading,01_raw/scada/sensor_reading.csv,speed_rpm,numeric,Speed rpm.,no,analysis/modeling
sensor_reading,01_raw/scada/sensor_reading.csv,humidity_pct,numeric,Humidity pct.,no,analysis/modeling
sensor_reading,01_raw/scada/sensor_reading.csv,operating_state,string,Operating state.,no,analysis/modeling
sensor_reading,01_raw/scada/sensor_reading.csv,data_quality_flag,numeric,Data quality flag.,no,analysis/modeling
sensor_reading,01_raw/scada/sensor_reading.csv,edge_device_id,string,Edge device id.,no,key/join
sensor_reading,01_raw/scada/sensor_reading.csv,source_system,string,Originating synthetic business system.,no,analysis/modeling
alarm_event,01_raw/scada/alarm_event.csv,alarm_id,string,Alarm id.,no,key/join
alarm_event,01_raw/scada/alarm_event.csv,timestamp,datetime,Event or sensor timestamp.,no,analysis/modeling
alarm_event,01_raw/scada/alarm_event.csv,machine_id,string,Machine identifier.,no,key/join
alarm_event,01_raw/scada/alarm_event.csv,line_id,string,Production line identifier.,no,key/join
alarm_event,01_raw/scada/alarm_event.csv,alarm_code,string,Alarm code.,no,analysis/modeling
alarm_event,01_raw/scada/alarm_event.csv,alarm_severity,string,Alarm severity.,no,analysis/modeling
alarm_event,01_raw/scada/alarm_event.csv,acknowledged_flag,numeric,Acknowledged flag.,no,analysis/modeling
alarm_event,01_raw/scada/alarm_event.csv,source_system,string,Originating synthetic business system.,no,analysis/modeling
quality_inspection,01_raw/qms/quality_inspection.csv,inspection_id,string,Inspection id.,no,key/join
quality_inspection,01_raw/qms/quality_inspection.csv,run_id,string,Production run identifier.,no,key/join
quality_inspection,01_raw/qms/quality_inspection.csv,work_order_id,string,Manufacturing work order identifier.,no,key/join
quality_inspection,01_raw/qms/quality_inspection.csv,product_id,string,Product identifier.,no,key/join
quality_inspection,01_raw/qms/quality_inspection.csv,machine_id,string,Machine identifier.,no,key/join
quality_inspection,01_raw/qms/quality_inspection.csv,inspection_datetime,datetime,Inspection datetime.,no,analysis/modeling
quality_inspection,01_raw/qms/quality_inspection.csv,sample_size,string,Sample size.,no,analysis/modeling
quality_inspection,01_raw/qms/quality_inspection.csv,defect_count,numeric,Defect count.,no,analysis/modeling
quality_inspection,01_raw/qms/quality_inspection.csv,defect_code,string,Defect code.,no,analysis/modeling
quality_inspection,01_raw/qms/quality_inspection.csv,measurement_1,string,Measurement 1.,no,analysis/modeling
quality_inspection,01_raw/qms/quality_inspection.csv,measurement_2,string,Measurement 2.,no,analysis/modeling
quality_inspection,01_raw/qms/quality_inspection.csv,lower_spec_limit,string,Lower spec limit.,no,analysis/modeling
quality_inspection,01_raw/qms/quality_inspection.csv,upper_spec_limit,string,Upper spec limit.,no,analysis/modeling
quality_inspection,01_raw/qms/quality_inspection.csv,pass_fail,string,Pass fail.,no,analysis/modeling
quality_inspection,01_raw/qms/quality_inspection.csv,inspector_id,string,Inspector id.,no,key/join
quality_inspection,01_raw/qms/quality_inspection.csv,source_system,string,Originating synthetic business system.,no,analysis/modeling
customer_complaint,01_raw/qms/customer_complaint.csv,complaint_id,string,Complaint id.,no,key/join
customer_complaint,01_raw/qms/customer_complaint.csv,shipment_id,string,Shipment id.,no,key/join
customer_complaint,01_raw/qms/customer_complaint.csv,customer_id,string,Customer identifier.,no,key/join
customer_complaint,01_raw/qms/customer_complaint.csv,product_id,string,Product identifier.,no,key/join
customer_complaint,01_raw/qms/customer_complaint.csv,complaint_datetime,datetime,Complaint datetime.,no,analysis/modeling
customer_complaint,01_raw/qms/customer_complaint.csv,complaint_text,string,Complaint text.,no,analysis/modeling
customer_complaint,01_raw/qms/customer_complaint.csv,sentiment_label,datetime,Sentiment label.,no,analysis/modeling
customer_complaint,01_raw/qms/customer_complaint.csv,named_entities,string,Named entities.,no,analysis/modeling
customer_complaint,01_raw/qms/customer_complaint.csv,resolution_status,string,Resolution status.,no,analysis/modeling
maintenance_log,01_raw/cmms/maintenance_log.csv,maintenance_id,string,Maintenance id.,no,key/join
maintenance_log,01_raw/cmms/maintenance_log.csv,machine_id,string,Machine identifier.,no,key/join
maintenance_log,01_raw/cmms/maintenance_log.csv,event_datetime,datetime,Event datetime.,no,analysis/modeling
maintenance_log,01_raw/cmms/maintenance_log.csv,maintenance_type,string,Maintenance type.,no,analysis/modeling
maintenance_log,01_raw/cmms/maintenance_log.csv,failure_code,string,Failure code.,no,analysis/modeling
maintenance_log,01_raw/cmms/maintenance_log.csv,symptom_text,string,Symptom text.,no,analysis/modeling
maintenance_log,01_raw/cmms/maintenance_log.csv,repair_action,string,Repair action.,no,analysis/modeling
maintenance_log,01_raw/cmms/maintenance_log.csv,downtime_minutes,datetime,Downtime minutes.,no,analysis/modeling
maintenance_log,01_raw/cmms/maintenance_log.csv,parts_cost,numeric,Parts cost.,no,analysis/modeling
maintenance_log,01_raw/cmms/maintenance_log.csv,labor_hours,numeric,Labor hours.,no,analysis/modeling
maintenance_log,01_raw/cmms/maintenance_log.csv,technician_id,string,Technician id.,no,key/join
maintenance_log,01_raw/cmms/maintenance_log.csv,failure_severity,string,Failure severity.,no,analysis/modeling
maintenance_log,01_raw/cmms/maintenance_log.csv,source_system,string,Originating synthetic business system.,no,analysis/modeling
operator_master,01_raw/hr/operator_master.csv,operator_id,string,Operator id.,synthetic_pseudonymous,key/join
operator_master,01_raw/hr/operator_master.csv,operator_hash,string,Operator hash.,synthetic_pseudonymous,analysis/modeling
operator_master,01_raw/hr/operator_master.csv,team_id,string,Team id.,no,key/join
operator_master,01_raw/hr/operator_master.csv,plant_id,string,Plant identifier.,no,key/join
operator_master,01_raw/hr/operator_master.csv,certification_level,string,Certification level.,no,analysis/modeling
operator_master,01_raw/hr/operator_master.csv,experience_years,string,Experience years.,no,analysis/modeling
operator_master,01_raw/hr/operator_master.csv,shift_preference,string,Shift preference.,no,analysis/modeling
operator_master,01_raw/hr/operator_master.csv,employment_type,string,Employment type.,no,analysis/modeling
operator_master,01_raw/hr/operator_master.csv,fairness_group,string,Fairness group.,no,analysis/modeling
operator_master,01_raw/hr/operator_master.csv,active_flag,numeric,Active flag.,no,analysis/modeling
shipment,01_raw/logistics/shipment.csv,shipment_id,string,Shipment id.,no,key/join
