tx_id,block_timestamp,material_lot_id,supplier_id,product_id,plant_id,event_type,quantity,quality_certificate_id,previous_hash,transaction_hash,smart_contract_id
TX-0000022,2025-11-12 09:48:00,LOT-SUP-003-20251112-038,SUP-003,PRD-035,P03,shipment_handover,11197,,1557025811a5438d,843fa911d827478c,SC-006
TX-0000023,2026-07-29 06:14:00,LOT-SUP-013-20260729-044,SUP-013,PRD-058,P02,line_release,3119,QCERT-00466,843fa911d827478c,7f97dfdac4103510,SC-011
TX-0000024,2026-01-25 01:39:00,LOT-SUP-005-20260125-056,SUP-005,PRD-014,P01,line_release,23810,QCERT-00727,7f97dfdac4103510,858757aac530d28e,SC-011
TX-0000025,2026-01-20 21:19:00,LOT-SUP-016-20260120-050,SUP-016,PRD-080,P03,material_received,14765,,858757aac530d28e,28b7d4d4baad2918,SC-007
TX-0000026,2026-07-26 09:29:00,LOT-SUP-009-20260726-049,SUP-009,PRD-018,P01,shipment_handover,12657,,28b7d4d4baad2918,17557474823fcd51,SC-001
TX-0000027,2026-02-21 07:45:00,LOT-SUP-008-20260221-054,SUP-008,PRD-044,P01,line_release,5536,QCERT-00249,17557474823fcd51,056788b9950e7fa5,SC-012
TX-0000028,2026-03-27 15:13:00,LOT-SUP-010-20260327-026,SUP-010,PRD-028,P01,line_release,24770,QCERT-00525,056788b9950e7fa5,6641880fa283dc9b,SC-006
TX-0000029,2025-10-15 22:13:00,LOT-SUP-003-20251015-046,SUP-003,PRD-035,P03,material_received,2125,,6641880fa283dc9b,c199cae4c855aeda,SC-001
TX-0000030,2025-08-01 21:38:00,LOT-SUP-015-20250801-055,SUP-015,PRD-004,P01,material_received,6854,,c199cae4c855aeda,1531b86704fe2929,SC-003
TX-0000031,2026-04-16 19:48:00,LOT-SUP-010-20260416-009,SUP-010,PRD-076,P02,material_received,20750,,1531b86704fe2929,43f95ee94ffb8414,SC-007
TX-0000032,2025-09-21 11:59:00,LOT-SUP-006-20250921-011,SUP-006,PRD-065,P02,line_release,7628,QCERT-00715,43f95ee94ffb8414,d21890380e91ee3b,SC-007
TX-0000033,2025-08-24 15:26:00,LOT-SUP-009-20250824-040,SUP-009,PRD-051,P01,finished_goods,20044,,d21890380e91ee3b,5ff2b4182008fe8f,SC-012
TX-0000034,2026-03-03 09:23:00,LOT-SUP-004-20260303-048,SUP-004,PRD-057,P01,quality_certificate,9803,QCERT-00725,5ff2b4182008fe8f,5dccbf74f3d05e57,SC-001
TX-0000035,2026-03-11 22:51:00,LOT-SUP-010-20260311-042,SUP-010,PRD-076,P03,material_received,16414,,5dccbf74f3d05e57,bf1b7c9cc8bc6bd1,SC-009
TX-0000036,2025-08-02 12:56:00,LOT-SUP-011-20250802-060,SUP-011,PRD-075,P03,material_received,22031,,bf1b7c9cc8bc6bd1,991ffa03c8d7a424,SC-004
TX-0000037,2026-02-13 05:40:00,LOT-SUP-003-20260213-023,SUP-003,PRD-071,P02,finished_goods,17044,,991ffa03c8d7a424,6af901cf835d496f,SC-006
TX-0000038,2026-02-05 22:25:00,LOT-SUP-002-20260205-044,SUP-002,PRD-027,P03,shipment_handover,15327,,6af901cf835d496f,4dea9fed4124bea1,SC-007
TX-0000039,2025-11-25 21:17:00,LOT-SUP-008-20251125-011,SUP-008,PRD-026,P03,material_received,3675,,4dea9fed4124bea1,39d871e975971967,SC-008
TX-0000040,2025-09-09 01:47:00,LOT-SUP-008-20250909-033,SUP-008,PRD-044,P03,quality_certificate,20048,QCERT-00744,39d871e975971967,456a060f684f1a46,SC-007
TX-0000041,2026-04-14 15:19:00,LOT-SUP-002-20260414-050,SUP-002,PRD-027,P01,material_received,8463,,456a060f684f1a46,1da799961f0f3a94,SC-003
TX-0000042,2025-10-10 22:53:00,LOT-SUP-001-20251010-033,SUP-001,PRD-067,P02,quality_certificate,18803,QCERT-00532,1da799961f0f3a94,01d1b99043f3e2d6,SC-011
TX-0000043,2025-12-08 07:28:00,LOT-SUP-015-20251208-060,SUP-015,PRD-021,P03,quality_certificate,23561,QCERT-00036,01d1b99043f3e2d6,4a774c23b51813d9,SC-011
TX-0000044,2025-10-02 20:07:00,LOT-SUP-016-20251002-045,SUP-016,PRD-008,P03,material_received,16229,,4a774c23b51813d9,07873389b48aaeaf,SC-001
TX-0000045,2026-04-15 18:24:00,LOT-SUP-012-20260415-010,SUP-012,PRD-012,P02,shipment_handover,7646,,07873389b48aaeaf,dafbcd9b09116859,SC-001
TX-0000046,2025-10-23 20:24:00,LOT-SUP-013-20251023-052,SUP-013,PRD-058,P01,material_received,17318,,dafbcd9b09116859,8180fc969fc76688,SC-004
TX-0000047,2025-11-19 10:18:00,LOT-SUP-009-20251119-007,SUP-009,PRD-018,P01,finished_goods,18426,,8180fc969fc76688,df98908a51bcf730,SC-005
TX-0000048,2026-02-25 13:37:00,LOT-SUP-001-20260225-033,SUP-001,PRD-046,P03,shipment_handover,7121,,df98908a51bcf730,6c064b71522317d6,SC-001
TX-0000049,2025-10-09 21:01:00,LOT-SUP-001-20251009-051,SUP-001,PRD-068,P02,material_received,7182,,6c064b71522317d6,9eb79c43521ca273,SC-010
TX-0000050,2026-01-29 05:49:00,LOT-SUP-004-20260129-020,SUP-004,PRD-069,P03,quality_certificate,9445,QCERT-00099,9eb79c43521ca273,f8e47784c60609ab,SC-011
TX-0000051,2026-07-29 12:39:00,LOT-SUP-003-20260729-029,SUP-003,PRD-072,P01,line_release,1759,QCERT-00674,f8e47784c60609ab,9c75189b53e61106,SC-001
TX-0000052,2025-12-14 20:10:00,LOT-SUP-003-20251214-007,SUP-003,PRD-072,P03,line_release,9038,QCERT-00599,9c75189b53e61106,aae2fa8ed544e165,SC-010
TX-0000053,2026-05-17 09:43:00,LOT-SUP-009-20260517-024,SUP-009,PRD-051,P03,material_received,14336,,aae2fa8ed544e165,9223289e74fa0824,SC-009
TX-0000054,2025-09-30 12:59:00,LOT-SUP-010-20250930-025,SUP-010,PRD-010,P01,material_received,10154,,9223289e74fa0824,d5800a8edaa15b35,SC-005
TX-0000055,2025-10-19 21:39:00,LOT-SUP-015-20251019-053,SUP-015,PRD-004,P03,finished_goods,20715,,d5800a8edaa15b35,c1b61b849a1b536d,SC-010
TX-0000056,2026-04-04 05:20:00,LOT-SUP-012-20260404-056,SUP-012,PRD-012,P01,quality_certificate,13714,QCERT-00086,c1b61b849a1b536d,dc2b3ded9dba0244,SC-010
TX-0000057,2026-05-29 14:14:00,LOT-SUP-007-20260529-021,SUP-007,PRD-055,P01,finished_goods,23008,,dc2b3ded9dba0244,bdce5cc45cf5ab67,SC-011
TX-0000058,2026-06-02 08:30:00,LOT-SUP-008-20260602-055,SUP-008,PRD-002,P03,finished_goods,15315,,bdce5cc45cf5ab67,ea5bd247ab76815f,SC-005
TX-0000059,2026-02-21 07:51:00,LOT-SUP-004-20260221-031,SUP-004,PRD-057,P01,line_release,7568,QCERT-00594,ea5bd247ab76815f,e9f7725aecc41d87,SC-002
TX-0000060,2026-02-13 11:35:00,LOT-SUP-010-20260213-011,SUP-010,PRD-028,P03,shipment_handover,21904,,e9f7725aecc41d87,caf24c9c44b05937,SC-005
TX-0000061,2025-09-30 00:26:00,LOT-SUP-003-20250930-054,SUP-003,PRD-071,P03,line_release,19290,QCERT-00717,caf24c9c44b05937,5e78d43228fff215,SC-002
TX-0000062,2025-12-10 05:17:00,LOT-SUP-016-20251210-016,SUP-016,PRD-063,P03,quality_certificate,3152,QCERT-00722,5e78d43228fff215,55e094bc002bdc6b,SC-003
TX-0000063,2025-11-11 18:27:00,LOT-SUP-003-20251111-043,SUP-003,PRD-078,P02,shipment_handover,13986,,55e094bc002bdc6b,ea5e7cf421018945,SC-011
TX-0000064,2026-05-01 06:09:00,LOT-SUP-006-20260501-041,SUP-006,PRD-040,P01,line_release,24579,QCERT-00501,ea5e7cf421018945,83027c634ef62c5e,SC-001
TX-0000065,2026-04-30 08:46:00,LOT-SUP-003-20260430-058,SUP-003,PRD-020,P02,finished_goods,22181,,83027c634ef62c5e,4981484b31898bae,SC-005
TX-0000066,2026-03-05 00:13:00,LOT-SUP-006-20260305-018,SUP-006,PRD-040,P03,material_received,21903,,4981484b31898bae,6055315bd3652a7e,SC-008
TX-0000067,2026-01-05 14:18:00,LOT-SUP-007-20260105-057,SUP-007,PRD-073,P01,material_received,11771,,6055315bd3652a7e,f4ba4c87537e9504,SC-002
TX-0000068,2025-10-14 07:21:00,LOT-SUP-014-20251014-035,SUP-014,PRD-029,P02,line_release,24064,QCERT-00586,f4ba4c87537e9504,36e24ad2879eb4d0,SC-009
TX-0000069,2026-01-10 18:29:00,LOT-SUP-017-20260110-036,SUP-017,PRD-061,P03,material_received,4287,,36e24ad2879eb4d0,d1eb34a7f2691484,SC-004
TX-0000070,2026-01-10 12:38:00,LOT-SUP-002-20260110-020,SUP-002,PRD-027,P01,finished_goods,1369,,d1eb34a7f2691484,ff47f064deb5d6ed,SC-006
TX-0000071,2025-09-02 02:27:00,LOT-SUP-005-20250902-014,SUP-005,PRD-014,P02,line_release,8041,QCERT-00546,ff47f064deb5d6ed,7f85e08350276da0,SC-002
TX-0000072,2025-09-20 06:17:00,LOT-SUP-016-20250920-012,SUP-016,PRD-063,P01,finished_goods,3976,,7f85e08350276da0,44be1ac87106294b,SC-012
TX-0000073,2025-12-23 09:32:00,LOT-SUP-011-20251223-018,SUP-011,PRD-075,P02,material_received,6206,,44be1ac87106294b,18d417226871a9b7,SC-008
TX-0000074,2025-11-30 03:56:00,LOT-SUP-012-20251130-036,SUP-012,PRD-015,P01,finished_goods,10935,,18d417226871a9b7,b3dfdce6c857f1b5,SC-010
TX-0000075,2026-02-27 10:40:00,LOT-SUP-015-20260227-023,SUP-015,PRD-074,P03,finished_goods,6698,,b3dfdce6c857f1b5,543a884acbaf4362,SC-009
TX-0000076,2025-10-09 09:21:00,LOT-SUP-010-20251009-040,SUP-010,PRD-010,P03,quality_certificate,15634,QCERT-00896,543a884acbaf4362,18054d3585b71123,SC-002
TX-0000077,2026-07-29 23:29:00,LOT-SUP-017-20260729-059,SUP-017,PRD-009,P02,finished_goods,8331,,18054d3585b71123,b0e77e8f46b8e5ba,SC-005
TX-0000078,2025-11-25 05:47:00,LOT-SUP-005-20251125-023,SUP-005,PRD-041,P03,material_received,1203,,b0e77e8f46b8e5ba,1343c5df35245acd,SC-004
TX-0000079,2026-04-09 01:05:00,LOT-SUP-010-20260409-008,SUP-010,PRD-045,P03,quality_certificate,24172,QCERT-00573,1343c5df35245acd,1407bef138b25518,SC-008
TX-0000080,2026-03-17 16:01:00,LOT-SUP-002-20260317-022,SUP-002,PRD-001,P02,quality_certificate,2434,QCERT-00565,1407bef138b25518,4d80467a1f88b551,SC-008
TX-0000081,2026-07-10 03:35:00,LOT-SUP-008-20260710-022,SUP-008,PRD-026,P03,shipment_handover,24443,,4d80467a1f88b551,1ccf4325afb8fb39,SC-009
TX-0000082,2026-06-30 23:16:00,LOT-SUP-015-20260630-017,SUP-015,PRD-013,P02,quality_certificate,13788,QCERT-00834,1ccf4325afb8fb39,e8368a11d41a7642,SC-006
TX-0000083,2025-08-26 22:17:00,LOT-SUP-015-20250826-007,SUP-015,PRD-031,P03,quality_certificate,22057,QCERT-00299,e8368a11d41a7642,4e7b80194a64c864,SC-003
TX-0000084,2025-11-04 10:03:00,LOT-SUP-010-20251104-055,SUP-010,PRD-076,P03,material_received,5721,,4e7b80194a64c864,5d0f8c2faaa8ed53,SC-001
TX-0000085,2026-05-09 00:32:00,LOT-SUP-016-20260509-010,SUP-016,PRD-080,P02,finished_goods,24019,,5d0f8c2faaa8ed53,653aeb72abfde0ea,SC-005
TX-0000086,2025-11-09 00:37:00,LOT-SUP-003-20251109-055,SUP-003,PRD-078,P03,material_received,20220,,653aeb72abfde0ea,732ecfc24936fd60,SC-003
TX-0000087,2025-12-01 16:29:00,LOT-SUP-005-20251201-011,SUP-005,PRD-005,P02,line_release,19107,QCERT-00243,732ecfc24936fd60,28f02359be3ace52,SC-001
TX-0000088,2025-09-25 03:25:00,LOT-SUP-001-20250925-015,SUP-001,PRD-046,P01,quality_certificate,22472,QCERT-00889,28f02359be3ace52,043efe31cf6cb302,SC-003
TX-0000089,2025-08-17 20:37:00,LOT-SUP-006-20250817-002,SUP-006,PRD-065,P02,material_received,10255,,043efe31cf6cb302,ef4ec7386309bc7d,SC-006
TX-0000090,2026-06-02 17:27:00,LOT-SUP-014-20260602-037,SUP-014,PRD-025,P01,shipment_handover,9956,,ef4ec7386309bc7d,69948a215f1bee14,SC-009
TX-0000091,2026-02-14 08:27:00,LOT-SUP-015-20260214-052,SUP-015,PRD-047,P03,shipment_handover,7215,,69948a215f1bee14,54ec10314cc1911f,SC-002
TX-0000092,2025-10-19 04:51:00,LOT-SUP-015-20251019-059,SUP-015,PRD-031,P03,finished_goods,3966,,54ec10314cc1911f,b21d52ebf0486480,SC-008
TX-0000093,2026-06-22 12:51:00,LOT-SUP-001-20260622-052,SUP-001,PRD-068,P02,quality_certificate,17107,QCERT-00083,b21d52ebf0486480,6e1698b708a543be,SC-011
TX-0000094,2026-02-25 07:00:00,LOT-SUP-005-20260225-002,SUP-005,PRD-023,P01,quality_certificate,23901,QCERT-00454,6e1698b708a543be,deaf4c8811288f00,SC-004
TX-0000095,2026-05-25 05:02:00,LOT-SUP-015-20260525-039,SUP-015,PRD-047,P03,quality_certificate,5301,QCERT-00233,deaf4c8811288f00,9a8d8f6818eeeb97,SC-008
TX-0000096,2025-09-28 21:58:00,LOT-SUP-014-20250928-018,SUP-014,PRD-029,P01,shipment_handover,953,,9a8d8f6818eeeb97,70c87577e0bbd718,SC-006
TX-0000097,2025-11-13 18:11:00,LOT-SUP-001-20251113-056,SUP-001,PRD-011,P02,line_release,11197,QCERT-00594,70c87577e0bbd718,0ccefd352091e2a7,SC-001
TX-0000098,2026-02-21 21:11:00,LOT-SUP-002-20260221-011,SUP-002,PRD-042,P01,material_received,21145,,0ccefd352091e2a7,0bd6e85797e01e21,SC-005
TX-0000099,2026-01-14 22:10:00,LOT-SUP-009-20260114-046,SUP-009,PRD-018,P02,shipment_handover,16217,,0bd6e85797e01e21,193db78c59a66993,SC-009
TX-0000100,2025-11-19 07:18:00,LOT-SUP-002-20251119-043,SUP-002,PRD-001,P01,shipment_handover,1340,,193db78c59a66993,9de355aabd9609b0,SC-012
TX-0000101,2025-09-09 12:06:00,LOT-SUP-001-20250909-011,SUP-001,PRD-067,P01,quality_certificate,20993,QCERT-00791,9de355aabd9609b0,145537ae6d5c8595,SC-003
TX-0000102,2026-04-19 03:17:00,LOT-SUP-017-20260419-004,SUP-017,PRD-030,P02,line_release,12885,QCERT-00033,145537ae6d5c8595,e375c8f7c9b60bd0,SC-007
TX-0000103,2026-01-01 08:29:00,LOT-SUP-008-20260101-059,SUP-008,PRD-007,P02,shipment_handover,24727,,e375c8f7c9b60bd0,e8c482689ab95df5,SC-007
TX-0000104,2026-03-29 13:34:00,LOT-SUP-005-20260329-005,SUP-005,PRD-023,P01,material_received,22554,,e8c482689ab95df5,c4f0d80379d25623,SC-006
TX-0000105,2026-03-08 03:48:00,LOT-SUP-002-20260308-048,SUP-002,PRD-064,P03,line_release,23939,QCERT-00875,c4f0d80379d25623,4b99f06b64eb0c35,SC-006
TX-0000106,2025-08-22 11:32:00,LOT-SUP-009-20250822-020,SUP-009,PRD-032,P02,shipment_handover,4890,,4b99f06b64eb0c35,40ad9b24d2aa5dbb,SC-001
TX-0000107,2026-05-21 09:35:00,LOT-SUP-007-20260521-054,SUP-007,PRD-055,P01,quality_certificate,1306,QCERT-00828,40ad9b24d2aa5dbb,d7ca374472af7dcd,SC-011
TX-0000108,2025-10-05 07:29:00,LOT-SUP-008-20251005-017,SUP-008,PRD-044,P01,material_received,18702,,d7ca374472af7dcd,5e7125cbaaa7efa9,SC-008
TX-0000109,2026-01-23 20:48:00,LOT-SUP-002-20260123-008,SUP-002,PRD-042,P02,finished_goods,573,,5e7125cbaaa7efa9,4c4044d12e4582b2,SC-012
TX-0000110,2025-10-02 03:06:00,LOT-SUP-013-20251002-026,SUP-013,PRD-079,P02,line_release,7939,QCERT-00658,4c4044d12e4582b2,977d25c74560eaf5,SC-003
TX-0000111,2026-07-12 06:38:00,LOT-SUP-010-20260712-030,SUP-010,PRD-076,P01,quality_certificate,5451,QCERT-00298,977d25c74560eaf5,51c95d9b037ce24e,SC-011
TX-0000112,2026-06-04 20:02:00,LOT-SUP-010-20260604-023,SUP-010,PRD-028,P01,finished_goods,5461,,51c95d9b037ce24e,dbdd5b54b4fe077c,SC-004
TX-0000113,2025-10-05 16:38:00,LOT-SUP-004-20251005-014,SUP-004,PRD-069,P02,quality_certificate,19496,QCERT-00574,dbdd5b54b4fe077c,fb574db7e9c16f27,SC-009
TX-0000114,2026-03-10 16:59:00,LOT-SUP-015-20260310-007,SUP-015,PRD-021,P01,material_received,12869,,fb574db7e9c16f27,93c57cd7e2a21117,SC-008
TX-0000115,2026-04-10 21:28:00,LOT-SUP-014-20260410-011,SUP-014,PRD-029,P02,quality_certificate,11964,QCERT-00052,93c57cd7e2a21117,dfc5f87c3e2da672,SC-005
TX-0000116,2026-02-07 10:02:00,LOT-SUP-013-20260207-030,SUP-013,PRD-058,P03,material_received,688,,dfc5f87c3e2da672,e4dc842664bd3a19,SC-005
TX-0000117,2025-12-02 02:11:00,LOT-SUP-010-20251202-015,SUP-010,PRD-010,P02,shipment_handover,2927,,e4dc842664bd3a19,89fc3163413bc331,SC-010
TX-0000118,2025-08-27 01:36:00,LOT-SUP-011-20250827-042,SUP-011,PRD-017,P03,line_release,12684,QCERT-00030,89fc3163413bc331,1330e390bee2d049,SC-011
TX-0000119,2025-10-21 08:36:00,LOT-SUP-015-20251021-021,SUP-015,PRD-047,P01,finished_goods,21106,,1330e390bee2d049,e8cf7391507e9c26,SC-010
TX-0000120,2025-09-02 14:19:00,LOT-SUP-003-20250902-028,SUP-003,PRD-071,P01,finished_goods,1265,,e8cf7391507e9c26,2124513e64f5c8be,SC-010
TX-0000121,2026-03-14 12:09:00,LOT-SUP-008-20260314-060,SUP-008,PRD-044,P03,line_release,15634,QCERT-00025,2124513e64f5c8be,8bfe65105e3d846d,SC-009
TX-0000122,2026-01-15 19:46:00,LOT-SUP-005-20260115-043,SUP-005,PRD-023,P01,shipment_handover,8565,,8bfe65105e3d846d,3f7cc79f470d4969,SC-009
TX-0000123,2026-04-01 08:14:00,LOT-SUP-003-20260401-026,SUP-003,PRD-060,P03,finished_goods,14468,,3f7cc79f470d4969,5d7e14abf6581d86,SC-004
TX-0000124,2026-03-07 20:07:00,LOT-SUP-006-20260307-054,SUP-006,PRD-049,P03,quality_certificate,13413,QCERT-00166,5d7e14abf6581d86,fa796c27dfa0d947,SC-002
TX-0000125,2026-01-28 08:10:00,LOT-SUP-007-20260128-046,SUP-007,PRD-070,P02,quality_certificate,16218,QCERT-00469,fa796c27dfa0d947,12881ce90012e0c9,SC-009
TX-0000126,2025-10-08 11:21:00,LOT-SUP-009-20251008-016,SUP-009,PRD-018,P01,material_received,12554,,12881ce90012e0c9,307e6b14c94b7e31,SC-007
TX-0000127,2026-04-12 06:52:00,LOT-SUP-009-20260412-009,SUP-009,PRD-032,P02,shipment_handover,9277,,307e6b14c94b7e31,d7bc8d07bf9e4055,SC-002
TX-0000128,2025-11-25 08:22:00,LOT-SUP-012-20251125-029,SUP-012,PRD-006,P03,finished_goods,20363,,d7bc8d07bf9e4055,58d0c0b86b212ab9,SC-012
TX-0000129,2025-08-07 14:04:00,LOT-SUP-013-20250807-044,SUP-013,PRD-054,P02,finished_goods,4274,,58d0c0b86b212ab9,cf6655c8c9997831,SC-005
TX-0000130,2026-01-19 23:06:00,LOT-SUP-003-20260119-037,SUP-003,PRD-035,P02,finished_goods,18848,,cf6655c8c9997831,fac252e38c1d0c28,SC-006
TX-0000131,2025-12-12 23:46:00,LOT-SUP-009-20251212-012,SUP-009,PRD-048,P03,quality_certificate,20661,QCERT-00055,fac252e38c1d0c28,c478ea0feed5a0cf,SC-005
TX-0000132,2025-09-21 04:34:00,LOT-SUP-013-20250921-041,SUP-013,PRD-058,P01,material_received,1123,,c478ea0feed5a0cf,d9e0cc5d23c526e8,SC-003
TX-0000133,2026-02-06 02:15:00,LOT-SUP-003-20260206-050,SUP-003,PRD-072,P02,line_release,6491,QCERT-00619,d9e0cc5d23c526e8,7eacec0bb31db133,SC-001
TX-0000134,2025-11-02 11:35:00,LOT-SUP-003-20251102-011,SUP-003,PRD-020,P02,material_received,5202,,7eacec0bb31db133,6dc1fa004f9f5789,SC-011
TX-0000135,2026-06-05 16:44:00,LOT-SUP-016-20260605-028,SUP-016,PRD-008,P01,material_received,998,,6dc1fa004f9f5789,835ede12482edf7d,SC-002
TX-0000136,2026-04-26 09:41:00,LOT-SUP-009-20260426-021,SUP-009,PRD-051,P02,line_release,4649,QCERT-00608,835ede12482edf7d,b72bffe0fad43e40,SC-012
TX-0000137,2026-07-22 21:01:00,LOT-SUP-011-20260722-036,SUP-011,PRD-017,P01,material_received,19474,,b72bffe0fad43e40,bba9ae3880da8fb3,SC-012
TX-0000138,2026-06-13 12:02:00,LOT-SUP-006-20260613-005,SUP-006,PRD-049,P01,finished_goods,8860,,bba9ae3880da8fb3,c842eb70ab7b7993,SC-007
TX-0000139,2026-01-10 15:49:00,LOT-SUP-013-20260110-041,SUP-013,PRD-062,P01,material_received,11193,,c842eb70ab7b7993,4a41396402cb9215,SC-003
TX-0000140,2026-02-08 17:22:00,LOT-SUP-007-20260208-025,SUP-007,PRD-055,P02,material_received,15173,,4a41396402cb9215,d27cee59d6d0a1cd,SC-004
TX-0000141,2026-07-02 11:26:00,LOT-SUP-004-20260702-052,SUP-004,PRD-057,P02,quality_certificate,21237,QCERT-00636,d27cee59d6d0a1cd,d352327304702f3a,SC-011
TX-0000142,2025-11-08 03:54:00,LOT-SUP-018-20251108-010,SUP-018,PRD-019,P03,quality_certificate,4260,QCERT-00393,d352327304702f3a,cbf35fb847ecb7f7,SC-004
TX-0000143,2025-10-11 11:38:00,LOT-SUP-012-20251011-024,SUP-012,PRD-012,P02,line_release,20199,QCERT-00835,cbf35fb847ecb7f7,596b68913b0b2481,SC-005
TX-0000144,2025-12-28 20:50:00,LOT-SUP-017-20251228-032,SUP-017,PRD-030,P02,material_received,13678,,596b68913b0b2481,a245875f23c1da64,SC-008
TX-0000145,2025-10-01 01:16:00,LOT-SUP-009-20251001-016,SUP-009,PRD-032,P01,shipment_handover,17845,,a245875f23c1da64,f71fca867cdb76c8,SC-004
TX-0000146,2025-12-13 19:12:00,LOT-SUP-006-20251213-009,SUP-006,PRD-065,P02,material_received,24081,,f71fca867cdb76c8,33fdf7af7e255db0,SC-006
TX-0000147,2026-04-10 13:28:00,LOT-SUP-017-20260410-046,SUP-017,PRD-061,P01,material_received,22279,,33fdf7af7e255db0,413513a1f49eca9b,SC-003
TX-0000148,2026-07-16 22:22:00,LOT-SUP-005-20260716-056,SUP-005,PRD-038,P03,line_release,1234,QCERT-00556,413513a1f49eca9b,3500c019f7843c23,SC-009
TX-0000149,2026-05-29 01:05:00,LOT-SUP-005-20260529-050,SUP-005,PRD-016,P01,line_release,23586,QCERT-00545,3500c019f7843c23,b8075e2cdce4bae2,SC-012
TX-0000150,2026-06-02 09:25:00,LOT-SUP-006-20260602-007,SUP-006,PRD-049,P03,line_release,886,QCERT-00064,b8075e2cdce4bae2,5bb9f30705389306,SC-008
TX-0000151,2025-09-19 21:13:00,LOT-SUP-001-20250919-045,SUP-001,PRD-046,P03,line_release,4936,QCERT-00255,5bb9f30705389306,c9e531dcef2967fd,SC-008
TX-0000152,2026-03-06 00:07:00,LOT-SUP-006-20260306-054,SUP-006,PRD-040,P02,line_release,14591,QCERT-00682,c9e531dcef2967fd,12bfa325203af4d2,SC-012
