date,plant_id,line_id,planned_quantity,good_quantity,scrap_quantity,rework_quantity,runtime_minutes,downtime_minutes,energy_kwh,availability,performance,quality,oee,energy_intensity_kwh_per_good_unit
2025-08-13,P02,L03,56706,53524,900,307,1175.48,187.08,7169.36,0.8426,0.9439,0.9835,0.7822,0.13395
2025-08-13,P02,L04,33813,30512,943,413,1268.35,80.94,3724.56,0.9092,0.9024,0.97,0.7959,0.12207
2025-08-13,P03,L05,37569,33190,1449,547,1217.84,121.87,4108.73,0.873,0.8834,0.9582,0.739,0.12379
2025-08-13,P03,L06,87693,78237,3386,1335,1260.3,109.38,8670.36,0.9034,0.8922,0.9585,0.7726,0.11082
2025-08-14,P01,L01,52383,47516,1832,552,1164.2,186.97,5030.12,0.8345,0.9071,0.9629,0.7289,0.10586
2025-08-14,P01,L02,89166,82434,2687,1006,1273.73,95.91,11433.01,0.9131,0.9245,0.9684,0.8175,0.13869
2025-08-14,P02,L03,45195,41012,1395,564,1227.4,117.48,5948.52,0.8799,0.9074,0.9671,0.7722,0.14504
2025-08-14,P02,L04,34374,30230,1151,442,1162.13,200.26,4253.13,0.8331,0.8794,0.9633,0.7058,0.14069
2025-08-14,P03,L05,35918,33428,1129,518,1281.95,73.96,3868.8,0.919,0.9307,0.9673,0.8273,0.11574
2025-08-14,P03,L06,81399,71960,2491,995,1255.05,94.2,10852.84,0.8997,0.884,0.9665,0.7687,0.15082
2025-08-15,P01,L01,63556,61682,898,317,1140.96,186.65,6592.02,0.8179,0.9705,0.9857,0.7824,0.10687
2025-08-15,P01,L02,80486,72661,1868,815,1207.01,145.57,8609.94,0.8652,0.9028,0.9749,0.7615,0.11849
2025-08-15,P02,L03,44070,41634,1398,445,1213.0,127.3,5734.41,0.8695,0.9447,0.9675,0.7948,0.13773
2025-08-15,P02,L04,39193,36033,1066,429,1251.31,118.98,4596.64,0.897,0.9194,0.9713,0.801,0.12757
2025-08-15,P03,L05,41955,39746,1319,475,1241.22,92.93,4981.58,0.8898,0.9473,0.9679,0.8158,0.12534
2025-08-15,P03,L06,71229,63591,2085,788,1165.38,192.47,7091.35,0.8354,0.8928,0.9683,0.7221,0.11152
2025-08-16,P01,L01,10459,9575,284,100,413.84,33.68,1309.26,0.2967,0.9155,0.9712,0.2638,0.13674
2025-08-16,P01,L02,40244,36691,942,408,817.68,70.91,4033.35,0.5861,0.9117,0.975,0.521,0.10993
2025-08-16,P02,L03,19297,16256,587,245,844.53,53.85,1976.54,0.6054,0.8424,0.9651,0.4922,0.12159
2025-08-16,P02,L04,20127,19177,687,260,1131.12,200.42,2419.77,0.8108,0.9528,0.9654,0.7458,0.12618
2025-08-16,P03,L05,23288,21206,518,223,792.94,95.95,2150.82,0.5684,0.9106,0.9762,0.5053,0.10143
2025-08-16,P03,L06,18523,15916,489,170,439.65,17.52,1566.91,0.3152,0.8593,0.9702,0.2627,0.09845
2025-08-17,P01,L02,32378,29532,553,235,881.01,22.14,3841.94,0.6315,0.9121,0.9816,0.5654,0.13009
2025-08-17,P02,L03,24306,23387,972,501,806.62,89.42,2293.1,0.5782,0.9622,0.9601,0.5342,0.09805
2025-08-17,P02,L04,7769,7666,264,107,411.96,38.74,915.84,0.2953,0.9867,0.9667,0.2817,0.11947
2025-08-17,P03,L05,19683,17402,774,335,848.11,47.14,2077.73,0.608,0.8841,0.9574,0.5146,0.1194
2025-08-17,P03,L06,36862,34324,766,333,845.47,65.4,4144.13,0.6061,0.9311,0.9782,0.552,0.12074
2025-08-18,P01,L01,48819,45551,919,308,1281.07,64.09,4700.17,0.9183,0.9331,0.9802,0.8399,0.10318
2025-08-18,P01,L02,79137,68309,1789,903,1249.41,126.66,8078.71,0.8956,0.8632,0.9745,0.7534,0.11827
2025-08-18,P02,L03,52711,46899,928,303,1137.25,207.9,3046.04,0.8152,0.8897,0.9806,0.7113,0.06495
2025-08-18,P02,L04,28110,24665,912,378,1280.1,108.08,3193.6,0.9176,0.8774,0.9643,0.7765,0.12948
2025-08-18,P03,L05,29041,26221,804,250,1243.19,114.66,3543.53,0.8912,0.9029,0.9702,0.7807,0.13514
2025-08-18,P03,L06,64933,56950,1656,475,1213.31,147.39,7734.37,0.8698,0.8771,0.9717,0.7413,0.13581
2025-08-19,P01,L01,48769,46533,1080,451,1181.09,191.87,4199.51,0.8467,0.9542,0.9773,0.7895,0.09025
2025-08-19,P01,L02,85117,82300,2821,1010,1256.2,82.04,8036.44,0.9005,0.9669,0.9669,0.8418,0.09765
2025-08-19,P02,L03,39810,36774,1054,537,1221.87,131.2,4669.36,0.8759,0.9237,0.9721,0.7866,0.12697
2025-08-19,P02,L04,37598,32610,1027,296,1280.17,58.2,5038.48,0.9177,0.8673,0.9695,0.7716,0.15451
2025-08-19,P03,L05,45276,40775,1608,723,1138.47,171.3,6363.7,0.8161,0.9006,0.9621,0.7071,0.15607
2025-08-19,P03,L06,74366,67381,3434,1404,1216.77,123.02,10858.62,0.8722,0.9061,0.9515,0.752,0.16115
2025-08-20,P01,L01,50631,47554,1625,659,1224.48,128.67,6314.61,0.8778,0.9392,0.967,0.7972,0.13279
2025-08-20,P01,L02,69758,65468,2139,775,1278.12,80.68,9619.69,0.9162,0.9385,0.9684,0.8327,0.14694
2025-08-20,P02,L03,48592,44103,2015,688,1081.9,255.47,6286.63,0.7756,0.9076,0.9563,0.6732,0.14254
2025-08-20,P02,L04,36666,34584,1246,441,1261.13,87.0,3522.94,0.904,0.9432,0.9652,0.823,0.10187
2025-08-20,P03,L05,32722,28879,768,313,1279.98,106.78,3383.08,0.9175,0.8826,0.9741,0.7888,0.11715
2025-08-20,P03,L06,84197,76547,2242,626,1127.63,185.79,8086.42,0.8083,0.9091,0.9715,0.714,0.10564
2025-08-21,P01,L01,60796,55363,2522,1078,1265.27,79.48,7903.95,0.907,0.9106,0.9564,0.79,0.14277
2025-08-21,P01,L02,62983,57646,2343,1104,1201.83,142.5,7187.73,0.8615,0.9153,0.9609,0.7577,0.12469
2025-08-21,P02,L03,56238,52636,1466,493,1331.71,40.69,6504.42,0.9546,0.936,0.9729,0.8693,0.12357
2025-08-21,P02,L04,31840,29499,1045,351,1236.9,129.49,3172.83,0.8867,0.9265,0.9658,0.7934,0.10756
2025-08-21,P03,L05,37914,35361,586,177,1294.57,87.41,3843.04,0.928,0.9327,0.9837,0.8514,0.10868
2025-08-21,P03,L06,75153,70909,2233,832,1200.57,150.96,6198.22,0.8606,0.9435,0.9695,0.7872,0.08741
2025-08-22,P01,L01,60196,53429,1480,589,1230.43,117.82,5579.12,0.882,0.8876,0.973,0.7618,0.10442
2025-08-22,P01,L02,67908,65395,1627,505,1221.28,160.37,7594.23,0.8755,0.963,0.9757,0.8226,0.11613
2025-08-22,P02,L03,44670,39453,1365,555,1242.36,138.4,3944.43,0.8906,0.8832,0.9666,0.7603,0.09998
2025-08-22,P02,L04,23912,22733,595,264,1231.55,135.93,2747.57,0.8828,0.9507,0.9745,0.8179,0.12086
2025-08-22,P03,L05,33666,30346,1414,599,1295.73,78.43,3859.71,0.9288,0.9014,0.9555,0.8,0.12719
2025-08-22,P03,L06,86540,79324,2891,1199,1216.24,139.11,11402.28,0.8719,0.9166,0.9648,0.7711,0.14374
2025-08-23,P01,L02,39545,38846,963,509,807.64,80.49,5077.6,0.579,0.9823,0.9758,0.555,0.13071
2025-08-23,P02,L03,10381,9415,311,91,444.26,9.87,656.92,0.3185,0.9069,0.968,0.2796,0.06977
2025-08-23,P02,L04,16030,14035,346,155,807.02,80.86,1484.05,0.5785,0.8755,0.9759,0.4943,0.10574
2025-08-23,P03,L06,72359,66927,2899,822,1269.25,91.98,7138.54,0.9099,0.9249,0.9585,0.8066,0.10666
2025-08-24,P01,L01,12885,12317,424,113,394.48,70.52,1237.92,0.2828,0.9559,0.9667,0.2613,0.10051
2025-08-24,P01,L02,39969,35988,821,353,776.23,129.4,5901.99,0.5564,0.9004,0.9777,0.4898,0.164
2025-08-24,P02,L03,31407,28457,1503,508,1225.46,120.96,2709.13,0.8785,0.9061,0.9498,0.756,0.0952
2025-08-24,P02,L04,7638,6457,254,85,412.58,52.42,533.18,0.2958,0.8454,0.9622,0.2406,0.08257
2025-08-24,P03,L05,24271,22557,455,192,778.15,123.83,2932.6,0.5578,0.9294,0.9802,0.5082,0.13001
2025-08-24,P03,L06,18911,18260,301,100,420.32,33.95,2372.59,0.3013,0.9656,0.9838,0.2862,0.12993
2025-08-25,P01,L01,58623,52593,2198,780,1242.94,107.59,6275.39,0.891,0.8971,0.9599,0.7673,0.11932
2025-08-25,P01,L02,55920,51328,1257,551,1211.24,140.21,5193.96,0.8683,0.9179,0.9761,0.7779,0.10119
2025-08-25,P02,L03,56409,50676,1695,538,1204.25,129.9,7254.27,0.8633,0.8984,0.9676,0.7504,0.14315
2025-08-25,P02,L04,28776,27727,984,348,1268.82,93.84,3928.92,0.9096,0.9635,0.9657,0.8464,0.1417
2025-08-25,P03,L05,49849,45906,851,237,1201.84,144.7,4690.38,0.8615,0.9209,0.9818,0.7789,0.10217
2025-08-25,P03,L06,76520,67959,3366,1166,1191.18,148.3,10023.81,0.8539,0.8881,0.9528,0.7226,0.1475
2025-08-26,P01,L01,58466,52097,2196,835,1138.15,213.22,6641.85,0.8159,0.8911,0.9596,0.6976,0.12749
2025-08-26,P01,L02,74640,68942,2906,968,1233.12,145.48,8933.01,0.884,0.9237,0.9596,0.7835,0.12957
2025-08-26,P02,L03,38901,35419,1300,475,1214.55,141.83,5470.42,0.8706,0.9105,0.9646,0.7646,0.15445
2025-08-26,P02,L04,31068,29684,952,420,1217.43,138.72,3889.71,0.8727,0.9555,0.9689,0.8079,0.13104
2025-08-26,P03,L05,40667,34774,1463,464,1191.48,164.62,4889.61,0.8541,0.8551,0.9596,0.7009,0.14061
2025-08-26,P03,L06,83224,73428,3350,1020,1180.54,178.32,11065.44,0.8463,0.8823,0.9564,0.7141,0.1507
2025-08-27,P01,L01,52561,47029,2210,962,1255.88,96.41,5561.19,0.9003,0.8948,0.9551,0.7694,0.11825
2025-08-27,P01,L02,81942,75043,2836,1094,1145.92,181.02,9758.76,0.8214,0.9158,0.9636,0.7249,0.13004
2025-08-27,P02,L03,45060,40303,1619,708,1211.01,165.94,6696.6,0.8681,0.8944,0.9614,0.7465,0.16616
2025-08-27,P02,L04,38864,35799,788,249,1289.09,68.58,3612.33,0.9241,0.9211,0.9785,0.8329,0.10091
2025-08-27,P03,L05,43626,39018,1616,486,1218.82,151.57,5086.82,0.8737,0.8944,0.9602,0.7503,0.13037
2025-08-27,P03,L06,77367,68478,2426,886,1217.84,127.74,7083.97,0.873,0.8851,0.9658,0.7463,0.10345
2025-08-28,P01,L01,51762,46648,1247,607,1210.99,148.82,5269.03,0.8681,0.9012,0.974,0.762,0.11295
2025-08-28,P01,L02,73336,66937,2443,1015,1169.13,175.52,6979.19,0.8381,0.9127,0.9648,0.738,0.10427
2025-08-28,P02,L03,62671,56576,1732,577,1230.59,113.81,7215.12,0.8821,0.9027,0.9703,0.7727,0.12753
2025-08-28,P02,L04,39204,33529,1281,534,1260.46,119.09,4710.59,0.9036,0.8552,0.9632,0.7443,0.14049
2025-08-28,P03,L05,42438,38766,1731,644,1149.5,207.52,6084.29,0.824,0.9135,0.9573,0.7205,0.15695
2025-08-28,P03,L06,90482,87673,1925,658,1215.24,123.76,5964.82,0.8711,0.969,0.9785,0.826,0.06803
2025-08-29,P01,L01,46753,41956,1642,628,1162.86,172.59,5666.57,0.8336,0.8974,0.9623,0.7199,0.13506
2025-08-29,P01,L02,73824,63351,2578,845,1222.33,133.79,6932.31,0.8762,0.8581,0.9609,0.7225,0.10943
2025-08-29,P02,L03,50342,45384,1809,825,1224.52,126.54,6571.58,0.8778,0.9015,0.9617,0.761,0.1448
2025-08-29,P02,L04,25402,24496,692,214,1204.53,167.72,2978.37,0.8635,0.9643,0.9725,0.8098,0.12159
2025-08-29,P03,L05,40834,36345,1207,405,1277.31,97.73,4194.89,0.9156,0.8901,0.9679,0.7888,0.11542
2025-08-29,P03,L06,86853,78821,2897,1120,1145.12,193.8,9123.31,0.8209,0.9075,0.9645,0.7186,0.11575
2025-08-30,P01,L01,32691,30149,816,364,830.31,59.51,3423.47,0.5952,0.9222,0.9736,0.5345,0.11355
2025-08-30,P01,L02,63465,61470,2284,1099,1193.15,144.51,8744.59,0.8553,0.9686,0.9642,0.7987,0.14226
2025-08-30,P02,L04,9530,9344,414,204,420.87,35.96,1256.17,0.3017,0.9805,0.9576,0.2833,0.13444
2025-08-30,P03,L05,14775,13183,497,209,854.39,68.34,1794.87,0.6125,0.8923,0.9637,0.5266,0.13615
2025-08-30,P03,L06,35787,30302,1204,409,808.3,85.75,3954.5,0.5794,0.8467,0.9618,0.4719,0.1305
2025-08-31,P01,L01,26263,24244,785,238,824.73,88.56,2672.31,0.5912,0.9231,0.9686,0.5286,0.11023
2025-08-31,P01,L02,22721,19578,786,321,407.31,49.41,1846.65,0.292,0.8617,0.9614,0.2419,0.09432
2025-08-31,P02,L03,29660,26007,924,279,835.6,80.09,3429.01,0.599,0.8768,0.9657,0.5072,0.13185
2025-08-31,P02,L04,23243,22266,888,387,1200.44,141.26,2830.76,0.8605,0.958,0.9616,0.7927,0.12713
2025-08-31,P03,L05,21917,20637,382,161,788.07,81.38,2333.89,0.5649,0.9416,0.9818,0.5223,0.11309
2025-08-31,P03,L06,36020,34821,745,342,798.59,105.62,2867.27,0.5725,0.9667,0.9791,0.5418,0.08234
2025-09-01,P01,L01,54726,52904,1816,614,1270.08,57.54,4918.5,0.9105,0.9667,0.9668,0.8509,0.09297
2025-09-01,P01,L02,67640,61934,2247,1021,1212.88,152.25,8292.22,0.8694,0.9156,0.965,0.7682,0.13389
2025-09-01,P02,L03,57227,53840,1560,525,1170.77,177.97,8315.94,0.8393,0.9408,0.9718,0.7674,0.15446
2025-09-01,P02,L04,31164,29088,1018,318,1253.2,84.69,2639.36,0.8984,0.9334,0.9662,0.8102,0.09074
2025-09-01,P03,L05,44939,42384,1488,534,1239.12,129.36,5050.99,0.8883,0.9431,0.9661,0.8093,0.11917
2025-09-01,P03,L06,68038,64600,1694,684,1250.63,104.81,9753.12,0.8965,0.9495,0.9744,0.8295,0.15098
2025-09-02,P01,L01,53391,48259,1759,622,1183.0,169.59,6498.06,0.848,0.9039,0.9648,0.7396,0.13465
2025-09-02,P01,L02,88652,87022,3323,1614,1200.19,160.45,13116.97,0.8604,0.9816,0.9632,0.8135,0.15073
2025-09-02,P02,L03,46382,42831,936,359,1179.77,178.56,5480.89,0.8457,0.9234,0.9786,0.7643,0.12797
2025-09-02,P02,L04,34565,30750,1126,354,1186.33,155.53,3784.29,0.8504,0.8896,0.9647,0.7298,0.12307
2025-09-02,P03,L05,36138,33365,1647,544,1172.04,158.6,4546.95,0.8402,0.9233,0.953,0.7392,0.13628
2025-09-02,P03,L06,80180,77777,2068,805,1227.37,151.41,8577.28,0.8798,0.97,0.9741,0.8314,0.11028
2025-09-03,P01,L01,52099,49734,1198,386,1219.57,146.56,6318.2,0.8742,0.9546,0.9765,0.8149,0.12704
2025-09-03,P01,L02,62738,59377,1350,539,1159.83,188.3,6769.39,0.8314,0.9464,0.9778,0.7694,0.11401
2025-09-03,P02,L03,49327,44796,1570,769,1172.23,196.28,7210.83,0.8403,0.9081,0.9661,0.7373,0.16097
2025-09-03,P02,L04,35321,31096,1025,410,1215.44,141.95,3932.76,0.8713,0.8804,0.9681,0.7426,0.12647
2025-09-03,P03,L05,51118,48150,1270,473,1274.07,54.76,8047.74,0.9133,0.9419,0.9743,0.8382,0.16714
2025-09-03,P03,L06,94938,84076,3494,1553,1248.49,106.25,9822.54,0.895,0.8856,0.9601,0.761,0.11683
2025-09-04,P01,L01,56737,52418,2071,996,1254.09,124.29,5616.97,0.899,0.9239,0.962,0.799,0.10716
2025-09-04,P01,L02,86805,81871,3126,1016,1255.96,76.75,9561.13,0.9003,0.9432,0.9632,0.8179,0.11678
2025-09-04,P02,L03,49771,43052,1972,781,1189.25,169.84,4905.01,0.8525,0.865,0.9562,0.7051,0.11393
2025-09-04,P02,L04,37247,34384,1379,672,1235.76,131.89,3696.65,0.8859,0.9231,0.9614,0.7862,0.10751
2025-09-04,P03,L05,40210,36979,982,337,1221.47,155.65,4203.4,0.8756,0.9196,0.9741,0.7844,0.11367
2025-09-04,P03,L06,89449,81121,3100,886,1148.31,206.52,7920.16,0.8232,0.9069,0.9632,0.719,0.09763
2025-09-05,P01,L01,52792,48978,1298,560,1268.48,105.38,4645.66,0.9093,0.9278,0.9742,0.8218,0.09485
2025-09-05,P01,L02,88853,87073,2678,1200,1267.96,113.56,12647.73,0.9089,0.98,0.9702,0.8641,0.14525
2025-09-05,P02,L03,43763,40002,1157,385,1239.72,123.16,4811.3,0.8887,0.9141,0.9719,0.7895,0.12028
2025-09-05,P02,L04,29660,29758,412,172,1223.54,141.0,3130.59,0.8771,1.0033,0.9863,0.868,0.1052
2025-09-05,P03,L05,48559,45247,1601,609,1194.04,167.27,6601.11,0.8559,0.9318,0.9658,0.7703,0.14589
2025-09-05,P03,L06,68172,61436,2557,999,1158.33,150.41,9925.93,0.8303,0.9012,0.96,0.7184,0.16157
2025-09-06,P01,L01,15042,14219,70,17,426.24,37.53,1321.75,0.3055,0.9453,0.9951,0.2874,0.09296
2025-09-06,P01,L02,23200,20554,386,166,353.14,87.51,3371.66,0.2531,0.8859,0.9816,0.2201,0.16404
2025-09-06,P02,L03,31901,28589,1275,270,785.39,125.53,4414.42,0.563,0.8962,0.9573,0.483,0.15441
2025-09-06,P02,L04,16357,15345,719,335,903.64,18.98,1654.22,0.6478,0.9381,0.9552,0.5805,0.1078
2025-09-06,P03,L05,12954,11890,781,342,403.82,52.2,2079.06,0.2895,0.9179,0.9384,0.2493,0.17486
2025-09-06,P03,L06,42285,40639,1166,327,860.34,51.62,4628.37,0.6167,0.9611,0.9721,0.5762,0.11389
2025-09-07,P01,L01,26834,24309,597,229,785.04,118.47,2687.26,0.5628,0.9059,0.976,0.4976,0.11055
2025-09-07,P01,L02,37146,33670,1867,832,877.55,48.94,5591.38,0.6291,0.9064,0.9475,0.5402,0.16606
2025-09-07,P02,L03,26935,23965,782,334,869.81,60.19,2495.83,0.6235,0.8897,0.9684,0.5372,0.10414
2025-09-07,P02,L04,17718,16154,490,213,761.66,137.7,2063.47,0.546,0.9117,0.9706,0.4831,0.12774
2025-09-07,P03,L05,18375,16545,566,124,862.18,55.7,1401.23,0.618,0.9004,0.9669,0.5381,0.08469
