shift_record_id,production_date,plant_id,line_id,shift_id,planned_output,good_output,scrap_quantity,rework_quantity,runtime_minutes,downtime_minutes,labor_hours,energy_kwh,oee_estimate,supervisor_id,source_system
SHIFT-20250802-L06-C_Night,2025-08-02,P03,L06,C_Night,19589,16193,824,274,360.19,75.87,44.11,1811.82,0.6403,SUPV-009,MES_SHIFT
SHIFT-20250803-L02-B_Evening,2025-08-03,P01,L02,B_Evening,15697,14600,694,328,444.06,15.55,38.25,2697.47,0.8882,SUPV-008,MES_SHIFT
SHIFT-20250803-L03-A_Day,2025-08-03,P02,L03,A_Day,12303,11495,93,43,452.45,0,40.42,1446.26,0.9091,SUPV-015,MES_SHIFT
SHIFT-20250803-L03-C_Night,2025-08-03,P02,L03,C_Night,11228,9530,370,118,393.65,65.55,43.7,1230.57,0.7185,SUPV-004,MES_SHIFT
SHIFT-20250803-L04-B_Evening,2025-08-03,P02,L04,B_Evening,9473,8517,280,61,371.84,85.23,42.08,1148.49,0.719,SUPV-002,MES_SHIFT
SHIFT-20250803-L04-C_Night,2025-08-03,P02,L04,C_Night,6680,6009,252,127,405.78,59.22,40.58,806.48,0.785,SUPV-014,MES_SHIFT
SHIFT-20250803-L05-B_Evening,2025-08-03,P03,L05,B_Evening,11315,10785,283,66,440.43,9.79,44.63,1470.26,0.9028,SUPV-018,MES_SHIFT
SHIFT-20250803-L06-C_Night,2025-08-03,P03,L06,C_Night,22487,20071,972,353,384.07,68.7,41.8,2875.64,0.7372,SUPV-001,MES_SHIFT
SHIFT-20250804-L01-A_Day,2025-08-04,P01,L01,A_Day,14594,12536,169,91,451.88,13.12,39.65,1134.23,0.8347,SUPV-007,MES_SHIFT
SHIFT-20250804-L01-B_Evening,2025-08-04,P01,L01,B_Evening,19969,17410,453,115,403.78,61.22,40.44,2995.96,0.7571,SUPV-014,MES_SHIFT
SHIFT-20250804-L01-C_Night,2025-08-04,P01,L01,C_Night,18918,18106,615,252,427.85,29.44,42.39,1919.03,0.8806,SUPV-009,MES_SHIFT
SHIFT-20250804-L02-A_Day,2025-08-04,P01,L02,A_Day,18839,17815,829,391,411.64,25.05,43.49,1860.56,0.8371,SUPV-001,MES_SHIFT
SHIFT-20250804-L02-B_Evening,2025-08-04,P01,L02,B_Evening,17169,16762,753,216,387.16,75.47,46.76,1791.53,0.8129,SUPV-005,MES_SHIFT
SHIFT-20250804-L02-C_Night,2025-08-04,P01,L02,C_Night,25650,25089,357,145,428.02,10.05,38.44,2362.53,0.9004,SUPV-012,MES_SHIFT
SHIFT-20250804-L03-A_Day,2025-08-04,P02,L03,A_Day,15757,14719,500,123,402.28,46.72,47.23,1814.23,0.8081,SUPV-017,MES_SHIFT
SHIFT-20250804-L03-B_Evening,2025-08-04,P02,L03,B_Evening,13038,11974,329,93,411.69,46.08,39.92,1482.17,0.8131,SUPV-011,MES_SHIFT
SHIFT-20250804-L03-C_Night,2025-08-04,P02,L03,C_Night,18793,18287,450,230,401.84,34.95,38.44,3305.29,0.8409,SUPV-014,MES_SHIFT
SHIFT-20250804-L04-A_Day,2025-08-04,P02,L04,A_Day,8525,7285,369,101,396.49,67.02,40.33,1072.67,0.7286,SUPV-017,MES_SHIFT
SHIFT-20250804-L04-B_Evening,2025-08-04,P02,L04,B_Evening,9234,8540,51,22,415.7,23.57,46.88,1213.08,0.8268,SUPV-018,MES_SHIFT
SHIFT-20250804-L04-C_Night,2025-08-04,P02,L04,C_Night,10904,9428,252,100,404.1,43.67,46.72,1506.52,0.7514,SUPV-014,MES_SHIFT
SHIFT-20250804-L05-A_Day,2025-08-04,P03,L05,A_Day,12713,12167,370,75,415.89,26.85,41.78,1581.04,0.856,SUPV-002,MES_SHIFT
SHIFT-20250804-L05-B_Evening,2025-08-04,P03,L05,B_Evening,14553,13220,389,91,409.61,32.98,46.01,1886.97,0.8002,SUPV-008,MES_SHIFT
SHIFT-20250804-L05-C_Night,2025-08-04,P03,L05,C_Night,13243,11744,589,143,425.79,33.26,41.12,1478.55,0.812,SUPV-003,MES_SHIFT
SHIFT-20250804-L06-A_Day,2025-08-04,P03,L06,A_Day,24725,21420,1025,368,408.69,50.76,41.87,2371.41,0.7614,SUPV-010,MES_SHIFT
SHIFT-20250804-L06-B_Evening,2025-08-04,P03,L06,B_Evening,21380,18201,589,320,416.27,45.54,40.67,1994.19,0.7621,SUPV-014,MES_SHIFT
SHIFT-20250804-L06-C_Night,2025-08-04,P03,L06,C_Night,25841,22176,678,190,442.43,3.47,43.1,2377.25,0.8165,SUPV-002,MES_SHIFT
SHIFT-20250805-L01-A_Day,2025-08-05,P01,L01,A_Day,12544,11554,448,206,404.12,42.09,39.28,1348.97,0.8005,SUPV-004,MES_SHIFT
SHIFT-20250805-L01-B_Evening,2025-08-05,P01,L01,B_Evening,15376,14731,463,136,408.4,41.24,38.5,1721.08,0.8414,SUPV-005,MES_SHIFT
SHIFT-20250805-L01-C_Night,2025-08-05,P01,L01,C_Night,14839,13341,606,178,380.25,67.95,40.99,1501.43,0.7352,SUPV-001,MES_SHIFT
SHIFT-20250805-L02-A_Day,2025-08-05,P01,L02,A_Day,31221,28356,261,131,425.38,23.62,39.45,1971.13,0.8309,SUPV-007,MES_SHIFT
SHIFT-20250805-L02-B_Evening,2025-08-05,P01,L02,B_Evening,25731,22990,532,169,435.59,16.76,47.3,1835.68,0.837,SUPV-002,MES_SHIFT
SHIFT-20250805-L02-C_Night,2025-08-05,P01,L02,C_Night,26341,24668,795,420,427.34,23.51,43.13,2016.32,0.8606,SUPV-004,MES_SHIFT
SHIFT-20250805-L03-A_Day,2025-08-05,P02,L03,A_Day,18013,15847,318,79,409.04,36.64,38.44,1058.81,0.7739,SUPV-005,MES_SHIFT
SHIFT-20250805-L03-B_Evening,2025-08-05,P02,L03,B_Evening,15046,13326,404,103,421.19,24.9,41.33,1612.58,0.8022,SUPV-018,MES_SHIFT
SHIFT-20250805-L03-C_Night,2025-08-05,P02,L03,C_Night,14856,13695,0,0,390.66,58.91,40.51,1278.31,0.7745,SUPV-007,MES_SHIFT
SHIFT-20250805-L04-A_Day,2025-08-05,P02,L04,A_Day,8119,7555,202,73,437.81,25.59,44.82,1038.12,0.8761,SUPV-016,MES_SHIFT
SHIFT-20250805-L04-B_Evening,2025-08-05,P02,L04,B_Evening,6878,6034,211,77,388.88,62.18,43.72,632.79,0.7337,SUPV-006,MES_SHIFT
SHIFT-20250805-L04-C_Night,2025-08-05,P02,L04,C_Night,9558,8625,402,219,367.99,97.01,47.3,1054.29,0.7141,SUPV-012,MES_SHIFT
SHIFT-20250805-L05-A_Day,2025-08-05,P03,L05,A_Day,12546,11746,243,75,412.78,50.82,46.35,1129.67,0.8311,SUPV-001,MES_SHIFT
SHIFT-20250805-L05-B_Evening,2025-08-05,P03,L05,B_Evening,15402,13745,404,87,412.5,29.67,41.04,1486.25,0.7917,SUPV-013,MES_SHIFT
SHIFT-20250805-L05-C_Night,2025-08-05,P03,L05,C_Night,9861,9275,118,53,397.1,67.29,39.18,1045.56,0.8032,SUPV-004,MES_SHIFT
SHIFT-20250805-L06-A_Day,2025-08-05,P03,L06,A_Day,28992,25683,430,152,435.38,18.23,40.67,2465.49,0.8294,SUPV-002,MES_SHIFT
SHIFT-20250805-L06-B_Evening,2025-08-05,P03,L06,B_Evening,28888,26617,1225,329,429.19,25.56,46.95,3228.93,0.8504,SUPV-018,MES_SHIFT
SHIFT-20250805-L06-C_Night,2025-08-05,P03,L06,C_Night,19467,17641,561,250,392.84,62.62,44.32,2184.35,0.7656,SUPV-008,MES_SHIFT
SHIFT-20250806-L01-A_Day,2025-08-06,P01,L01,A_Day,14497,12880,528,212,455.01,1.79,39.11,1173.73,0.8694,SUPV-014,MES_SHIFT
SHIFT-20250806-L01-B_Evening,2025-08-06,P01,L01,B_Evening,14777,13724,401,122,396.01,50.67,45.69,1404.11,0.7909,SUPV-005,MES_SHIFT
SHIFT-20250806-L01-C_Night,2025-08-06,P01,L01,C_Night,11652,9979,591,158,407.55,47.59,44.39,1397.22,0.7506,SUPV-012,MES_SHIFT
SHIFT-20250806-L02-A_Day,2025-08-06,P01,L02,A_Day,25343,24321,1084,431,373.68,79.31,38.08,2712.91,0.7712,SUPV-005,MES_SHIFT
SHIFT-20250806-L02-B_Evening,2025-08-06,P01,L02,B_Evening,27492,23816,824,449,416.18,47.72,42.79,3302.14,0.7753,SUPV-001,MES_SHIFT
SHIFT-20250806-L02-C_Night,2025-08-06,P01,L02,C_Night,20170,19491,950,401,409.66,46.07,45.96,2498.24,0.8513,SUPV-003,MES_SHIFT
SHIFT-20250806-L03-A_Day,2025-08-06,P02,L03,A_Day,11599,10771,164,75,427.78,10.44,47.77,814.3,0.8543,SUPV-015,MES_SHIFT
SHIFT-20250806-L03-B_Evening,2025-08-06,P02,L03,B_Evening,14722,14270,362,190,464.41,0,43.17,956.48,0.9681,SUPV-003,MES_SHIFT
SHIFT-20250806-L03-C_Night,2025-08-06,P02,L03,C_Night,14617,12759,589,267,426.36,33.53,46.37,862.96,0.8003,SUPV-008,MES_SHIFT
SHIFT-20250806-L04-A_Day,2025-08-06,P02,L04,A_Day,9450,8656,266,81,440.55,24.45,40.63,1166.7,0.8678,SUPV-001,MES_SHIFT
SHIFT-20250806-L04-B_Evening,2025-08-06,P02,L04,B_Evening,7730,6582,179,66,380.39,75.87,39.81,968.55,0.6966,SUPV-004,MES_SHIFT
SHIFT-20250806-L04-C_Night,2025-08-06,P02,L04,C_Night,10311,9955,500,184,389.25,63.18,44.84,1293.41,0.8082,SUPV-014,MES_SHIFT
SHIFT-20250806-L05-A_Day,2025-08-06,P03,L05,A_Day,15288,14317,413,155,372.29,64.29,47.18,1539.06,0.7498,SUPV-002,MES_SHIFT
SHIFT-20250806-L05-B_Evening,2025-08-06,P03,L05,B_Evening,15770,14986,492,163,440.11,8.05,38.89,1300.86,0.8994,SUPV-001,MES_SHIFT
SHIFT-20250806-L05-C_Night,2025-08-06,P03,L05,C_Night,14296,13392,536,176,439.56,12.57,38.49,1152.13,0.8855,SUPV-008,MES_SHIFT
SHIFT-20250806-L06-A_Day,2025-08-06,P03,L06,A_Day,27204,23545,470,193,387.44,59.06,38.77,2552.01,0.7211,SUPV-012,MES_SHIFT
SHIFT-20250806-L06-B_Evening,2025-08-06,P03,L06,B_Evening,23369,20148,748,209,386.66,60.08,41.36,2325.09,0.7169,SUPV-003,MES_SHIFT
SHIFT-20250806-L06-C_Night,2025-08-06,P03,L06,C_Night,20423,17875,435,106,371.02,63.27,46.7,1760.43,0.6984,SUPV-013,MES_SHIFT
SHIFT-20250807-L01-A_Day,2025-08-07,P01,L01,A_Day,14662,12428,265,121,388.46,66.17,45.08,1285.77,0.7081,SUPV-011,MES_SHIFT
SHIFT-20250807-L01-B_Evening,2025-08-07,P01,L01,B_Evening,13713,13281,45,15,360.49,75.76,47.98,1213.36,0.7508,SUPV-004,MES_SHIFT
SHIFT-20250807-L01-C_Night,2025-08-07,P01,L01,C_Night,19868,17287,587,202,409.89,55.11,46.77,1798.5,0.767,SUPV-010,MES_SHIFT
SHIFT-20250807-L02-A_Day,2025-08-07,P01,L02,A_Day,33766,31077,924,399,418.72,39.55,44.69,3133.77,0.8288,SUPV-003,MES_SHIFT
SHIFT-20250807-L02-B_Evening,2025-08-07,P01,L02,B_Evening,21490,19044,840,378,426.7,29.87,41.76,3207.17,0.8132,SUPV-003,MES_SHIFT
SHIFT-20250807-L02-C_Night,2025-08-07,P01,L02,C_Night,26384,23517,1729,420,395.11,69.89,45.45,2242.31,0.7574,SUPV-001,MES_SHIFT
SHIFT-20250807-L03-A_Day,2025-08-07,P02,L03,A_Day,16601,15725,569,187,382.85,69.46,40.06,1846.76,0.7799,SUPV-002,MES_SHIFT
SHIFT-20250807-L03-B_Evening,2025-08-07,P02,L03,B_Evening,16295,16104,653,318,431.95,30.24,41.36,2309.03,0.918,SUPV-002,MES_SHIFT
SHIFT-20250807-L03-C_Night,2025-08-07,P02,L03,C_Night,19856,19495,624,200,407.76,52.52,46.4,2362.07,0.861,SUPV-004,MES_SHIFT
SHIFT-20250807-L04-A_Day,2025-08-07,P02,L04,A_Day,8910,8668,306,103,389.92,59.85,42.45,1087.7,0.8158,SUPV-016,MES_SHIFT
SHIFT-20250807-L04-B_Evening,2025-08-07,P02,L04,B_Evening,10769,9079,266,106,415.48,38.62,46.64,1018.26,0.7533,SUPV-011,MES_SHIFT
SHIFT-20250807-L04-C_Night,2025-08-07,P02,L04,C_Night,13015,11372,303,94,425.37,30.39,39.75,1305.45,0.7993,SUPV-018,MES_SHIFT
SHIFT-20250807-L05-A_Day,2025-08-07,P03,L05,A_Day,11243,10390,357,142,447.56,17.44,40.17,1304.53,0.8895,SUPV-008,MES_SHIFT
SHIFT-20250807-L05-B_Evening,2025-08-07,P03,L05,B_Evening,11561,11406,157,53,399.22,49.2,47.58,1486.71,0.847,SUPV-011,MES_SHIFT
SHIFT-20250807-L05-C_Night,2025-08-07,P03,L05,C_Night,14826,14020,757,258,450.48,14.52,42.04,2120.07,0.9161,SUPV-007,MES_SHIFT
SHIFT-20250807-L06-A_Day,2025-08-07,P03,L06,A_Day,26952,25120,537,137,436.46,28.54,45.73,3082.82,0.8748,SUPV-011,MES_SHIFT
SHIFT-20250807-L06-B_Evening,2025-08-07,P03,L06,B_Evening,26432,23982,963,497,418.94,29.68,41.79,2390.12,0.8174,SUPV-003,MES_SHIFT
SHIFT-20250807-L06-C_Night,2025-08-07,P03,L06,C_Night,25894,22389,726,248,373.74,77.7,46.0,2366.62,0.695,SUPV-011,MES_SHIFT
SHIFT-20250808-L01-A_Day,2025-08-08,P01,L01,A_Day,15265,13724,752,241,414.42,38.28,44.67,1949.55,0.8013,SUPV-004,MES_SHIFT
SHIFT-20250808-L01-B_Evening,2025-08-08,P01,L01,B_Evening,14821,12429,347,143,343.05,107.43,39.09,1739.99,0.6187,SUPV-003,MES_SHIFT
SHIFT-20250808-L01-C_Night,2025-08-08,P01,L01,C_Night,21834,18925,824,360,408.22,46.01,45.91,3072.48,0.7609,SUPV-015,MES_SHIFT
SHIFT-20250808-L02-A_Day,2025-08-08,P01,L02,A_Day,33227,28101,1251,544,350.71,78.27,47.08,4536.01,0.6379,SUPV-010,MES_SHIFT
SHIFT-20250808-L02-B_Evening,2025-08-08,P01,L02,B_Evening,32753,32766,1160,371,425.62,31.02,42.8,5412.51,0.9157,SUPV-007,MES_SHIFT
SHIFT-20250808-L02-C_Night,2025-08-08,P01,L02,C_Night,23676,22117,1106,222,412.51,46.72,39.46,3342.6,0.8287,SUPV-012,MES_SHIFT
SHIFT-20250808-L03-A_Day,2025-08-08,P02,L03,A_Day,13404,13252,632,345,387.72,59.46,45.52,1889.21,0.8243,SUPV-004,MES_SHIFT
SHIFT-20250808-L03-B_Evening,2025-08-08,P02,L03,B_Evening,14828,12926,99,53,421.17,37.1,39.92,1692.72,0.7896,SUPV-006,MES_SHIFT
SHIFT-20250808-L03-C_Night,2025-08-08,P02,L03,C_Night,12994,11879,345,82,442.8,14.07,43.56,1396.0,0.8706,SUPV-017,MES_SHIFT
SHIFT-20250808-L04-A_Day,2025-08-08,P02,L04,A_Day,11755,10935,286,154,423.49,25.52,47.14,1077.5,0.8472,SUPV-004,MES_SHIFT
SHIFT-20250808-L04-B_Evening,2025-08-08,P02,L04,B_Evening,11862,10942,262,73,419.84,30.11,40.61,1166.83,0.8329,SUPV-009,MES_SHIFT
SHIFT-20250808-L04-C_Night,2025-08-08,P02,L04,C_Night,11150,10108,121,30,402.11,47.39,41.77,984.23,0.7839,SUPV-004,MES_SHIFT
SHIFT-20250808-L05-A_Day,2025-08-08,P03,L05,A_Day,14116,12458,12,6,400.24,44.65,41.97,1333.83,0.7596,SUPV-017,MES_SHIFT
SHIFT-20250808-L05-B_Evening,2025-08-08,P03,L05,B_Evening,11419,11212,288,131,391.17,50.8,41.96,2263.91,0.826,SUPV-013,MES_SHIFT
SHIFT-20250808-L05-C_Night,2025-08-08,P03,L05,C_Night,10450,8924,272,91,412.76,39.83,38.38,954.55,0.758,SUPV-006,MES_SHIFT
SHIFT-20250808-L06-A_Day,2025-08-08,P03,L06,A_Day,21271,21135,392,111,408.32,43.35,39.11,1287.4,0.8725,SUPV-002,MES_SHIFT
SHIFT-20250808-L06-B_Evening,2025-08-08,P03,L06,B_Evening,20541,19092,406,178,404.21,56.8,39.87,1446.67,0.808,SUPV-009,MES_SHIFT
SHIFT-20250808-L06-C_Night,2025-08-08,P03,L06,C_Night,23896,21976,1069,394,398.2,46.88,40.17,1520.75,0.7875,SUPV-014,MES_SHIFT
SHIFT-20250809-L01-A_Day,2025-08-09,P01,L01,A_Day,9774,9130,336,167,418.63,46.37,46.73,1213.59,0.841,SUPV-016,MES_SHIFT
SHIFT-20250809-L01-B_Evening,2025-08-09,P01,L01,B_Evening,11804,9597,593,220,414.79,50.21,47.8,1639.15,0.7252,SUPV-017,MES_SHIFT
SHIFT-20250809-L01-C_Night,2025-08-09,P01,L01,C_Night,13021,12016,667,270,447.06,17.1,40.24,2064.28,0.8872,SUPV-016,MES_SHIFT
SHIFT-20250809-L02-A_Day,2025-08-09,P01,L02,A_Day,22001,19353,584,266,395.64,52.21,38.48,2632.26,0.7484,SUPV-013,MES_SHIFT
SHIFT-20250809-L02-B_Evening,2025-08-09,P01,L02,B_Evening,22487,21184,343,182,397.14,55.76,47.79,1506.26,0.8046,SUPV-017,MES_SHIFT
SHIFT-20250809-L03-B_Evening,2025-08-09,P02,L03,B_Evening,9884,9471,320,169,426.73,31.09,40.08,1274.96,0.8794,SUPV-017,MES_SHIFT
SHIFT-20250809-L03-C_Night,2025-08-09,P02,L03,C_Night,10291,8890,382,182,373.92,64.49,47.87,1605.18,0.6947,SUPV-011,MES_SHIFT
SHIFT-20250809-L04-B_Evening,2025-08-09,P02,L04,B_Evening,7094,6038,96,26,364.59,73.49,47.6,543.15,0.6673,SUPV-008,MES_SHIFT
SHIFT-20250809-L04-C_Night,2025-08-09,P02,L04,C_Night,7991,7098,163,49,400.9,61.48,39.59,700.44,0.7658,SUPV-016,MES_SHIFT
SHIFT-20250809-L05-A_Day,2025-08-09,P03,L05,A_Day,11207,11238,61,29,422.92,42.08,44.89,1018.6,0.912,SUPV-018,MES_SHIFT
SHIFT-20250809-L05-B_Evening,2025-08-09,P03,L05,B_Evening,8438,7128,147,73,392.57,62.65,38.06,491.92,0.7132,SUPV-012,MES_SHIFT
SHIFT-20250809-L06-C_Night,2025-08-09,P03,L06,C_Night,21149,19052,638,271,395.51,37.58,43.99,2654.79,0.7662,SUPV-013,MES_SHIFT
SHIFT-20250810-L01-B_Evening,2025-08-10,P01,L01,B_Evening,14359,13871,482,148,429.61,31.03,47.12,1618.66,0.8925,SUPV-007,MES_SHIFT
SHIFT-20250810-L02-B_Evening,2025-08-10,P01,L02,B_Evening,13365,11545,339,137,428.61,26.78,45.24,982.0,0.7962,SUPV-013,MES_SHIFT
SHIFT-20250810-L03-A_Day,2025-08-10,P02,L03,A_Day,14321,12187,287,137,433.59,7.89,47.07,1157.89,0.7935,SUPV-007,MES_SHIFT
SHIFT-20250810-L03-B_Evening,2025-08-10,P02,L03,B_Evening,10557,10322,97,29,414.56,31.37,38.39,1024.96,0.8717,SUPV-009,MES_SHIFT
SHIFT-20250810-L04-A_Day,2025-08-10,P02,L04,A_Day,9993,9227,351,173,465,0,38.8,980.54,0.9233,SUPV-009,MES_SHIFT
SHIFT-20250810-L04-B_Evening,2025-08-10,P02,L04,B_Evening,7968,7413,391,98,413.06,48.01,45.08,1042.19,0.8264,SUPV-001,MES_SHIFT
SHIFT-20250810-L04-C_Night,2025-08-10,P02,L04,C_Night,9059,7674,343,160,401.92,55.23,38.19,1069.9,0.7322,SUPV-011,MES_SHIFT
SHIFT-20250810-L05-B_Evening,2025-08-10,P03,L05,B_Evening,11970,12212,124,51,399.8,65.2,44.1,1056.42,0.8772,SUPV-008,MES_SHIFT
SHIFT-20250810-L05-C_Night,2025-08-10,P03,L05,C_Night,10166,10209,233,101,426.57,26.26,38.43,1030.71,0.9212,SUPV-007,MES_SHIFT
SHIFT-20250810-L06-A_Day,2025-08-10,P03,L06,A_Day,18769,16341,707,326,410.59,38.2,46.8,1744.59,0.7688,SUPV-010,MES_SHIFT
SHIFT-20250810-L06-B_Evening,2025-08-10,P03,L06,B_Evening,18280,15711,347,136,403.03,32.32,45.27,1471.81,0.7449,SUPV-012,MES_SHIFT
SHIFT-20250810-L06-C_Night,2025-08-10,P03,L06,C_Night,21204,18556,591,197,414.23,43.81,44.02,1551.62,0.7796,SUPV-010,MES_SHIFT
SHIFT-20250811-L01-A_Day,2025-08-11,P01,L01,A_Day,14970,13269,76,18,374.82,64.9,41.41,1283.84,0.7145,SUPV-001,MES_SHIFT
SHIFT-20250811-L01-B_Evening,2025-08-11,P01,L01,B_Evening,20141,18144,582,319,415.9,44.9,40.96,2342.64,0.8057,SUPV-011,MES_SHIFT
SHIFT-20250811-L01-C_Night,2025-08-11,P01,L01,C_Night,17882,15288,182,93,441.75,23.25,44.21,1310.28,0.8122,SUPV-005,MES_SHIFT
SHIFT-20250811-L02-A_Day,2025-08-11,P01,L02,A_Day,23307,19085,976,272,421.44,39.1,47.23,3570.24,0.7421,SUPV-011,MES_SHIFT
SHIFT-20250811-L02-B_Evening,2025-08-11,P01,L02,B_Evening,20376,20075,854,237,408.99,31.99,38.84,3367.54,0.8666,SUPV-017,MES_SHIFT
SHIFT-20250811-L02-C_Night,2025-08-11,P01,L02,C_Night,25295,22325,1403,312,445.65,7.52,39.78,3265.82,0.8459,SUPV-006,MES_SHIFT
SHIFT-20250811-L03-A_Day,2025-08-11,P02,L03,A_Day,12120,11565,358,129,368.63,83.73,38.59,1490.37,0.7564,SUPV-018,MES_SHIFT
SHIFT-20250811-L03-B_Evening,2025-08-11,P02,L03,B_Evening,13790,11719,209,76,396.22,68.78,43.27,1420.98,0.7241,SUPV-014,MES_SHIFT
SHIFT-20250811-L03-C_Night,2025-08-11,P02,L03,C_Night,11284,9442,428,178,365.82,74.87,39.67,951.43,0.6583,SUPV-011,MES_SHIFT
SHIFT-20250811-L04-A_Day,2025-08-11,P02,L04,A_Day,10683,9682,194,81,454.88,8.31,43.63,925.37,0.8866,SUPV-012,MES_SHIFT
SHIFT-20250811-L04-B_Evening,2025-08-11,P02,L04,B_Evening,10440,8770,390,191,389.45,75.55,47.29,1583.86,0.7036,SUPV-001,MES_SHIFT
SHIFT-20250811-L04-C_Night,2025-08-11,P02,L04,C_Night,8865,8101,212,79,424.28,26.2,39.98,744.27,0.8338,SUPV-017,MES_SHIFT
SHIFT-20250811-L05-A_Day,2025-08-11,P03,L05,A_Day,11590,10840,228,120,379.71,59.29,43.73,1511.94,0.7637,SUPV-009,MES_SHIFT
SHIFT-20250811-L05-B_Evening,2025-08-11,P03,L05,B_Evening,14468,14402,277,62,396.44,68.56,45.36,1841.41,0.8487,SUPV-010,MES_SHIFT
