run_id,work_order_id,machine_id,batch_id,run_start_datetime,run_end_datetime,input_quantity,output_quantity,scrap_quantity,rework_quantity,setup_minutes,runtime_minutes,idle_minutes,speed_actual_ppm,speed_standard_ppm,operator_id,material_lot_id,run_status,source_system
RUN-000026,WO-000013,MCH-028,BATCH-000013,2025-08-01 13:37:54,2025-08-01 17:06:48,6287,5954,179,32,21.97,208.91,12.15,0.906,1.015,OP-0051,LOT-SUP-010-20250801-12,completed,MES
RUN-000027,WO-000014,MCH-025,BATCH-000013,2025-08-01 18:21:00,2025-08-01 21:36:21,6467,5948,181,90,31.04,195.36,5.48,1.154,1.015,OP-0035,LOT-SUP-010-20250801-04,completed,MES
RUN-000028,WO-000014,MCH-028,BATCH-000014,2025-08-01 21:49:21,2025-08-02 01:17:42,5895,5860,180,61,24.83,208.36,5.48,1.159,1.015,OP-0055,LOT-SUP-010-20250801-18,completed,MES
RUN-000029,WO-000015,MCH-028,BATCH-000014,2025-08-01 00:51:00,2025-08-01 04:34:41,7885,7524,320,83,31.43,223.69,2.5,1.036,1.015,OP-0019,LOT-SUP-010-20250801-06,completed,MES
RUN-000030,WO-000015,MCH-027,BATCH-000015,2025-08-01 04:43:41,2025-08-01 08:27:22,8521,7759,408,138,30.9,223.69,2.5,0.974,1.015,OP-0045,LOT-SUP-010-20250801-18,completed,MES
RUN-000031,WO-000016,MCH-032,BATCH-000015,2025-08-01 08:04:00,2025-08-01 11:38:05,15323,15132,500,122,22.19,214.09,3.56,1.754,1.56,OP-0072,LOT-SUP-005-20250801-17,completed,MES
RUN-000032,WO-000016,MCH-031,BATCH-000016,2025-08-01 11:51:05,2025-08-01 15:31:10,16014,15768,473,171,21.76,220.09,3.56,1.69,1.56,OP-0048,LOT-SUP-005-20250801-10,completed,MES
RUN-000033,WO-000017,MCH-033,BATCH-000016,2025-08-01 19:48:00,2025-08-01 23:11:49,13014,12178,381,206,24.71,203.83,6.39,1.505,1.56,OP-0046,LOT-SUP-005-20250801-07,completed,MES
RUN-000034,WO-000017,MCH-034,BATCH-000017,2025-08-01 23:26:49,2025-08-02 02:59:39,12970,11984,394,75,29.03,212.83,6.39,1.716,1.56,OP-0048,LOT-SUP-005-20250801-18,completed,MES
RUN-000035,WO-000018,MCH-034,BATCH-000017,2025-08-01 05:45:00,2025-08-01 09:08:10,13099,12286,486,242,28.25,203.17,10.24,1.301,1.56,OP-0058,LOT-SUP-005-20250801-06,completed,MES
RUN-000036,WO-000018,MCH-032,BATCH-000018,2025-08-01 09:09:10,2025-08-01 12:25:20,11432,10416,383,133,25.94,196.17,10.24,1.747,1.56,OP-0011,LOT-SUP-005-20250801-08,completed,MES
RUN-000037,WO-000019,MCH-006,BATCH-000018,2025-08-02 15:59:00,2025-08-02 19:33:22,6445,5826,113,27,21.98,214.38,0.0,2.038,2.443,OP-0049,LOT-SUP-017-20250802-07,completed,MES
RUN-000038,WO-000019,MCH-004,BATCH-000019,2025-08-02 19:37:22,2025-08-02 23:18:45,6779,6344,200,50,21.22,221.38,0.0,2.874,2.443,OP-0004,LOT-SUP-017-20250802-12,completed,MES
RUN-000039,WO-000020,MCH-011,BATCH-000019,2025-08-02 09:45:00,2025-08-02 13:07:30,10144,9404,368,111,22.38,202.51,7.33,1.091,0.97,OP-0021,LOT-SUP-013-20250802-06,completed,MES
RUN-000040,WO-000020,MCH-010,BATCH-000020,2025-08-02 13:17:30,2025-08-02 16:51:01,9972,9354,335,73,23.2,213.51,7.33,0.879,0.97,OP-0047,LOT-SUP-013-20250802-09,completed,MES
RUN-000041,WO-000021,MCH-014,BATCH-000020,2025-08-02 09:14:00,2025-08-02 12:41:31,5604,5499,248,39,25.11,207.53,3.07,1.351,1.305,OP-0053,LOT-SUP-006-20250802-16,completed,MES
RUN-000042,WO-000021,MCH-013,BATCH-000021,2025-08-02 12:48:31,2025-08-02 16:13:03,6239,6105,254,83,26.03,204.53,3.07,1.252,1.305,OP-0006,LOT-SUP-006-20250802-10,completed,MES
RUN-000043,WO-000022,MCH-013,BATCH-000021,2025-08-02 16:21:00,2025-08-02 19:51:10,4875,4524,193,39,38.46,210.17,14.25,1.503,1.305,OP-0017,LOT-SUP-006-20250802-06,completed,MES
RUN-000044,WO-000022,MCH-015,BATCH-000022,2025-08-02 19:56:10,2025-08-02 23:26:20,4773,4328,223,99,35.88,210.17,14.25,1.14,1.305,OP-0018,LOT-SUP-006-20250802-02,completed,MES
RUN-000045,WO-000023,MCH-016,BATCH-000022,2025-08-02 04:25:00,2025-08-02 08:10:17,4553,4466,213,62,25.26,225.29,7.63,1.608,1.644,OP-0066,LOT-SUP-004-20250802-15,completed,MES
RUN-000046,WO-000023,MCH-013,BATCH-000023,2025-08-02 08:11:17,2025-08-02 11:50:34,4008,3824,165,56,25.63,219.29,7.63,1.723,1.644,OP-0015,LOT-SUP-004-20250802-01,completed,MES
RUN-000047,WO-000024,MCH-023,BATCH-000023,2025-08-02 15:59:00,2025-08-02 19:30:24,4008,3856,144,41,18.97,211.41,9.81,1.097,1.193,OP-0017,LOT-SUP-002-20250802-14,completed,MES
RUN-000048,WO-000024,MCH-019,BATCH-000024,2025-08-02 19:33:24,2025-08-02 23:03:48,3611,3536,130,46,23.15,210.41,9.81,1.157,1.193,OP-0063,LOT-SUP-002-20250802-16,completed,MES
RUN-000049,WO-000025,MCH-028,BATCH-000024,2025-08-02 11:45:00,2025-08-02 15:25:15,4382,4117,230,95,33.02,220.26,4.98,1.298,1.132,OP-0063,LOT-SUP-006-20250802-04,completed,MES
RUN-000050,WO-000025,MCH-029,BATCH-000025,2025-08-02 15:31:15,2025-08-02 19:06:31,4098,3855,164,51,35.22,215.26,4.98,1.312,1.132,OP-0039,LOT-SUP-006-20250802-16,completed,MES
RUN-000051,WO-000026,MCH-027,BATCH-000025,2025-08-02 16:42:00,2025-08-02 19:56:21,5394,5027,156,61,29.44,194.36,7.51,1.649,1.705,OP-0004,LOT-SUP-016-20250802-10,completed,MES
RUN-000052,WO-000026,MCH-028,BATCH-000026,2025-08-02 20:07:21,2025-08-02 23:24:43,4818,4515,116,40,26.76,197.36,7.51,1.401,1.705,OP-0054,LOT-SUP-016-20250802-05,completed,MES
RUN-000053,WO-000027,MCH-032,BATCH-000026,2025-08-02 10:22:00,2025-08-02 14:03:28,7543,6959,143,63,27.41,221.47,10.29,2.077,1.786,OP-0035,LOT-SUP-007-20250802-03,completed,MES
RUN-000054,WO-000027,MCH-034,BATCH-000027,2025-08-02 14:06:28,2025-08-02 17:49:56,7199,6852,170,57,21.14,223.47,10.29,1.674,1.786,OP-0008,LOT-SUP-007-20250802-09,completed,MES
RUN-000055,WO-000028,MCH-032,BATCH-000027,2025-08-02 03:09:00,2025-08-02 06:56:51,8505,8137,309,157,22.75,227.86,14.47,2.027,1.786,OP-0061,LOT-SUP-007-20250802-04,completed,MES
RUN-000056,WO-000028,MCH-033,BATCH-000028,2025-08-02 07:02:51,2025-08-02 11:00:43,8394,8145,261,79,22.89,237.86,14.47,2.026,1.786,OP-0037,LOT-SUP-007-20250802-07,completed,MES
RUN-000057,WO-000029,MCH-011,BATCH-000028,2025-08-03 17:34:00,2025-08-03 20:44:33,7905,7557,441,146,31.45,190.55,2.69,0.966,1.038,OP-0067,LOT-SUP-003-20250803-09,completed,MES
RUN-000058,WO-000029,MCH-007,BATCH-000029,2025-08-03 20:57:33,2025-08-04 00:11:06,7324,6932,329,149,31.12,193.55,2.69,1.172,1.038,OP-0068,LOT-SUP-003-20250803-15,completed,MES
RUN-000059,WO-000030,MCH-013,BATCH-000029,2025-08-03 10:36:00,2025-08-03 14:02:17,5863,5433,157,61,22.73,206.29,6.27,1.628,1.786,OP-0050,LOT-SUP-007-20250803-13,completed,MES
RUN-000060,WO-000030,MCH-016,BATCH-000030,2025-08-03 14:16:17,2025-08-03 17:47:35,6108,5973,112,30,21.79,211.29,6.27,1.798,1.786,OP-0004,LOT-SUP-007-20250803-15,completed,MES
RUN-000061,WO-000031,MCH-018,BATCH-000030,2025-08-03 02:17:00,2025-08-03 06:08:11,4828,4796,188,39,24.8,231.19,2.9,1.537,1.786,OP-0049,LOT-SUP-007-20250803-06,completed,MES
RUN-000062,WO-000031,MCH-016,BATCH-000031,2025-08-03 06:08:11,2025-08-03 09:54:23,4655,4230,194,49,22.35,226.19,2.9,1.833,1.786,OP-0029,LOT-SUP-007-20250803-05,completed,MES
RUN-000063,WO-000032,MCH-023,BATCH-000031,2025-08-03 21:45:00,2025-08-04 01:23:15,4381,4233,111,49,29.93,218.26,3.96,1.282,1.213,OP-0014,LOT-SUP-015-20250803-11,completed,MES
RUN-000064,WO-000032,MCH-021,BATCH-000032,2025-08-04 01:37:15,2025-08-04 05:22:31,4262,4171,84,34,30.82,225.26,3.96,1.379,1.213,OP-0037,LOT-SUP-015-20250803-05,completed,MES
RUN-000065,WO-000033,MCH-024,BATCH-000032,2025-08-03 00:27:00,2025-08-03 03:44:03,3099,2959,140,42,30.52,197.05,0.0,1.183,1.213,OP-0056,LOT-SUP-015-20250803-14,completed,MES
RUN-000066,WO-000033,MCH-019,BATCH-000033,2025-08-03 03:59:03,2025-08-03 07:33:06,3287,3228,127,35,34.17,214.05,0.0,1.003,1.213,OP-0036,LOT-SUP-015-20250803-18,completed,MES
RUN-000067,WO-000034,MCH-028,BATCH-000033,2025-08-03 20:11:00,2025-08-03 23:53:58,5481,5326,220,111,21.78,222.97,7.39,1.221,1.258,OP-0019,LOT-SUP-006-20250803-07,completed,MES
RUN-000068,WO-000034,MCH-025,BATCH-000034,2025-08-03 23:52:58,2025-08-04 03:24:56,5852,5686,175,91,17.64,211.97,7.39,1.08,1.258,,LOT-SUP-006-20250803-07,completed,MES
RUN-000069,WO-000035,MCH-033,BATCH-000034,2025-08-03 23:08:00,2025-08-04 03:09:49,10526,9998,362,113,10.75,241.82,6.12,2.031,2.126,OP-0030,LOT-SUP-009-20250803-10,completed,MES
RUN-000070,WO-000035,MCH-032,BATCH-000035,2025-08-04 03:11:49,2025-08-04 07:18:38,10508,9649,415,197,13.37,246.82,6.12,2.076,2.126,OP-0029,LOT-SUP-009-20250803-02,completed,MES
RUN-000071,WO-000036,MCH-006,BATCH-000035,2025-08-04 14:02:00,2025-08-04 17:43:56,6586,6163,74,31,24.39,221.94,0.0,2.008,2.129,OP-0022,LOT-SUP-013-20250804-06,completed,MES
RUN-000072,WO-000036,MCH-005,BATCH-000036,2025-08-04 17:43:56,2025-08-04 21:12:52,5967,5894,165,80,19.97,208.94,0.0,2.433,2.129,OP-0019,LOT-SUP-013-20250804-11,completed,MES
RUN-000073,WO-000037,MCH-006,BATCH-000036,2025-08-04 19:45:00,2025-08-04 23:38:27,9807,9027,279,119,15.53,233.45,0.0,1.051,1.193,OP-0043,LOT-SUP-002-20250804-04,completed,MES
RUN-000074,WO-000037,MCH-001,BATCH-000037,2025-08-04 23:45:27,2025-08-05 03:47:54,8070,7743,225,106,21.74,242.45,0.0,1.361,1.193,OP-0067,LOT-SUP-002-20250804-17,completed,MES
RUN-000075,WO-000038,MCH-003,BATCH-000037,2025-08-04 01:35:00,2025-08-04 05:07:37,8962,8241,207,31,33.48,212.63,3.86,3.155,2.771,OP-0055,LOT-SUP-002-20250804-04,completed,MES
RUN-000076,WO-000038,MCH-004,BATCH-000038,2025-08-04 05:10:37,2025-08-04 08:35:15,9625,9249,277,65,30.46,204.63,3.86,2.752,2.771,OP-0057,LOT-SUP-002-20250804-10,completed,MES
RUN-000077,WO-000039,MCH-010,BATCH-000038,2025-08-04 09:12:00,2025-08-04 12:44:07,10234,10091,228,46,31.1,212.13,14.15,2.305,2.213,OP-0034,LOT-SUP-011-20250804-14,completed,MES
RUN-000078,WO-000039,MCH-009,BATCH-000039,2025-08-04 12:57:07,2025-08-04 16:38:15,9850,9784,288,83,26.83,221.13,14.15,2.57,2.213,OP-0034,LOT-SUP-011-20250804-09,completed,MES
RUN-000079,WO-000040,MCH-008,BATCH-000039,2025-08-04 16:11:00,2025-08-04 19:49:28,8320,8255,253,57,20.32,218.48,1.18,1.517,1.767,OP-0002,LOT-SUP-003-20250804-11,completed,MES
RUN-000080,WO-000040,MCH-007,BATCH-000040,2025-08-04 19:55:28,2025-08-04 23:33:57,8077,7771,229,62,19.7,218.48,1.18,1.479,1.767,OP-0054,LOT-SUP-003-20250804-04,completed,MES
RUN-000081,WO-000041,MCH-011,BATCH-000040,2025-08-04 02:16:00,2025-08-04 06:16:52,12215,12055,189,44,17.88,240.88,13.46,3.038,3.289,OP-0040,LOT-SUP-001-20250804-01,cancelled,MES
RUN-000082,WO-000041,MCH-010,BATCH-000041,2025-08-04 06:12:52,2025-08-04 10:00:45,12807,11973,311,170,17.45,227.88,13.46,3.329,3.289,OP-0038,LOT-SUP-001-20250804-17,cancelled,MES
RUN-000083,WO-000042,MCH-013,BATCH-000041,2025-08-04 06:45:00,2025-08-04 10:13:36,7698,7043,199,64,19.62,208.61,8.0,1.724,1.511,OP-0019,LOT-SUP-018-20250804-11,completed,MES
RUN-000084,WO-000042,MCH-015,BATCH-000042,2025-08-04 10:18:36,2025-08-04 13:37:13,7440,6711,241,73,16.16,198.61,8.0,1.478,1.511,OP-0043,LOT-SUP-018-20250804-15,completed,MES
RUN-000085,WO-000043,MCH-018,BATCH-000042,2025-08-04 19:26:00,2025-08-04 22:52:15,5961,5527,88,20,35.39,206.27,3.62,1.395,1.511,OP-0020,LOT-SUP-018-20250804-10,completed,MES
RUN-000086,WO-000043,MCH-013,BATCH-000043,2025-08-04 23:04:15,2025-08-05 02:35:31,6052,5488,163,52,30.34,211.27,3.62,1.433,1.511,OP-0043,LOT-SUP-018-20250804-06,completed,MES
RUN-000087,WO-000044,MCH-017,BATCH-000043,2025-08-04 00:45:00,2025-08-04 04:09:18,10248,10026,451,182,23.25,204.32,14.1,1.294,1.36,OP-0023,LOT-SUP-012-20250804-17,completed,MES
RUN-000088,WO-000044,MCH-015,BATCH-000044,2025-08-04 04:14:18,2025-08-04 07:44:37,9539,8649,410,193,24.67,210.32,14.1,1.394,1.36,OP-0070,LOT-SUP-012-20250804-17,completed,MES
RUN-000089,WO-000045,MCH-024,BATCH-000044,2025-08-04 09:45:00,2025-08-04 13:08:15,3806,3497,100,54,31.74,203.26,0.75,0.892,0.97,OP-0043,LOT-SUP-013-20250804-07,completed,MES
RUN-000090,WO-000045,MCH-022,BATCH-000045,2025-08-04 13:13:15,2025-08-04 16:34:30,3503,3343,111,26,35.64,201.26,0.75,1.102,0.97,OP-0045,LOT-SUP-013-20250804-10,completed,MES
RUN-000091,WO-000046,MCH-022,BATCH-000045,2025-08-04 20:56:00,2025-08-05 00:43:34,4468,4277,104,50,26.44,227.58,12.87,1.043,0.97,OP-0060,LOT-SUP-013-20250804-18,completed,MES
RUN-000092,WO-000046,MCH-024,BATCH-000046,2025-08-05 00:52:34,2025-08-05 04:45:09,4506,4365,104,47,24.14,232.58,12.87,0.796,0.97,OP-0034,LOT-SUP-013-20250804-07,completed,MES
RUN-000093,WO-000047,MCH-023,BATCH-000046,2025-08-04 05:45:00,2025-08-04 09:16:13,4820,4468,173,86,24.26,211.22,8.62,1.045,0.97,OP-0048,LOT-SUP-013-20250804-17,completed,MES
RUN-000094,WO-000047,MCH-024,BATCH-000047,2025-08-04 09:22:13,2025-08-04 12:59:26,4829,4729,107,57,30.78,217.22,8.62,0.934,0.97,OP-0046,LOT-SUP-013-20250804-01,completed,MES
RUN-000095,WO-000048,MCH-028,BATCH-000047,2025-08-04 14:49:00,2025-08-04 18:24:27,6327,5698,198,51,33.64,215.47,11.13,1.394,1.59,OP-0072,LOT-SUP-011-20250804-12,completed,MES
RUN-000096,WO-000048,MCH-030,BATCH-000048,2025-08-04 18:28:27,2025-08-04 22:02:55,6577,6101,211,38,31.59,214.47,11.13,1.826,1.59,OP-0019,LOT-SUP-011-20250804-02,completed,MES
RUN-000097,WO-000049,MCH-029,BATCH-000048,2025-08-04 17:38:00,2025-08-04 21:28:09,7113,6731,189,103,26.6,230.15,11.2,1.43,1.59,OP-0017,LOT-SUP-011-20250804-03,completed,MES
RUN-000098,WO-000049,MCH-028,BATCH-000049,2025-08-04 21:26:09,2025-08-05 01:18:18,7166,6643,182,45,31.0,232.15,11.2,1.543,1.59,OP-0037,LOT-SUP-011-20250804-08,completed,MES
RUN-000099,WO-000050,MCH-029,BATCH-000049,2025-08-04 01:45:00,2025-08-04 05:10:22,6783,6265,299,74,26.1,205.37,2.98,1.373,1.59,OP-0039,LOT-SUP-011-20250804-14,completed,MES
RUN-000100,WO-000050,MCH-026,BATCH-000050,2025-08-04 05:21:22,2025-08-04 08:43:44,5889,5644,278,63,32.04,202.37,2.98,1.715,1.59,OP-0015,LOT-SUP-011-20250804-05,completed,MES
RUN-000101,WO-000051,MCH-032,BATCH-000050,2025-08-04 12:33:00,2025-08-04 16:08:48,12052,10999,412,67,17.41,215.8,2.77,1.11,1.0,OP-0014,LOT-SUP-005-20250804-04,completed,MES
RUN-000102,WO-000051,MCH-031,BATCH-000051,2025-08-04 16:06:48,2025-08-04 19:38:36,10158,9733,258,118,19.35,211.8,2.77,0.978,1.0,OP-0041,LOT-SUP-005-20250804-15,completed,MES
RUN-000103,WO-000052,MCH-034,BATCH-000051,2025-08-04 18:50:00,2025-08-04 22:23:34,9489,9420,259,128,44.75,213.57,1.59,1.989,1.778,OP-0030,LOT-SUP-016-20250804-10,completed,MES
RUN-000104,WO-000052,MCH-033,BATCH-000052,2025-08-04 22:26:34,2025-08-05 01:56:08,9767,9219,297,147,40.02,209.57,1.59,1.884,1.778,OP-0025,LOT-SUP-016-20250804-07,completed,MES
RUN-000105,WO-000053,MCH-034,BATCH-000052,2025-08-04 02:52:00,2025-08-04 06:32:28,11046,10969,490,124,17.46,220.47,9.55,0.847,1.0,OP-0041,LOT-SUP-005-20250804-08,completed,MES
RUN-000106,WO-000053,MCH-032,BATCH-000053,2025-08-04 06:30:28,2025-08-04 10:09:56,10763,9874,286,106,18.61,219.47,9.55,1.149,1.0,OP-0037,LOT-SUP-005-20250804-15,completed,MES
RUN-000107,WO-000054,MCH-002,BATCH-000053,2025-08-05 10:48:00,2025-08-05 14:35:58,5725,5720,225,88,31.68,227.98,9.4,2.166,2.443,OP-0072,LOT-SUP-017-20250805-07,completed,MES
RUN-000108,WO-000054,MCH-001,BATCH-000054,2025-08-05 14:32:58,2025-08-05 18:03:57,5418,5249,175,30,25.23,210.98,9.4,2.81,2.443,OP-0023,LOT-SUP-017-20250805-04,completed,MES
RUN-000109,WO-000055,MCH-002,BATCH-000054,2025-08-05 17:26:00,2025-08-05 21:06:40,7952,7513,217,58,27.75,220.68,7.68,2.041,2.443,OP-0058,LOT-SUP-017-20250805-07,completed,MES
RUN-000110,WO-000055,MCH-004,BATCH-000055,2025-08-05 21:17:40,2025-08-06 01:06:21,7758,7333,287,50,24.81,228.68,7.68,2.419,2.443,OP-0033,LOT-SUP-017-20250805-14,completed,MES
RUN-000111,WO-000056,MCH-005,BATCH-000055,2025-08-05 00:45:00,2025-08-05 04:36:50,7314,7197,326,138,29.01,231.84,8.4,1.873,1.937,OP-0003,LOT-SUP-015-20250805-02,completed,MES
RUN-000112,WO-000056,MCH-001,BATCH-000056,2025-08-05 04:32:50,2025-08-05 08:10:41,6371,6283,328,75,30.86,217.84,8.4,1.683,1.937,OP-0051,LOT-SUP-015-20250805-15,completed,MES
RUN-000113,WO-000057,MCH-008,BATCH-000056,2025-08-05 10:16:00,2025-08-05 14:02:15,14862,13555,152,63,20.66,226.26,8.0,1.874,1.835,OP-0048,LOT-SUP-012-20250805-17,completed,MES
RUN-000114,WO-000057,MCH-012,BATCH-000057,2025-08-05 14:16:15,2025-08-05 18:13:30,14011,13763,70,15,19.53,237.26,8.0,1.949,1.835,OP-0020,LOT-SUP-012-20250805-11,completed,MES
RUN-000115,WO-000058,MCH-012,BATCH-000057,2025-08-05 18:45:00,2025-08-05 22:27:57,11582,11535,114,46,17.45,222.95,6.33,1.986,1.835,OP-0017,LOT-SUP-012-20250805-08,completed,MES
RUN-000116,WO-000058,MCH-009,BATCH-000058,2025-08-05 22:36:57,2025-08-06 02:27:54,11172,10644,204,55,17.96,230.95,6.33,1.917,1.835,OP-0062,LOT-SUP-012-20250805-05,completed,MES
RUN-000117,WO-000059,MCH-008,BATCH-000058,2025-08-04 23:45:00,2025-08-05 03:09:32,12979,11812,291,88,19.84,204.54,7.07,2.129,1.835,OP-0007,LOT-SUP-012-20250805-07,completed,MES
RUN-000118,WO-000059,MCH-012,BATCH-000059,2025-08-05 03:13:32,2025-08-05 06:26:04,13336,13335,283,154,17.65,192.54,7.07,1.668,1.835,OP-0060,LOT-SUP-012-20250805-14,completed,MES
RUN-000119,WO-000060,MCH-018,BATCH-000059,2025-08-05 07:47:00,2025-08-05 11:35:23,7690,7293,176,40,10.54,228.38,9.66,1.93,2.03,OP-0049,LOT-SUP-002-20250805-11,completed,MES
RUN-000120,WO-000060,MCH-013,BATCH-000060,2025-08-05 11:35:23,2025-08-05 15:13:46,7291,6881,102,22,13.13,218.38,9.66,2.305,2.03,OP-0049,LOT-SUP-002-20250805-02,completed,MES
RUN-000121,WO-000061,MCH-018,BATCH-000060,2025-08-05 15:45:00,2025-08-05 19:27:33,7470,7188,289,102,33.0,222.55,9.45,1.461,1.59,OP-0069,LOT-SUP-011-20250805-09,completed,MES
RUN-000122,WO-000061,MCH-014,BATCH-000061,2025-08-05 19:28:33,2025-08-05 23:08:06,6775,6321,186,40,30.65,219.55,9.45,1.803,1.59,OP-0067,LOT-SUP-011-20250805-01,completed,MES
RUN-000123,WO-000062,MCH-013,BATCH-000061,2025-08-05 05:03:00,2025-08-05 08:30:30,7477,7150,84,26,20.18,207.51,7.71,1.925,2.289,OP-0036,LOT-SUP-010-20250805-10,completed,MES
