source_id,target_id,edge_type,weight
SUP-018,PRD-019,supplies,0.717
PRD-019,MCH-016,processed_by,0.687
PRD-019,MCH-025,processed_by,0.936
SUP-003,PRD-020,supplies,0.847
PRD-020,MCH-011,processed_by,0.618
PRD-020,MCH-029,processed_by,0.547
SUP-015,PRD-021,supplies,0.959
PRD-021,MCH-024,processed_by,0.601
PRD-021,MCH-027,processed_by,0.664
SUP-005,PRD-022,supplies,0.858
PRD-022,MCH-017,processed_by,0.953
PRD-022,MCH-028,processed_by,0.893
SUP-005,PRD-023,supplies,0.858
PRD-023,MCH-019,processed_by,0.747
PRD-023,MCH-015,processed_by,0.564
SUP-005,PRD-024,supplies,0.858
PRD-024,MCH-019,processed_by,0.407
PRD-024,MCH-032,processed_by,0.407
SUP-014,PRD-025,supplies,0.87
PRD-025,MCH-029,processed_by,0.76
PRD-025,MCH-001,processed_by,0.616
SUP-008,PRD-026,supplies,0.88
PRD-026,MCH-018,processed_by,0.748
SUP-002,PRD-027,supplies,0.899
PRD-027,MCH-013,processed_by,0.296
PRD-027,MCH-004,processed_by,0.93
SUP-010,PRD-028,supplies,0.97
PRD-028,MCH-004,processed_by,0.677
PRD-028,MCH-014,processed_by,0.465
SUP-014,PRD-029,supplies,0.87
PRD-029,MCH-001,processed_by,0.897
PRD-029,MCH-029,processed_by,0.963
SUP-017,PRD-030,supplies,0.768
PRD-030,MCH-008,processed_by,0.512
SUP-015,PRD-031,supplies,0.959
PRD-031,MCH-003,processed_by,0.209
PRD-031,MCH-027,processed_by,0.299
SUP-009,PRD-032,supplies,0.961
PRD-032,MCH-002,processed_by,0.404
PRD-032,MCH-024,processed_by,0.987
SUP-008,PRD-033,supplies,0.88
PRD-033,MCH-029,processed_by,0.686
SUP-009,PRD-034,supplies,0.961
PRD-034,MCH-006,processed_by,0.554
PRD-034,MCH-034,processed_by,0.208
SUP-003,PRD-035,supplies,0.847
PRD-035,MCH-024,processed_by,0.829
PRD-035,MCH-008,processed_by,0.95
SUP-014,PRD-036,supplies,0.87
PRD-036,MCH-012,processed_by,0.837
PRD-036,MCH-019,processed_by,0.994
SUP-008,PRD-037,supplies,0.88
PRD-037,MCH-020,processed_by,0.527
PRD-037,MCH-015,processed_by,0.991
SUP-005,PRD-038,supplies,0.858
PRD-038,MCH-031,processed_by,0.523
SUP-009,PRD-039,supplies,0.961
PRD-039,MCH-021,processed_by,0.259
PRD-039,MCH-025,processed_by,0.394
SUP-006,PRD-040,supplies,0.827
PRD-040,MCH-035,processed_by,0.354
PRD-040,MCH-021,processed_by,0.393
SUP-005,PRD-041,supplies,0.858
PRD-041,MCH-024,processed_by,0.27
SUP-002,PRD-042,supplies,0.899
PRD-042,MCH-031,processed_by,0.7
PRD-042,MCH-013,processed_by,0.883
SUP-016,PRD-043,supplies,0.845
PRD-043,MCH-017,processed_by,0.446
PRD-043,MCH-035,processed_by,0.989
SUP-008,PRD-044,supplies,0.88
PRD-044,MCH-030,processed_by,0.729
PRD-044,MCH-004,processed_by,0.979
SUP-010,PRD-045,supplies,0.97
PRD-045,MCH-034,processed_by,0.331
PRD-045,MCH-017,processed_by,0.522
SUP-001,PRD-046,supplies,0.71
PRD-046,MCH-002,processed_by,0.618
PRD-046,MCH-023,processed_by,0.686
SUP-015,PRD-047,supplies,0.959
PRD-047,MCH-005,processed_by,0.367
SUP-009,PRD-048,supplies,0.961
PRD-048,MCH-017,processed_by,0.88
PRD-048,MCH-034,processed_by,0.636
SUP-006,PRD-049,supplies,0.827
PRD-049,MCH-026,processed_by,0.557
PRD-049,MCH-021,processed_by,0.926
SUP-004,PRD-050,supplies,0.886
PRD-050,MCH-006,processed_by,0.825
PRD-050,MCH-027,processed_by,0.702
SUP-009,PRD-051,supplies,0.961
PRD-051,MCH-005,processed_by,0.764
PRD-051,MCH-032,processed_by,0.513
SUP-006,PRD-052,supplies,0.827
PRD-052,MCH-028,processed_by,0.499
PRD-052,MCH-011,processed_by,0.401
SUP-008,PRD-053,supplies,0.88
PRD-053,MCH-011,processed_by,0.521
PRD-053,MCH-013,processed_by,0.258
SUP-013,PRD-054,supplies,0.714
PRD-054,MCH-027,processed_by,0.298
PRD-054,MCH-035,processed_by,0.271
SUP-007,PRD-055,supplies,0.874
PRD-055,MCH-029,processed_by,0.94
SUP-010,PRD-056,supplies,0.97
PRD-056,MCH-027,processed_by,0.33
PRD-056,MCH-034,processed_by,0.404
SUP-004,PRD-057,supplies,0.886
PRD-057,MCH-017,processed_by,0.746
SUP-013,PRD-058,supplies,0.714
PRD-058,MCH-014,processed_by,0.469
PRD-058,MCH-031,processed_by,0.89
SUP-004,PRD-059,supplies,0.886
PRD-059,MCH-001,processed_by,0.78
PRD-059,MCH-034,processed_by,0.359
SUP-003,PRD-060,supplies,0.847
PRD-060,MCH-012,processed_by,0.257
PRD-060,MCH-004,processed_by,0.713
SUP-017,PRD-061,supplies,0.768
PRD-061,MCH-006,processed_by,0.579
PRD-061,MCH-008,processed_by,0.584
SUP-013,PRD-062,supplies,0.714
PRD-062,MCH-025,processed_by,0.87
PRD-062,MCH-032,processed_by,0.972
SUP-016,PRD-063,supplies,0.845
PRD-063,MCH-017,processed_by,0.87
PRD-063,MCH-012,processed_by,0.522
SUP-002,PRD-064,supplies,0.899
PRD-064,MCH-035,processed_by,0.643
PRD-064,MCH-002,processed_by,0.594
SUP-006,PRD-065,supplies,0.827
PRD-065,MCH-035,processed_by,0.407
SUP-004,PRD-066,supplies,0.886
PRD-066,MCH-008,processed_by,0.487
PRD-066,MCH-015,processed_by,0.938
SUP-001,PRD-067,supplies,0.71
PRD-067,MCH-036,processed_by,0.778
PRD-067,MCH-019,processed_by,0.299
SUP-001,PRD-068,supplies,0.71
PRD-068,MCH-027,processed_by,0.501
PRD-068,MCH-001,processed_by,0.508
SUP-004,PRD-069,supplies,0.886
PRD-069,MCH-012,processed_by,0.235
PRD-069,MCH-013,processed_by,0.329
SUP-007,PRD-070,supplies,0.874
PRD-070,MCH-035,processed_by,0.499
PRD-070,MCH-017,processed_by,0.341
SUP-003,PRD-071,supplies,0.847
PRD-071,MCH-007,processed_by,0.952
PRD-071,MCH-033,processed_by,0.639
SUP-003,PRD-072,supplies,0.847
PRD-072,MCH-004,processed_by,0.562
PRD-072,MCH-024,processed_by,0.918
SUP-007,PRD-073,supplies,0.874
PRD-073,MCH-027,processed_by,0.888
PRD-073,MCH-031,processed_by,0.998
SUP-015,PRD-074,supplies,0.959
PRD-074,MCH-032,processed_by,0.432
PRD-074,MCH-001,processed_by,0.211
SUP-011,PRD-075,supplies,0.963
PRD-075,MCH-009,processed_by,0.38
PRD-075,MCH-027,processed_by,0.539
SUP-010,PRD-076,supplies,0.97
PRD-076,MCH-023,processed_by,0.612
SUP-009,PRD-077,supplies,0.961
PRD-077,MCH-023,processed_by,0.598
PRD-077,MCH-030,processed_by,0.438
SUP-003,PRD-078,supplies,0.847
PRD-078,MCH-032,processed_by,0.353
PRD-078,MCH-029,processed_by,0.975
SUP-013,PRD-079,supplies,0.714
PRD-079,MCH-019,processed_by,0.626
PRD-079,MCH-002,processed_by,0.707
SUP-016,PRD-080,supplies,0.845
PRD-080,MCH-034,processed_by,0.831
PRD-080,MCH-003,processed_by,0.653
