machine_id,plant_id,line_id,feature_date,avg_temperature_24h,avg_vibration_24h,max_vibration_24h,alarm_count_24h,downtime_count_7d,runtime_hours_since_maintenance,machine_age_years,maintenance_overdue_flag,failure_within_24h,failure_within_7d
MCH-001,P01,L01,2025-08-25,54.498,2.325,3.601,0,5,46.95,7.2,0,0,0
MCH-001,P01,L01,2025-08-26,57.744,2.563,3.255,0,4,62.24,7.2,0,0,0
MCH-001,P01,L01,2025-08-27,55.327,2.552,3.443,0,4,73.18,7.2,0,0,0
MCH-001,P01,L01,2025-08-28,56.226,2.417,3.534,0,3,90.92,7.2,0,0,0
MCH-001,P01,L01,2025-08-29,49.683,2.465,7.65,1,4,96.25,7.2,0,0,0
MCH-001,P01,L01,2025-08-30,50.881,2.269,2.905,0,5,116.22,7.2,0,0,0
MCH-001,P01,L01,2025-08-31,49.619,2.395,3.473,0,5,146.82,7.2,0,0,0
MCH-001,P01,L01,2025-09-01,53.346,2.418,3.406,0,4,143.55,7.2,0,0,0
MCH-001,P01,L01,2025-09-02,52.046,2.571,7.45,1,4,184.45,7.2,0,0,0
MCH-001,P01,L01,2025-09-03,53.653,2.312,3.285,0,5,203.39,7.2,0,0,0
MCH-001,P01,L01,2025-09-04,53.957,2.187,3.315,0,6,197.2,7.2,0,0,0
MCH-001,P01,L01,2025-09-05,51.554,2.436,3.792,0,5,198.27,7.2,0,0,0
MCH-001,P01,L01,2025-09-06,50.857,2.169,2.893,0,4,238.58,7.2,0,0,0
MCH-001,P01,L01,2025-09-07,49.923,2.206,3.27,0,5,265.53,7.2,0,0,0
MCH-001,P01,L01,2025-09-08,52.921,2.314,3.086,0,7,241.94,7.2,0,0,0
MCH-001,P01,L01,2025-09-09,53.416,2.348,3.354,0,7,276.27,7.2,0,0,0
MCH-001,P01,L01,2025-09-10,53.603,2.407,3.422,0,5,266.58,7.2,0,0,0
MCH-001,P01,L01,2025-09-11,56.686,2.561,3.309,0,5,351.28,7.2,0,0,0
MCH-001,P01,L01,2025-09-12,55.902,2.843,9.446,1,5,313.09,7.2,0,0,0
MCH-001,P01,L01,2025-09-13,47.583,2.106,3.177,0,5,319.58,7.2,0,0,0
MCH-001,P01,L01,2025-09-14,48.059,2.167,3.535,0,4,317.85,7.2,0,0,0
MCH-001,P01,L01,2025-09-15,52.25,2.277,3.379,0,2,385.8,7.2,0,0,0
MCH-001,P01,L01,2025-09-16,51.037,2.305,3.056,0,1,377.0,7.2,0,0,0
MCH-001,P01,L01,2025-09-17,52.146,2.287,3.574,0,2,364.59,7.2,0,0,0
MCH-001,P01,L01,2025-09-18,54.289,2.394,3.488,0,2,385.03,7.2,0,0,0
MCH-001,P01,L01,2025-09-19,56.67,2.354,3.2,0,3,434.79,7.2,0,0,0
MCH-001,P01,L01,2025-09-20,47.157,2.145,3.048,0,3,430.72,7.2,0,0,0
MCH-001,P01,L01,2025-09-21,47.283,1.979,2.757,0,5,435.25,7.2,0,0,0
MCH-001,P01,L01,2025-09-22,50.867,2.322,3.167,0,5,437.72,7.2,0,0,0
MCH-001,P01,L01,2025-09-23,52.618,2.416,3.274,0,5,521.86,7.2,0,0,0
MCH-001,P01,L01,2025-09-24,53.563,2.517,3.325,0,5,571.55,7.2,0,0,0
MCH-001,P01,L01,2025-09-25,54.317,2.273,3.302,1,7,515.44,7.2,0,0,0
MCH-001,P01,L01,2025-09-26,50.977,2.249,3.408,0,7,505.69,7.2,0,0,0
MCH-001,P01,L01,2025-09-27,47.63,2.199,3.11,0,7,615.38,7.2,0,0,0
MCH-001,P01,L01,2025-09-28,52.2,2.317,3.29,0,7,621.48,7.2,0,0,0
MCH-001,P01,L01,2025-09-29,50.433,2.191,2.941,0,7,519.52,7.2,0,0,0
MCH-001,P01,L01,2025-09-30,52.107,2.383,3.831,0,8,537.99,7.2,0,0,0
MCH-001,P01,L01,2025-10-01,52.115,2.35,3.178,0,7,656.26,7.2,0,0,0
MCH-001,P01,L01,2025-10-02,53.517,2.421,3.828,0,4,674.95,7.2,0,0,0
MCH-001,P01,L01,2025-10-03,48.868,2.255,3.404,0,3,711.33,7.2,0,0,0
MCH-001,P01,L01,2025-10-04,48.429,2.177,3.024,0,4,730.62,7.2,0,0,0
MCH-001,P01,L01,2025-10-05,49.423,2.232,3.192,0,2,606.28,7.2,0,0,0
MCH-001,P01,L01,2025-10-06,52.732,2.205,3.247,0,2,677.54,7.2,0,0,0
MCH-001,P01,L01,2025-10-07,52.66,2.249,3.866,0,3,738.95,7.2,0,0,0
MCH-001,P01,L01,2025-10-08,49.924,2.141,3.272,0,3,711.19,7.2,0,0,0
MCH-001,P01,L01,2025-10-09,54.969,2.668,3.998,0,4,830.33,7.2,0,0,0
MCH-001,P01,L01,2025-10-10,53.962,2.249,2.966,0,6,801.51,7.2,0,0,0
MCH-001,P01,L01,2025-10-11,51.302,2.256,3.334,0,7,842.94,7.2,0,0,0
MCH-001,P01,L01,2025-10-12,49.816,2.182,2.949,0,7,873.6,7.2,0,0,0
MCH-001,P01,L01,2025-10-13,52.74,2.186,3.082,0,7,914.23,7.2,0,0,0
MCH-001,P01,L01,2025-10-14,53.34,2.338,3.289,0,6,788.05,7.2,0,0,0
MCH-001,P01,L01,2025-10-15,50.707,2.302,3.002,0,7,947.62,7.2,0,0,0
MCH-001,P01,L01,2025-10-16,51.509,2.077,3.026,0,7,814.31,7.2,0,0,0
MCH-001,P01,L01,2025-10-17,54.755,2.333,3.424,0,6,973.13,7.2,0,0,0
MCH-001,P01,L01,2025-10-18,50.503,2.409,3.19,0,4,788.16,7.2,0,0,0
MCH-001,P01,L01,2025-10-19,51.274,2.038,3.348,0,4,998.5,7.2,0,0,0
MCH-001,P01,L01,2025-10-20,56.329,2.281,3.435,0,5,940.52,7.2,0,0,0
MCH-001,P01,L01,2025-10-21,55.068,2.429,3.304,0,5,1046.08,7.2,0,0,0
MCH-001,P01,L01,2025-10-22,52.753,2.321,3.367,0,4,918.85,7.2,0,0,0
MCH-001,P01,L01,2025-10-23,54.33,2.285,3.867,0,4,898.75,7.2,0,0,0
MCH-001,P01,L01,2025-10-24,54.442,2.356,3.219,1,4,1093.87,7.2,0,0,0
MCH-001,P01,L01,2025-10-25,50.764,2.359,3.375,0,5,1109.7,7.2,0,0,0
MCH-001,P01,L01,2025-10-26,47.786,2.132,2.884,0,6,937.85,7.2,0,0,0
MCH-001,P01,L01,2025-10-27,54.185,2.242,3.416,1,6,914.21,7.2,0,0,0
MCH-001,P01,L01,2025-10-28,52.864,2.516,3.442,0,6,0.0,7.2,0,0,0
MCH-001,P01,L01,2025-10-29,53.009,2.639,8.738,1,6,13.92,7.2,0,0,0
MCH-001,P01,L01,2025-10-30,55.961,2.397,3.223,0,5,27.99,7.2,0,0,0
MCH-001,P01,L01,2025-10-31,55.02,2.445,3.373,0,6,42.25,7.2,0,0,0
MCH-001,P01,L01,2025-11-01,49.308,2.196,3.384,0,5,56.98,7.2,0,0,0
MCH-001,P01,L01,2025-11-02,51.669,2.347,3.767,0,4,87.66,7.2,0,0,0
MCH-001,P01,L01,2025-11-03,53.585,2.266,3.899,0,4,103.13,7.2,0,0,0
MCH-001,P01,L01,2025-11-04,51.197,2.205,2.873,0,4,97.17,7.2,0,0,0
MCH-001,P01,L01,2025-11-05,52.852,2.385,3.103,0,4,114.2,7.2,0,0,0
MCH-001,P01,L01,2025-11-06,52.391,2.209,3.236,0,4,155.09,7.2,0,0,0
MCH-001,P01,L01,2025-11-07,55.035,2.461,3.717,0,3,160.87,7.2,0,0,0
MCH-001,P01,L01,2025-11-08,48.737,2.101,3.097,0,3,151.79,7.2,0,0,0
MCH-001,P01,L01,2025-11-09,49.949,2.183,3.66,1,3,193.55,7.2,0,0,0
MCH-001,P01,L01,2025-11-10,55.157,2.218,3.578,0,2,200.49,7.2,0,0,0
MCH-001,P01,L01,2025-11-11,50.175,2.12,3.225,0,3,206.78,7.2,0,0,0
MCH-001,P01,L01,2025-11-12,52.763,2.345,6.356,1,4,216.7,7.2,0,0,0
MCH-001,P01,L01,2025-11-13,52.68,2.287,3.259,0,5,255.8,7.2,0,0,0
MCH-001,P01,L01,2025-11-14,54.143,2.331,3.299,0,5,289.69,7.2,0,0,0
MCH-001,P01,L01,2025-11-15,51.173,2.235,3.012,0,7,263.18,7.2,0,0,0
MCH-001,P01,L01,2025-11-16,48.836,2.265,3.134,0,8,261.49,7.2,0,0,0
MCH-001,P01,L01,2025-11-17,53.863,2.743,9.354,1,10,284.72,7.2,0,0,0
MCH-001,P01,L01,2025-11-18,55.532,2.306,3.643,0,10,329.25,7.2,0,0,0
MCH-001,P01,L01,2025-11-19,53.503,2.281,3.141,0,11,341.59,7.2,0,0,0
MCH-001,P01,L01,2025-11-20,54.039,2.46,3.524,0,13,313.91,7.2,0,0,0
MCH-001,P01,L01,2025-11-21,54.452,2.371,3.228,0,14,376.32,7.2,0,0,0
MCH-001,P01,L01,2025-11-22,48.823,2.274,3.207,0,13,413.44,7.2,0,0,0
MCH-001,P01,L01,2025-11-23,52.719,2.196,3.161,0,12,397.99,7.2,0,0,0
MCH-001,P01,L01,2025-11-24,53.93,2.304,3.255,0,11,429.03,7.2,0,0,0
MCH-001,P01,L01,2025-11-25,53.823,2.476,3.035,0,9,485.48,7.2,0,0,0
MCH-001,P01,L01,2025-11-26,53.924,2.361,3.254,0,8,509.27,7.2,0,0,0
MCH-001,P01,L01,2025-11-27,53.355,2.463,6.813,1,7,483.73,7.2,0,0,0
MCH-001,P01,L01,2025-11-28,51.518,2.343,3.617,0,6,499.9,7.2,0,0,0
MCH-001,P01,L01,2025-11-29,49.678,2.248,2.911,0,6,509.74,7.2,0,0,0
MCH-001,P01,L01,2025-11-30,47.779,2.064,3.497,0,6,561.88,7.2,0,0,0
MCH-001,P01,L01,2025-12-01,54.138,2.23,3.348,0,5,491.38,7.2,0,0,0
MCH-001,P01,L01,2025-12-02,52.47,2.167,3.469,0,7,518.32,7.2,0,0,0
MCH-001,P01,L01,2025-12-03,51.768,2.216,3.126,0,7,528.04,7.2,0,0,0
MCH-001,P01,L01,2025-12-04,54.636,2.327,3.287,0,5,526.49,7.2,0,0,0
MCH-001,P01,L01,2025-12-05,51.666,2.328,3.364,0,5,545.39,7.2,0,0,0
MCH-001,P01,L01,2025-12-06,52.12,2.251,3.542,0,4,649.18,7.2,0,0,0
MCH-001,P01,L01,2025-12-07,48.921,2.246,3.299,0,5,577.25,7.2,0,0,0
MCH-001,P01,L01,2025-12-08,52.568,2.476,3.918,0,5,671.17,7.2,0,0,0
MCH-001,P01,L01,2025-12-09,53.589,2.213,3.013,0,4,572.86,7.2,0,0,0
MCH-001,P01,L01,2025-12-10,55.131,2.29,3.227,0,4,705.8,7.2,0,0,0
MCH-001,P01,L01,2025-12-11,54.994,2.398,3.227,0,5,652.37,7.2,0,0,0
MCH-001,P01,L01,2025-12-12,55.294,2.263,3.127,0,4,736.47,7.2,0,0,0
MCH-001,P01,L01,2025-12-13,48.189,2.104,3.207,0,4,718.1,7.2,0,0,0
MCH-001,P01,L01,2025-12-14,49.438,2.027,2.901,0,3,767.1,7.2,0,0,0
MCH-001,P01,L01,2025-12-15,52.404,2.335,3.455,0,4,837.0,7.2,0,0,0
MCH-001,P01,L01,2025-12-16,51.404,2.252,3.479,0,3,711.32,7.2,0,0,0
MCH-001,P01,L01,2025-12-17,54.72,2.284,3.665,0,3,803.42,7.2,0,0,0
MCH-001,P01,L01,2025-12-18,53.224,2.325,3.21,0,4,787.67,7.2,0,0,0
MCH-001,P01,L01,2025-12-19,49.57,2.35,3.442,0,5,816.29,7.2,0,0,0
MCH-001,P01,L01,2025-12-20,52.677,2.079,3.271,0,5,765.53,7.2,0,0,0
MCH-001,P01,L01,2025-12-21,51.342,2.244,3.383,0,5,785.36,7.2,0,0,0
MCH-001,P01,L01,2025-12-22,54.991,2.305,3.283,0,4,955.23,7.2,0,0,0
MCH-001,P01,L01,2025-12-23,52.295,2.407,6.014,1,5,780.31,7.2,0,0,0
MCH-001,P01,L01,2025-12-24,51.688,2.319,3.137,0,4,792.78,7.2,0,0,0
MCH-001,P01,L01,2025-12-25,51.074,2.295,2.979,0,3,932.88,7.2,0,0,0
MCH-001,P01,L01,2025-12-26,51.464,2.444,3.267,0,3,886.69,7.2,0,0,0
MCH-001,P01,L01,2025-12-27,53.092,2.365,3.366,0,5,990.0,7.2,0,0,0
MCH-001,P01,L01,2025-12-28,50.471,2.323,3.422,0,5,889.03,7.2,0,0,0
MCH-001,P01,L01,2025-12-29,54.203,2.377,3.142,0,6,1062.37,7.2,0,0,0
MCH-001,P01,L01,2025-12-30,51.98,2.419,3.404,0,6,894.81,7.2,0,0,0
MCH-001,P01,L01,2025-12-31,52.54,2.334,3.524,0,7,1029.55,7.2,0,0,0
MCH-001,P01,L01,2026-01-01,53.274,2.334,3.519,0,6,949.1,7.2,0,0,0
MCH-001,P01,L01,2026-01-02,55.633,2.431,3.604,0,5,1063.83,7.2,0,0,0
MCH-001,P01,L01,2026-01-03,48.572,2.329,3.98,0,3,966.47,7.2,0,0,0
MCH-001,P01,L01,2026-01-04,47.228,2.136,3.388,0,3,961.24,7.2,0,0,0
MCH-001,P01,L01,2026-01-05,53.479,2.288,3.621,0,3,1062.48,7.2,0,0,0
MCH-001,P01,L01,2026-01-06,56.454,2.238,3.014,1,2,1040.87,7.2,0,0,0
MCH-001,P01,L01,2026-01-07,52.542,2.349,3.202,0,3,994.28,7.2,0,0,0
MCH-001,P01,L01,2026-01-08,53.422,2.42,3.381,0,4,1042.16,7.2,0,0,0
MCH-001,P01,L01,2026-01-09,54.203,2.245,3.363,0,4,1110.35,7.2,0,0,0
MCH-001,P01,L01,2026-01-10,51.401,2.282,3.94,0,4,1104.83,7.2,0,0,0
MCH-001,P01,L01,2026-01-11,48.89,2.277,3.378,0,4,1164.11,7.2,0,0,0
MCH-001,P01,L01,2026-01-12,56.281,2.226,2.982,0,4,1285.35,7.2,0,0,0
MCH-001,P01,L01,2026-01-13,55.17,2.563,4.091,0,5,1303.39,7.2,0,0,0
MCH-001,P01,L01,2026-01-14,54.977,2.542,3.628,0,5,1209.45,7.2,0,0,0
MCH-001,P01,L01,2026-01-15,54.979,2.532,3.375,0,5,1294.75,7.2,0,0,0
MCH-001,P01,L01,2026-01-16,55.021,2.392,3.036,0,6,1168.0,7.2,0,0,0
MCH-001,P01,L01,2026-01-17,52.549,2.169,3.061,0,6,1165.62,7.2,1,0,0
MCH-001,P01,L01,2026-01-18,47.597,2.236,3.386,0,6,1133.81,7.2,1,0,0
MCH-001,P01,L01,2026-01-19,53.698,2.376,3.296,0,6,0.0,7.2,0,0,0
MCH-001,P01,L01,2026-01-20,55.08,2.388,3.341,0,6,15.48,7.2,0,0,0
MCH-001,P01,L01,2026-01-21,54.344,2.299,3.324,0,6,29.56,7.2,0,0,0
MCH-001,P01,L01,2026-01-22,54.999,2.323,2.918,0,5,48.22,7.2,0,0,0
MCH-001,P01,L01,2026-01-23,53.207,2.412,3.255,0,5,57.09,7.2,0,0,0
MCH-001,P01,L01,2026-01-24,51.663,2.419,3.419,0,5,75.2,7.2,0,0,0
MCH-001,P01,L01,2026-01-25,50.522,2.176,3.475,1,5,97.92,7.2,0,0,0
MCH-001,P01,L01,2026-01-26,54.024,2.415,3.266,0,4,106.29,7.2,0,0,0
MCH-001,P01,L01,2026-01-27,52.761,2.241,3.52,0,4,120.09,7.2,0,0,0
MCH-001,P01,L01,2026-01-28,54.613,2.407,3.25,0,2,135.48,7.2,0,0,0
MCH-001,P01,L01,2026-01-29,53.626,2.354,3.423,0,3,162.42,7.2,0,0,0
MCH-001,P01,L01,2026-01-30,53.39,2.306,3.333,0,3,161.36,7.2,0,0,0
MCH-001,P01,L01,2026-01-31,50.305,2.435,3.22,1,3,191.39,7.2,0,0,0
MCH-001,P01,L01,2026-02-01,48.947,2.397,3.416,0,3,181.31,7.2,0,0,0
MCH-001,P01,L01,2026-02-02,52.314,2.288,3.375,0,4,212.23,7.2,0,0,0
MCH-001,P01,L01,2026-02-03,53.022,2.367,2.829,0,4,224.22,7.2,0,0,0
MCH-001,P01,L01,2026-02-04,52.501,2.489,3.61,0,7,269.85,7.2,0,0,0
MCH-001,P01,L01,2026-02-05,55.852,2.434,3.253,0,7,242.71,7.2,0,0,0
MCH-001,P01,L01,2026-02-06,51.683,2.11,2.993,0,6,253.36,7.2,0,0,0
MCH-001,P01,L01,2026-02-07,48.641,2.1,3.068,0,7,330.52,7.2,0,0,0
MCH-001,P01,L01,2026-02-08,46.159,1.978,3.011,0,7,324.63,7.2,0,0,0
MCH-001,P01,L01,2026-02-09,54.008,2.338,3.185,0,7,324.71,7.2,0,0,0
MCH-001,P01,L01,2026-02-10,52.723,2.329,3.17,0,8,360.25,7.2,0,0,0
MCH-001,P01,L01,2026-02-11,54.906,2.339,3.457,0,5,365.64,7.2,0,0,0
MCH-001,P01,L01,2026-02-12,52.147,2.174,3.209,0,7,348.19,7.2,0,0,0
MCH-001,P01,L01,2026-02-13,54.778,2.396,3.318,0,7,431.87,7.2,0,0,0
MCH-001,P01,L01,2026-02-14,50.322,2.297,3.166,0,7,432.59,7.2,0,0,0
MCH-001,P01,L01,2026-02-15,54.003,2.421,5.443,2,7,449.07,7.2,0,0,0
MCH-001,P01,L01,2026-02-16,52.625,2.223,3.048,0,7,427.12,7.2,0,0,0
MCH-001,P01,L01,2026-02-17,51.045,2.379,3.386,0,6,418.44,7.2,0,0,0
MCH-001,P01,L01,2026-02-18,50.633,2.148,3.046,0,6,426.07,7.2,0,0,0
MCH-001,P01,L01,2026-02-19,54.062,2.538,3.15,0,4,476.1,7.2,0,0,0
MCH-001,P01,L01,2026-02-20,54.104,2.314,3.517,0,4,488.4,7.2,0,0,0
MCH-001,P01,L01,2026-02-21,49.343,2.442,3.28,0,3,558.55,7.2,0,0,0
MCH-001,P01,L01,2026-02-22,48.989,2.239,3.347,0,3,513.16,7.2,0,0,0
MCH-001,P01,L01,2026-02-23,54.558,2.549,3.814,0,3,614.27,7.2,0,0,0
MCH-001,P01,L01,2026-02-24,52.009,2.184,3.064,0,2,547.15,7.2,0,0,0
MCH-001,P01,L01,2026-02-25,56.353,2.394,3.31,0,3,521.74,7.2,0,0,0
MCH-001,P01,L01,2026-02-26,52.679,2.406,3.423,0,2,620.84,7.2,0,0,0
MCH-001,P01,L01,2026-02-27,52.954,2.258,3.412,0,2,567.46,7.2,0,0,0
MCH-001,P01,L01,2026-02-28,49.098,2.007,2.873,0,2,593.24,7.2,0,0,0
MCH-001,P01,L01,2026-03-01,49.821,2.242,3.467,0,2,639.75,7.2,0,0,0
MCH-001,P01,L01,2026-03-02,54.214,2.453,3.421,0,1,722.63,7.2,0,0,0
MCH-001,P01,L01,2026-03-03,51.718,2.309,2.981,0,3,639.13,7.2,0,0,0
MCH-001,P01,L01,2026-03-04,52.674,2.282,3.274,0,3,662.61,7.2,0,0,0
MCH-001,P01,L01,2026-03-05,51.051,2.337,4.506,1,3,614.2,7.2,0,0,0
MCH-001,P01,L01,2026-03-06,55.235,2.451,3.543,0,3,682.26,7.2,0,0,0
MCH-001,P01,L01,2026-03-07,48.246,2.02,2.987,0,4,698.05,7.2,0,0,0
MCH-001,P01,L01,2026-03-08,50.231,2.394,3.531,0,5,822.7,7.2,0,0,0
MCH-001,P01,L01,2026-03-09,55.041,2.481,3.36,0,5,670.94,7.2,0,0,0
MCH-001,P01,L01,2026-03-10,53.215,2.296,3.177,0,5,784.01,7.2,0,0,0
MCH-001,P01,L01,2026-03-11,52.912,2.294,3.065,0,4,805.1,7.2,0,0,0
MCH-001,P01,L01,2026-03-12,56.46,2.656,3.335,0,6,885.16,7.2,0,0,0
MCH-001,P01,L01,2026-03-13,55.183,2.439,3.118,0,6,740.42,7.2,0,0,0
MCH-001,P01,L01,2026-03-14,50.562,2.37,3.578,0,5,866.66,7.2,0,0,0
MCH-001,P01,L01,2026-03-15,47.394,2.153,3.233,0,4,906.55,7.2,0,0,0
MCH-001,P01,L01,2026-03-16,54.069,2.582,8.058,1,5,887.04,7.2,0,0,0
MCH-001,P01,L01,2026-03-17,51.991,2.219,2.941,0,4,957.06,7.2,0,0,0
MCH-001,P01,L01,2026-03-18,53.471,2.325,3.406,0,5,939.12,7.2,0,0,0
MCH-001,P01,L01,2026-03-19,56.228,2.421,5.747,1,3,822.16,7.2,0,0,0
MCH-001,P01,L01,2026-03-20,52.722,2.426,3.284,0,4,1053.8,7.2,0,0,0
MCH-001,P01,L01,2026-03-21,47.95,2.313,3.093,0,4,1026.31,7.2,0,0,0
MCH-001,P01,L01,2026-03-22,48.89,2.121,3.867,0,4,862.36,7.2,0,0,0
MCH-001,P01,L01,2026-03-23,58.362,2.974,3.889,0,4,949.49,7.2,0,0,1
MCH-001,P01,L01,2026-03-24,56.925,3.464,4.403,0,3,1036.75,7.2,0,0,1
MCH-001,P01,L01,2026-03-25,61.771,4.208,5.778,1,3,1076.79,7.2,0,0,1
MCH-001,P01,L01,2026-03-26,61.252,5.361,13.821,1,6,1031.47,7.2,0,0,1
MCH-001,P01,L01,2026-03-27,67.447,5.371,6.234,1,8,1084.53,7.2,0,0,1
MCH-001,P01,L01,2026-03-28,62.783,6.063,7.266,0,9,1166.74,7.2,0,0,1
MCH-001,P01,L01,2026-03-29,64.613,6.546,7.425,0,9,1029.76,7.2,0,1,1
MCH-001,P01,L01,2026-03-30,72.159,8.048,24.907,1,8,0.0,7.2,0,1,1
MCH-001,P01,L01,2026-03-31,51.553,2.325,3.336,0,10,14.26,7.2,0,0,0
MCH-001,P01,L01,2026-04-01,51.063,2.534,3.424,0,9,30.32,7.2,0,0,0
MCH-001,P01,L01,2026-04-02,54.001,2.398,3.295,0,7,43.1,7.2,0,0,0
MCH-001,P01,L01,2026-04-03,53.292,2.356,3.052,0,4,60.82,7.2,0,0,0
MCH-001,P01,L01,2026-04-04,49.198,2.335,3.399,0,5,78.43,7.2,0,0,0
MCH-001,P01,L01,2026-04-05,52.429,2.246,3.409,0,6,84.28,7.2,0,0,0
MCH-001,P01,L01,2026-04-06,51.62,2.41,3.51,0,7,104.73,7.2,0,0,0
MCH-001,P01,L01,2026-04-07,54.139,2.295,2.982,0,6,117.65,7.2,0,0,0
MCH-001,P01,L01,2026-04-08,52.206,2.297,3.503,0,6,153.88,7.2,0,0,0
MCH-001,P01,L01,2026-04-09,55.421,2.478,3.368,0,6,158.2,7.2,0,0,0
MCH-001,P01,L01,2026-04-10,51.554,2.313,3.19,0,7,162.6,7.2,0,0,0
MCH-001,P01,L01,2026-04-11,50.381,2.005,2.984,0,5,0.0,7.2,0,0,0
MCH-001,P01,L01,2026-04-12,50.161,2.049,2.879,0,5,15.62,7.2,0,0,0
MCH-001,P01,L01,2026-04-13,53.637,2.389,3.624,0,4,29.89,7.2,0,0,0
MCH-001,P01,L01,2026-04-14,51.463,2.117,3.046,0,3,49.79,7.2,0,0,0
MCH-001,P01,L01,2026-04-15,54.194,2.184,3.026,0,3,57.13,7.2,0,0,0
MCH-001,P01,L01,2026-04-16,51.861,2.383,3.582,0,3,69.57,7.2,0,0,0
MCH-001,P01,L01,2026-04-17,54.107,2.402,3.39,0,2,102.87,7.2,0,0,0
MCH-001,P01,L01,2026-04-18,50.464,2.187,3.074,0,2,109.62,7.2,0,0,0
MCH-001,P01,L01,2026-04-19,48.098,2.309,3.751,0,1,133.86,7.2,0,0,0
MCH-001,P01,L01,2026-04-20,54.799,2.467,3.676,0,1,140.93,7.2,0,0,0
MCH-001,P01,L01,2026-04-21,51.438,2.192,3.031,0,1,171.07,7.2,0,0,0
MCH-001,P01,L01,2026-04-22,52.694,2.267,3.292,0,2,193.5,7.2,0,0,0
MCH-001,P01,L01,2026-04-23,53.384,2.341,3.231,0,2,171.29,7.2,0,0,0
MCH-001,P01,L01,2026-04-24,53.153,2.24,3.364,0,3,216.36,7.2,0,0,0
MCH-001,P01,L01,2026-04-25,49.035,2.159,3.171,0,3,232.65,7.2,0,0,0
MCH-001,P01,L01,2026-04-26,51.696,2.29,2.928,0,3,212.13,7.2,0,0,0
MCH-001,P01,L01,2026-04-27,51.444,2.337,3.241,0,4,231.64,7.2,0,0,0
MCH-001,P01,L01,2026-04-28,54.545,2.31,3.178,0,4,277.41,7.2,0,0,0
MCH-001,P01,L01,2026-04-29,53.248,2.331,3.382,0,4,279.02,7.2,0,0,0
MCH-001,P01,L01,2026-04-30,53.779,2.345,3.301,0,4,329.02,7.2,0,0,0
MCH-001,P01,L01,2026-05-01,53.978,2.338,3.339,0,4,336.08,7.2,0,0,0
MCH-001,P01,L01,2026-05-02,50.261,2.159,3.015,0,5,290.57,7.2,0,0,0
MCH-001,P01,L01,2026-05-03,49.946,2.375,3.431,0,5,378.78,7.2,0,0,0
MCH-001,P01,L01,2026-05-04,52.101,2.172,3.202,0,5,338.05,7.2,0,0,0
MCH-001,P01,L01,2026-05-05,55.908,2.478,3.532,0,5,341.94,7.2,0,0,0
MCH-001,P01,L01,2026-05-06,53.753,2.579,3.539,0,5,360.15,7.2,0,0,0
MCH-001,P01,L01,2026-05-07,53.253,2.263,3.301,1,4,453.19,7.2,0,0,0
