downtime_id,event_id,machine_id,line_id,downtime_start,downtime_end,downtime_minutes,reason_code,severity,linked_work_order_id,recorded_by
DT-0000019,EVT-00000075,MCH-021,L04,2025-08-01 19:47:00,2025-08-01 20:26:38,39.64,QUALITY_HOLD,medium,WO-000011,
DT-0000020,EVT-00000079,MCH-022,L04,2025-08-01 23:12:00,2025-08-01 23:51:38,39.64,MICRO_STOP,medium,WO-000011,OP-0035
DT-0000021,EVT-00000083,MCH-023,L04,2025-08-01 05:39:00,2025-08-01 06:19:24,40.4,UNKNOWN,medium,WO-000012,OP-0069
DT-0000022,EVT-00000087,MCH-019,L04,2025-08-01 04:32:00,2025-08-01 05:12:24,40.4,QUALITY_HOLD,medium,WO-000012,OP-0046
DT-0000023,EVT-00000091,MCH-027,L05,2025-08-01 14:38:00,2025-08-01 15:07:34,29.57,QUALITY_HOLD,medium,WO-000013,OP-0006
DT-0000024,EVT-00000095,MCH-028,L05,2025-08-01 11:25:00,2025-08-01 11:54:34,29.57,MICRO_STOP,medium,WO-000013,OP-0051
DT-0000025,EVT-00000099,MCH-025,L05,2025-08-01 22:47:00,2025-08-01 23:04:17,17.29,SENSOR_FAULT,medium,WO-000014,OP-0035
DT-0000026,EVT-00000103,MCH-028,L05,2025-08-01 19:54:00,2025-08-01 20:11:17,17.29,UNKNOWN,medium,WO-000014,OP-0055
DT-0000027,EVT-00000107,MCH-028,L05,2025-08-01 06:36:00,2025-08-01 07:01:07,25.12,,medium,WO-000015,OP-0019
DT-0000028,EVT-00000110,MCH-027,L05,2025-08-01 03:38:00,2025-08-01 04:03:07,25.12,SENSOR_FAULT,medium,WO-000015,OP-0045
DT-0000029,EVT-00000113,MCH-032,L06,2025-08-01 13:36:00,2025-08-01 13:47:07,11.13,JAM,medium,WO-000016,OP-0072
DT-0000030,EVT-00000117,MCH-031,L06,2025-08-01 10:44:00,2025-08-01 10:55:07,11.13,,medium,WO-000016,OP-0048
DT-0000031,EVT-00000121,MCH-033,L06,2025-08-01 23:25:00,2025-08-01 23:40:18,15.31,,medium,WO-000017,OP-0046
DT-0000032,EVT-00000125,MCH-034,L06,2025-08-01 22:05:00,2025-08-01 22:20:18,15.31,,medium,WO-000017,OP-0048
DT-0000033,EVT-00000129,MCH-034,L06,2025-08-01 11:11:00,2025-08-01 11:30:52,19.88,UNKNOWN,medium,WO-000018,OP-0058
DT-0000034,EVT-00000133,MCH-032,L06,2025-08-01 08:52:00,2025-08-01 09:11:52,19.88,,medium,WO-000018,OP-0011
DT-0000035,EVT-00000137,MCH-006,L01,2025-08-02 19:32:00,2025-08-02 19:42:06,10.1,QUALITY_HOLD,medium,WO-000019,OP-0049
DT-0000036,EVT-00000140,MCH-004,L01,2025-08-02 21:49:00,2025-08-02 21:59:06,10.1,,medium,WO-000019,OP-0004
DT-0000037,EVT-00000143,MCH-011,L02,2025-08-02 15:17:00,2025-08-02 15:53:05,36.09,MATERIAL_WAIT,medium,WO-000020,OP-0021
DT-0000038,EVT-00000147,MCH-010,L02,2025-08-02 15:29:00,2025-08-02 16:05:05,36.09,MATERIAL_WAIT,medium,WO-000020,OP-0047
DT-0000039,EVT-00000151,MCH-014,L03,2025-08-02 14:57:00,2025-08-02 15:21:05,24.09,,medium,WO-000021,OP-0053
DT-0000040,EVT-00000155,MCH-013,L03,2025-08-02 13:04:00,2025-08-02 13:28:05,24.09,SENSOR_FAULT,medium,WO-000021,OP-0006
DT-0000041,EVT-00000159,MCH-013,L03,2025-08-02 21:57:00,2025-08-02 22:28:26,31.44,SENSOR_FAULT,medium,WO-000022,OP-0017
DT-0000042,EVT-00000163,MCH-015,L03,2025-08-02 20:47:00,2025-08-02 21:18:26,31.44,JAM,medium,WO-000022,OP-0018
DT-0000043,EVT-00000167,MCH-016,L03,2025-08-02 07:31:00,2025-08-02 08:04:59,34.0,MICRO_STOP,medium,WO-000023,OP-0066
DT-0000044,EVT-00000171,MCH-013,L03,2025-08-02 08:08:00,2025-08-02 08:41:59,34.0,,medium,WO-000023,OP-0015
DT-0000045,EVT-00000175,MCH-023,L04,2025-08-02 18:24:00,2025-08-02 18:59:28,35.47,UNKNOWN,medium,WO-000024,OP-0017
DT-0000046,EVT-00000179,MCH-019,L04,2025-08-02 18:51:00,2025-08-02 19:26:28,35.47,MICRO_STOP,medium,WO-000024,OP-0063
DT-0000047,EVT-00000189,MCH-027,L05,2025-08-02 19:14:00,2025-08-02 19:30:44,16.74,,medium,WO-000026,OP-0004
DT-0000048,EVT-00000193,MCH-028,L05,2025-08-02 21:57:00,2025-08-02 22:13:44,16.74,MATERIAL_WAIT,medium,WO-000026,OP-0054
DT-0000049,EVT-00000203,MCH-032,L06,2025-08-02 07:26:00,2025-08-02 08:03:56,37.94,MICRO_STOP,medium,WO-000028,OP-0061
DT-0000050,EVT-00000207,MCH-033,L06,2025-08-02 07:06:00,2025-08-02 07:43:56,37.94,MATERIAL_WAIT,medium,WO-000028,OP-0037
DT-0000051,EVT-00000211,MCH-011,L02,2025-08-03 21:02:00,2025-08-03 21:09:46,7.78,SENSOR_FAULT,medium,WO-000029,OP-0067
DT-0000052,EVT-00000215,MCH-007,L02,2025-08-03 22:17:00,2025-08-03 22:24:46,7.78,UNKNOWN,medium,WO-000029,OP-0068
DT-0000053,EVT-00000225,MCH-018,L03,2025-08-03 04:03:00,2025-08-03 04:35:46,32.78,JAM,medium,WO-000031,OP-0049
DT-0000054,EVT-00000229,MCH-016,L03,2025-08-03 05:22:00,2025-08-03 05:54:46,32.78,MICRO_STOP,medium,WO-000031,OP-0029
DT-0000055,EVT-00000233,MCH-023,L04,2025-08-04 02:12:00,2025-08-04 02:54:36,42.62,SENSOR_FAULT,medium,WO-000032,OP-0014
DT-0000056,EVT-00000237,MCH-021,L04,2025-08-04 00:37:00,2025-08-04 01:19:36,42.62,UNKNOWN,medium,WO-000032,OP-0037
DT-0000057,EVT-00000241,MCH-024,L04,2025-08-03 05:56:00,2025-08-03 06:25:36,29.61,,medium,WO-000033,OP-0056
DT-0000058,EVT-00000244,MCH-019,L04,2025-08-03 02:53:00,2025-08-03 03:22:36,29.61,QUALITY_HOLD,medium,WO-000033,OP-0036
DT-0000059,EVT-00000253,MCH-033,L06,2025-08-04 03:28:00,2025-08-04 04:02:20,34.35,JAM,medium,WO-000035,OP-0030
DT-0000060,EVT-00000257,MCH-032,L06,2025-08-04 03:23:00,2025-08-04 03:57:20,34.35,JAM,medium,WO-000035,OP-0029
DT-0000061,EVT-00000265,MCH-006,L01,2025-08-04 21:57:00,2025-08-04 22:27:36,30.61,MICRO_STOP,medium,WO-000037,OP-0043
DT-0000062,EVT-00000268,MCH-001,L01,2025-08-04 23:59:00,2025-08-05 00:29:36,30.61,MICRO_STOP,medium,WO-000037,OP-0067
DT-0000063,EVT-00000271,MCH-003,L01,2025-08-04 07:17:00,2025-08-04 07:31:43,14.72,SENSOR_FAULT,medium,WO-000038,OP-0055
DT-0000064,EVT-00000275,MCH-004,L01,2025-08-04 03:35:00,2025-08-04 03:49:43,14.72,MICRO_STOP,medium,WO-000038,OP-0057
DT-0000065,EVT-00000279,MCH-010,L02,2025-08-04 12:36:00,2025-08-04 12:48:31,12.53,JAM,medium,WO-000039,OP-0034
DT-0000066,EVT-00000283,MCH-009,L02,2025-08-04 10:44:00,2025-08-04 10:56:31,12.53,,medium,WO-000039,OP-0034
DT-0000067,EVT-00000287,MCH-008,L02,2025-08-04 17:27:00,2025-08-04 18:04:44,37.74,UNKNOWN,medium,WO-000040,OP-0002
DT-0000068,EVT-00000290,MCH-007,L02,2025-08-04 19:01:00,2025-08-04 19:38:44,37.74,JAM,medium,WO-000040,OP-0054
DT-0000069,EVT-00000299,MCH-013,L03,2025-08-04 11:08:00,2025-08-04 11:31:21,23.36,SENSOR_FAULT,medium,WO-000042,OP-0019
DT-0000070,EVT-00000303,MCH-015,L03,2025-08-04 09:26:00,2025-08-04 09:49:21,23.36,UNKNOWN,medium,WO-000042,OP-0043
DT-0000071,EVT-00000307,MCH-018,L03,2025-08-04 22:08:00,2025-08-04 22:31:02,23.04,SENSOR_FAULT,medium,WO-000043,OP-0020
DT-0000072,EVT-00000311,MCH-013,L03,2025-08-04 23:23:00,2025-08-04 23:46:02,23.04,,medium,WO-000043,OP-0043
DT-0000073,EVT-00000315,MCH-017,L03,2025-08-04 05:44:00,2025-08-04 06:01:28,17.47,QUALITY_HOLD,medium,WO-000044,OP-0023
DT-0000074,EVT-00000319,MCH-015,L03,2025-08-04 05:47:00,2025-08-04 06:04:28,17.47,SENSOR_FAULT,medium,WO-000044,OP-0070
DT-0000075,EVT-00000323,MCH-024,L04,2025-08-04 11:30:00,2025-08-04 12:03:30,33.51,SENSOR_FAULT,medium,WO-000045,OP-0043
DT-0000076,EVT-00000326,MCH-022,L04,2025-08-04 13:39:00,2025-08-04 14:12:30,33.51,MICRO_STOP,medium,WO-000045,OP-0045
DT-0000077,EVT-00000329,MCH-022,L04,2025-08-05 01:28:00,2025-08-05 01:39:47,11.79,JAM,medium,WO-000046,OP-0060
DT-0000078,EVT-00000333,MCH-024,L04,2025-08-05 01:05:00,2025-08-05 01:16:47,11.79,JAM,medium,WO-000046,OP-0034
DT-0000079,EVT-00000337,MCH-023,L04,2025-08-04 07:34:00,2025-08-04 07:55:50,21.84,MATERIAL_WAIT,medium,WO-000047,OP-0048
DT-0000080,EVT-00000341,MCH-024,L04,2025-08-04 10:36:00,2025-08-04 10:57:50,21.84,JAM,medium,WO-000047,OP-0046
DT-0000081,EVT-00000345,MCH-028,L05,2025-08-04 20:20:00,2025-08-04 20:33:25,13.42,MICRO_STOP,medium,WO-000048,OP-0072
DT-0000082,EVT-00000349,MCH-030,L05,2025-08-04 15:58:00,2025-08-04 16:11:25,13.42,MICRO_STOP,medium,WO-000048,OP-0019
DT-0000083,EVT-00000353,MCH-029,L05,2025-08-04 21:18:00,2025-08-04 21:34:29,16.49,,medium,WO-000049,OP-0017
DT-0000084,EVT-00000357,MCH-028,L05,2025-08-04 19:20:00,2025-08-04 19:36:29,16.49,MATERIAL_WAIT,medium,WO-000049,OP-0037
DT-0000085,EVT-00000361,MCH-029,L05,2025-08-04 03:50:00,2025-08-04 04:06:37,16.63,UNKNOWN,medium,WO-000050,OP-0039
DT-0000086,EVT-00000365,MCH-026,L05,2025-08-04 07:06:00,2025-08-04 07:22:37,16.63,SENSOR_FAULT,medium,WO-000050,OP-0015
DT-0000087,EVT-00000369,MCH-032,L06,2025-08-04 15:22:00,2025-08-04 15:47:22,25.38,UNKNOWN,medium,WO-000051,OP-0014
DT-0000088,EVT-00000373,MCH-031,L06,2025-08-04 16:41:00,2025-08-04 17:06:22,25.38,JAM,medium,WO-000051,OP-0041
DT-0000089,EVT-00000377,MCH-034,L06,2025-08-04 20:25:00,2025-08-04 20:47:46,22.77,JAM,medium,WO-000052,OP-0030
DT-0000090,EVT-00000380,MCH-033,L06,2025-08-04 23:34:00,2025-08-04 23:56:46,22.77,MICRO_STOP,medium,WO-000052,OP-0025
DT-0000091,EVT-00000389,MCH-002,L01,2025-08-05 14:41:00,2025-08-05 15:02:02,21.04,QUALITY_HOLD,medium,WO-000054,OP-0072
DT-0000092,EVT-00000393,MCH-001,L01,2025-08-05 15:13:00,2025-08-05 15:34:02,21.04,SENSOR_FAULT,medium,WO-000054,OP-0023
DT-0000093,EVT-00000397,MCH-002,L01,2025-08-05 22:40:00,2025-08-05 23:00:37,20.62,MATERIAL_WAIT,medium,WO-000055,OP-0058
DT-0000094,EVT-00000401,MCH-004,L01,2025-08-05 20:32:00,2025-08-05 20:52:37,20.62,UNKNOWN,medium,WO-000055,OP-0033
DT-0000095,EVT-00000405,MCH-005,L01,2025-08-05 05:05:00,2025-08-05 05:38:58,33.98,UNKNOWN,medium,WO-000056,OP-0003
DT-0000096,EVT-00000409,MCH-001,L01,2025-08-05 05:19:00,2025-08-05 05:52:58,33.98,QUALITY_HOLD,medium,WO-000056,OP-0051
DT-0000097,EVT-00000413,MCH-008,L02,2025-08-05 13:35:00,2025-08-05 13:46:48,11.81,MICRO_STOP,medium,WO-000057,OP-0048
DT-0000098,EVT-00000417,MCH-012,L02,2025-08-05 13:34:00,2025-08-05 13:45:48,11.81,MICRO_STOP,medium,WO-000057,OP-0020
DT-0000099,EVT-00000421,MCH-012,L02,2025-08-05 19:46:00,2025-08-05 19:54:22,8.38,QUALITY_HOLD,medium,WO-000058,OP-0017
DT-0000100,EVT-00000425,MCH-009,L02,2025-08-05 21:38:00,2025-08-05 21:46:22,8.38,MICRO_STOP,medium,WO-000058,OP-0062
DT-0000101,EVT-00000429,MCH-008,L02,2025-08-05 01:18:00,2025-08-05 01:29:45,11.76,SENSOR_FAULT,medium,WO-000059,OP-0007
DT-0000102,EVT-00000433,MCH-012,L02,2025-08-05 01:50:00,2025-08-05 02:01:45,11.76,QUALITY_HOLD,medium,WO-000059,OP-0060
DT-0000103,EVT-00000437,MCH-018,L03,2025-08-05 09:07:00,2025-08-05 09:25:19,18.32,JAM,medium,WO-000060,OP-0049
DT-0000104,EVT-00000441,MCH-013,L03,2025-08-05 11:42:00,2025-08-05 12:00:19,18.32,JAM,medium,WO-000060,OP-0049
DT-0000105,EVT-00000445,MCH-018,L03,2025-08-05 17:55:00,2025-08-05 18:07:27,12.45,SENSOR_FAULT,medium,WO-000061,OP-0069
DT-0000106,EVT-00000449,MCH-014,L03,2025-08-05 17:16:00,2025-08-05 17:28:27,12.45,,medium,WO-000061,OP-0067
DT-0000107,EVT-00000453,MCH-013,L03,2025-08-05 06:46:00,2025-08-05 07:15:27,29.45,JAM,medium,WO-000062,OP-0036
DT-0000108,EVT-00000457,MCH-017,L03,2025-08-05 09:49:00,2025-08-05 10:18:27,29.45,QUALITY_HOLD,medium,WO-000062,OP-0034
DT-0000109,EVT-00000461,MCH-019,L04,2025-08-05 14:09:00,2025-08-05 14:21:47,12.8,,medium,WO-000063,OP-0017
DT-0000110,EVT-00000464,MCH-024,L04,2025-08-05 12:09:00,2025-08-05 12:21:47,12.8,QUALITY_HOLD,medium,WO-000063,OP-0018
DT-0000111,EVT-00000467,MCH-021,L04,2025-08-06 00:44:00,2025-08-06 01:15:05,31.09,SENSOR_FAULT,medium,WO-000064,OP-0009
DT-0000112,EVT-00000471,MCH-022,L04,2025-08-06 01:10:00,2025-08-06 01:41:05,31.09,SENSOR_FAULT,medium,WO-000064,OP-0031
DT-0000113,EVT-00000475,MCH-022,L04,2025-08-05 06:04:00,2025-08-05 06:52:30,48.51,JAM,medium,WO-000065,OP-0035
DT-0000114,EVT-00000478,MCH-020,L04,2025-08-05 08:51:00,2025-08-05 09:39:30,48.51,MATERIAL_WAIT,medium,WO-000065,OP-0036
DT-0000115,EVT-00000481,MCH-028,L05,2025-08-05 17:17:00,2025-08-05 17:42:24,25.41,MICRO_STOP,medium,WO-000066,OP-0013
DT-0000116,EVT-00000484,MCH-027,L05,2025-08-05 17:28:00,2025-08-05 17:53:24,25.41,JAM,medium,WO-000066,OP-0038
DT-0000117,EVT-00000487,MCH-027,L05,2025-08-05 20:15:00,2025-08-05 20:29:50,14.83,JAM,medium,WO-000067,OP-0044
DT-0000118,EVT-00000491,MCH-028,L05,2025-08-05 18:48:00,2025-08-05 19:02:50,14.83,,medium,WO-000067,OP-0024
DT-0000119,EVT-00000495,MCH-028,L05,2025-08-05 04:08:00,2025-08-05 04:41:38,33.65,QUALITY_HOLD,medium,WO-000068,OP-0029
DT-0000120,EVT-00000498,MCH-027,L05,2025-08-05 05:18:00,2025-08-05 05:51:38,33.65,JAM,medium,WO-000068,OP-0027
DT-0000121,EVT-00000501,MCH-031,L06,2025-08-05 17:33:00,2025-08-05 17:42:06,9.11,MICRO_STOP,medium,WO-000069,OP-0030
DT-0000122,EVT-00000505,MCH-033,L06,2025-08-05 19:28:00,2025-08-05 19:37:06,9.11,JAM,medium,WO-000069,OP-0053
DT-0000123,EVT-00000509,MCH-034,L06,2025-08-05 20:16:00,2025-08-05 20:28:46,12.78,MATERIAL_WAIT,medium,WO-000070,OP-0047
DT-0000124,EVT-00000513,MCH-031,L06,2025-08-05 20:10:00,2025-08-05 20:22:46,12.78,MICRO_STOP,medium,WO-000070,OP-0067
DT-0000125,EVT-00000517,MCH-036,L06,2025-08-05 10:08:00,2025-08-05 10:39:18,31.31,SENSOR_FAULT,medium,WO-000071,OP-0005
DT-0000126,EVT-00000521,MCH-032,L06,2025-08-05 09:11:00,2025-08-05 09:42:18,31.31,SENSOR_FAULT,medium,WO-000071,OP-0029
DT-0000127,EVT-00000531,MCH-006,L01,2025-08-07 02:08:00,2025-08-07 02:33:20,25.34,,medium,WO-000073,OP-0045
DT-0000128,EVT-00000535,MCH-005,L01,2025-08-07 02:15:00,2025-08-07 02:40:20,25.34,MICRO_STOP,medium,WO-000073,OP-0024
DT-0000129,EVT-00000539,MCH-004,L01,2025-08-07 04:13:00,2025-08-07 04:36:47,23.8,SENSOR_FAULT,medium,WO-000074,OP-0053
DT-0000130,EVT-00000543,MCH-003,L01,2025-08-07 01:01:00,2025-08-07 01:24:47,23.8,MICRO_STOP,medium,WO-000074,OP-0054
DT-0000131,EVT-00000547,MCH-011,L02,2025-08-06 15:47:00,2025-08-06 16:26:39,39.65,SENSOR_FAULT,medium,WO-000075,OP-0009
DT-0000132,EVT-00000551,MCH-008,L02,2025-08-06 16:25:00,2025-08-06 17:04:39,39.65,,medium,WO-000075,OP-0008
DT-0000133,EVT-00000555,MCH-011,L02,2025-08-06 17:38:00,2025-08-06 18:01:51,23.86,SENSOR_FAULT,medium,WO-000076,OP-0021
DT-0000134,EVT-00000558,MCH-007,L02,2025-08-06 20:47:00,2025-08-06 21:10:51,23.86,,medium,WO-000076,OP-0022
DT-0000135,EVT-00000561,MCH-011,L02,2025-08-06 07:43:00,2025-08-06 08:06:02,23.03,,medium,WO-000077,OP-0044
DT-0000136,EVT-00000565,MCH-008,L02,2025-08-06 11:41:00,2025-08-06 12:04:02,23.03,MICRO_STOP,medium,WO-000077,OP-0071
DT-0000137,EVT-00000579,MCH-013,L03,2025-08-06 05:37:00,2025-08-06 05:53:45,16.77,MATERIAL_WAIT,medium,WO-000080,OP-0029
DT-0000138,EVT-00000583,MCH-015,L03,2025-08-06 08:10:00,2025-08-06 08:26:45,16.77,MICRO_STOP,medium,WO-000080,OP-0029
DT-0000139,EVT-00000587,MCH-022,L04,2025-08-06 13:09:00,2025-08-06 13:21:13,12.23,SENSOR_FAULT,medium,WO-000081,OP-0040
DT-0000140,EVT-00000590,MCH-019,L04,2025-08-06 08:50:00,2025-08-06 09:02:13,12.23,QUALITY_HOLD,medium,WO-000081,OP-0038
DT-0000141,EVT-00000593,MCH-023,L04,2025-08-07 01:43:00,2025-08-07 02:20:56,37.94,QUALITY_HOLD,medium,WO-000082,OP-0051
DT-0000142,EVT-00000597,MCH-021,L04,2025-08-07 01:33:00,2025-08-07 02:10:56,37.94,SENSOR_FAULT,medium,WO-000082,OP-0028
DT-0000143,EVT-00000601,MCH-021,L04,2025-08-06 07:29:00,2025-08-06 08:00:35,31.59,MICRO_STOP,medium,WO-000083,OP-0010
DT-0000144,EVT-00000605,MCH-019,L04,2025-08-06 06:55:00,2025-08-06 07:26:35,31.59,,medium,WO-000083,OP-0012
DT-0000145,EVT-00000609,MCH-028,L05,2025-08-06 15:12:00,2025-08-06 15:44:08,32.15,SENSOR_FAULT,medium,WO-000084,OP-0033
DT-0000146,EVT-00000613,MCH-025,L05,2025-08-06 17:33:00,2025-08-06 18:05:08,32.15,MICRO_STOP,medium,WO-000084,OP-0034
DT-0000147,EVT-00000629,MCH-036,L06,2025-08-06 12:35:00,2025-08-06 13:04:31,29.53,UNKNOWN,medium,WO-000087,OP-0040
DT-0000148,EVT-00000633,MCH-034,L06,2025-08-06 13:19:00,2025-08-06 13:48:31,29.53,SENSOR_FAULT,medium,WO-000087,OP-0063
DT-0000149,EVT-00000637,MCH-031,L06,2025-08-06 22:01:00,2025-08-06 22:31:02,30.04,MATERIAL_WAIT,medium,WO-000088,OP-0011
DT-0000150,EVT-00000641,MCH-036,L06,2025-08-06 20:50:00,2025-08-06 21:20:02,30.04,MATERIAL_WAIT,medium,WO-000088,OP-0032
DT-0000151,EVT-00000645,MCH-033,L06,2025-08-06 06:02:00,2025-08-06 06:33:37,31.63,,medium,WO-000089,OP-0071
DT-0000152,EVT-00000649,MCH-036,L06,2025-08-06 07:19:00,2025-08-06 07:50:37,31.63,UNKNOWN,medium,WO-000089,OP-0043
DT-0000153,EVT-00000653,MCH-003,L01,2025-08-07 17:37:00,2025-08-07 18:10:04,33.08,MATERIAL_WAIT,medium,WO-000090,OP-0033
DT-0000154,EVT-00000657,MCH-001,L01,2025-08-07 16:08:00,2025-08-07 16:41:04,33.08,,medium,WO-000090,OP-0008
DT-0000155,EVT-00000661,MCH-005,L01,2025-08-08 01:32:00,2025-08-08 02:09:52,37.88,MICRO_STOP,medium,WO-000091,OP-0040
DT-0000156,EVT-00000665,MCH-003,L01,2025-08-07 22:51:00,2025-08-07 23:28:52,37.88,,medium,WO-000091,OP-0014
DT-0000157,EVT-00000669,MCH-002,L01,2025-08-07 09:59:00,2025-08-07 10:26:33,27.55,MATERIAL_WAIT,medium,WO-000092,OP-0004
DT-0000158,EVT-00000672,MCH-004,L01,2025-08-07 10:53:00,2025-08-07 11:20:33,27.55,MATERIAL_WAIT,medium,WO-000092,OP-0003
DT-0000159,EVT-00000675,MCH-008,L02,2025-08-07 09:58:00,2025-08-07 10:17:46,19.78,SENSOR_FAULT,medium,WO-000093,OP-0062
DT-0000160,EVT-00000679,MCH-009,L02,2025-08-07 12:16:00,2025-08-07 12:35:46,19.78,QUALITY_HOLD,medium,WO-000093,OP-0061
DT-0000161,EVT-00000683,MCH-009,L02,2025-08-07 23:31:00,2025-08-07 23:45:55,14.93,,medium,WO-000094,OP-0026
DT-0000162,EVT-00000687,MCH-010,L02,2025-08-07 23:43:00,2025-08-07 23:57:55,14.93,,medium,WO-000094,OP-0053
DT-0000163,EVT-00000691,MCH-012,L02,2025-08-07 06:49:00,2025-08-07 07:23:56,34.94,JAM,medium,WO-000095,OP-0033
DT-0000164,EVT-00000694,MCH-009,L02,2025-08-07 08:31:00,2025-08-07 09:05:56,34.94,,medium,WO-000095,OP-0011
DT-0000165,EVT-00000697,MCH-015,L03,2025-08-07 17:04:00,2025-08-07 17:38:43,34.73,JAM,medium,WO-000096,OP-0013
DT-0000166,EVT-00000701,MCH-016,L03,2025-08-07 18:23:00,2025-08-07 18:57:43,34.73,JAM,medium,WO-000096,
DT-0000167,EVT-00000705,MCH-015,L03,2025-08-07 21:16:00,2025-08-07 21:31:07,15.12,JAM,medium,WO-000097,OP-0062
DT-0000168,EVT-00000708,MCH-016,L03,2025-08-07 23:21:00,2025-08-07 23:36:07,15.12,UNKNOWN,medium,WO-000097,OP-0062
DT-0000169,EVT-00000711,MCH-018,L03,2025-08-08 03:38:00,2025-08-08 04:04:15,26.26,QUALITY_HOLD,medium,WO-000098,OP-0058
DT-0000170,EVT-00000714,MCH-015,L03,2025-08-08 04:25:00,2025-08-08 04:51:15,26.26,MICRO_STOP,medium,WO-000098,OP-0036
DT-0000171,EVT-00000717,MCH-024,L04,2025-08-07 16:00:00,2025-08-07 16:29:55,29.93,,medium,WO-000099,OP-0008
DT-0000172,EVT-00000721,MCH-021,L04,2025-08-07 18:20:00,2025-08-07 18:49:55,29.93,SENSOR_FAULT,medium,WO-000099,
DT-0000173,EVT-00000725,MCH-023,L04,2025-08-07 21:03:00,2025-08-07 21:22:18,19.31,,medium,WO-000100,OP-0058
DT-0000174,EVT-00000729,MCH-022,L04,2025-08-07 19:25:00,2025-08-07 19:44:18,19.31,JAM,medium,WO-000100,OP-0011
DT-0000175,EVT-00000733,MCH-019,L04,2025-08-07 03:45:00,2025-08-07 04:00:11,15.2,MATERIAL_WAIT,medium,WO-000101,
DT-0000176,EVT-00000737,MCH-022,L04,2025-08-07 05:13:00,2025-08-07 05:28:11,15.2,,medium,WO-000101,OP-0067
DT-0000177,EVT-00000741,MCH-030,L05,2025-08-07 13:47:00,2025-08-07 13:55:43,8.72,MATERIAL_WAIT,medium,WO-000102,OP-0048
DT-0000178,EVT-00000744,MCH-029,L05,2025-08-07 12:35:00,2025-08-07 12:43:43,8.72,MATERIAL_WAIT,medium,WO-000102,OP-0068
DT-0000179,EVT-00000747,MCH-026,L05,2025-08-07 18:53:00,2025-08-07 19:17:35,24.6,MICRO_STOP,medium,WO-000103,OP-0053
DT-0000180,EVT-00000751,MCH-027,L05,2025-08-07 19:41:00,2025-08-07 20:05:35,24.6,MICRO_STOP,medium,WO-000103,OP-0025
DT-0000181,EVT-00000759,MCH-033,L06,2025-08-07 17:56:00,2025-08-07 18:10:16,14.27,MICRO_STOP,medium,WO-000105,OP-0022
