work_order_id,sales_order_id,plant_id,line_id,product_id,planned_start_datetime,planned_end_datetime,actual_start_datetime,actual_end_datetime,planned_quantity,actual_quantity,rejected_quantity,rework_quantity,work_order_status,priority_level,operator_team_id,source_system,load_timestamp
WO-000022,SO-002474,P02,L03,PRD-040,2025-08-02 16:00:00,2025-08-02 23:45:00,2025-08-02 16:21:00,2025-08-03 01:31:00,10700,10176,427,150,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000023,,P02,L03,PRD-057,2025-08-02 03:00:00,2025-08-02 10:45:00,2025-08-02 04:25:00,2025-08-02 13:43:00,9310,8655,266,131,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000024,SO-001689,P02,L04,PRD-001,2025-08-02 16:00:00,2025-08-02 23:45:00,2025-08-02 15:59:00,2025-08-03 00:42:00,7995,7981,194,77,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000025,,P03,L05,PRD-049,2025-08-02 12:00:00,2025-08-02 19:45:00,2025-08-02 11:45:00,2025-08-02 20:19:00,9247,8191,349,149,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000026,SO-001533,P03,L05,PRD-080,2025-08-02 16:00:00,2025-08-02 23:45:00,2025-08-02 16:42:00,2025-08-03 00:46:00,9527,9902,464,114,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000027,,P03,L06,PRD-070,2025-08-02 10:00:00,2025-08-02 17:45:00,2025-08-02 10:22:00,2025-08-02 18:33:00,15783,15572,356,161,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000028,SO-005187,P03,L06,PRD-070,2025-08-02 02:00:00,2025-08-02 09:45:00,2025-08-02 03:09:00,2025-08-02 12:37:00,19589,17017,824,274,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000029,SO-004797,P01,L02,PRD-020,2025-08-03 17:00:00,2025-08-04 00:45:00,2025-08-03 17:34:00,2025-08-04 01:25:00,15697,15294,694,328,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000030,SO-001305,P02,L03,PRD-070,2025-08-03 10:00:00,2025-08-03 17:45:00,2025-08-03 10:36:00,2025-08-03 18:28:00,12303,11588,93,43,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000031,SO-001305,P02,L03,PRD-070,2025-08-03 01:00:00,2025-08-03 08:45:00,2025-08-03 02:17:00,2025-08-03 11:32:00,11228,9900,370,118,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000032,SO-003965,P02,L04,PRD-031,2025-08-03 22:00:00,2025-08-04 05:45:00,03/08/2025 21:45,2025-08-04 07:42:00,9473,8797,280,61,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000033,SO-002721,P02,L04,PRD-031,2025-08-03 00:00:00,2025-08-03 07:45:00,2025-08-03 00:27:00,2025-08-03 09:17:00,6680,6261,252,127,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000034,,P03,L05,PRD-052,2025-08-03 20:00:00,2025-08-04 03:45:00,2025-08-03 20:11:00,2025-08-04 04:12:00,11315,11068,283,66,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000035,SO-001102,P03,L06,PRD-048,2025-08-03 23:00:00,2025-08-04 06:45:00,2025-08-03 23:08:00,2025-08-04 08:37:00,22487,21043,972,353,completed,urgent,TEAM-A,MES,2026-07-09 13:20:34
WO-000036,,P01,L01,PRD-079,2025-08-04 14:00:00,2025-08-04 21:45:00,2025-08-04 14:02:00,2025-08-04 22:07:00,14594,12705,169,91,completed,urgent,TEAM-D,MES,2026-07-09 13:20:34
WO-000037,,P01,L01,PRD-001,2025-08-04 20:00:00,2025-08-05 03:45:00,2025-08-04 19:45:00,2025-08-05 05:10:00,19969,17863,453,115,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000038,,P01,L01,PRD-064,2025-08-04 01:00:00,2025-08-04 08:45:00,2025-08-04 01:35:00,2025-08-04 09:59:00,18918,18721,615,252,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000039,,P01,L02,PRD-017,2025-08-04 09:00:00,2025-08-04 16:45:00,2025-08-04 09:12:00,2025-08-04 17:46:00,18839,18644,829,391,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000040,SO-002132,P01,L02,PRD-035,2025-08-04 16:00:00,2025-08-04 23:45:00,2025-08-04 16:11:00,2025-08-05 01:22:00,17169,17515,753,216,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000041,,P01,L02,PRD-011,2025-08-04 02:00:00,2025-08-04 09:45:00,2025-08-04 02:16:00,2025-08-04 10:38:00,25650,25446,357,145,cancelled,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000042,SO-002001,P02,L03,PRD-019,2025-08-04 07:00:00,2025-08-04 14:45:00,2025-08-04 06:45:00,2025-08-04 14:55:00,15757,15219,500,123,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000043,SO-001089,P02,L03,PRD-019,2025-08-04 19:00:00,2025-08-05 02:45:00,2025-08-04 19:26:00,2025-08-05 04:17:00,13038,12303,329,93,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000044,SO-004854,P02,L03,PRD-015,2025-08-04 01:00:00,2025-08-04 08:45:00,2025-08-04 00:45:00,2025-08-04 08:45:00,18793,18737,450,230,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000045,SO-002317,P02,L04,PRD-062,2025-08-04 10:00:00,2025-08-04 17:45:00,2025-08-04 09:45:00,2025-08-04 18:36:00,8525,7654,369,101,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000046,,P02,L04,PRD-062,2025-08-04 21:00:00,2025-08-05 04:45:00,2025-08-04 20:56:00,2025-08-05 05:42:00,9234,8591,51,22,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000047,SO-000124,P02,L04,PRD-062,2025-08-04 06:00:00,2025-08-04 13:45:00,2025-08-04 05:45:00,2025-08-04 14:21:00,10904,9680,252,100,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000048,SO-000156,P03,L05,PRD-075,2025-08-04 14:00:00,2025-08-04 21:45:00,2025-08-04 14:49:00,2025-08-04 23:21:00,12713,12537,370,75,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000049,SO-002312,P03,L05,PRD-075,2025-08-04 17:00:00,2025-08-05 00:45:00,2025-08-04 17:38:00,2025-08-05 02:27:00,14553,13609,389,91,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000050,,P03,L05,PRD-075,2025-08-04 02:00:00,2025-08-04 09:45:00,2025-08-04 01:45:00,2025-08-04 10:14:00,13243,12333,589,143,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000051,SO-000991,P03,L06,PRD-016,2025-08-04 12:00:00,2025-08-04 19:45:00,2025-08-04 12:33:00,2025-08-04 20:56:00,24725,22445,1025,368,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000052,SO-004523,P03,L06,PRD-043,2025-08-04 19:00:00,2025-08-05 02:45:00,2025-08-04 18:50:00,2025-08-05 03:56:00,21380,18790,589,320,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000053,,P03,L06,PRD-016,2025-08-04 03:00:00,2025-08-04 10:45:00,2025-08-04 02:52:00,2025-08-04 10:35:00,25841,22854,678,190,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000054,SO-002780,P01,L01,PRD-009,2025-08-05 11:00:00,2025-08-05 18:45:00,2025-08-05 10:48:00,2025-08-05 19:40:00,12544,12002,448,206,completed,urgent,TEAM-D,MES,2026-07-09 13:20:34
WO-000055,SO-004791,P01,L01,PRD-009,2025-08-05 17:00:00,2025-08-06 00:45:00,2025-08-05 17:26:00,2025-08-06 02:30:00,15376,15194,463,136,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000056,SO-002677,P01,L01,PRD-074,2025-08-05 01:00:00,2025-08-05 08:45:00,2025-08-05 00:45:00,2025-08-05 10:14:00,14839,13947,606,178,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000057,SO-004700,P01,L02,PRD-012,2025-08-05 10:00:00,2025-08-05 17:45:00,2025-08-05 10:16:00,2025-08-05 19:02:00,31221,28617,261,131,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000058,SO-003882,P01,L02,PRD-012,2025-08-05 19:00:00,2025-08-06 02:45:00,2025-08-05 18:45:00,2025-08-06 03:03:00,25731,23522,532,169,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000059,SO-004229,P01,L02,PRD-012,2025-08-05 00:00:00,2025-08-05 07:45:00,2025-08-04 23:45:00,2025-08-05 07:32:00,26341,25463,795,420,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000060,,P02,L03,PRD-042,2025-08-05 08:00:00,2025-08-05 15:45:00,2025-08-05 07:47:00,2025-08-05 16:03:00,18013,16165,318,79,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000061,SO-002146,P02,L03,PRD-075,2025-08-05 16:00:00,2025-08-05 23:45:00,2025-08-05 15:45:00,2025-08-06 00:23:00,15046,13730,404,103,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000062,SO-000531,P02,L03,PRD-045,2025-08-05 05:00:00,2025-08-05 12:45:00,2025-08-05 05:03:00,2025-08-05 13:28:00,14856,13695,0,0,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000063,SO-002153,P02,L04,PRD-078,2025-08-05 10:00:00,2025-08-05 17:45:00,2025-08-05 09:45:00,2025-08-05 17:50:00,8119,7757,202,73,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000064,SO-003756,P02,L04,PRD-036,2025-08-05 20:00:00,2025-08-06 03:45:00,2025-08-05 19:45:00,2025-08-06 05:22:00,6878,6245,211,77,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000065,SO-004013,P02,L04,PRD-078,2025-08-05 03:00:00,2025-08-05 10:45:00,2025-08-05 03:52:00,2025-08-05 13:45:00,9558,9027,402,219,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000066,,P03,L05,PRD-079,2025-08-05 13:00:00,2025-08-05 20:45:00,2025-08-05 13:04:00,2025-08-05 22:24:00,12546,11989,243,75,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000067,SO-000890,P03,L05,PRD-009,2025-08-05 15:00:00,2025-08-05 22:45:00,2025-08-05 14:59:00,2025-08-05 23:25:00,15402,14149,404,87,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000068,SO-002712,P03,L05,PRD-079,2025-08-05 01:00:00,2025-08-05 08:45:00,2025-08-05 01:11:00,2025-08-05 10:23:00,9861,9393,118,53,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000069,SO-003126,P03,L06,PRD-056,2025-08-05 14:00:00,2025-08-05 21:45:00,2025-08-05 15:07:00,2025-08-05 23:45:00,28992,26113,430,152,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000070,SO-000951,P03,L06,PRD-073,2025-08-05 17:00:00,2025-08-06 00:45:00,2025-08-05 16:47:00,2025-08-06 01:01:00,28888,27842,1225,329,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000071,SO-001615,P03,L06,PRD-073,2025-08-05 05:00:00,2025-08-05 12:45:00,2025-08-05 05:26:00,2025-08-05 14:27:00,19467,18202,561,250,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000072,SO-003924,P01,L01,PRD-046,2025-08-06 07:00:00,2025-08-06 14:45:00,2025-08-06 07:18:00,2025-08-06 15:02:00,14497,13408,528,212,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000073,SO-003069,P01,L01,PRD-046,2025-08-06 21:00:00,2025-08-07 04:45:00,2025-08-06 22:32:00,2025-08-07 06:58:00,14777,14125,401,122,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000074,SO-000798,P01,L01,PRD-050,2025-08-06 23:00:00,2025-08-07 06:45:00,2025-08-06 23:42:00,2025-08-07 08:41:00,11652,10570,591,158,completed,urgent,TEAM-A,MES,2026-07-09 13:20:34
WO-000075,,P01,L02,PRD-007,2025-08-06 11:00:00,2025-08-06 18:45:00,2025-08-06 10:45:00,2025-08-06 19:38:00,25343,25405,1084,431,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000076,SO-003132,P01,L02,PRD-039,2025-08-06 15:00:00,2025-08-06 22:45:00,2025-08-06 15:49:00,2025-08-07 00:45:00,27492,24640,824,449,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000077,SO-004916,P01,L02,PRD-039,2025-08-06 06:00:00,2025-08-06 13:45:00,2025-08-06 06:09:00,2025-08-06 15:02:00,20170,20441,950,401,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000078,SO-004865,P02,L03,PRD-042,2025-08-06 09:00:00,2025-08-06 16:45:00,2025-08-06 09:23:00,2025-08-06 17:47:00,11599,10935,164,75,completed,urgent,TEAM-B,MES,2026-07-09 13:20:34
WO-000079,SO-002638,P02,L03,PRD-042,2025-08-06 18:00:00,2025-08-07 01:45:00,2025-08-06 18:51:00,2025-08-07 02:59:00,14722,14632,362,190,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000080,,P02,L03,PRD-042,2025-08-06 02:00:00,2025-08-06 09:45:00,06/08/2025 02:58,2025-08-06 11:31:00,14617,13348,589,267,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000081,SO-005073,P02,L04,PRD-039,2025-08-06 08:00:00,2025-08-06 15:45:00,2025-08-06 07:50:00,2025-08-06 15:58:00,9450,8922,266,81,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000082,,P02,L04,PRD-031,2025-08-06 19:00:00,2025-08-07 02:45:00,2025-08-06 19:56:00,2025-08-07 04:43:00,7730,6761,179,66,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000083,SO-000432,P02,L04,PRD-039,2025-08-06 02:00:00,2025-08-06 09:45:00,2025-08-06 02:05:00,2025-08-06 10:40:00,10311,10455,500,184,completed,urgent,TEAM-B,MES,2026-07-09 13:20:34
WO-000084,SO-002688,P03,L05,PRD-064,2025-08-06 12:00:00,2025-08-06 19:45:00,2025-08-06 11:45:00,2025-08-06 20:42:00,15288,14730,413,155,completed,urgent,TEAM-B,MES,2026-07-09 13:20:34
WO-000085,SO-005184,P03,L05,PRD-064,2025-08-06 22:00:00,2025-08-07 05:45:00,2025-08-06 22:25:00,2025-08-07 06:02:00,15770,15478,492,163,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000086,SO-002681,P03,L05,PRD-064,2025-08-06 02:00:00,2025-08-06 09:45:00,2025-08-06 02:37:00,2025-08-06 10:18:00,14296,13928,536,176,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000087,,P03,L06,PRD-017,2025-08-06 08:00:00,2025-08-06 15:45:00,2025-08-06 08:22:00,2025-08-06 17:49:00,27204,24015,470,193,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000088,,P03,L06,PRD-017,2025-08-06 18:00:00,2025-08-07 01:45:00,2025-08-06 17:45:00,2025-08-07 02:43:00,23369,20896,748,209,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000089,,P03,L06,PRD-017,2025-08-06 03:00:00,2025-08-06 10:45:00,2025-08-06 02:45:00,2025-08-06 11:49:00,20423,18310,435,106,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000090,SO-001588,P01,L01,PRD-072,2025-08-07 14:00:00,2025-08-07 21:45:00,2025-08-07 13:56:00,2025-08-07 23:08:00,14662,12693,265,121,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000091,SO-003459,P01,L01,PRD-072,2025-08-07 20:00:00,2025-08-08 03:45:00,2025-08-07 19:45:00,2025-08-08 05:21:00,13713,13326,45,15,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000092,SO-004183,P01,L01,PRD-072,2025-08-07 05:00:00,2025-08-07 12:45:00,2025-08-07 05:09:00,2025-08-07 14:02:00,19868,17874,587,202,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000093,SO-004873,P01,L02,PRD-064,2025-08-07 09:00:00,2025-08-07 16:45:00,2025-08-07 08:45:00,2025-08-07 17:38:00,33766,32001,924,399,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000094,SO-004131,P01,L02,PRD-052,2025-08-07 21:00:00,2025-08-08 04:45:00,2025-08-07 21:52:00,2025-08-08 06:44:00,21490,19884,840,378,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000095,,P01,L02,PRD-005,2025-08-07 05:00:00,2025-08-07 12:45:00,2025-08-07 04:45:00,2025-08-07 14:00:00,26384,25246,1729,420,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000096,SO-002801,P02,L03,PRD-075,2025-08-07 13:00:00,2025-08-07 20:45:00,2025-08-07 13:34:00,2025-08-07 22:15:00,16601,16294,569,187,completed,urgent,TEAM-C,MES,2026-07-09 13:20:34
WO-000097,,P02,L03,PRD-002,2025-08-07 20:00:00,2025-08-08 03:45:00,2025-08-07 20:07:00,2025-08-08 04:14:00,16295,16757,653,318,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000098,,P02,L03,PRD-070,2025-08-07 23:00:00,2025-08-08 06:45:00,2025-08-07 23:22:00,2025-08-08 07:39:00,19856,20119,624,200,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000099,SO-000952,P02,L04,PRD-078,2025-08-07 14:00:00,2025-08-07 21:45:00,2025-08-07 13:45:00,2025-08-07 23:03:00,8910,8974,306,103,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000100,SO-003490,P02,L04,PRD-059,2025-08-07 16:00:00,2025-08-07 23:45:00,2025-08-07 15:45:00,2025-08-08 00:42:00,10769,9345,266,106,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000101,,P02,L04,PRD-059,2025-08-07 01:00:00,2025-08-07 08:45:00,2025-08-07 01:45:00,2025-08-07 10:35:00,13015,11675,303,94,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000102,SO-003433,P03,L05,PRD-002,2025-08-07 11:00:00,2025-08-07 18:45:00,2025-08-07 10:45:00,2025-08-07 19:32:00,11243,10747,357,142,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000103,SO-002130,P03,L05,PRD-002,2025-08-07 15:00:00,2025-08-07 22:45:00,2025-08-07 14:45:00,2025-08-07 23:52:00,11561,11563,157,53,completed,normal,TEAM-A,MES,2026-07-09 13:20:34
WO-000104,SO-001432,P03,L05,PRD-002,2025-08-07 01:00:00,2025-08-07 08:45:00,2025-08-07 01:08:00,2025-08-07 09:35:00,14826,14777,757,258,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000105,SO-000421,P03,L06,PRD-073,2025-08-07 14:00:00,2025-08-07 21:45:00,2025-08-07 13:56:00,2025-08-07 22:30:00,26952,25657,537,137,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000106,SO-001430,P03,L06,PRD-073,2025-08-07 21:00:00,2025-08-08 04:45:00,2025-08-07 20:45:00,2025-08-08 04:57:00,26432,24945,963,497,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000107,SO-004208,P03,L06,PRD-022,2025-08-07 06:00:00,2025-08-07 13:45:00,2025-08-07 07:24:00,,25894,23115,726,248,open,urgent,TEAM-A,MES,2026-07-09 13:20:34
WO-000108,,P01,L01,PRD-031,2025-08-08 07:00:00,2025-08-08 14:45:00,2025-08-08 08:44:00,2025-08-08 17:56:00,15265,14476,752,241,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000109,SO-003931,P01,L01,PRD-031,2025-08-08 19:00:00,2025-08-09 02:45:00,2025-08-08 19:47:00,2025-08-09 05:17:00,14821,12776,347,143,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000110,,P01,L01,PRD-031,2025-08-08 06:00:00,2025-08-08 13:45:00,2025-08-08 06:35:00,2025-08-08 15:28:00,21834,19749,824,360,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000111,,P01,L02,PRD-069,2025-08-08 08:00:00,2025-08-08 15:45:00,2025-08-08 07:45:00,2025-08-08 16:31:00,33227,29352,1251,544,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000112,SO-003721,P01,L02,PRD-069,2025-08-08 20:00:00,2025-08-09 03:45:00,2025-08-08 19:45:00,2025-08-09 04:00:00,32753,33926,1160,371,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000113,SO-004680,P01,L02,PRD-051,2025-08-08 06:00:00,2025-08-08 13:45:00,2025-08-08 06:39:00,2025-08-08 14:55:00,23676,23223,1106,222,completed,urgent,TEAM-A,MES,2026-07-09 13:20:34
WO-000114,SO-001224,P02,L03,PRD-037,2025-08-08 14:00:00,2025-08-08 21:45:00,2025-08-08 13:45:00,2025-08-08 22:11:00,13404,13884,632,345,completed,urgent,TEAM-C,MES,2026-07-09 13:20:34
WO-000115,SO-002937,P02,L03,PRD-037,2025-08-08 21:00:00,2025-08-09 04:45:00,2025-08-08 20:45:00,2025-08-09 05:41:00,14828,13025,99,53,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000116,SO-003172,P02,L03,PRD-037,2025-08-08 02:00:00,2025-08-08 09:45:00,2025-08-08 01:57:00,2025-08-08 10:35:00,12994,12224,345,82,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000117,SO-002091,P02,L04,PRD-067,2025-08-08 11:00:00,2025-08-08 18:45:00,2025-08-08 11:33:00,2025-08-08 19:32:00,11755,11221,286,154,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
WO-000118,SO-001734,P02,L04,PRD-067,2025-08-08 18:00:00,2025-08-09 01:45:00,2025-08-08 18:27:00,2025-08-09 02:41:00,11862,11204,262,73,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000119,SO-001964,P02,L04,PRD-067,2025-08-08 02:00:00,2025-08-08 09:45:00,2025-08-08 03:16:00,2025-08-08 12:35:00,11150,10229,121,30,completed,normal,TEAM-C,MES,2026-07-09 13:20:34
WO-000120,SO-000192,P03,L05,PRD-044,2025-08-08 14:00:00,2025-08-08 21:45:00,2025-08-08 14:05:00,2025-08-08 22:10:00,14116,12470,12,6,completed,normal,TEAM-D,MES,2026-07-09 13:20:34
WO-000121,SO-004457,P03,L05,PRD-049,2025-08-08 20:00:00,2025-08-09 03:45:00,2025-08-08 19:45:00,2025-08-09 04:07:00,11419,11500,288,131,completed,normal,TEAM-B,MES,2026-07-09 13:20:34
