plan_id,plan_date,plant_id,line_id,product_id,planned_quantity,planned_capacity_units,capacity_utilization_plan,plan_version,planner_id,source_system
PLAN-20250816-L01,2025-08-16,P01,L01,PRD-078,34741,58068,0.598,v3,PLN-011,APS
PLAN-20250816-L02,2025-08-16,P01,L02,PRD-007,60627,82062,0.739,v1,PLN-003,APS
PLAN-20250816-L03,2025-08-16,P02,L03,PRD-075,36361,52992,0.686,v3,PLN-008,APS
PLAN-20250816-L04,2025-08-16,P02,L04,PRD-002,24053,34380,0.7,v2,PLN-001,APS
PLAN-20250816-L05,2025-08-16,P03,L05,PRD-079,33118,44946,0.737,v3,PLN-010,APS
PLAN-20250816-L06,2025-08-16,P03,L06,PRD-003,57599,84438,0.682,v3,PLN-006,APS
PLAN-20250817-L01,2025-08-17,P01,L01,PRD-032,37513,58068,0.646,v1,PLN-012,APS
PLAN-20250817-L02,2025-08-17,P01,L02,PRD-030,54218,82062,0.661,v2,PLN-009,APS
PLAN-20250817-L03,2025-08-17,P02,L03,PRD-023,41969,52992,0.792,v1,PLN-011,APS
PLAN-20250817-L04,2025-08-17,P02,L04,PRD-059,21946,34380,0.638,v1,PLN-009,APS
PLAN-20250817-L05,2025-08-17,P03,L05,PRD-052,36166,44946,0.805,v1,PLN-004,APS
PLAN-20250817-L06,2025-08-17,P03,L06,PRD-054,52935,84438,0.627,v3,PLN-001,APS
PLAN-20250818-L01,2025-08-18,P01,L01,PRD-079,51401,58068,0.885,v1,PLN-002,APS
PLAN-20250818-L02,2025-08-18,P01,L02,PRD-008,78414,82062,0.956,v2,PLN-006,APS
PLAN-20250818-L03,2025-08-18,P02,L03,PRD-042,56515,52992,1.066,v2,PLN-004,APS
PLAN-20250818-L04,2025-08-18,P02,L04,PRD-037,31727,34380,0.923,v1,PLN-008,APS
PLAN-20250818-L05,2025-08-18,P03,L05,PRD-062,36535,44946,0.813,v2,PLN-005,APS
PLAN-20250818-L06,2025-08-18,P03,L06,PRD-048,67906,84438,0.804,v3,PLN-007,APS
PLAN-20250819-L01,2025-08-19,P01,L01,PRD-008,57295,58068,0.987,v1,PLN-007,APS
PLAN-20250819-L02,2025-08-19,P01,L02,PRD-064,81381,82062,0.992,v2,PLN-004,APS
PLAN-20250819-L03,2025-08-19,P02,L03,PRD-037,43587,52992,0.823,v1,PLN-009,APS
PLAN-20250819-L04,2025-08-19,P02,L04,PRD-001,34824,34380,1.013,v3,PLN-003,APS
PLAN-20250819-L05,2025-08-19,P03,L05,PRD-040,47347,44946,1.053,v1,PLN-004,APS
PLAN-20250819-L06,2025-08-19,P03,L06,PRD-069,88344,84438,1.046,v3,PLN-006,APS
PLAN-20250820-L01,2025-08-20,P01,L01,PRD-020,57189,58068,0.985,v1,PLN-012,APS
PLAN-20250820-L02,2025-08-20,P01,L02,PRD-031,66815,82062,0.814,v3,PLN-012,APS
PLAN-20250820-L03,2025-08-20,P02,L03,PRD-058,54911,52992,1.036,v3,PLN-009,APS
PLAN-20250820-L04,2025-08-20,P02,L04,PRD-023,34745,34380,1.011,v2,PLN-010,APS
PLAN-20250820-L05,2025-08-20,P03,L05,PRD-022,38890,44946,0.865,v2,PLN-003,APS
PLAN-20250820-L06,2025-08-20,P03,L06,PRD-073,83619,84438,0.99,v2,PLN-005,APS
PLAN-20250821-L01,2025-08-21,P01,L01,PRD-060,58648,58068,1.01,v1,PLN-011,APS
PLAN-20250821-L02,2025-08-21,P01,L02,PRD-004,78759,82062,0.96,v2,PLN-007,APS
PLAN-20250821-L03,2025-08-21,P02,L03,PRD-057,54112,52992,1.021,v1,PLN-002,APS
PLAN-20250821-L04,2025-08-21,P02,L04,PRD-017,34810,34380,1.013,v2,PLN-008,APS
PLAN-20250821-L05,2025-08-21,P03,L05,PRD-006,43422,44946,0.966,v1,PLN-004,APS
PLAN-20250821-L06,2025-08-21,P03,L06,PRD-042,73462,84438,0.87,v2,PLN-010,APS
PLAN-20250822-L01,2025-08-22,P01,L01,PRD-028,62563,58068,1.077,v3,PLN-010,APS
PLAN-20250822-L02,2025-08-22,P01,L02,PRD-024,70234,82062,0.856,v3,PLN-002,APS
PLAN-20250822-L03,2025-08-22,P02,L03,PRD-003,50592,52992,0.955,v1,PLN-012,APS
PLAN-20250822-L04,2025-08-22,P02,L04,PRD-066,29986,34380,0.872,v1,PLN-008,APS
PLAN-20250822-L05,2025-08-22,P03,L05,PRD-052,39749,44946,0.884,v1,PLN-007,APS
PLAN-20250822-L06,2025-08-22,P03,L06,PRD-058,77333,84438,0.916,v1,PLN-010,APS
PLAN-20250823-L01,2025-08-23,P01,L01,PRD-023,42363,58068,0.73,v3,PLN-007,APS
PLAN-20250823-L02,2025-08-23,P01,L02,PRD-045,57611,82062,0.702,v2,PLN-004,APS
PLAN-20250823-L03,2025-08-23,P02,L03,PRD-042,36830,52992,0.695,v3,PLN-001,APS
PLAN-20250823-L04,2025-08-23,P02,L04,PRD-067,27975,34380,0.814,v2,PLN-004,APS
PLAN-20250823-L05,2025-08-23,P03,L05,PRD-007,27003,44946,0.601,v1,PLN-005,APS
PLAN-20250823-L06,2025-08-23,P03,L06,PRD-064,68971,84438,0.817,v1,PLN-008,APS
PLAN-20250824-L01,2025-08-24,P01,L01,PRD-061,47525,58068,0.818,v2,PLN-010,APS
PLAN-20250824-L02,2025-08-24,P01,L02,PRD-062,58271,82062,0.71,v3,PLN-005,APS
PLAN-20250824-L03,2025-08-24,P02,L03,PRD-023,33488,52992,0.632,v1,PLN-001,APS
PLAN-20250824-L04,2025-08-24,P02,L04,PRD-066,25327,34380,0.737,v3,PLN-010,APS
PLAN-20250824-L05,2025-08-24,P03,L05,PRD-075,33376,44946,0.743,v3,PLN-010,APS
PLAN-20250824-L06,2025-08-24,P03,L06,PRD-017,63230,84438,0.749,v3,PLN-007,APS
PLAN-20250825-L01,2025-08-25,P01,L01,PRD-074,58388,58068,1.006,v3,PLN-002,APS
PLAN-20250825-L02,2025-08-25,P01,L02,PRD-079,67529,82062,0.823,v3,PLN-003,APS
PLAN-20250825-L03,2025-08-25,P02,L03,PRD-024,55188,52992,1.041,v3,PLN-008,APS
PLAN-20250825-L04,2025-08-25,P02,L04,PRD-010,28632,34380,0.833,v3,PLN-003,APS
PLAN-20250825-L05,2025-08-25,P03,L05,PRD-013,45261,44946,1.007,v2,PLN-004,APS
PLAN-20250825-L06,2025-08-25,P03,L06,PRD-040,75998,84438,0.9,v1,PLN-010,APS
PLAN-20250826-L01,2025-08-26,P01,L01,PRD-060,61470,58068,1.059,v3,PLN-007,APS
PLAN-20250826-L02,2025-08-26,P01,L02,PRD-075,69902,82062,0.852,v1,PLN-003,APS
PLAN-20250826-L03,2025-08-26,P02,L03,PRD-040,45080,52992,0.851,v3,PLN-012,APS
PLAN-20250826-L04,2025-08-26,P02,L04,PRD-067,35038,34380,1.019,v2,PLN-010,APS
PLAN-20250826-L05,2025-08-26,P03,L05,PRD-006,39393,44946,0.876,v3,PLN-010,APS
PLAN-20250826-L06,2025-08-26,P03,L06,PRD-071,86366,84438,1.023,v2,PLN-002,APS
PLAN-20250827-L01,2025-08-27,P01,L01,PRD-074,53221,58068,0.917,v3,PLN-011,APS
PLAN-20250827-L02,2025-08-27,P01,L02,PRD-036,90001,82062,1.097,v1,PLN-008,APS
PLAN-20250827-L03,2025-08-27,P02,L03,PRD-058,46914,52992,0.885,v3,PLN-010,APS
PLAN-20250827-L04,2025-08-27,P02,L04,PRD-079,37208,34380,1.082,v2,PLN-003,APS
PLAN-20250827-L05,2025-08-27,P03,L05,PRD-002,44477,44946,0.99,v3,PLN-003,APS
PLAN-20250827-L06,2025-08-27,P03,L06,PRD-062,92969,84438,1.101,v3,PLN-007,APS
PLAN-20250828-L01,2025-08-28,P01,L01,PRD-059,51145,58068,0.881,v3,PLN-006,APS
PLAN-20250828-L02,2025-08-28,P01,L02,PRD-030,69148,82062,0.843,v2,PLN-011,APS
PLAN-20250828-L03,2025-08-28,P02,L03,PRD-066,58476,52992,1.103,v3,PLN-010,APS
PLAN-20250828-L04,2025-08-28,P02,L04,PRD-041,37624,34380,1.094,v2,PLN-003,APS
PLAN-20250828-L05,2025-08-28,P03,L05,PRD-040,48523,44946,1.08,v2,PLN-007,APS
PLAN-20250828-L06,2025-08-28,P03,L06,PRD-034,83918,84438,0.994,v3,PLN-004,APS
PLAN-20250829-L01,2025-08-29,P01,L01,PRD-027,47874,58068,0.824,v2,PLN-003,APS
PLAN-20250829-L02,2025-08-29,P01,L02,PRD-005,85517,82062,1.042,v3,PLN-009,APS
PLAN-20250829-L03,2025-08-29,P02,L03,PRD-071,53777,52992,1.015,v2,PLN-009,APS
PLAN-20250829-L04,2025-08-29,P02,L04,PRD-024,28199,34380,0.82,v3,PLN-004,APS
PLAN-20250829-L05,2025-08-29,P03,L05,PRD-070,42269,44946,0.94,v2,PLN-007,APS
PLAN-20250829-L06,2025-08-29,P03,L06,PRD-045,75936,84438,0.899,v2,PLN-009,APS
PLAN-20250830-L01,2025-08-30,P01,L01,PRD-044,47850,58068,0.824,v1,PLN-008,APS
PLAN-20250830-L02,2025-08-30,P01,L02,PRD-020,65290,82062,0.796,v3,PLN-005,APS
PLAN-20250830-L03,2025-08-30,P02,L03,PRD-077,36817,52992,0.695,v3,PLN-002,APS
PLAN-20250830-L04,2025-08-30,P02,L04,PRD-024,26565,34380,0.773,v1,PLN-012,APS
PLAN-20250830-L05,2025-08-30,P03,L05,PRD-063,28109,44946,0.625,v3,PLN-011,APS
PLAN-20250830-L06,2025-08-30,P03,L06,PRD-073,55866,84438,0.662,v1,PLN-002,APS
PLAN-20250831-L01,2025-08-31,P01,L01,PRD-014,38357,58068,0.661,v3,PLN-002,APS
PLAN-20250831-L02,2025-08-31,P01,L02,PRD-005,60988,82062,0.743,v1,PLN-011,APS
PLAN-20250831-L03,2025-08-31,P02,L03,PRD-028,40648,52992,0.767,v3,PLN-004,APS
PLAN-20250831-L04,2025-08-31,P02,L04,PRD-042,24292,34380,0.707,v1,PLN-009,APS
PLAN-20250831-L05,2025-08-31,P03,L05,PRD-073,33405,44946,0.743,v1,PLN-006,APS
PLAN-20250831-L06,2025-08-31,P03,L06,PRD-012,56800,84438,0.673,v3,PLN-009,APS
PLAN-20250901-L01,2025-09-01,P01,L01,PRD-046,54157,58068,0.933,v1,PLN-006,APS
PLAN-20250901-L02,2025-09-01,P01,L02,PRD-029,75210,82062,0.917,v3,PLN-010,APS
PLAN-20250901-L03,2025-09-01,P02,L03,PRD-048,55757,52992,1.052,v3,PLN-002,APS
PLAN-20250901-L04,2025-09-01,P02,L04,PRD-072,31224,34380,0.908,v1,PLN-001,APS
PLAN-20250901-L05,2025-09-01,P03,L05,PRD-073,42952,44946,0.956,v3,PLN-010,APS
PLAN-20250901-L06,2025-09-01,P03,L06,PRD-070,70142,84438,0.831,v1,PLN-001,APS
PLAN-20250902-L01,2025-09-02,P01,L01,PRD-051,57987,58068,0.999,v3,PLN-010,APS
PLAN-20250902-L02,2025-09-02,P01,L02,PRD-066,80743,82062,0.984,v3,PLN-009,APS
PLAN-20250902-L03,2025-09-02,P02,L03,PRD-048,45043,52992,0.85,v2,PLN-007,APS
PLAN-20250902-L04,2025-09-02,P02,L04,PRD-002,34306,34380,0.998,v1,PLN-010,APS
PLAN-20250902-L05,2025-09-02,P03,L05,PRD-056,41923,44946,0.933,v3,PLN-012,APS
PLAN-20250902-L06,2025-09-02,P03,L06,PRD-067,89681,84438,1.062,v1,PLN-011,APS
PLAN-20250903-L01,2025-09-03,P01,L01,PRD-044,53072,58068,0.914,v1,PLN-004,APS
PLAN-20250903-L02,2025-09-03,P01,L02,PRD-079,74111,82062,0.903,v2,PLN-010,APS
PLAN-20250903-L03,2025-09-03,P02,L03,PRD-058,46138,52992,0.871,v2,PLN-006,APS
PLAN-20250903-L04,2025-09-03,P02,L04,PRD-002,38754,34380,1.127,v1,PLN-011,APS
PLAN-20250903-L05,2025-09-03,P03,L05,PRD-015,48145,44946,1.071,v3,PLN-003,APS
PLAN-20250903-L06,2025-09-03,P03,L06,PRD-003,84831,84438,1.005,v3,PLN-005,APS
PLAN-20250904-L01,2025-09-04,P01,L01,PRD-023,63802,58068,1.099,v2,PLN-001,APS
PLAN-20250904-L02,2025-09-04,P01,L02,PRD-022,84442,82062,1.029,v1,PLN-002,APS
PLAN-20250904-L03,2025-09-04,P02,L03,PRD-053,53916,52992,1.017,v2,PLN-005,APS
PLAN-20250904-L04,2025-09-04,P02,L04,PRD-072,37610,34380,1.094,v2,PLN-011,APS
PLAN-20250904-L05,2025-09-04,P03,L05,PRD-010,40110,44946,0.892,v2,PLN-005,APS
PLAN-20250904-L06,2025-09-04,P03,L06,PRD-043,86355,84438,1.023,v1,PLN-004,APS
PLAN-20250905-L01,2025-09-05,P01,L01,PRD-034,49997,58068,0.861,v1,PLN-011,APS
PLAN-20250905-L02,2025-09-05,P01,L02,PRD-071,89391,82062,1.089,v2,PLN-001,APS
PLAN-20250905-L03,2025-09-05,P02,L03,PRD-044,44728,52992,0.844,v2,PLN-001,APS
PLAN-20250905-L04,2025-09-05,P02,L04,PRD-077,32308,34380,0.94,v2,PLN-003,APS
PLAN-20250905-L05,2025-09-05,P03,L05,PRD-075,47139,44946,1.049,v2,PLN-005,APS
PLAN-20250905-L06,2025-09-05,P03,L06,PRD-015,72022,84438,0.853,v1,PLN-002,APS
PLAN-20250906-L01,2025-09-06,P01,L01,PRD-077,45852,58068,0.79,v2,PLN-009,APS
PLAN-20250906-L02,2025-09-06,P01,L02,PRD-031,64365,82062,0.784,v1,PLN-002,APS
PLAN-20250906-L03,2025-09-06,P02,L03,PRD-050,44967,52992,0.849,v2,PLN-007,APS
PLAN-20250906-L04,2025-09-06,P02,L04,PRD-023,21910,34380,0.637,v3,PLN-006,APS
PLAN-20250906-L05,2025-09-06,P03,L05,PRD-055,33427,44946,0.744,v3,PLN-005,APS
PLAN-20250906-L06,2025-09-06,P03,L06,PRD-022,63924,84438,0.757,v1,PLN-004,APS
PLAN-20250907-L01,2025-09-07,P01,L01,PRD-068,47596,58068,0.82,v1,PLN-002,APS
PLAN-20250907-L02,2025-09-07,P01,L02,PRD-020,56979,82062,0.694,v2,PLN-004,APS
PLAN-20250907-L03,2025-09-07,P02,L03,PRD-048,41161,52992,0.777,v2,PLN-004,APS
PLAN-20250907-L04,2025-09-07,P02,L04,PRD-036,24186,34380,0.703,v1,PLN-001,APS
PLAN-20250907-L05,2025-09-07,P03,L05,PRD-055,29112,44946,0.648,v2,PLN-011,APS
PLAN-20250907-L06,2025-09-07,P03,L06,PRD-066,58373,84438,0.691,v3,PLN-011,APS
PLAN-20250908-L01,2025-09-08,P01,L01,PRD-025,50139,58068,0.863,v1,PLN-002,APS
PLAN-20250908-L02,2025-09-08,P01,L02,PRD-069,85136,82062,1.037,v3,PLN-005,APS
PLAN-20250908-L03,2025-09-08,P02,L03,PRD-075,52736,52992,0.995,v1,PLN-003,APS
PLAN-20250908-L04,2025-09-08,P02,L04,PRD-035,31017,34380,0.902,v2,PLN-009,APS
PLAN-20250908-L05,2025-09-08,P03,L05,PRD-054,41699,44946,0.928,v3,PLN-011,APS
PLAN-20250908-L06,2025-09-08,P03,L06,PRD-073,87160,84438,1.032,v2,PLN-010,APS
PLAN-20250909-L01,2025-09-09,P01,L01,PRD-079,51711,58068,0.891,v3,PLN-002,APS
PLAN-20250909-L02,2025-09-09,P01,L02,PRD-012,85585,82062,1.043,v1,PLN-010,APS
PLAN-20250909-L03,2025-09-09,P02,L03,PRD-028,45312,52992,0.855,v2,PLN-002,APS
PLAN-20250909-L04,2025-09-09,P02,L04,PRD-051,31607,34380,0.919,v2,PLN-010,APS
PLAN-20250909-L05,2025-09-09,P03,L05,PRD-045,48814,44946,1.086,v3,PLN-012,APS
PLAN-20250909-L06,2025-09-09,P03,L06,PRD-066,91712,84438,1.086,v3,PLN-012,APS
PLAN-20250910-L01,2025-09-10,P01,L01,PRD-050,59086,58068,1.018,v2,PLN-006,APS
PLAN-20250910-L02,2025-09-10,P01,L02,PRD-004,74478,82062,0.908,v3,PLN-004,APS
PLAN-20250910-L03,2025-09-10,P02,L03,PRD-022,53225,52992,1.004,v1,PLN-006,APS
PLAN-20250910-L04,2025-09-10,P02,L04,PRD-035,37662,34380,1.095,v3,PLN-004,APS
PLAN-20250910-L05,2025-09-10,P03,L05,PRD-064,44270,44946,0.985,v3,PLN-006,APS
PLAN-20250910-L06,2025-09-10,P03,L06,PRD-061,77593,84438,0.919,v1,PLN-003,APS
PLAN-20250911-L01,2025-09-11,P01,L01,PRD-029,61127,58068,1.053,v2,PLN-012,APS
PLAN-20250911-L02,2025-09-11,P01,L02,PRD-007,85566,82062,1.043,v2,PLN-010,APS
PLAN-20250911-L03,2025-09-11,P02,L03,PRD-073,45055,52992,0.85,v3,PLN-010,APS
PLAN-20250911-L04,2025-09-11,P02,L04,PRD-023,36669,34380,1.067,v2,PLN-012,APS
PLAN-20250911-L05,2025-09-11,P03,L05,PRD-045,37983,44946,0.845,v1,PLN-011,APS
PLAN-20250911-L06,2025-09-11,P03,L06,PRD-035,88493,84438,1.048,v1,PLN-008,APS
PLAN-20250912-L01,2025-09-12,P01,L01,PRD-034,63144,58068,1.087,v1,PLN-010,APS
PLAN-20250912-L02,2025-09-12,P01,L02,PRD-075,73671,82062,0.898,v1,PLN-001,APS
PLAN-20250912-L03,2025-09-12,P02,L03,PRD-063,60200,52992,1.136,v3,PLN-006,APS
PLAN-20250912-L04,2025-09-12,P02,L04,PRD-032,30641,34380,0.891,v2,PLN-008,APS
PLAN-20250912-L05,2025-09-12,P03,L05,PRD-022,41606,44946,0.926,v2,PLN-010,APS
PLAN-20250912-L06,2025-09-12,P03,L06,PRD-059,84730,84438,1.003,v2,PLN-003,APS
PLAN-20250913-L01,2025-09-13,P01,L01,PRD-027,49031,58068,0.844,v2,PLN-011,APS
PLAN-20250913-L02,2025-09-13,P01,L02,PRD-045,66076,82062,0.805,v3,PLN-003,APS
PLAN-20250913-L03,2025-09-13,P02,L03,PRD-057,45104,52992,0.851,v3,PLN-010,APS
