invoice_id,sales_order_id,invoice_date,customer_id,product_id,quantity,gross_amount,discount_amount,net_amount,standard_cost,margin_amount,payment_status
INV-000044,SO-000044,4/5/2026,CUST-0070,PRD-066,2374,254848.9,5096.98,249751.92,166987.16,82764.76,paid
INV-000045,SO-000045,11/2/2026,CUST-0020,PRD-032,2408,1751747.76,0,1751747.76,1314479.04,437268.72,paid
INV-000046,SO-000046,24/1/2026,CUST-0032,PRD-080,2193,1536985.98,0,1536985.98,1129066.05,407919.93,paid
INV-000047,SO-000047,1/4/2026,CUST-0039,PRD-073,11920,8293936,165878.72,8128057.28,5437546.4,2690510.88,paid
INV-000048,SO-000048,6/1/2026,CUST-0086,PRD-010,4306,1862947.84,55888.44,1807059.4,1168045.56,639013.84,paid
INV-000049,SO-000049,10/11/2025,CUST-0034,PRD-068,1922,498855.1,49885.51,448969.59,429605.44,19364.15,overdue
INV-000050,SO-000050,15/2/2026,CUST-0082,PRD-016,2350,499892,9997.84,489894.16,307873.5,182020.66,open
INV-000051,SO-000051,27/8/2025,CUST-0011,PRD-056,1708,605708.04,0,605708.04,427683.2,178024.84,paid
INV-000052,SO-000052,13/11/2025,CUST-0045,PRD-003,3329,1645624.57,41140.61,1604483.96,939676.83,664807.13,paid
INV-000053,SO-000053,23/4/2026,CUST-0062,PRD-027,3020,2400507.4,120025.37,2280482.03,1502268.8,778213.23,open
INV-000054,SO-000054,26/3/2026,CUST-0061,PRD-023,1347,597421.44,29871.07,567550.37,500437.44,67112.93,paid
INV-000055,SO-000055,22/11/2025,CUST-0111,PRD-044,4546,3226705.34,64534.11,3162171.23,1950506.76,1211664.47,paid
INV-000056,SO-000056,6/6/2026,CUST-0072,PRD-063,1160,866879.6,17337.59,849542.01,602005.2,247536.81,open
INV-000057,SO-000057,2/12/2025,CUST-0028,PRD-006,2608,1496496.48,44894.89,1451601.59,788450.56,663151.03,paid
INV-000058,SO-000058,10/5/2026,CUST-0069,PRD-032,8347,6017936.59,601793.66,5416142.93,4556460.36,859682.57,open
INV-000059,SO-000059,12/1/2026,CUST-0018,PRD-076,2426,1302713.48,13027.13,1289686.35,698130.02,591556.33,paid
INV-000060,SO-000060,22/6/2026,CUST-0043,PRD-024,1635,1424935.2,142493.52,1282441.68,805875.15,476566.53,paid
INV-000061,SO-000061,16/4/2026,CUST-0031,PRD-021,4303,2171164.71,108558.24,2062606.47,1280142.5,782463.97,paid
INV-000062,SO-000062,26/3/2026,CUST-0090,PRD-004,1276,709685.68,10645.29,699040.39,415401.8,283638.59,paid
INV-000063,SO-000063,31/8/2025,CUST-0116,PRD-070,2934,1792938.06,179293.81,1613644.25,960973.02,652671.23,overdue
INV-000064,SO-000064,24/11/2025,CUST-0071,PRD-062,1520,82916,6633.28,76282.72,62380.8,13901.92,paid
INV-000065,SO-000065,4/11/2025,CUST-0002,PRD-001,2688,979157.76,78332.62,900825.14,538997.76,361827.38,paid
INV-000066,SO-000066,6/2/2026,CUST-0110,PRD-018,5946,800272.14,80027.21,720244.93,510464.1,209780.83,open
INV-000067,SO-000067,10/2/2026,CUST-0046,PRD-053,6986,3510465,52656.97,3457808.02,2752134.7,705673.33,open
INV-000068,SO-000068,28/11/2025,CUST-0060,PRD-051,14231,6090014.14,487201.13,5602813.01,4359382.23,1243430.78,paid
INV-000069,SO-000069,4/11/2025,CUST-0024,PRD-018,1633,219867.12,10993.36,208873.76,140193.05,68680.71,paid
INV-000070,SO-000070,12/9/2025,CUST-0017,PRD-044,7759,5478629.9,82179.45,5396450.45,3329076.54,2067373.91,paid
INV-000071,SO-000071,29/8/2025,CUST-0028,PRD-010,2519,1073018.43,10730.18,1062288.25,683303.94,378984.31,paid
INV-000072,SO-000072,14/1/2026,CUST-0046,PRD-006,1686,870987.6,13064.81,857922.79,509711.52,348211.27,paid
INV-000073,SO-000073,26/2/2026,CUST-0002,PRD-001,2189,704879.89,35243.99,669635.9,438938.28,230697.62,paid
INV-000075,SO-000075,16/3/2026,CUST-0039,PRD-044,1131,737412,7374.12,730037.88,485266.86,244771.02,open
INV-000076,SO-000076,9/11/2025,CUST-0111,PRD-001,2576,885912.16,70872.97,815039.19,516539.52,298499.67,paid
INV-000077,SO-000077,25/4/2026,CUST-0042,PRD-078,4767,2547866.16,76435.98,2471430.18,1620017.28,851412.9,paid
INV-000078,SO-000078,23/2/2026,CUST-0058,PRD-003,3059,1500561.86,30011.24,1470550.62,863463.93,607086.69,open
INV-000079,SO-000079,6/4/2026,CUST-0026,PRD-061,6249,2591835.24,129591.76,2462243.48,2126909.64,335333.84,paid
INV-000080,SO-000080,20/10/2025,CUST-0018,PRD-027,2502,1802966.22,45074.16,1757892.06,1244594.88,513297.18,paid
INV-000081,SO-000081,28/12/2025,CUST-0055,PRD-015,9023,8790206.6,439510.33,8350696.27,5383933.87,2966762.4,paid
INV-000082,SO-000082,29/6/2026,CUST-0095,PRD-031,21535,16921126.25,0,16921126.25,11226841.55,5694284.7,open
INV-000083,SO-000083,12/2/2026,CUST-0038,PRD-041,2028,1612625.04,161262.5,1451362.54,1041276.6,410085.94,overdue
INV-000084,SO-000084,7/7/2026,CUST-0050,PRD-035,4692,1108907.28,55445.36,1053461.92,837193.56,216268.36,overdue
INV-000085,SO-000085,20/4/2026,CUST-0070,PRD-015,4349,4459725.54,89194.51,4370531.03,2595004.81,1775526.22,paid
INV-000086,SO-000086,10/3/2026,CUST-0096,PRD-030,2725,1694541.25,84727.06,1609814.19,1092370.75,517443.44,paid
INV-000087,SO-000087,31/5/2026,CUST-0073,PRD-059,4938,1553346.66,77667.33,1475679.33,1087100.7,388578.63,paid
INV-000088,SO-000088,9/1/2026,CUST-0027,PRD-020,3350,2393943.5,47878.87,2346064.63,1382009,964055.63,open
INV-000089,SO-000089,25/11/2025,CUST-0081,PRD-067,1164,50284.8,0,50284.8,34256.52,16028.28,paid
INV-000090,SO-000090,3/5/2026,CUST-0106,PRD-033,5395,2705214.85,270521.48,2434693.37,1499702.1,934991.27,paid
INV-000091,SO-000091,12/12/2025,CUST-0118,PRD-036,3012,221803.68,22180.37,199623.31,162346.8,37276.51,open
INV-000092,SO-000092,21/6/2026,CUST-0107,PRD-049,8131,2512804.24,100512.17,2412292.07,2017707.65,394584.42,open
INV-000093,SO-000093,3/4/2026,CUST-0041,PRD-053,1982,1093152.28,0,1093152.28,780808.9,312343.38,paid
INV-000094,SO-000094,11/3/2026,CUST-0098,PRD-045,6558,3434490.18,343449.02,3091041.16,2495056.68,595984.48,open
INV-000095,SO-000095,14/1/2026,CUST-0089,PRD-002,5368,3305936.48,264474.92,3041461.56,2523389.44,518072.12,paid
INV-000096,SO-000096,5/12/2025,CUST-0009,PRD-051,1617,753748.38,75374.84,678373.54,495335.61,183037.93,paid
INV-000097,SO-000097,4/6/2026,CUST-0001,PRD-068,2842,810424.72,24312.74,786111.98,635243.84,150868.14,paid
INV-000098,SO-000098,16/1/2026,CUST-0047,PRD-010,1681,694219.38,6942.19,687277.19,455988.06,231289.13,paid
INV-000099,SO-000099,16/5/2026,CUST-0076,PRD-047,2344,2183107.84,218310.78,1964797.06,1384202.32,580594.74,open
INV-000100,SO-000100,7/7/2026,CUST-0043,PRD-027,3244,2514943.44,125747.17,2389196.27,1613695.36,775500.91,paid
INV-000101,SO-000101,12/7/2026,CUST-0067,PRD-070,2869,1708001.77,136640.14,1571361.63,939683.57,631678.06,paid
INV-000102,SO-000102,25/11/2025,CUST-0039,PRD-003,7098,3477949.02,0,3477949.02,2003552.46,1474396.56,open
INV-000103,SO-000103,19/2/2026,CUST-0092,PRD-024,11946,9771350.16,781708.01,8989642.15,5888063.94,3101578.21,open
INV-000104,SO-000104,18/2/2026,CUST-0048,PRD-019,7514,2455575.2,0,2455575.2,1403089.22,1052485.98,open
INV-000105,SO-000105,18/3/2026,CUST-0080,PRD-005,1717,351985,35198.5,316786.5,276505.68,40280.82,paid
INV-000106,SO-000106,26/7/2026,CUST-0108,PRD-061,3952,1614866.24,161486.62,1453379.62,1345102.72,108276.9,paid
INV-000107,SO-000107,13/3/2026,CUST-0073,PRD-068,3451,916689.13,13750.34,902938.79,771367.52,131571.27,open
INV-000108,SO-000108,11/3/2026,CUST-0103,PRD-032,4469,2959505.87,29595.06,2929910.81,2439537.72,490373.09,paid
INV-000109,SO-000109,21/4/2026,CUST-0021,PRD-019,6173,2190982.89,65729.49,2125253.4,1152684.29,972569.11,paid
INV-000110,SO-000110,10/12/2025,CUST-0026,PRD-055,1711,976330.82,0,976330.82,652866.27,323464.55,open
INV-000111,SO-000111,16/9/2025,CUST-0098,PRD-074,1161,358609.68,3586.1,355023.58,279719.73,75303.85,open
INV-000112,SO-000112,18/4/2026,CUST-0025,PRD-061,839,363555.48,3635.55,359919.93,285562.04,74357.89,paid
INV-000113,SO-000113,15/12/2025,CUST-0097,PRD-071,4712,266604.96,13330.25,253274.71,192249.6,61025.11,overdue
INV-000114,SO-000114,21/5/2026,CUST-0041,PRD-018,3043,432866.75,8657.33,424209.41,261241.55,162967.86,open
INV-000115,SO-000115,18/4/2026,CUST-0045,PRD-042,4550,198243.5,991.22,197252.28,138229,59023.28,open
INV-000116,SO-000116,29/1/2026,CUST-0073,PRD-033,3820,1981739.6,9908.7,1971830.9,1061883.6,909947.3,open
INV-000117,SO-000117,18/7/2026,CUST-0036,PRD-080,7304,5147201.84,102944.04,5044257.8,3760464.4,1283793.4,overdue
INV-000119,SO-000119,20/2/2026,CUST-0024,PRD-042,1511,68130.99,5450.48,62680.51,45904.18,16776.33,open
INV-000120,SO-000120,17/12/2025,CUST-0009,PRD-023,5758,2492119.98,0,2492119.98,2139212.16,352907.82,overdue
INV-000121,SO-000121,26/12/2025,CUST-0024,PRD-047,5528,5366969.36,268348.47,5098620.89,3264449.84,1834171.05,paid
INV-000122,SO-000122,29/12/2025,CUST-0085,PRD-036,2866,204976.32,20497.63,184478.69,154477.4,30001.29,overdue
INV-000123,SO-000123,10/2/2026,CUST-0030,PRD-050,2054,810980.82,81098.08,729882.74,555668.62,174214.12,paid
INV-000124,SO-000124,23/4/2026,CUST-0067,PRD-062,8658,471254.94,23562.75,447692.19,355324.32,92367.87,paid
INV-000125,SO-000125,24/5/2026,CUST-0005,PRD-074,3224,1018042.48,50902.12,967140.36,776758.32,190382.04,paid
INV-000126,SO-000126,26/9/2025,CUST-0024,PRD-028,3302,2166838.44,65005.15,2101833.29,1249575.86,852257.43,open
INV-000127,SO-000127,9/11/2025,CUST-0011,PRD-070,2687,1616123.02,48483.69,1567639.33,880073.11,687566.22,paid
INV-000128,SO-000128,13/4/2026,CUST-0031,PRD-052,3956,2837876.16,227030.09,2610846.07,1804133.8,806712.27,paid
INV-000129,SO-000129,2/3/2026,CUST-0021,PRD-047,3677,3727999.99,37280,3690719.99,2171378.81,1519341.18,paid
INV-000130,SO-000130,13/12/2025,CUST-0080,PRD-002,2578,1723650.8,172365.08,1551285.72,1211866.24,339419.48,paid
INV-000131,SO-000131,13/9/2025,CUST-0012,PRD-015,1586,1654943.42,0,1654943.42,946350.34,708593.08,open
INV-000132,SO-000132,18/11/2025,CUST-0078,PRD-069,4131,4174375.5,417437.55,3756937.95,2537301.51,1219636.44,overdue
INV-000134,SO-000134,5/11/2025,CUST-0100,PRD-059,1503,416751.84,10418.8,406333.04,330885.45,75447.59,open
INV-000136,SO-000136,11/4/2026,CUST-0024,PRD-028,2787,1734963.24,138797.06,1596166.18,1054684.41,541481.77,paid
INV-000137,SO-000137,6/5/2026,CUST-0070,PRD-005,8012,1776180.28,17761.8,1758418.48,1290252.48,468166,paid
INV-000138,SO-000138,18/9/2025,CUST-0066,PRD-066,2102,211335.08,2113.35,209221.73,147854.68,61367.05,paid
INV-000139,SO-000139,8/3/2026,CUST-0106,PRD-022,8093,3554769.32,106643.08,3448126.24,2156541.71,1291584.53,paid
INV-000140,SO-000140,30/11/2025,CUST-0104,PRD-045,2547,1223553.33,12235.53,1211317.8,969031.62,242286.18,open
INV-000141,SO-000141,29/11/2025,CUST-0108,PRD-042,4156,183030.24,14642.42,168387.82,126259.28,42128.54,paid
INV-000142,SO-000142,17/5/2026,CUST-0109,PRD-044,1525,1066158,85292.64,980865.36,654316.5,326548.86,open
INV-000143,SO-000143,18/1/2026,CUST-0096,PRD-062,3816,191906.64,0,191906.64,156608.64,35298,paid
INV-000144,SO-000144,19/1/2026,CUST-0118,PRD-064,1697,193407.09,5802.21,187604.88,105655.22,81949.66,paid
INV-000145,SO-000145,21/6/2026,CUST-0072,PRD-072,7335,4526281.8,0,4526281.8,2909281.05,1617000.75,paid
INV-000146,SO-000146,19/12/2025,CUST-0102,PRD-076,9586,5090549.44,0,5090549.44,2758563.22,2331986.22,open
INV-000147,SO-000147,26/5/2026,CUST-0067,PRD-005,6594,1359814.68,40794.44,1319020.24,1061897.76,257122.48,open
INV-000149,SO-000149,1/3/2026,CUST-0036,PRD-016,5463,1129529.88,11295.3,1118234.58,715707.63,402526.95,paid
INV-000151,SO-000151,11/11/2025,CUST-0067,PRD-048,8408,1990930.32,39818.61,1951111.71,1271962.24,679149.47,open
INV-000152,SO-000152,23/6/2026,CUST-0032,PRD-070,2439,1383522.75,0,1383522.75,798845.67,584677.08,paid
INV-000153,SO-000153,30/12/2025,CUST-0033,PRD-060,5008,2401586.4,96063.46,2305522.94,1840289.76,465233.18,paid
INV-000154,SO-000154,13/2/2026,CUST-0071,PRD-032,4735,3233910.3,0,3233910.3,2584741.8,649168.5,paid
INV-000155,SO-000155,26/4/2026,CUST-0017,PRD-001,2750,972977.5,9729.77,963247.72,551430,411817.72,paid
INV-000156,SO-000156,17/6/2026,CUST-0050,PRD-075,1407,1001221.2,0,1001221.2,526232.07,474989.13,open
INV-000157,SO-000157,28/11/2025,CUST-0077,PRD-069,3610,3761475.6,300918.05,3460557.55,2217298.1,1243259.45,paid
INV-000158,SO-000158,15/5/2026,CUST-0119,PRD-076,1310,637655.6,63765.56,573890.04,376978.7,196911.34,open
INV-000160,SO-000160,3/7/2026,CUST-0091,PRD-076,3562,1972315.02,59169.45,1913145.57,1025036.74,888108.83,paid
INV-000161,SO-000161,22/5/2026,CUST-0044,PRD-051,7349,2952093.3,59041.87,2893051.43,2251219.17,641832.26,open
INV-000162,SO-000162,12/7/2026,CUST-0042,PRD-060,2219,1126297.83,11262.98,1115034.85,815415.93,299618.92,paid
INV-000163,SO-000163,23/6/2026,CUST-0102,PRD-006,5820,3133953.6,156697.68,2977255.92,1759502.4,1217753.52,paid
INV-000164,SO-000164,28/11/2025,CUST-0044,PRD-053,7029,3726354.06,0,3726354.06,2769074.55,957279.51,paid
INV-000166,SO-000166,15/4/2026,CUST-0030,PRD-075,3472,2418525.76,0,2418525.76,1298562.72,1119963.04,paid
INV-000167,SO-000167,2/6/2026,CUST-0090,PRD-031,6537,5359228.71,0,5359228.71,3407934.21,1951294.5,paid
INV-000168,SO-000168,14/2/2026,CUST-0097,PRD-043,3294,1388783.34,138878.33,1249905.01,1132707.78,117197.23,paid
INV-000169,SO-000169,18/7/2026,CUST-0077,PRD-020,7937,5125952.71,0,5125952.71,3274329.98,1851622.73,paid
INV-000170,SO-000170,14/1/2026,CUST-0053,PRD-015,3425,3533264.25,52998.96,3480265.29,2043663.25,1436602.04,paid
INV-000171,SO-000171,11/6/2026,CUST-0022,PRD-072,6990,4543150.5,45431.5,4497719,2772443.7,1725275.29,paid
INV-000172,SO-000172,1/2/2026,CUST-0108,PRD-047,4865,4613138.95,0,4613138.95,2872928.45,1740210.5,open
INV-000173,SO-000173,20/12/2025,CUST-0067,PRD-048,7619,1787036.45,89351.82,1697684.63,1152602.32,545082.31,paid
INV-000174,SO-000174,29/4/2026,CUST-0010,PRD-003,3269,1623385.4,129870.83,1493514.57,922740.63,570773.94,paid
INV-000175,SO-000175,27/2/2026,CUST-0012,PRD-014,1534,1027243.1,0,1027243.1,615563.52,411679.58,paid
INV-000176,SO-000176,1/3/2026,CUST-0074,PRD-028,2800,1688876,33777.52,1655098.48,1059604,595494.48,paid
INV-000177,SO-000177,23/12/2025,CUST-0097,PRD-078,4842,2834409.96,56688.2,2777721.76,1645505.28,1132216.48,paid
INV-000178,SO-000178,21/1/2026,CUST-0082,PRD-066,29779,3390636.94,0,3390636.94,2094654.86,1295982.08,paid
INV-000179,SO-000179,29/1/2026,CUST-0025,PRD-068,6934,1821700.48,9108.5,1812591.98,1549887.68,262704.3,paid
INV-000180,SO-000180,14/10/2025,CUST-0078,PRD-015,4823,4626076.91,138782.31,4487294.6,2877835.87,1609458.73,open
INV-000181,SO-000181,29/9/2025,CUST-0016,PRD-046,6641,5286900.1,0,5286900.1,3158658.83,2128241.27,paid
INV-000182,SO-000182,1/11/2025,CUST-0088,PRD-069,2597,2402069.18,0,2402069.18,1595103.37,806965.81,paid
INV-000183,SO-000183,28/3/2026,CUST-0014,PRD-068,10542,3129603.54,31296.04,3098307.5,2356347.84,741959.66,paid
INV-000184,SO-000184,6/7/2026,CUST-0071,PRD-029,1063,358985.73,28718.86,330266.87,238526.57,91740.3,overdue
INV-000185,SO-000185,17/8/2025,CUST-0120,PRD-007,3451,1067049.2,10670.49,1056378.71,813435.21,242943.5,open
INV-000186,SO-000186,6/10/2025,CUST-0048,PRD-016,5915,1395466.8,139546.68,1255920.12,774924.15,480995.97,paid
INV-000187,SO-000187,1/6/2026,CUST-0033,PRD-036,2669,202470.34,3037.06,199433.28,143859.1,55574.18,paid
INV-000188,SO-000188,17/5/2026,CUST-0054,PRD-042,9360,386942.4,38694.24,348248.16,284356.8,63891.36,paid
INV-000189,SO-000189,4/12/2025,CUST-0035,PRD-023,4756,2219434.96,177554.8,2041880.16,1766949.12,274931.04,open
INV-000190,SO-000190,12/12/2025,CUST-0045,PRD-040,2262,1453018.32,0,1453018.32,1081688.4,371329.92,open
INV-000191,SO-000191,27/10/2025,CUST-0055,PRD-062,4150,226465.5,2264.66,224200.85,170316,53884.85,paid
INV-000192,SO-000192,14/5/2026,CUST-0088,PRD-044,920,629804.4,25192.18,604612.22,394735.2,209877.02,open
INV-000193,SO-000193,17/5/2026,CUST-0088,PRD-006,2823,1553412.21,0,1553412.21,853449.36,699962.85,overdue
INV-000194,SO-000194,10/7/2026,CUST-0037,PRD-026,2258,697044.6,0,697044.6,606927.82,90116.78,paid
INV-000196,SO-000196,12/5/2026,CUST-0024,PRD-045,4262,2015883.38,201588.34,1814295.04,1621520.52,192774.52,paid
INV-000197,SO-000197,16/10/2025,CUST-0118,PRD-002,1649,1020698.02,10206.98,1010491.04,775161.92,235329.12,paid
INV-000198,SO-000198,16/7/2026,CUST-0084,PRD-035,4481,1105059.41,88404.75,1016654.66,799544.83,217109.83,paid
INV-000199,SO-000199,13/6/2026,CUST-0035,PRD-026,4847,1554190.55,0,1554190.55,1302825.13,251365.42,paid
INV-000200,SO-000200,10/12/2025,CUST-0105,PRD-003,5596,2695649.16,80869.47,2614779.69,1579582.92,1035196.77,open
INV-000201,SO-000201,17/6/2026,CUST-0101,PRD-011,3159,1562157.09,156215.71,1405941.38,1244646,161295.38,open
INV-000202,SO-000202,10/2/2026,CUST-0025,PRD-018,4832,643477.44,3217.39,640260.05,414827.2,225432.85,paid
INV-000203,SO-000203,27/9/2025,CUST-0036,PRD-068,6115,1810345.75,181034.58,1629311.18,1366824.8,262486.38,overdue
INV-000204,SO-000204,7/7/2026,CUST-0010,PRD-002,4445,2916231.15,145811.56,2770419.59,2089505.6,680913.99,overdue
INV-000205,SO-000205,21/3/2026,CUST-0078,PRD-004,4360,2409510.4,72285.31,2337225.09,1419398,917827.09,open
INV-000206,SO-000206,19/6/2026,CUST-0114,PRD-011,4597,2269400.99,0,2269400.99,1811218,458182.99,overdue
INV-000207,SO-000207,20/9/2025,CUST-0086,PRD-002,1053,657261.54,0,657261.54,494994.24,162267.3,paid
INV-000209,SO-000209,14/12/2025,CUST-0105,PRD-046,9085,6507040.4,195211.21,6311829.19,4321098.55,1990730.64,paid
INV-000210,SO-000210,21/10/2025,CUST-0022,PRD-006,2997,1725582.69,138046.62,1587536.07,906053.04,681483.03,open
INV-000211,SO-000211,22/2/2026,CUST-0014,PRD-043,1859,780705.64,23421.17,757284.47,639254.33,118030.14,paid
INV-000212,SO-000212,30/4/2026,CUST-0120,PRD-018,3253,474287.4,23714.37,450573.03,279270.05,171302.98,paid
INV-000213,SO-000213,27/1/2026,CUST-0103,PRD-038,11803,4727337.56,94546.75,4632790.81,3421571.67,1211219.14,paid
INV-000214,SO-000214,1/3/2026,CUST-0055,PRD-077,2975,709121,21273.63,687847.37,556801,131046.37,paid
INV-000215,SO-000215,4/7/2026,CUST-0066,PRD-011,5596,2818201.56,225456.12,2592745.44,2204824,387921.44,paid
INV-000216,SO-000216,12/12/2025,CUST-0025,PRD-023,2567,1119751.07,27993.78,1091757.29,953691.84,138065.45,paid
INV-000217,SO-000217,17/11/2025,CUST-0063,PRD-012,2351,991111.07,0,991111.07,736732.87,254378.2,open
INV-000218,SO-000218,29/1/2026,CUST-0044,PRD-041,2569,1962253.58,98112.68,1864140.9,1319053.05,545087.85,paid
INV-000219,SO-000219,6/1/2026,CUST-0033,PRD-073,2335,1628825.95,65153.04,1563672.91,1065156.95,498515.96,open
INV-000220,SO-000220,1/4/2026,CUST-0120,PRD-062,1281,71492.61,1429.85,70062.76,52572.24,17490.52,overdue
INV-000221,SO-000221,26/11/2025,CUST-0115,PRD-011,2523,1224134.37,12241.34,1211893.03,994062,217831.03,overdue
INV-000223,SO-000223,13/5/2026,CUST-0017,PRD-020,5054,3459968.4,172998.42,3286969.98,2084977.16,1201992.82,paid
INV-000224,SO-000224,29/3/2026,CUST-0072,PRD-070,2502,1397592.18,139759.22,1257832.96,819480.06,438352.9,open
INV-000225,SO-000225,1/5/2026,CUST-0020,PRD-036,1604,123395.72,2467.91,120927.81,86455.6,34472.21,paid
INV-000226,SO-000226,2/10/2025,CUST-0051,PRD-020,1360,1016219.2,30486.58,985732.62,561054.4,424678.22,paid
INV-000227,SO-000227,27/3/2026,CUST-0027,PRD-080,7779,5028501.18,150855.04,4877646.14,4005018.15,872627.99,paid
INV-000228,SO-000228,20/12/2025,CUST-0100,PRD-028,1553,957797.22,23944.93,933852.29,587701.79,346150.5,paid
INV-000229,SO-000229,23/3/2026,CUST-0116,PRD-011,3016,1423039.28,42691.18,1380348.1,1188304,192044.1,open
INV-000230,SO-000230,25/1/2026,CUST-0011,PRD-055,2294,1468871.14,73443.56,1395427.58,875321.58,520106,open
