date,product_id,machine_id,inspection_count,sample_size,defect_count,fail_count,defect_rate
2025-08-05,PRD-062,MCH-024,1,125,13,1,0.104
2025-08-04,PRD-062,MCH-023,1,80,8,1,0.1
2025-08-04,PRD-075,MCH-028,1,125,7,0,0.056
2025-08-04,PRD-075,MCH-030,1,125,6,0,0.048
2025-08-04,PRD-075,MCH-029,2,205,6,0,0.02927
2025-08-05,PRD-075,MCH-028,1,125,6,0,0.048
2025-08-04,PRD-075,MCH-026,1,200,10,0,0.05
2025-08-04,PRD-016,MCH-032,2,280,8,0,0.02857
2025-08-04,PRD-016,MCH-031,1,100,1,0,0.01
2025-08-04,PRD-043,MCH-034,1,50,2,0,0.04
2025-08-05,PRD-043,MCH-033,1,125,3,0,0.024
2025-08-04,PRD-016,MCH-034,1,80,3,0,0.0375
2025-08-05,PRD-009,MCH-002,2,300,20,1,0.06667
2025-08-05,PRD-009,MCH-001,1,80,5,1,0.0625
2025-08-06,PRD-009,MCH-004,1,125,9,1,0.072
2025-08-05,PRD-074,MCH-005,1,125,3,0,0.024
2025-08-05,PRD-074,MCH-001,1,80,3,0,0.0375
2025-08-05,PRD-012,MCH-008,2,200,6,0,0.03
2025-08-05,PRD-012,MCH-012,3,450,10,0,0.02222
2025-08-06,PRD-012,MCH-009,1,200,0,0,0.0
2025-08-05,PRD-042,MCH-018,1,200,0,0,0.0
2025-08-05,PRD-042,MCH-013,1,50,0,0,0.0
2025-08-05,PRD-075,MCH-018,1,200,8,0,0.04
2025-08-05,PRD-075,MCH-014,1,80,4,0,0.05
2025-08-05,PRD-045,MCH-013,1,50,0,0,0.0
2025-08-05,PRD-045,MCH-017,1,50,1,0,0.02
2025-08-05,PRD-078,MCH-019,1,50,3,0,0.06
2025-08-05,PRD-078,MCH-024,1,125,6,0,0.048
2025-08-06,PRD-036,MCH-021,1,80,3,0,0.0375
2025-08-06,PRD-036,MCH-022,1,200,2,0,0.01
2025-08-05,PRD-078,MCH-022,1,200,4,0,0.02
2025-08-05,PRD-078,MCH-020,1,100,6,0,0.06
2025-08-05,PRD-079,MCH-028,2,150,10,1,0.06667
2025-08-05,PRD-079,MCH-027,2,180,8,0,0.04444
2025-08-05,PRD-009,MCH-027,1,125,8,1,0.064
2025-08-05,PRD-009,MCH-028,1,50,2,0,0.04
2025-08-05,PRD-056,MCH-031,1,80,2,0,0.025
2025-08-05,PRD-056,MCH-033,1,125,0,0,0.0
2025-08-05,PRD-073,MCH-034,1,50,1,0,0.02
2025-08-06,PRD-073,MCH-031,1,200,4,0,0.02
2025-08-05,PRD-073,MCH-036,1,125,2,0,0.016
2025-08-05,PRD-073,MCH-032,1,80,1,0,0.0125
2025-08-06,PRD-046,MCH-006,1,125,9,1,0.072
2025-08-06,PRD-046,MCH-004,1,80,5,1,0.0625
2025-08-07,PRD-046,MCH-006,1,125,5,0,0.04
2025-08-07,PRD-046,MCH-005,1,80,6,1,0.075
2025-08-07,PRD-050,MCH-004,1,125,4,0,0.032
2025-08-07,PRD-050,MCH-003,1,200,5,0,0.025
2025-08-06,PRD-007,MCH-011,1,100,4,0,0.04
2025-08-06,PRD-007,MCH-008,1,100,2,0,0.02
2025-08-06,PRD-039,MCH-011,2,225,7,0,0.03111
2025-08-07,PRD-039,MCH-007,1,200,7,0,0.035
2025-08-06,PRD-039,MCH-008,1,80,1,0,0.0125
2025-08-06,PRD-042,MCH-016,1,50,0,0,0.0
2025-08-06,PRD-042,MCH-014,1,125,2,0,0.016
2025-08-06,PRD-042,MCH-018,1,80,1,0,0.0125
2025-08-07,PRD-042,MCH-016,1,100,3,0,0.03
2025-08-06,PRD-042,MCH-013,1,50,0,0,0.0
2025-08-06,PRD-042,MCH-015,1,200,2,0,0.01
2025-08-06,PRD-039,MCH-022,1,100,4,0,0.04
2025-08-06,PRD-039,MCH-019,2,200,7,0,0.035
2025-08-07,PRD-031,MCH-023,1,80,5,1,0.0625
2025-08-07,PRD-031,MCH-021,1,50,2,0,0.04
2025-08-06,PRD-039,MCH-021,1,100,2,0,0.02
2025-08-06,PRD-064,MCH-028,1,80,3,0,0.0375
2025-08-06,PRD-064,MCH-025,1,50,2,0,0.04
2025-08-07,PRD-064,MCH-025,1,80,2,1,0.025
2025-08-07,PRD-064,MCH-026,1,50,2,0,0.04
2025-08-06,PRD-064,MCH-029,1,100,3,0,0.03
2025-08-06,PRD-064,MCH-030,1,100,4,0,0.04
2025-08-06,PRD-017,MCH-036,2,280,3,0,0.01071
2025-08-06,PRD-017,MCH-034,1,50,1,0,0.02
2025-08-06,PRD-017,MCH-031,1,50,1,0,0.02
2025-08-07,PRD-017,MCH-036,1,200,0,0,0.0
2025-08-06,PRD-017,MCH-033,1,200,3,0,0.015
2025-08-07,PRD-072,MCH-003,1,125,5,0,0.04
2025-08-07,PRD-072,MCH-001,1,200,3,0,0.015
2025-08-08,PRD-072,MCH-005,1,80,3,0,0.0375
2025-08-08,PRD-072,MCH-003,1,100,3,0,0.03
2025-08-07,PRD-072,MCH-002,1,80,3,0,0.0375
2025-08-07,PRD-072,MCH-004,1,50,1,0,0.02
2025-08-07,PRD-064,MCH-008,1,50,2,0,0.04
2025-08-07,PRD-064,MCH-009,1,125,7,0,0.056
2025-08-08,PRD-052,MCH-009,1,50,4,1,0.08
2025-08-08,PRD-052,MCH-010,1,200,20,1,0.1
2025-08-07,PRD-005,MCH-012,1,50,1,0,0.02
2025-08-07,PRD-005,MCH-009,1,50,3,0,0.06
2025-08-07,PRD-075,MCH-015,1,80,3,0,0.0375
2025-08-07,PRD-075,MCH-016,1,125,5,0,0.04
2025-08-08,PRD-002,MCH-015,1,200,3,0,0.015
2025-08-08,PRD-002,MCH-016,1,100,2,0,0.02
2025-08-08,PRD-070,MCH-018,1,100,4,0,0.04
2025-08-08,PRD-070,MCH-015,1,125,4,0,0.032
2025-08-07,PRD-078,MCH-024,1,125,3,0,0.024
2025-08-07,PRD-078,MCH-021,1,100,2,0,0.02
2025-08-07,PRD-059,MCH-023,1,100,6,0,0.06
2025-08-08,PRD-059,MCH-022,1,125,6,0,0.048
2025-08-07,PRD-059,MCH-019,1,50,2,0,0.04
2025-08-07,PRD-059,MCH-022,1,125,8,1,0.064
2025-08-07,PRD-002,MCH-030,1,80,7,1,0.0875
2025-08-07,PRD-002,MCH-029,1,125,4,0,0.032
2025-08-07,PRD-002,MCH-026,1,200,10,0,0.05
2025-08-07,PRD-002,MCH-027,2,205,5,0,0.02439
2025-08-07,PRD-002,MCH-025,1,200,8,0,0.04
2025-08-07,PRD-073,MCH-033,1,125,0,0,0.0
2025-08-07,PRD-073,MCH-035,1,100,3,0,0.03
2025-08-08,PRD-073,MCH-031,1,80,3,0,0.0375
2025-08-08,PRD-073,MCH-032,1,200,5,0,0.025
2025-08-07,PRD-022,MCH-031,1,125,7,0,0.056
2025-08-07,PRD-022,MCH-034,1,200,9,0,0.045
2025-08-08,PRD-031,MCH-005,1,100,4,0,0.04
2025-08-08,PRD-031,MCH-006,1,50,3,0,0.06
2025-08-09,PRD-031,MCH-003,1,50,1,0,0.02
2025-08-09,PRD-031,MCH-002,1,80,3,0,0.0375
2025-08-08,PRD-031,MCH-001,1,125,6,0,0.048
2025-08-08,PRD-031,MCH-004,1,125,3,0,0.024
2025-08-08,PRD-069,MCH-009,1,200,10,0,0.05
2025-08-08,PRD-069,MCH-008,1,80,10,1,0.125
2025-08-09,PRD-069,MCH-007,1,200,24,1,0.12
2025-08-09,PRD-069,MCH-008,1,125,13,1,0.104
2025-08-08,PRD-051,MCH-007,1,80,4,0,0.05
2025-08-08,PRD-051,MCH-012,1,125,5,0,0.04
2025-08-08,PRD-037,MCH-018,1,80,4,0,0.05
2025-08-08,PRD-037,MCH-014,2,175,3,0,0.01714
2025-08-09,PRD-037,MCH-015,1,200,7,0,0.035
2025-08-09,PRD-037,MCH-016,1,100,3,0,0.03
2025-08-08,PRD-037,MCH-016,1,200,6,0,0.03
2025-08-08,PRD-067,MCH-023,2,400,38,2,0.095
2025-08-08,PRD-067,MCH-021,1,50,3,0,0.06
2025-08-08,PRD-067,MCH-019,1,200,20,1,0.1
2025-08-09,PRD-067,MCH-023,1,200,14,1,0.07
2025-08-08,PRD-067,MCH-024,1,125,11,1,0.088
2025-08-08,PRD-044,MCH-026,1,200,2,0,0.01
2025-08-08,PRD-044,MCH-029,2,250,6,0,0.024
2025-08-08,PRD-049,MCH-029,1,100,12,1,0.12
2025-08-09,PRD-049,MCH-026,1,50,7,1,0.14
2025-08-08,PRD-044,MCH-030,1,50,2,0,0.04
2025-08-08,PRD-042,MCH-036,1,200,0,0,0.0
2025-08-08,PRD-042,MCH-032,1,125,4,0,0.032
2025-08-09,PRD-042,MCH-034,1,50,1,0,0.02
2025-08-09,PRD-042,MCH-036,1,50,1,0,0.02
2025-08-08,PRD-042,MCH-031,1,50,2,0,0.04
2025-08-08,PRD-042,MCH-033,1,50,1,0,0.02
2025-08-09,PRD-060,MCH-006,1,125,8,1,0.064
2025-08-09,PRD-060,MCH-003,1,80,5,1,0.0625
2025-08-09,PRD-020,MCH-006,1,200,23,1,0.115
2025-08-10,PRD-020,MCH-003,1,50,5,1,0.1
2025-08-09,PRD-020,MCH-003,1,200,13,1,0.065
2025-08-09,PRD-020,MCH-005,1,100,8,1,0.08
2025-08-09,PRD-022,MCH-010,1,100,2,0,0.02
2025-08-09,PRD-022,MCH-008,1,80,2,0,0.025
2025-08-10,PRD-012,MCH-008,1,100,3,0,0.03
2025-08-10,PRD-012,MCH-012,1,200,0,0,0.0
2025-08-10,PRD-002,MCH-013,1,50,3,0,0.06
2025-08-10,PRD-002,MCH-018,1,50,3,0,0.06
2025-08-09,PRD-015,MCH-018,1,100,9,1,0.09
2025-08-09,PRD-015,MCH-017,1,200,16,1,0.08
2025-08-10,PRD-072,MCH-022,1,200,8,0,0.04
2025-08-10,PRD-072,MCH-020,1,50,1,0,0.02
2025-08-09,PRD-005,MCH-023,1,125,5,1,0.04
2025-08-09,PRD-005,MCH-019,1,80,4,0,0.05
2025-08-09,PRD-012,MCH-027,1,50,0,0,0.0
2025-08-09,PRD-012,MCH-025,1,80,2,0,0.025
2025-08-09,PRD-012,MCH-029,1,200,2,0,0.01
2025-08-09,PRD-012,MCH-026,1,100,2,0,0.02
2025-08-10,PRD-078,MCH-033,1,100,3,0,0.03
2025-08-10,PRD-078,MCH-035,1,125,6,0,0.048
2025-08-11,PRD-007,MCH-006,1,125,3,0,0.024
2025-08-11,PRD-007,MCH-005,1,100,4,0,0.04
2025-08-11,PRD-012,MCH-009,1,125,1,0,0.008
2025-08-11,PRD-012,MCH-012,1,125,4,0,0.032
2025-08-10,PRD-045,MCH-014,1,125,0,0,0.0
2025-08-10,PRD-045,MCH-015,1,125,0,0,0.0
2025-08-11,PRD-045,MCH-014,1,100,0,0,0.0
2025-08-11,PRD-045,MCH-013,1,80,1,0,0.0125
2025-08-10,PRD-003,MCH-024,1,200,5,0,0.025
2025-08-10,PRD-003,MCH-023,1,200,7,0,0.035
2025-08-11,PRD-078,MCH-019,1,200,6,0,0.03
2025-08-11,PRD-078,MCH-022,1,50,2,0,0.04
2025-08-10,PRD-078,MCH-022,1,100,6,0,0.06
2025-08-10,PRD-078,MCH-019,1,100,5,0,0.05
2025-08-10,PRD-077,MCH-026,1,200,1,0,0.005
2025-08-11,PRD-077,MCH-029,1,50,1,0,0.02
2025-08-11,PRD-077,MCH-028,1,200,0,0,0.0
2025-08-11,PRD-077,MCH-027,1,100,2,0,0.02
2025-08-10,PRD-035,MCH-036,1,80,2,0,0.025
2025-08-10,PRD-035,MCH-032,1,100,0,0,0.0
2025-08-10,PRD-043,MCH-034,1,100,3,1,0.03
2025-08-10,PRD-043,MCH-036,1,125,4,0,0.032
2025-08-10,PRD-035,MCH-031,1,200,11,0,0.055
2025-08-10,PRD-035,MCH-034,1,80,2,0,0.025
2025-08-11,PRD-077,MCH-002,1,50,0,0,0.0
2025-08-11,PRD-077,MCH-004,1,80,2,0,0.025
2025-08-11,PRD-066,MCH-003,1,125,10,1,0.08
2025-08-11,PRD-066,MCH-001,1,100,4,0,0.04
2025-08-12,PRD-077,MCH-001,1,100,3,0,0.03
2025-08-12,PRD-077,MCH-005,1,50,2,0,0.04
2025-08-11,PRD-069,MCH-007,1,50,5,1,0.1
2025-08-11,PRD-069,MCH-008,2,300,37,2,0.12333
2025-08-12,PRD-069,MCH-012,1,50,7,1,0.14
2025-08-12,PRD-069,MCH-007,1,50,6,1,0.12
2025-08-11,PRD-069,MCH-012,1,200,22,1,0.11
2025-08-11,PRD-048,MCH-015,2,280,3,0,0.01071
2025-08-11,PRD-048,MCH-017,1,100,4,0,0.04
2025-08-12,PRD-048,MCH-014,1,125,3,0,0.024
2025-08-11,PRD-023,MCH-015,1,125,7,0,0.056
2025-08-11,PRD-023,MCH-016,1,125,3,0,0.024
2025-08-11,PRD-046,MCH-023,2,130,9,1,0.06923
2025-08-11,PRD-046,MCH-022,1,200,10,0,0.05
2025-08-11,PRD-040,MCH-023,1,50,5,1,0.1
2025-08-12,PRD-040,MCH-021,1,100,9,1,0.09
2025-08-11,PRD-046,MCH-020,1,200,15,1,0.075
2025-08-11,PRD-029,MCH-026,1,200,12,0,0.06
2025-08-11,PRD-029,MCH-027,1,200,9,0,0.045
2025-08-12,PRD-029,MCH-030,1,50,3,0,0.06
2025-08-12,PRD-029,MCH-027,1,50,3,0,0.06
2025-08-12,PRD-029,MCH-028,1,200,10,0,0.05
2025-08-12,PRD-029,MCH-029,1,50,3,0,0.06
2025-08-11,PRD-054,MCH-032,2,130,15,2,0.11538
2025-08-11,PRD-054,MCH-036,2,205,17,2,0.08293
2025-08-12,PRD-054,MCH-036,1,125,12,1,0.096
2025-08-11,PRD-054,MCH-034,1,80,6,1,0.075
2025-08-12,PRD-068,MCH-004,2,400,22,0,0.055
2025-08-12,PRD-068,MCH-002,1,125,7,0,0.056
2025-08-13,PRD-068,MCH-005,1,125,4,0,0.032
2025-08-12,PRD-068,MCH-003,1,50,3,0,0.06
2025-08-12,PRD-068,MCH-005,1,200,9,0,0.045
2025-08-12,PRD-035,MCH-007,1,125,5,0,0.04
2025-08-12,PRD-035,MCH-010,1,200,9,0,0.045
2025-08-12,PRD-063,MCH-012,1,125,8,1,0.064
2025-08-12,PRD-063,MCH-007,1,200,9,0,0.045
2025-08-12,PRD-035,MCH-011,1,100,6,0,0.06
2025-08-12,PRD-035,MCH-009,1,200,7,0,0.035
2025-08-12,PRD-050,MCH-014,1,100,4,1,0.04
2025-08-12,PRD-050,MCH-018,1,125,5,0,0.04
2025-08-13,PRD-050,MCH-013,1,80,4,0,0.05
2025-08-13,PRD-050,MCH-016,1,100,6,0,0.06
2025-08-12,PRD-040,MCH-016,1,200,20,1,0.1
2025-08-12,PRD-040,MCH-013,1,200,22,1,0.11
2025-08-12,PRD-036,MCH-020,1,125,2,0,0.016
2025-08-12,PRD-036,MCH-024,1,50,1,0,0.02
2025-08-13,PRD-036,MCH-024,1,125,8,1,0.064
2025-08-13,PRD-036,MCH-020,1,200,8,0,0.04
2025-08-12,PRD-067,MCH-022,1,200,17,1,0.085
2025-08-12,PRD-067,MCH-019,1,100,6,0,0.06
2025-08-12,PRD-015,MCH-025,2,205,18,2,0.0878
2025-08-12,PRD-015,MCH-030,1,100,10,1,0.1
2025-08-12,PRD-022,MCH-028,1,100,5,0,0.05
2025-08-12,PRD-022,MCH-025,1,200,7,0,0.035
2025-08-12,PRD-015,MCH-026,1,80,7,1,0.0875
2025-08-12,PRD-013,MCH-032,2,225,4,0,0.01778
2025-08-12,PRD-013,MCH-034,1,200,7,0,0.035
2025-08-12,PRD-013,MCH-036,1,125,2,0,0.016
2025-08-13,PRD-013,MCH-035,1,100,3,0,0.03
2025-08-13,PRD-013,MCH-036,1,200,5,0,0.025
2025-08-13,PRD-046,MCH-005,1,80,6,1,0.075
2025-08-13,PRD-046,MCH-003,1,200,16,1,0.08
2025-08-13,PRD-046,MCH-002,1,100,6,0,0.06
2025-08-14,PRD-046,MCH-006,1,200,16,1,0.08
2025-08-13,PRD-029,MCH-005,1,50,3,0,0.06
2025-08-13,PRD-029,MCH-003,1,200,10,0,0.05
2025-08-13,PRD-005,MCH-010,2,175,7,0,0.04
2025-08-13,PRD-005,MCH-012,2,205,8,1,0.03902
2025-08-14,PRD-005,MCH-009,1,80,3,0,0.0375
2025-08-13,PRD-005,MCH-009,1,50,2,0,0.04
2025-08-13,PRD-075,MCH-017,1,100,5,0,0.05
2025-08-13,PRD-075,MCH-013,1,50,2,0,0.04
2025-08-14,PRD-037,MCH-017,1,50,1,0,0.02
2025-08-14,PRD-037,MCH-013,1,80,3,0,0.0375
2025-08-13,PRD-037,MCH-016,1,200,3,0,0.015
2025-08-13,PRD-037,MCH-017,1,80,2,0,0.025
2025-08-13,PRD-079,MCH-024,1,125,8,1,0.064
2025-08-13,PRD-079,MCH-019,1,50,2,0,0.04
2025-08-13,PRD-006,MCH-021,1,50,3,0,0.06
2025-08-14,PRD-006,MCH-023,1,100,3,0,0.03
2025-08-13,PRD-079,MCH-020,1,200,9,0,0.045
2025-08-13,PRD-079,MCH-023,1,200,6,0,0.03
2025-08-13,PRD-070,MCH-030,1,100,3,0,0.03
2025-08-13,PRD-070,MCH-027,1,125,2,0,0.016
2025-08-13,PRD-029,MCH-025,1,200,11,0,0.055
2025-08-14,PRD-029,MCH-027,1,125,5,0,0.04
2025-08-13,PRD-002,MCH-027,1,50,2,0,0.04
2025-08-13,PRD-002,MCH-029,1,50,2,0,0.04
2025-08-13,PRD-048,MCH-033,1,50,2,0,0.04
2025-08-13,PRD-048,MCH-032,1,125,2,0,0.016
2025-08-13,PRD-035,MCH-036,1,200,13,1,0.065
2025-08-14,PRD-035,MCH-034,1,100,5,0,0.05
2025-08-14,PRD-048,MCH-036,1,125,1,0,0.008
2025-08-14,PRD-048,MCH-032,1,80,1,0,0.0125
2025-08-14,PRD-007,MCH-004,1,50,1,0,0.02
2025-08-14,PRD-007,MCH-006,1,200,5,0,0.025
2025-08-14,PRD-007,MCH-005,1,50,1,0,0.02
2025-08-14,PRD-007,MCH-001,1,200,5,0,0.025
2025-08-14,PRD-032,MCH-006,1,200,8,0,0.04
2025-08-14,PRD-032,MCH-003,1,125,5,0,0.04
2025-08-14,PRD-029,MCH-011,2,280,17,1,0.06071
2025-08-14,PRD-029,MCH-010,1,50,3,0,0.06
2025-08-14,PRD-029,MCH-007,1,125,7,0,0.056
2025-08-14,PRD-024,MCH-009,1,200,21,1,0.105
2025-08-14,PRD-024,MCH-011,1,125,10,1,0.08
2025-08-14,PRD-027,MCH-015,2,280,17,1,0.06071
2025-08-14,PRD-027,MCH-018,1,50,5,1,0.1
2025-08-15,PRD-027,MCH-018,1,200,10,0,0.05
2025-08-15,PRD-027,MCH-014,2,280,22,2,0.07857
2025-08-14,PRD-027,MCH-017,1,125,7,0,0.056
2025-08-14,PRD-024,MCH-021,1,100,6,0,0.06
2025-08-14,PRD-024,MCH-022,1,125,11,1,0.088
2025-08-14,PRD-024,MCH-023,2,225,17,1,0.07556
2025-08-15,PRD-024,MCH-019,1,125,10,1,0.08
2025-08-14,PRD-024,MCH-020,1,100,8,1,0.08
2025-08-14,PRD-007,MCH-025,1,100,3,0,0.03
2025-08-14,PRD-007,MCH-030,1,80,3,0,0.0375
2025-08-15,PRD-007,MCH-025,1,80,1,0,0.0125
2025-08-15,PRD-007,MCH-026,1,125,4,0,0.032
2025-08-14,PRD-002,MCH-030,1,50,3,0,0.06
2025-08-14,PRD-002,MCH-027,1,80,1,0,0.0125
2025-08-14,PRD-062,MCH-034,1,50,6,1,0.12
2025-08-14,PRD-062,MCH-033,1,100,12,1,0.12
2025-08-15,PRD-062,MCH-035,1,80,7,1,0.0875
2025-08-15,PRD-062,MCH-034,1,100,10,1,0.1
2025-08-15,PRD-062,MCH-033,1,200,13,1,0.065
2025-08-15,PRD-062,MCH-031,1,125,13,1,0.104
2025-08-15,PRD-008,MCH-002,1,100,1,0,0.01
2025-08-15,PRD-008,MCH-001,1,200,0,0,0.0
2025-08-15,PRD-008,MCH-003,1,200,8,0,0.04
2025-08-16,PRD-008,MCH-004,1,200,6,0,0.03
2025-08-15,PRD-008,MCH-004,1,100,1,0,0.01
2025-08-15,PRD-008,MCH-006,1,50,1,0,0.02
2025-08-15,PRD-066,MCH-010,1,200,16,1,0.08
2025-08-15,PRD-066,MCH-012,2,325,29,2,0.08923
2025-08-16,PRD-045,MCH-011,1,125,2,0,0.016
2025-08-16,PRD-045,MCH-007,1,125,4,0,0.032
2025-08-15,PRD-066,MCH-007,1,100,8,1,0.08
2025-08-15,PRD-027,MCH-017,2,100,7,1,0.07
2025-08-15,PRD-037,MCH-014,1,125,4,0,0.032
2025-08-16,PRD-037,MCH-015,1,50,1,0,0.02
2025-08-15,PRD-027,MCH-013,1,50,3,0,0.06
2025-08-15,PRD-011,MCH-021,1,125,4,0,0.032
2025-08-15,PRD-011,MCH-020,1,80,2,0,0.025
2025-08-15,PRD-010,MCH-020,1,50,2,0,0.04
2025-08-16,PRD-010,MCH-023,1,200,11,0,0.055
2025-08-16,PRD-006,MCH-023,1,80,5,1,0.0625
2025-08-16,PRD-006,MCH-022,1,100,7,1,0.07
2025-08-15,PRD-039,MCH-029,2,175,4,0,0.02286
2025-08-15,PRD-039,MCH-025,1,100,0,0,0.0
2025-08-15,PRD-039,MCH-028,1,200,8,0,0.04
2025-08-15,PRD-039,MCH-027,1,80,1,0,0.0125
2025-08-15,PRD-039,MCH-030,1,50,1,0,0.02
2025-08-15,PRD-017,MCH-031,1,80,1,0,0.0125
2025-08-15,PRD-017,MCH-035,1,200,0,0,0.0
2025-08-15,PRD-074,MCH-035,2,300,13,0,0.04333
2025-08-16,PRD-074,MCH-032,1,125,9,1,0.072
2025-08-15,PRD-074,MCH-033,1,50,2,0,0.04
2025-08-17,PRD-078,MCH-002,1,200,6,0,0.03
2025-08-17,PRD-078,MCH-001,1,100,5,0,0.05
2025-08-16,PRD-007,MCH-008,1,80,1,0,0.0125
2025-08-17,PRD-007,MCH-007,1,100,3,0,0.03
2025-08-16,PRD-007,MCH-009,1,125,3,0,0.024
2025-08-16,PRD-007,MCH-007,1,80,2,0,0.025
2025-08-16,PRD-075,MCH-016,1,50,2,0,0.04
2025-08-16,PRD-075,MCH-015,1,100,3,0,0.03
2025-08-16,PRD-017,MCH-018,1,80,3,0,0.0375
2025-08-16,PRD-017,MCH-014,1,50,0,0,0.0
2025-08-16,PRD-002,MCH-022,1,100,6,0,0.06
2025-08-16,PRD-002,MCH-024,2,250,8,0,0.032
