event_id,machine_id,line_id,event_start,event_end,state_code,reason_code,operator_id,linked_work_order_id,source_system
EVT-00000032,MCH-012,L02,2025-08-01 19:51:02,2025-08-01 20:07:47,IDLE,NO_DEMAND,OP-0070,WO-000005,SCADA
EVT-00000033,MCH-008,L02,2025-08-01 16:12:00,2025-08-01 17:08:07,SETUP,TOOL_CHANGE,OP-0022,WO-000005,SCADA
EVT-00000034,MCH-008,L02,2025-08-01 17:08:07,2025-08-02 00:00:05,RUNNING,NORMAL,OP-0022,WO-000005,SCADA
EVT-00000035,MCH-008,L02,2025-08-01 17:50:00,2025-08-01 18:17:23,DOWN,MICRO_STOP,OP-0022,WO-000005,SCADA
EVT-00000036,MCH-008,L02,2025-08-02 00:00:05,2025-08-02 00:16:50,IDLE,NO_DEMAND,OP-0022,WO-000005,SCADA
EVT-00000037,MCH-011,L02,2025-08-01 03:48:00,2025-08-01 04:34:22,SETUP,TOOL_CHANGE,OP-0030,WO-000006,SCADA
EVT-00000038,MCH-011,L02,2025-08-01 04:34:22,2025-08-01 07:39:52,RUNNING,NORMAL,OP-0030,WO-000006,SCADA
EVT-00000039,MCH-011,L02,2025-08-01 08:47:00,2025-08-01 09:25:26,DOWN,UNKNOWN,OP-0030,WO-000006,SCADA
EVT-00000040,MCH-011,L02,2025-08-01 07:39:52,2025-08-01 08:02:00,IDLE,NO_DEMAND,OP-0030,WO-000006,SCADA
EVT-00000041,MCH-009,L02,2025-08-01 03:48:00,2025-08-01 04:34:22,SETUP,TOOL_CHANGE,OP-0005,WO-000006,SCADA
EVT-00000042,MCH-009,L02,2025-08-01 04:34:22,2025-08-01 11:39:44,RUNNING,NORMAL,OP-0005,WO-000006,SCADA
EVT-00000043,MCH-009,L02,2025-08-01 05:24:00,2025-08-01 06:02:26,DOWN,MATERIAL_WAIT,OP-0005,WO-000006,SCADA
EVT-00000044,MCH-009,L02,2025-08-01 11:39:44,2025-08-01 12:01:52,IDLE,NO_DEMAND,OP-0005,WO-000006,SCADA
EVT-00000045,MCH-018,L03,2025-08-01 08:51:00,2025-08-01 09:57:35,SETUP,TOOL_CHANGE,OP-0060,WO-000007,SCADA
EVT-00000046,MCH-018,L03,2025-08-01 09:57:35,2025-08-01 12:14:40,RUNNING,NORMAL,OP-0060,WO-000007,SCADA
EVT-00000047,MCH-018,L03,2025-08-01 12:39:00,2025-08-01 13:16:01,DOWN,SENSOR_FAULT,OP-0060,WO-000007,SCADA
EVT-00000048,MCH-017,L03,2025-08-01 08:51:00,2025-08-01 09:57:35,SETUP,TOOL_CHANGE,OP-0032,WO-000007,SCADA
EVT-00000049,MCH-017,L03,2025-08-01 09:57:35,2025-08-01 15:28:21,RUNNING,NORMAL,OP-0032,WO-000007,SCADA
EVT-00000050,MCH-017,L03,2025-08-01 12:17:00,2025-08-01 12:54:01,DOWN,JAM,OP-0032,WO-000007,SCADA
EVT-00000051,MCH-018,L03,2025-08-01 17:41:00,2025-08-01 18:34:14,SETUP,TOOL_CHANGE,OP-0068,WO-000008,SCADA
EVT-00000052,MCH-018,L03,2025-08-01 18:34:14,2025-08-01 20:52:45,RUNNING,NORMAL,OP-0068,WO-000008,SCADA
EVT-00000053,MCH-018,L03,2025-08-01 22:39:00,2025-08-01 23:09:36,DOWN,JAM,OP-0068,WO-000008,SCADA
EVT-00000054,MCH-018,L03,2025-08-01 20:52:45,2025-08-01 21:24:52,IDLE,NO_DEMAND,OP-0068,WO-000008,SCADA
EVT-00000055,MCH-015,L03,2025-08-01 17:41:00,2025-08-01 18:34:14,SETUP,TOOL_CHANGE,OP-0023,WO-000008,SCADA
EVT-00000056,MCH-015,L03,2025-08-01 18:34:14,2025-08-02 00:20:31,RUNNING,NORMAL,OP-0023,WO-000008,SCADA
EVT-00000057,MCH-015,L03,2025-08-01 22:27:00,2025-08-01 22:57:36,DOWN,MICRO_STOP,OP-0023,WO-000008,SCADA
EVT-00000058,MCH-015,L03,2025-08-02 00:20:31,2025-08-02 00:52:37,IDLE,NO_DEMAND,OP-0023,WO-000008,SCADA
EVT-00000059,MCH-015,L03,2025-08-01 05:01:00,2025-08-01 05:49:38,SETUP,TOOL_CHANGE,OP-0047,WO-000009,SCADA
EVT-00000060,MCH-015,L03,2025-08-01 05:49:38,2025-08-01 08:36:07,RUNNING,NORMAL,OP-0047,WO-000009,SCADA
EVT-00000061,MCH-015,L03,2025-08-01 07:03:00,2025-08-01 07:16:02,DOWN,JAM,OP-0047,WO-000009,SCADA
EVT-00000062,MCH-018,L03,2025-08-01 05:01:00,2025-08-01 05:49:38,SETUP,TOOL_CHANGE,OP-0019,WO-000009,SCADA
EVT-00000063,MCH-018,L03,2025-08-01 05:49:38,2025-08-01 12:01:15,RUNNING,NORMAL,OP-0019,WO-000009,SCADA
EVT-00000064,MCH-018,L03,2025-08-01 10:22:00,2025-08-01 10:35:02,DOWN,SENSOR_FAULT,OP-0019,WO-000009,SCADA
EVT-00000065,MCH-019,L04,2025-08-01 14:00:00,2025-08-01 15:11:21,SETUP,TOOL_CHANGE,OP-0070,WO-000010,SCADA
EVT-00000066,MCH-019,L04,2025-08-01 15:11:21,2025-08-01 17:34:53,RUNNING,NORMAL,OP-0070,WO-000010,SCADA
EVT-00000067,MCH-019,L04,2025-08-01 17:05:00,2025-08-01 17:57:26,DOWN,JAM,OP-0070,WO-000010,SCADA
EVT-00000068,MCH-019,L04,2025-08-01 17:34:53,2025-08-01 17:45:42,IDLE,NO_DEMAND,OP-0070,WO-000010,SCADA
EVT-00000069,MCH-023,L04,2025-08-01 14:00:00,2025-08-01 15:11:21,SETUP,TOOL_CHANGE,OP-0067,WO-000010,SCADA
EVT-00000070,MCH-023,L04,2025-08-01 15:11:21,2025-08-01 21:15:46,RUNNING,NORMAL,OP-0067,WO-000010,SCADA
EVT-00000071,MCH-023,L04,2025-08-01 15:36:00,2025-08-01 16:28:26,DOWN,UNKNOWN,OP-0067,WO-000010,SCADA
EVT-00000072,MCH-023,L04,2025-08-01 21:15:46,2025-08-01 21:26:35,IDLE,NO_DEMAND,OP-0067,WO-000010,SCADA
EVT-00000073,MCH-021,L04,2025-08-01 18:45:00,2025-08-01 19:27:51,SETUP,TOOL_CHANGE,,WO-000011,SCADA
EVT-00000074,MCH-021,L04,2025-08-01 19:27:51,2025-08-01 22:40:55,RUNNING,NORMAL,,WO-000011,SCADA
EVT-00000075,MCH-021,L04,2025-08-01 19:47:00,2025-08-01 20:26:38,DOWN,QUALITY_HOLD,,WO-000011,SCADA
EVT-00000076,MCH-021,L04,2025-08-01 22:40:55,2025-08-01 22:51:10,IDLE,NO_DEMAND,,WO-000011,SCADA
EVT-00000077,MCH-022,L04,2025-08-01 18:45:00,2025-08-01 19:27:51,SETUP,TOOL_CHANGE,OP-0035,WO-000011,SCADA
EVT-00000078,MCH-022,L04,2025-08-01 19:27:51,2025-08-02 02:36:51,RUNNING,NORMAL,OP-0035,WO-000011,SCADA
EVT-00000079,MCH-022,L04,2025-08-01 23:12:00,2025-08-01 23:51:38,DOWN,MICRO_STOP,OP-0035,WO-000011,SCADA
EVT-00000080,MCH-022,L04,2025-08-02 02:36:51,2025-08-02 02:47:06,IDLE,NO_DEMAND,OP-0035,WO-000011,SCADA
EVT-00000081,MCH-023,L04,2025-08-01 01:51:00,2025-08-01 02:42:35,SETUP,TOOL_CHANGE,OP-0069,WO-000012,SCADA
EVT-00000082,MCH-023,L04,2025-08-01 02:42:35,2025-08-01 05:20:18,RUNNING,NORMAL,OP-0069,WO-000012,SCADA
EVT-00000083,MCH-023,L04,2025-08-01 05:39:00,2025-08-01 06:19:24,DOWN,UNKNOWN,OP-0069,WO-000012,SCADA
EVT-00000084,MCH-023,L04,2025-08-01 05:20:18,2025-08-01 05:46:57,IDLE,NO_DEMAND,OP-0069,WO-000012,SCADA
EVT-00000085,MCH-019,L04,2025-08-01 01:51:00,2025-08-01 02:42:35,SETUP,TOOL_CHANGE,OP-0046,WO-000012,SCADA
EVT-00000086,MCH-019,L04,2025-08-01 02:42:35,2025-08-01 09:07:36,RUNNING,NORMAL,OP-0046,WO-000012,SCADA
EVT-00000087,MCH-019,L04,2025-08-01 04:32:00,2025-08-01 05:12:24,DOWN,QUALITY_HOLD,OP-0046,WO-000012,SCADA
EVT-00000088,MCH-019,L04,2025-08-01 09:07:36,2025-08-01 09:34:15,IDLE,NO_DEMAND,OP-0046,WO-000012,SCADA
EVT-00000089,MCH-027,L05,2025-08-01 09:58:00,2025-08-01 10:39:02,SETUP,TOOL_CHANGE,OP-0006,WO-000013,SCADA
EVT-00000090,MCH-027,L05,2025-08-01 10:39:02,2025-08-01 13:24:54,RUNNING,NORMAL,OP-0006,WO-000013,SCADA
EVT-00000091,MCH-027,L05,2025-08-01 14:38:00,2025-08-01 15:07:34,DOWN,QUALITY_HOLD,OP-0006,WO-000013,SCADA
EVT-00000092,MCH-027,L05,2025-08-01 13:24:54,2025-08-01 13:49:12,IDLE,NO_DEMAND,OP-0006,WO-000013,SCADA
EVT-00000093,MCH-028,L05,2025-08-01 09:58:00,2025-08-01 10:39:02,SETUP,TOOL_CHANGE,OP-0051,WO-000013,SCADA
EVT-00000094,MCH-028,L05,2025-08-01 10:39:02,2025-08-01 17:06:48,RUNNING,NORMAL,OP-0051,WO-000013,SCADA
EVT-00000095,MCH-028,L05,2025-08-01 11:25:00,2025-08-01 11:54:34,DOWN,MICRO_STOP,OP-0051,WO-000013,SCADA
EVT-00000096,MCH-028,L05,2025-08-01 17:06:48,2025-08-01 17:31:07,IDLE,NO_DEMAND,OP-0051,WO-000013,SCADA
EVT-00000097,MCH-025,L05,2025-08-01 18:21:00,2025-08-01 19:17:42,SETUP,TOOL_CHANGE,OP-0035,WO-000014,SCADA
EVT-00000098,MCH-025,L05,2025-08-01 19:17:42,2025-08-01 21:36:21,RUNNING,NORMAL,OP-0035,WO-000014,SCADA
EVT-00000099,MCH-025,L05,2025-08-01 22:47:00,2025-08-01 23:04:17,DOWN,SENSOR_FAULT,OP-0035,WO-000014,SCADA
EVT-00000100,MCH-025,L05,2025-08-01 21:36:21,2025-08-01 21:47:18,IDLE,NO_DEMAND,OP-0035,WO-000014,SCADA
EVT-00000101,MCH-028,L05,2025-08-01 18:21:00,2025-08-01 19:17:42,SETUP,TOOL_CHANGE,OP-0055,WO-000014,SCADA
EVT-00000102,MCH-028,L05,2025-08-01 19:17:42,2025-08-02 01:17:42,RUNNING,NORMAL,OP-0055,WO-000014,SCADA
EVT-00000103,MCH-028,L05,2025-08-01 19:54:00,2025-08-01 20:11:17,DOWN,UNKNOWN,OP-0055,WO-000014,SCADA
EVT-00000104,MCH-028,L05,2025-08-02 01:17:42,2025-08-02 01:28:40,IDLE,NO_DEMAND,OP-0055,WO-000014,SCADA
EVT-00000105,MCH-028,L05,2025-08-01 00:51:00,2025-08-01 01:48:22,SETUP,TOOL_CHANGE,OP-0019,WO-000015,SCADA
EVT-00000106,MCH-028,L05,2025-08-01 01:48:22,2025-08-01 04:34:41,RUNNING,NORMAL,OP-0019,WO-000015,SCADA
EVT-00000107,MCH-028,L05,2025-08-01 06:36:00,2025-08-01 07:01:07,DOWN,,OP-0019,WO-000015,SCADA
EVT-00000108,MCH-027,L05,2025-08-01 00:51:00,2025-08-01 01:48:22,SETUP,TOOL_CHANGE,OP-0045,WO-000015,SCADA
EVT-00000109,MCH-027,L05,2025-08-01 01:48:22,2025-08-01 08:27:22,RUNNING,NORMAL,OP-0045,WO-000015,SCADA
EVT-00000110,MCH-027,L05,2025-08-01 03:38:00,2025-08-01 04:03:07,DOWN,SENSOR_FAULT,OP-0045,WO-000015,SCADA
EVT-00000111,MCH-032,L06,2025-08-01 08:04:00,2025-08-01 08:48:33,SETUP,TOOL_CHANGE,OP-0072,WO-000016,SCADA
EVT-00000112,MCH-032,L06,2025-08-01 08:48:33,2025-08-01 11:38:05,RUNNING,NORMAL,OP-0072,WO-000016,SCADA
EVT-00000113,MCH-032,L06,2025-08-01 13:36:00,2025-08-01 13:47:07,DOWN,JAM,OP-0072,WO-000016,SCADA
EVT-00000114,MCH-032,L06,2025-08-01 11:38:05,2025-08-01 11:45:12,IDLE,NO_DEMAND,OP-0072,WO-000016,SCADA
EVT-00000115,MCH-031,L06,2025-08-01 08:04:00,2025-08-01 08:48:33,SETUP,TOOL_CHANGE,OP-0048,WO-000016,SCADA
EVT-00000116,MCH-031,L06,2025-08-01 08:48:33,2025-08-01 15:31:10,RUNNING,NORMAL,OP-0048,WO-000016,SCADA
EVT-00000117,MCH-031,L06,2025-08-01 10:44:00,2025-08-01 10:55:07,DOWN,,OP-0048,WO-000016,SCADA
EVT-00000118,MCH-031,L06,2025-08-01 15:31:10,2025-08-01 15:38:17,IDLE,NO_DEMAND,OP-0048,WO-000016,SCADA
EVT-00000119,MCH-033,L06,2025-08-01 19:48:00,2025-08-01 20:41:43,SETUP,TOOL_CHANGE,OP-0046,WO-000017,SCADA
EVT-00000120,MCH-033,L06,2025-08-01 20:41:43,2025-08-01 23:11:49,RUNNING,NORMAL,OP-0046,WO-000017,SCADA
EVT-00000121,MCH-033,L06,2025-08-01 23:25:00,2025-08-01 23:40:18,DOWN,,OP-0046,WO-000017,SCADA
EVT-00000122,MCH-033,L06,2025-08-01 23:11:49,2025-08-01 23:24:36,IDLE,NO_DEMAND,OP-0046,WO-000017,SCADA
EVT-00000123,MCH-034,L06,2025-08-01 19:48:00,2025-08-01 20:41:43,SETUP,TOOL_CHANGE,OP-0048,WO-000017,SCADA
EVT-00000124,MCH-034,L06,2025-08-01 20:41:43,2025-08-02 02:59:39,RUNNING,NORMAL,OP-0048,WO-000017,SCADA
EVT-00000125,MCH-034,L06,2025-08-01 22:05:00,2025-08-01 22:20:18,DOWN,,OP-0048,WO-000017,SCADA
EVT-00000126,MCH-034,L06,2025-08-02 02:59:39,2025-08-02 03:12:26,IDLE,NO_DEMAND,OP-0048,WO-000017,SCADA
EVT-00000127,MCH-034,L06,2025-08-01 05:45:00,2025-08-01 06:42:53,SETUP,TOOL_CHANGE,OP-0058,WO-000018,SCADA
EVT-00000128,MCH-034,L06,2025-08-01 06:42:53,2025-08-01 09:08:10,RUNNING,NORMAL,OP-0058,WO-000018,SCADA
EVT-00000129,MCH-034,L06,2025-08-01 11:11:00,2025-08-01 11:30:52,DOWN,UNKNOWN,OP-0058,WO-000018,SCADA
EVT-00000130,MCH-034,L06,2025-08-01 09:08:10,2025-08-01 09:28:39,IDLE,NO_DEMAND,OP-0058,WO-000018,SCADA
EVT-00000131,MCH-032,L06,2025-08-01 05:45:00,2025-08-01 06:42:53,SETUP,TOOL_CHANGE,OP-0011,WO-000018,SCADA
EVT-00000132,MCH-032,L06,2025-08-01 06:42:53,2025-08-01 12:25:20,RUNNING,NORMAL,OP-0011,WO-000018,SCADA
EVT-00000133,MCH-032,L06,2025-08-01 08:52:00,2025-08-01 09:11:52,DOWN,,OP-0011,WO-000018,SCADA
EVT-00000134,MCH-032,L06,2025-08-01 12:25:20,2025-08-01 12:45:49,IDLE,NO_DEMAND,OP-0011,WO-000018,SCADA
EVT-00000135,MCH-006,L01,2025-08-02 15:59:00,2025-08-02 16:48:02,SETUP,TOOL_CHANGE,OP-0049,WO-000019,SCADA
EVT-00000136,MCH-006,L01,2025-08-02 16:48:02,2025-08-02 19:33:22,RUNNING,NORMAL,OP-0049,WO-000019,SCADA
EVT-00000137,MCH-006,L01,2025-08-02 19:32:00,2025-08-02 19:42:06,DOWN,QUALITY_HOLD,OP-0049,WO-000019,SCADA
EVT-00000138,MCH-004,L01,2025-08-02 15:59:00,2025-08-02 16:48:02,SETUP,TOOL_CHANGE,OP-0004,WO-000019,SCADA
EVT-00000139,MCH-004,L01,2025-08-02 16:48:02,2025-08-02 23:18:45,RUNNING,NORMAL,OP-0004,WO-000019,SCADA
EVT-00000140,MCH-004,L01,2025-08-02 21:49:00,2025-08-02 21:59:06,DOWN,,OP-0004,WO-000019,SCADA
EVT-00000141,MCH-011,L02,2025-08-02 09:45:00,2025-08-02 10:30:47,SETUP,TOOL_CHANGE,OP-0021,WO-000020,SCADA
EVT-00000142,MCH-011,L02,2025-08-02 10:30:47,2025-08-02 13:07:30,RUNNING,NORMAL,OP-0021,WO-000020,SCADA
EVT-00000143,MCH-011,L02,2025-08-02 15:17:00,2025-08-02 15:53:05,DOWN,MATERIAL_WAIT,OP-0021,WO-000020,SCADA
EVT-00000144,MCH-011,L02,2025-08-02 13:07:30,2025-08-02 13:22:10,IDLE,NO_DEMAND,OP-0021,WO-000020,SCADA
EVT-00000145,MCH-010,L02,2025-08-02 09:45:00,2025-08-02 10:30:47,SETUP,TOOL_CHANGE,OP-0047,WO-000020,SCADA
EVT-00000146,MCH-010,L02,2025-08-02 10:30:47,2025-08-02 16:51:01,RUNNING,NORMAL,OP-0047,WO-000020,SCADA
EVT-00000147,MCH-010,L02,2025-08-02 15:29:00,2025-08-02 16:05:05,DOWN,MATERIAL_WAIT,OP-0047,WO-000020,SCADA
EVT-00000148,MCH-010,L02,2025-08-02 16:51:01,2025-08-02 17:05:40,IDLE,NO_DEMAND,OP-0047,WO-000020,SCADA
EVT-00000149,MCH-014,L03,2025-08-02 09:14:00,2025-08-02 10:10:44,SETUP,TOOL_CHANGE,OP-0053,WO-000021,SCADA
EVT-00000150,MCH-014,L03,2025-08-02 10:10:44,2025-08-02 12:41:31,RUNNING,NORMAL,OP-0053,WO-000021,SCADA
EVT-00000151,MCH-014,L03,2025-08-02 14:57:00,2025-08-02 15:21:05,DOWN,,OP-0053,WO-000021,SCADA
EVT-00000152,MCH-014,L03,2025-08-02 12:41:31,2025-08-02 12:47:39,IDLE,NO_DEMAND,OP-0053,WO-000021,SCADA
EVT-00000153,MCH-013,L03,2025-08-02 09:14:00,2025-08-02 10:10:44,SETUP,TOOL_CHANGE,OP-0006,WO-000021,SCADA
EVT-00000154,MCH-013,L03,2025-08-02 10:10:44,2025-08-02 16:13:03,RUNNING,NORMAL,OP-0006,WO-000021,SCADA
EVT-00000155,MCH-013,L03,2025-08-02 13:04:00,2025-08-02 13:28:05,DOWN,SENSOR_FAULT,OP-0006,WO-000021,SCADA
EVT-00000156,MCH-013,L03,2025-08-02 16:13:03,2025-08-02 16:19:11,IDLE,NO_DEMAND,OP-0006,WO-000021,SCADA
EVT-00000157,MCH-013,L03,2025-08-02 16:21:00,2025-08-02 17:33:46,SETUP,TOOL_CHANGE,OP-0017,WO-000022,SCADA
EVT-00000158,MCH-013,L03,2025-08-02 17:33:46,2025-08-02 19:51:10,RUNNING,NORMAL,OP-0017,WO-000022,SCADA
EVT-00000159,MCH-013,L03,2025-08-02 21:57:00,2025-08-02 22:28:26,DOWN,SENSOR_FAULT,OP-0017,WO-000022,SCADA
EVT-00000160,MCH-013,L03,2025-08-02 19:51:10,2025-08-02 20:19:40,IDLE,NO_DEMAND,OP-0017,WO-000022,SCADA
EVT-00000161,MCH-015,L03,2025-08-02 16:21:00,2025-08-02 17:33:46,SETUP,TOOL_CHANGE,OP-0018,WO-000022,SCADA
EVT-00000162,MCH-015,L03,2025-08-02 17:33:46,2025-08-02 23:26:20,RUNNING,NORMAL,OP-0018,WO-000022,SCADA
EVT-00000163,MCH-015,L03,2025-08-02 20:47:00,2025-08-02 21:18:26,DOWN,JAM,OP-0018,WO-000022,SCADA
EVT-00000164,MCH-015,L03,2025-08-02 23:26:20,2025-08-02 23:54:50,IDLE,NO_DEMAND,OP-0018,WO-000022,SCADA
EVT-00000165,MCH-016,L03,2025-08-02 04:25:00,2025-08-02 05:18:25,SETUP,TOOL_CHANGE,OP-0066,WO-000023,SCADA
EVT-00000166,MCH-016,L03,2025-08-02 05:18:25,2025-08-02 08:10:17,RUNNING,NORMAL,OP-0066,WO-000023,SCADA
EVT-00000167,MCH-016,L03,2025-08-02 07:31:00,2025-08-02 08:04:59,DOWN,MICRO_STOP,OP-0066,WO-000023,SCADA
EVT-00000168,MCH-016,L03,2025-08-02 08:10:17,2025-08-02 08:25:33,IDLE,NO_DEMAND,OP-0066,WO-000023,SCADA
EVT-00000169,MCH-013,L03,2025-08-02 04:25:00,2025-08-02 05:18:25,SETUP,TOOL_CHANGE,OP-0015,WO-000023,SCADA
EVT-00000170,MCH-013,L03,2025-08-02 05:18:25,2025-08-02 11:50:34,RUNNING,NORMAL,OP-0015,WO-000023,SCADA
EVT-00000171,MCH-013,L03,2025-08-02 08:08:00,2025-08-02 08:41:59,DOWN,,OP-0015,WO-000023,SCADA
EVT-00000172,MCH-013,L03,2025-08-02 11:50:34,2025-08-02 12:05:50,IDLE,NO_DEMAND,OP-0015,WO-000023,SCADA
EVT-00000173,MCH-023,L04,2025-08-02 15:59:00,2025-08-02 16:38:14,SETUP,TOOL_CHANGE,OP-0017,WO-000024,SCADA
EVT-00000174,MCH-023,L04,2025-08-02 16:38:14,2025-08-02 19:30:24,RUNNING,NORMAL,OP-0017,WO-000024,SCADA
EVT-00000175,MCH-023,L04,2025-08-02 18:24:00,2025-08-02 18:59:28,DOWN,UNKNOWN,OP-0017,WO-000024,SCADA
EVT-00000176,MCH-023,L04,2025-08-02 19:30:24,2025-08-02 19:50:01,IDLE,NO_DEMAND,OP-0017,WO-000024,SCADA
EVT-00000177,MCH-019,L04,2025-08-02 15:59:00,2025-08-02 16:38:14,SETUP,TOOL_CHANGE,OP-0063,WO-000024,SCADA
EVT-00000178,MCH-019,L04,2025-08-02 16:38:14,2025-08-02 23:03:48,RUNNING,NORMAL,OP-0063,WO-000024,SCADA
EVT-00000179,MCH-019,L04,2025-08-02 18:51:00,2025-08-02 19:26:28,DOWN,MICRO_STOP,OP-0063,WO-000024,SCADA
EVT-00000180,MCH-019,L04,2025-08-02 23:03:48,2025-08-02 23:23:26,IDLE,NO_DEMAND,OP-0063,WO-000024,SCADA
EVT-00000181,MCH-028,L05,2025-08-02 11:45:00,2025-08-02 12:57:54,SETUP,TOOL_CHANGE,OP-0063,WO-000025,SCADA
EVT-00000182,MCH-028,L05,2025-08-02 12:57:54,2025-08-02 15:25:15,RUNNING,NORMAL,OP-0063,WO-000025,SCADA
EVT-00000183,MCH-028,L05,2025-08-02 15:25:15,2025-08-02 15:35:12,IDLE,NO_DEMAND,OP-0063,WO-000025,SCADA
EVT-00000184,MCH-029,L05,2025-08-02 11:45:00,2025-08-02 12:57:54,SETUP,TOOL_CHANGE,OP-0039,WO-000025,SCADA
EVT-00000185,MCH-029,L05,2025-08-02 12:57:54,2025-08-02 19:06:31,RUNNING,NORMAL,OP-0039,WO-000025,SCADA
EVT-00000186,MCH-029,L05,2025-08-02 19:06:31,2025-08-02 19:16:28,IDLE,NO_DEMAND,OP-0039,WO-000025,SCADA
EVT-00000187,MCH-027,L05,2025-08-02 16:42:00,2025-08-02 17:37:47,SETUP,TOOL_CHANGE,OP-0004,WO-000026,SCADA
EVT-00000188,MCH-027,L05,2025-08-02 17:37:47,2025-08-02 19:56:21,RUNNING,NORMAL,OP-0004,WO-000026,SCADA
EVT-00000189,MCH-027,L05,2025-08-02 19:14:00,2025-08-02 19:30:44,DOWN,,OP-0004,WO-000026,SCADA
