table_name,business_key,issue_type,severity,description
machine_state_event,EVT-00000007,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000021,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00000107,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000117,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000121,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000125,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000133,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000140,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000151,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000171,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000189,missing_reason_code,medium,Downtime reason code missing from SCADA event.
work_order,WO-000032,mixed_datetime_format,medium,Actual start datetime uses dd/mm/YYYY format.
machine_state_event,EVT-00000241,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000068,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00000283,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000311,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000353,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000449,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000461,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000491,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000531,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000551,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000558,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000561,missing_reason_code,medium,Downtime reason code missing from SCADA event.
work_order,WO-000080,mixed_datetime_format,medium,Actual start datetime uses dd/mm/YYYY format.
machine_state_event,EVT-00000605,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000645,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000657,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000665,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000683,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000687,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000694,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000192,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00000717,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000198,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00000725,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000201,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00000737,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000213,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00000829,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000859,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000863,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000867,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000895,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000917,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000254,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00000955,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000967,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000982,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000988,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00000995,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001031,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001056,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001079,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001102,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000303,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00001105,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000305,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00001131,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001211,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001229,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001237,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001245,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001248,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001277,missing_reason_code,medium,Downtime reason code missing from SCADA event.
work_order,WO-000177,mixed_datetime_format,medium,Actual start datetime uses dd/mm/YYYY format.
machine_state_event,EVT-00001351,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001359,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000377,missing_operator_id,low,Operator login missing from MES run record.
production_run,RUN-000379,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00001407,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001419,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001431,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001497,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001501,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001505,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001535,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001565,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001645,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001649,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001669,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001711,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001727,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000481,missing_operator_id,low,Operator login missing from MES run record.
production_run,RUN-000482,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00001783,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000498,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00001823,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000508,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00001899,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001903,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001907,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001910,missing_reason_code,medium,Downtime reason code missing from SCADA event.
work_order,WO-000263,mixed_datetime_format,medium,Actual start datetime uses dd/mm/YYYY format.
machine_state_event,EVT-00001921,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001935,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001951,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001991,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00001999,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002007,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002011,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002027,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000558,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00002053,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002069,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002087,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002153,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002165,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002215,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002253,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002257,missing_reason_code,medium,Downtime reason code missing from SCADA event.
work_order,WO-000310,mixed_datetime_format,medium,Actual start datetime uses dd/mm/YYYY format.
machine_state_event,EVT-00002287,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002323,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000645,missing_operator_id,low,Operator login missing from MES run record.
production_run,RUN-000659,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00002433,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002445,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000670,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00002460,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002469,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002473,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000688,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00002514,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000692,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00002535,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002543,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002547,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002603,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002610,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002616,missing_reason_code,medium,Downtime reason code missing from SCADA event.
work_order,WO-000368,mixed_datetime_format,medium,Actual start datetime uses dd/mm/YYYY format.
machine_state_event,EVT-00002689,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000757,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00002781,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000762,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00002825,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002845,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002887,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00002899,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000795,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00002997,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003015,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003021,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003071,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003099,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000848,missing_operator_id,low,Operator login missing from MES run record.
production_run,RUN-000854,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00003133,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000856,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00003169,missing_reason_code,medium,Downtime reason code missing from SCADA event.
work_order,WO-000436,invalid_negative_quantity,high,Actual quantity is negative in raw MES export.
machine_state_event,EVT-00003195,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003211,missing_reason_code,medium,Downtime reason code missing from SCADA event.
work_order,WO-000440,mixed_datetime_format,medium,Actual start datetime uses dd/mm/YYYY format.
machine_state_event,EVT-00003239,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003317,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003361,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003391,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003395,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003417,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003424,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003439,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000954,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00003552,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-000969,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00003609,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003617,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003639,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003643,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003677,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003681,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003704,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003725,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003737,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003741,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003797,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003815,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003839,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001053,missing_operator_id,low,Operator login missing from MES run record.
production_run,RUN-001060,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00003927,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003938,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003965,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00003993,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001086,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00004021,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004074,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004097,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004101,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004105,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004109,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004129,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004161,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004169,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001133,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00004207,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004259,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001158,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00004273,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004289,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001183,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00004349,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004365,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004371,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004387,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004427,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004439,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004493,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004497,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004501,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004522,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001235,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00004531,missing_reason_code,medium,Downtime reason code missing from SCADA event.
work_order,WO-000620,mixed_datetime_format,medium,Actual start datetime uses dd/mm/YYYY format.
machine_state_event,EVT-00004569,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004587,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004651,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004677,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001278,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00004689,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004701,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004751,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001314,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00004841,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004849,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004877,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004897,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004901,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004923,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004963,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004970,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00004999,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001370,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00005069,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005155,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001413,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00005185,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005217,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005281,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001456,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00005335,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005355,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001465,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00005377,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005381,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005409,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005413,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005435,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005477,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005484,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005493,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001504,missing_operator_id,low,Operator login missing from MES run record.
production_run,RUN-001512,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00005560,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001523,missing_operator_id,low,Operator login missing from MES run record.
production_run,RUN-001530,missing_operator_id,low,Operator login missing from MES run record.
production_run,RUN-001536,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00005624,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001542,missing_operator_id,low,Operator login missing from MES run record.
production_run,RUN-001553,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00005675,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005679,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005695,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005702,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005739,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001573,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00005821,missing_reason_code,medium,Downtime reason code missing from SCADA event.
work_order,WO-000801,mixed_datetime_format,medium,Actual start datetime uses dd/mm/YYYY format.
machine_state_event,EVT-00005845,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005852,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001615,missing_operator_id,low,Operator login missing from MES run record.
production_run,RUN-001623,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00005961,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005989,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00005997,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001647,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00006033,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006047,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006053,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006067,missing_reason_code,medium,Downtime reason code missing from SCADA event.
work_order,WO-000843,mixed_datetime_format,medium,Actual start datetime uses dd/mm/YYYY format.
machine_state_event,EVT-00006155,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006163,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006205,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001710,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00006249,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006259,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006263,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006271,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006283,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006287,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006290,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006305,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006313,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006333,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006378,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006400,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006419,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006435,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006439,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006449,missing_reason_code,medium,Downtime reason code missing from SCADA event.
production_run,RUN-001777,missing_operator_id,low,Operator login missing from MES run record.
machine_state_event,EVT-00006487,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006495,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006507,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006543,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006585,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006599,missing_reason_code,medium,Downtime reason code missing from SCADA event.
machine_state_event,EVT-00006623,missing_reason_code,medium,Downtime reason code missing from SCADA event.
