shipment_id,sales_order_id,order_line_id,customer_id,product_id,ship_date,promised_delivery_date,shipped_quantity,carrier,distance_km,late_delivery_flag,delay_days,root_cause,source_system
SHP-000019,SO-000019,SOL-000019-01,CUST-0082,PRD-079,2026-04-01,2026-03-26,1683,FedEx,2535,1,6,logistics,TMS
SHP-000020,SO-000020,SOL-000020-01,CUST-0089,PRD-064,2026-05-20,2026-05-15,14940,FedEx,8932,1,5,production_delay,TMS
SHP-000021,SO-000021,SOL-000021-01,CUST-0026,PRD-005,2025-11-12,2025-11-12,2720,OceanForwarder,2564,0,0,on_time,TMS
SHP-000022,SO-000022,SOL-000022-01,CUST-0047,PRD-011,2026-03-19,2026-03-12,1672,OceanForwarder,7161,1,7,production_delay,TMS
SHP-000023,SO-000023,SOL-000023-01,CUST-0108,PRD-042,2026-05-01,2026-04-24,3454,LocalTruck,7352,1,7,production_delay,TMS
SHP-000024,SO-000024,SOL-000024-01,CUST-0025,PRD-026,2026-06-01,2026-05-23,2040,Kerry,504,1,9,logistics,TMS
SHP-000025,SO-000025,SOL-000025-01,CUST-0077,PRD-059,2025-10-09,2025-10-12,1522,DHL,2448,0,0,on_time,TMS
SHP-000026,SO-000026,SOL-000026-01,CUST-0114,PRD-080,2025-10-19,2025-10-13,3084,OceanForwarder,2038,1,6,quality_hold,TMS
SHP-000027,SO-000027,SOL-000027-01,CUST-0037,PRD-001,2025-12-24,2025-12-24,6891,OceanForwarder,4461,0,0,on_time,TMS
SHP-000028,SO-000028,SOL-000028-01,CUST-0074,PRD-003,2026-04-26,2026-04-20,5960,OceanForwarder,5847,1,6,logistics,TMS
SHP-000029,SO-000029,SOL-000029-01,CUST-0096,PRD-041,2025-10-17,2025-10-14,1076,Kerry,5065,1,3,material_shortage,TMS
SHP-000031,SO-000031,SOL-000031-01,CUST-0053,PRD-047,2026-03-27,2026-03-23,4660,FedEx,103,1,4,production_delay,TMS
SHP-000032,SO-000032,SOL-000032-01,CUST-0041,PRD-020,2025-12-18,2025-12-19,4209,OceanForwarder,6366,0,0,on_time,TMS
SHP-000034,SO-000034,SOL-000034-01,CUST-0022,PRD-057,2025-09-20,2025-09-17,1723,FedEx,5085,1,3,production_delay,TMS
SHP-000035,SO-000035,SOL-000035-01,CUST-0049,PRD-073,2026-02-22,2026-02-21,7141,LocalTruck,5326,1,1,logistics,TMS
SHP-000036,SO-000036,SOL-000036-01,CUST-0034,PRD-055,2025-11-04,2025-11-01,5909,Kerry,4194,1,3,logistics,TMS
SHP-000037,SO-000037,SOL-000037-01,CUST-0061,PRD-035,2026-05-13,2026-05-10,3645,DHL,5789,1,3,logistics,TMS
SHP-000038,SO-000038,SOL-000038-01,CUST-0062,PRD-071,2026-06-12,2026-06-09,6208,DHL,8712,1,3,production_delay,TMS
SHP-000039,SO-000039,SOL-000039-01,CUST-0003,PRD-041,2025-12-20,2025-12-18,2299,LocalTruck,7793,1,2,production_delay,TMS
SHP-000040,SO-000040,SOL-000040-01,CUST-0074,PRD-023,2026-06-28,2026-06-26,7388,DHL,8546,1,2,production_delay,TMS
SHP-000041,SO-000041,SOL-000041-01,CUST-0065,PRD-060,2026-04-27,2026-04-24,3346,Kerry,303,1,3,quality_hold,TMS
SHP-000042,SO-000042,SOL-000042-01,CUST-0001,PRD-039,2026-04-19,2026-04-19,1788,LocalTruck,7533,0,0,on_time,TMS
SHP-000043,SO-000043,SOL-000043-01,CUST-0039,PRD-014,2026-02-28,2026-02-19,3742,Kerry,278,1,9,production_delay,TMS
SHP-000044,SO-000044,SOL-000044-01,CUST-0070,PRD-066,2026-05-03,2026-05-03,2237,DHL,9075,0,0,on_time,TMS
SHP-000045,SO-000045,SOL-000045-01,CUST-0020,PRD-032,2026-02-07,2026-02-02,2399,FedEx,3999,1,5,production_delay,TMS
SHP-000046,SO-000046,SOL-000046-01,CUST-0032,PRD-080,2026-01-21,2026-01-14,2050,LocalTruck,4597,1,7,material_shortage,TMS
SHP-000047,SO-000047,SOL-000047-01,CUST-0039,PRD-073,2026-04-01,2026-04-02,11647,LocalTruck,9059,0,0,on_time,TMS
SHP-000048,SO-000048,SOL-000048-01,CUST-0086,PRD-010,2026-01-02,2026-01-02,4132,DHL,7576,0,0,on_time,TMS
SHP-000049,SO-000049,SOL-000049-01,CUST-0034,PRD-068,2025-11-08,2025-11-06,1817,FedEx,387,1,2,production_delay,TMS
SHP-000050,SO-000050,SOL-000050-01,CUST-0082,PRD-016,2026-02-10,2026-02-06,2267,DHL,7260,1,4,material_shortage,TMS
SHP-000051,SO-000051,SOL-000051-01,CUST-0011,PRD-056,2025-08-22,2025-08-19,1597,Kerry,407,1,3,quality_hold,TMS
SHP-000052,SO-000052,SOL-000052-01,CUST-0045,PRD-003,2025-11-12,2025-11-11,3225,FedEx,5085,1,1,logistics,TMS
SHP-000053,SO-000053,SOL-000053-01,CUST-0062,PRD-027,2026-04-18,2026-04-16,2905,DHL,8817,1,2,production_delay,TMS
SHP-000054,SO-000054,SOL-000054-01,CUST-0061,PRD-023,2026-03-24,2026-03-17,1285,LocalTruck,5693,1,7,production_delay,TMS
SHP-000055,SO-000055,SOL-000055-01,CUST-0111,PRD-044,2025-11-20,2025-11-17,4330,DHL,1571,1,3,production_delay,TMS
SHP-000056,SO-000056,SOL-000056-01,CUST-0072,PRD-063,2026-06-05,2026-05-31,1136,LocalTruck,6785,1,5,quality_hold,TMS
SHP-000057,SO-000057,SOL-000057-01,CUST-0028,PRD-006,2025-12-02,2025-12-04,2493,LocalTruck,4613,0,0,on_time,TMS
SHP-000058,SO-000058,SOL-000058-01,CUST-0069,PRD-032,2026-05-06,2026-05-03,7731,Kerry,4086,1,3,production_delay,TMS
SHP-000059,SO-000059,SOL-000059-01,CUST-0018,PRD-076,2026-01-11,2026-01-07,2362,LocalTruck,4472,1,4,production_delay,TMS
SHP-000060,SO-000060,SOL-000060-01,CUST-0043,PRD-024,2026-06-17,2026-06-18,1522,LocalTruck,44,0,0,on_time,TMS
SHP-000061,SO-000061,SOL-000061-01,CUST-0031,PRD-021,2026-04-14,2026-04-12,4205,DHL,8717,1,2,production_delay,TMS
SHP-000062,SO-000062,SOL-000062-01,CUST-0090,PRD-004,2026-03-23,2026-03-22,1214,FedEx,886,1,1,logistics,TMS
SHP-000063,SO-000063,SOL-000063-01,CUST-0116,PRD-070,2025-08-29,2025-08-24,2831,Kerry,6096,1,5,logistics,TMS
SHP-000064,SO-000064,SOL-000064-01,CUST-0071,PRD-062,2025-11-24,2025-11-18,1477,DHL,1938,1,6,logistics,TMS
SHP-000065,SO-000065,SOL-000065-01,CUST-0002,PRD-001,2025-11-03,2025-10-27,2629,OceanForwarder,4769,1,7,production_delay,TMS
SHP-000066,SO-000066,SOL-000066-01,CUST-0110,PRD-018,2026-02-01,2026-01-27,5547,FedEx,3051,1,5,production_delay,TMS
SHP-000067,SO-000067,SOL-000067-01,CUST-0046,PRD-053,2026-02-09,2026-02-05,6478,LocalTruck,7662,1,4,production_delay,TMS
SHP-000068,SO-000068,SOL-000068-01,CUST-0060,PRD-051,2025-11-24,2025-11-19,14095,Kerry,5065,1,5,production_delay,TMS
SHP-000069,SO-000069,SOL-000069-01,CUST-0024,PRD-018,2025-10-31,2025-10-25,1532,LocalTruck,8842,1,6,quality_hold,TMS
SHP-000070,SO-000070,SOL-000070-01,CUST-0017,PRD-044,2025-09-09,2025-09-04,7470,LocalTruck,627,1,5,quality_hold,TMS
SHP-000071,SO-000071,SOL-000071-01,CUST-0028,PRD-010,2025-08-25,2025-08-25,2335,FedEx,7174,0,0,on_time,TMS
SHP-000072,SO-000072,SOL-000072-01,CUST-0046,PRD-006,2026-01-14,2026-01-12,1624,LocalTruck,3132,1,2,production_delay,TMS
SHP-000073,SO-000073,SOL-000073-01,CUST-0002,PRD-001,2026-02-25,2026-02-20,2046,DHL,1161,1,5,quality_hold,TMS
SHP-000075,SO-000075,SOL-000075-01,CUST-0039,PRD-044,2026-03-16,2026-03-14,1068,DHL,3811,1,2,logistics,TMS
SHP-000076,SO-000076,SOL-000076-01,CUST-0111,PRD-001,2025-11-09,2025-11-03,2373,FedEx,7954,1,6,production_delay,TMS
SHP-000077,SO-000077,SOL-000077-01,CUST-0042,PRD-078,2026-04-23,2026-04-22,4468,OceanForwarder,2931,1,1,production_delay,TMS
SHP-000078,SO-000078,SOL-000078-01,CUST-0058,PRD-003,2026-02-22,2026-02-17,3025,OceanForwarder,6211,1,5,production_delay,TMS
SHP-000079,SO-000079,SOL-000079-01,CUST-0026,PRD-061,2026-04-03,2026-03-26,5869,FedEx,4953,1,8,logistics,TMS
SHP-000080,SO-000080,SOL-000080-01,CUST-0018,PRD-027,2025-10-16,2025-10-11,2321,OceanForwarder,6227,1,5,material_shortage,TMS
SHP-000081,SO-000081,SOL-000081-01,CUST-0055,PRD-015,2025-12-27,2025-12-28,8444,Kerry,7708,0,0,on_time,TMS
SHP-000082,SO-000082,SOL-000082-01,CUST-0095,PRD-031,2026-06-28,2026-06-25,21455,LocalTruck,3029,1,3,production_delay,TMS
SHP-000083,SO-000083,SOL-000083-01,CUST-0038,PRD-041,2026-02-09,2026-02-03,1870,DHL,8001,1,6,logistics,TMS
SHP-000084,SO-000084,SOL-000084-01,CUST-0050,PRD-035,2026-07-07,2026-07-02,4584,LocalTruck,8042,1,5,material_shortage,TMS
SHP-000085,SO-000085,SOL-000085-01,CUST-0070,PRD-015,2026-04-20,2026-04-19,4257,Kerry,5015,1,1,production_delay,TMS
SHP-000086,SO-000086,SOL-000086-01,CUST-0096,PRD-030,2026-03-07,2026-02-28,2628,FedEx,5537,1,7,quality_hold,TMS
SHP-000087,SO-000087,SOL-000087-01,CUST-0073,PRD-059,2026-05-27,2026-05-21,4931,OceanForwarder,6799,1,6,quality_hold,TMS
SHP-000088,SO-000088,SOL-000088-01,CUST-0027,PRD-020,2026-01-08,2026-01-02,3299,DHL,7821,1,6,production_delay,TMS
SHP-000089,SO-000089,SOL-000089-01,CUST-0081,PRD-067,2025-11-21,2025-11-15,1100,Kerry,7491,1,6,production_delay,TMS
SHP-000090,SO-000090,SOL-000090-01,CUST-0106,PRD-033,2026-05-02,2026-05-01,5198,OceanForwarder,4644,1,1,production_delay,TMS
SHP-000091,SO-000091,SOL-000091-01,CUST-0118,PRD-036,2025-12-07,2025-11-30,2813,Kerry,6212,1,7,logistics,TMS
SHP-000092,SO-000092,SOL-000092-01,CUST-0107,PRD-049,2026-06-19,2026-06-13,7779,DHL,2206,1,6,production_delay,TMS
SHP-000093,SO-000093,SOL-000093-01,CUST-0041,PRD-053,2026-03-29,2026-03-24,1950,DHL,5516,1,5,production_delay,TMS
SHP-000094,SO-000094,SOL-000094-01,CUST-0098,PRD-045,2026-03-10,2026-03-05,6153,FedEx,4322,1,5,quality_hold,TMS
SHP-000095,SO-000095,SOL-000095-01,CUST-0089,PRD-002,2026-01-10,2025-12-31,5259,OceanForwarder,7505,1,10,production_delay,TMS
SHP-000096,SO-000096,SOL-000096-01,CUST-0009,PRD-051,2025-12-01,2025-12-03,1496,Kerry,5642,0,0,on_time,TMS
SHP-000097,SO-000097,SOL-000097-01,CUST-0001,PRD-068,2026-06-04,2026-05-31,2732,DHL,551,1,4,quality_hold,TMS
SHP-000098,SO-000098,SOL-000098-01,CUST-0047,PRD-010,2026-01-13,2026-01-07,1670,LocalTruck,6588,1,6,production_delay,TMS
SHP-000099,SO-000099,SOL-000099-01,CUST-0076,PRD-047,2026-05-13,2026-05-14,2168,DHL,6084,0,0,on_time,TMS
SHP-000100,SO-000100,SOL-000100-01,CUST-0043,PRD-027,2026-07-04,2026-06-23,3177,FedEx,6931,1,11,production_delay,TMS
SHP-000101,SO-000101,SOL-000101-01,CUST-0067,PRD-070,2026-07-10,2026-07-12,2795,DHL,7842,0,0,on_time,TMS
SHP-000102,SO-000102,SOL-000102-01,CUST-0039,PRD-003,2025-11-21,2025-11-18,6981,DHL,7695,1,3,production_delay,TMS
SHP-000103,SO-000103,SOL-000103-01,CUST-0092,PRD-024,2026-02-17,2026-02-16,11595,DHL,8109,1,1,quality_hold,TMS
SHP-000104,SO-000104,SOL-000104-01,CUST-0048,PRD-019,2026-02-14,2026-02-13,6997,OceanForwarder,6947,1,1,logistics,TMS
SHP-000105,SO-000105,SOL-000105-01,CUST-0080,PRD-005,2026-03-13,2026-03-13,1676,FedEx,1602,0,0,on_time,TMS
SHP-000106,SO-000106,SOL-000106-01,CUST-0108,PRD-061,2026-07-22,2026-07-14,3765,LocalTruck,5207,1,8,logistics,TMS
SHP-000107,SO-000107,SOL-000107-01,CUST-0073,PRD-068,2026-03-10,2026-03-02,3437,LocalTruck,3893,1,8,production_delay,TMS
SHP-000108,SO-000108,SOL-000108-01,CUST-0103,PRD-032,2026-03-10,2026-03-06,4222,LocalTruck,8642,1,4,production_delay,TMS
SHP-000109,SO-000109,SOL-000109-01,CUST-0021,PRD-019,2026-04-17,2026-04-18,5800,DHL,7682,0,0,on_time,TMS
SHP-000110,SO-000110,SOL-000110-01,CUST-0026,PRD-055,2025-12-07,2025-12-03,1619,Kerry,3489,1,4,production_delay,TMS
SHP-000111,SO-000111,SOL-000111-01,CUST-0098,PRD-074,2025-09-11,2025-09-09,1087,Kerry,818,1,2,logistics,TMS
SHP-000112,SO-000112,SOL-000112-01,CUST-0025,PRD-061,2026-04-15,2026-04-08,795,FedEx,4227,1,7,production_delay,TMS
SHP-000113,SO-000113,SOL-000113-01,CUST-0097,PRD-071,2025-12-10,2025-12-08,4504,Kerry,6881,1,2,logistics,TMS
SHP-000114,SO-000114,SOL-000114-01,CUST-0041,PRD-018,2026-05-20,2026-05-16,2968,Kerry,6126,1,4,production_delay,TMS
SHP-000115,SO-000115,SOL-000115-01,CUST-0045,PRD-042,2026-04-15,2026-04-15,4309,LocalTruck,3711,0,0,on_time,TMS
SHP-000116,SO-000116,SOL-000116-01,CUST-0073,PRD-033,2026-01-29,2026-01-27,3744,FedEx,1350,1,2,production_delay,TMS
SHP-000117,SO-000117,SOL-000117-01,CUST-0036,PRD-080,2026-07-16,2026-07-11,7210,FedEx,5534,1,5,production_delay,TMS
SHP-000119,SO-000119,SOL-000119-01,CUST-0024,PRD-042,2026-02-17,2026-02-16,1432,DHL,8068,1,1,logistics,TMS
SHP-000120,SO-000120,SOL-000120-01,CUST-0009,PRD-023,2025-12-15,2025-12-07,5348,OceanForwarder,969,1,8,logistics,TMS
SHP-000121,SO-000121,SOL-000121-01,CUST-0024,PRD-047,2025-12-26,2025-12-26,5335,FedEx,6347,0,0,on_time,TMS
SHP-000122,SO-000122,SOL-000122-01,CUST-0085,PRD-036,2025-12-26,2025-12-20,2788,Kerry,8744,1,6,production_delay,TMS
SHP-000123,SO-000123,SOL-000123-01,CUST-0030,PRD-050,2026-02-06,2026-02-06,2034,FedEx,1006,0,0,on_time,TMS
SHP-000124,SO-000124,SOL-000124-01,CUST-0067,PRD-062,2026-04-18,2026-04-09,8490,OceanForwarder,5259,1,9,production_delay,TMS
SHP-000125,SO-000125,SOL-000125-01,CUST-0005,PRD-074,2026-05-20,2026-05-17,3215,DHL,5103,1,3,material_shortage,TMS
SHP-000126,SO-000126,SOL-000126-01,CUST-0024,PRD-028,2025-09-23,2025-09-20,3297,OceanForwarder,2901,1,3,production_delay,TMS
SHP-000127,SO-000127,SOL-000127-01,CUST-0011,PRD-070,2025-11-04,2025-11-05,2632,DHL,1098,0,0,on_time,TMS
SHP-000128,SO-000128,SOL-000128-01,CUST-0031,PRD-052,2026-04-13,2026-04-08,3812,FedEx,7946,1,5,material_shortage,TMS
SHP-000129,SO-000129,SOL-000129-01,CUST-0021,PRD-047,2026-03-01,2026-02-28,3654,OceanForwarder,6203,1,1,logistics,TMS
SHP-000130,SO-000130,SOL-000130-01,CUST-0080,PRD-002,2025-12-09,2025-12-02,2416,OceanForwarder,261,1,7,quality_hold,TMS
SHP-000131,SO-000131,SOL-000131-01,CUST-0012,PRD-015,2025-09-10,2025-09-09,1461,FedEx,6157,1,1,logistics,TMS
SHP-000132,SO-000132,SOL-000132-01,CUST-0078,PRD-069,2025-11-16,2025-11-13,4051,Kerry,8291,1,3,material_shortage,TMS
SHP-000134,SO-000134,SOL-000134-01,CUST-0100,PRD-059,2025-11-03,2025-10-28,1403,Kerry,540,1,6,production_delay,TMS
SHP-000136,SO-000136,SOL-000136-01,CUST-0024,PRD-028,2026-04-09,2026-04-04,2704,LocalTruck,6670,1,5,material_shortage,TMS
SHP-000137,SO-000137,SOL-000137-01,CUST-0070,PRD-005,2026-05-01,2026-04-25,7935,FedEx,5548,1,6,quality_hold,TMS
SHP-000138,SO-000138,SOL-000138-01,CUST-0066,PRD-066,2025-09-13,2025-09-08,1964,FedEx,4224,1,5,logistics,TMS
SHP-000139,SO-000139,SOL-000139-01,CUST-0106,PRD-022,2026-03-07,2026-02-27,8044,FedEx,3265,1,8,logistics,TMS
SHP-000140,SO-000140,SOL-000140-01,CUST-0104,PRD-045,2025-11-27,2025-11-27,2346,FedEx,6051,0,0,on_time,TMS
SHP-000141,SO-000141,SOL-000141-01,CUST-0108,PRD-042,2025-11-28,2025-11-28,4112,Kerry,38,0,0,on_time,TMS
SHP-000142,SO-000142,SOL-000142-01,CUST-0109,PRD-044,2026-05-12,2026-05-14,1521,Kerry,5508,0,0,on_time,TMS
SHP-000143,SO-000143,SOL-000143-01,CUST-0096,PRD-062,2026-01-17,2026-01-07,3657,Kerry,1634,1,10,material_shortage,TMS
SHP-000144,SO-000144,SOL-000144-01,CUST-0118,PRD-064,2026-01-19,2026-01-21,1671,OceanForwarder,7933,0,0,on_time,TMS
SHP-000145,SO-000145,SOL-000145-01,CUST-0072,PRD-072,2026-06-19,2026-06-15,6821,FedEx,1383,1,4,production_delay,TMS
SHP-000146,SO-000146,SOL-000146-01,CUST-0102,PRD-076,2025-12-16,2025-12-15,8970,Kerry,1686,1,1,production_delay,TMS
SHP-000147,SO-000147,SOL-000147-01,CUST-0067,PRD-005,2026-05-23,2026-05-21,6469,LocalTruck,5987,1,2,production_delay,TMS
SHP-000149,SO-000149,SOL-000149-01,CUST-0036,PRD-016,2026-02-25,2026-02-17,5357,OceanForwarder,6129,1,8,material_shortage,TMS
SHP-000151,SO-000151,SOL-000151-01,CUST-0067,PRD-048,2025-11-07,2025-11-02,7891,DHL,1582,1,5,quality_hold,TMS
SHP-000152,SO-000152,SOL-000152-01,CUST-0032,PRD-070,2026-06-20,2026-06-21,2336,OceanForwarder,3949,0,0,on_time,TMS
SHP-000153,SO-000153,SOL-000153-01,CUST-0033,PRD-060,2025-12-27,2025-12-20,4719,OceanForwarder,8016,1,7,production_delay,TMS
SHP-000154,SO-000154,SOL-000154-01,CUST-0071,PRD-032,2026-02-10,2026-02-07,4601,DHL,6038,1,3,material_shortage,TMS
SHP-000155,SO-000155,SOL-000155-01,CUST-0017,PRD-001,2026-04-22,2026-04-17,2654,Kerry,1167,1,5,quality_hold,TMS
SHP-000156,SO-000156,SOL-000156-01,CUST-0050,PRD-075,2026-06-16,2026-06-13,1340,LocalTruck,3311,1,3,logistics,TMS
SHP-000157,SO-000157,SOL-000157-01,CUST-0077,PRD-069,2025-11-25,2025-11-24,3349,Kerry,3592,1,1,logistics,TMS
SHP-000158,SO-000158,SOL-000158-01,CUST-0119,PRD-076,2026-05-15,2026-05-14,1288,DHL,5376,1,1,production_delay,TMS
SHP-000160,SO-000160,SOL-000160-01,CUST-0091,PRD-076,2026-07-01,2026-06-25,3385,OceanForwarder,416,1,6,quality_hold,TMS
SHP-000161,SO-000161,SOL-000161-01,CUST-0044,PRD-051,2026-05-20,2026-05-15,7124,LocalTruck,5293,1,5,quality_hold,TMS
SHP-000162,SO-000162,SOL-000162-01,CUST-0042,PRD-060,2026-07-11,2026-07-08,2169,LocalTruck,5321,1,3,logistics,TMS
SHP-000163,SO-000163,SOL-000163-01,CUST-0102,PRD-006,2026-06-18,2026-06-16,5819,OceanForwarder,968,1,2,quality_hold,TMS
SHP-000164,SO-000164,SOL-000164-01,CUST-0044,PRD-053,2025-11-26,2025-11-22,7019,LocalTruck,6068,1,4,logistics,TMS
SHP-000166,SO-000166,SOL-000166-01,CUST-0030,PRD-075,2026-04-10,2026-04-03,3297,FedEx,4209,1,7,quality_hold,TMS
SHP-000167,SO-000167,SOL-000167-01,CUST-0090,PRD-031,2026-05-30,2026-05-28,6017,FedEx,1405,1,2,logistics,TMS
SHP-000168,SO-000168,SOL-000168-01,CUST-0097,PRD-043,2026-02-13,2026-02-08,3120,OceanForwarder,4648,1,5,production_delay,TMS
SHP-000169,SO-000169,SOL-000169-01,CUST-0077,PRD-020,2026-07-15,2026-07-11,7420,DHL,505,1,4,production_delay,TMS
SHP-000170,SO-000170,SOL-000170-01,CUST-0053,PRD-015,2026-01-14,2026-01-11,3253,DHL,7312,1,3,logistics,TMS
SHP-000171,SO-000171,SOL-000171-01,CUST-0022,PRD-072,2026-06-10,2026-06-04,6872,LocalTruck,7511,1,6,production_delay,TMS
SHP-000172,SO-000172,SOL-000172-01,CUST-0108,PRD-047,2026-01-28,2026-01-29,4808,OceanForwarder,4556,0,0,on_time,TMS
SHP-000173,SO-000173,SOL-000173-01,CUST-0067,PRD-048,2025-12-19,2025-12-12,7259,FedEx,4229,1,7,quality_hold,TMS
SHP-000174,SO-000174,SOL-000174-01,CUST-0010,PRD-003,2026-04-28,2026-04-30,3164,LocalTruck,1442,0,0,on_time,TMS
SHP-000175,SO-000175,SOL-000175-01,CUST-0012,PRD-014,2026-02-22,2026-02-16,1485,LocalTruck,4152,1,6,production_delay,TMS
SHP-000176,SO-000176,SOL-000176-01,CUST-0074,PRD-028,2026-02-24,2026-02-17,2646,LocalTruck,2909,1,7,production_delay,TMS
SHP-000177,SO-000177,SOL-000177-01,CUST-0097,PRD-078,2025-12-21,2025-12-21,4582,Kerry,1454,0,0,on_time,TMS
SHP-000178,SO-000178,SOL-000178-01,CUST-0082,PRD-066,2026-01-19,2026-01-11,28210,OceanForwarder,5011,1,8,logistics,TMS
SHP-000179,SO-000179,SOL-000179-01,CUST-0025,PRD-068,2026-01-28,2026-01-21,6651,FedEx,934,1,7,production_delay,TMS
SHP-000180,SO-000180,SOL-000180-01,CUST-0078,PRD-015,2025-10-11,2025-10-13,4584,OceanForwarder,7228,0,0,on_time,TMS
SHP-000181,SO-000181,SOL-000181-01,CUST-0016,PRD-046,2025-09-26,2025-09-25,6450,FedEx,6133,1,1,material_shortage,TMS
SHP-000182,SO-000182,SOL-000182-01,CUST-0088,PRD-069,2025-10-30,2025-10-26,2498,FedEx,4122,1,4,material_shortage,TMS
SHP-000183,SO-000183,SOL-000183-01,CUST-0014,PRD-068,2026-03-25,2026-03-24,9769,OceanForwarder,4152,1,1,production_delay,TMS
SHP-000184,SO-000184,SOL-000184-01,CUST-0071,PRD-029,2026-07-06,2026-06-26,1039,DHL,1058,1,10,logistics,TMS
SHP-000185,SO-000185,SOL-000185-01,CUST-0120,PRD-007,2025-08-13,2025-08-15,3403,OceanForwarder,4672,0,0,on_time,TMS
SHP-000186,SO-000186,SOL-000186-01,CUST-0048,PRD-016,2025-10-05,2025-09-30,5715,OceanForwarder,1307,1,5,logistics,TMS
SHP-000187,SO-000187,SOL-000187-01,CUST-0033,PRD-036,2026-05-29,2026-05-27,2531,LocalTruck,7362,1,2,logistics,TMS
SHP-000188,SO-000188,SOL-000188-01,CUST-0054,PRD-042,2026-05-17,2026-05-15,8787,LocalTruck,5887,1,2,production_delay,TMS
SHP-000189,SO-000189,SOL-000189-01,CUST-0035,PRD-023,2025-12-02,2025-12-03,4407,LocalTruck,6972,0,0,on_time,TMS
SHP-000190,SO-000190,SOL-000190-01,CUST-0045,PRD-040,2025-12-07,2025-12-04,2100,OceanForwarder,6631,1,3,production_delay,TMS
SHP-000191,SO-000191,SOL-000191-01,CUST-0055,PRD-062,2025-10-24,2025-10-25,3942,DHL,7656,0,0,on_time,TMS
SHP-000192,SO-000192,SOL-000192-01,CUST-0088,PRD-044,2026-05-11,2026-05-02,859,OceanForwarder,6027,1,9,material_shortage,TMS
SHP-000193,SO-000193,SOL-000193-01,CUST-0088,PRD-006,2026-05-13,2026-05-16,2755,DHL,3835,0,0,on_time,TMS
SHP-000194,SO-000194,SOL-000194-01,CUST-0037,PRD-026,2026-07-08,2026-07-03,2197,LocalTruck,4863,1,5,logistics,TMS
SHP-000196,SO-000196,SOL-000196-01,CUST-0024,PRD-045,2026-05-08,2026-05-04,4213,OceanForwarder,3792,1,4,production_delay,TMS
SHP-000197,SO-000197,SOL-000197-01,CUST-0118,PRD-002,2025-10-12,2025-10-08,1578,FedEx,3358,1,4,production_delay,TMS
SHP-000198,SO-000198,SOL-000198-01,CUST-0084,PRD-035,2026-07-11,2026-07-11,4406,DHL,2103,0,0,on_time,TMS
SHP-000199,SO-000199,SOL-000199-01,CUST-0035,PRD-026,2026-06-08,2026-06-06,4587,DHL,3072,1,2,logistics,TMS
SHP-000200,SO-000200,SOL-000200-01,CUST-0105,PRD-003,2025-12-05,2025-11-30,5446,FedEx,5683,1,5,logistics,TMS
