date,year,month,month_name,week_of_year,day_of_week,is_weekend,is_holiday,fiscal_year
2025-10-21,2025,10,Oct,42,Tuesday,0,0,2026
2025-10-22,2025,10,Oct,42,Wednesday,0,0,2026
2025-10-23,2025,10,Oct,42,Thursday,0,0,2026
2025-10-24,2025,10,Oct,42,Friday,0,0,2026
2025-10-25,2025,10,Oct,42,Saturday,1,0,2026
2025-10-26,2025,10,Oct,43,Sunday,1,0,2026
2025-10-27,2025,10,Oct,43,Monday,0,0,2026
2025-10-28,2025,10,Oct,43,Tuesday,0,0,2026
2025-10-29,2025,10,Oct,43,Wednesday,0,0,2026
2025-10-30,2025,10,Oct,43,Thursday,0,0,2026
2025-10-31,2025,10,Oct,43,Friday,0,0,2026
2025-11-01,2025,11,Nov,43,Saturday,1,0,2026
2025-11-02,2025,11,Nov,44,Sunday,1,0,2026
2025-11-03,2025,11,Nov,44,Monday,0,0,2026
2025-11-04,2025,11,Nov,44,Tuesday,0,0,2026
2025-11-05,2025,11,Nov,44,Wednesday,0,0,2026
2025-11-06,2025,11,Nov,44,Thursday,0,0,2026
2025-11-07,2025,11,Nov,44,Friday,0,0,2026
2025-11-08,2025,11,Nov,44,Saturday,1,0,2026
2025-11-09,2025,11,Nov,45,Sunday,1,0,2026
2025-11-10,2025,11,Nov,45,Monday,0,0,2026
2025-11-11,2025,11,Nov,45,Tuesday,0,0,2026
2025-11-12,2025,11,Nov,45,Wednesday,0,0,2026
2025-11-13,2025,11,Nov,45,Thursday,0,0,2026
2025-11-14,2025,11,Nov,45,Friday,0,0,2026
2025-11-15,2025,11,Nov,45,Saturday,1,0,2026
2025-11-16,2025,11,Nov,46,Sunday,1,0,2026
2025-11-17,2025,11,Nov,46,Monday,0,0,2026
2025-11-18,2025,11,Nov,46,Tuesday,0,0,2026
2025-11-19,2025,11,Nov,46,Wednesday,0,0,2026
2025-11-20,2025,11,Nov,46,Thursday,0,0,2026
2025-11-21,2025,11,Nov,46,Friday,0,0,2026
2025-11-22,2025,11,Nov,46,Saturday,1,0,2026
2025-11-23,2025,11,Nov,47,Sunday,1,0,2026
2025-11-24,2025,11,Nov,47,Monday,0,0,2026
2025-11-25,2025,11,Nov,47,Tuesday,0,0,2026
2025-11-26,2025,11,Nov,47,Wednesday,0,0,2026
2025-11-27,2025,11,Nov,47,Thursday,0,0,2026
2025-11-28,2025,11,Nov,47,Friday,0,0,2026
2025-11-29,2025,11,Nov,47,Saturday,1,0,2026
2025-11-30,2025,11,Nov,48,Sunday,1,0,2026
2025-12-01,2025,12,Dec,48,Monday,0,0,2026
2025-12-02,2025,12,Dec,48,Tuesday,0,0,2026
2025-12-03,2025,12,Dec,48,Wednesday,0,0,2026
2025-12-04,2025,12,Dec,48,Thursday,0,0,2026
2025-12-05,2025,12,Dec,48,Friday,0,0,2026
2025-12-06,2025,12,Dec,48,Saturday,1,0,2026
2025-12-07,2025,12,Dec,49,Sunday,1,0,2026
2025-12-08,2025,12,Dec,49,Monday,0,0,2026
2025-12-09,2025,12,Dec,49,Tuesday,0,0,2026
2025-12-10,2025,12,Dec,49,Wednesday,0,0,2026
2025-12-11,2025,12,Dec,49,Thursday,0,0,2026
2025-12-12,2025,12,Dec,49,Friday,0,0,2026
2025-12-13,2025,12,Dec,49,Saturday,1,0,2026
2025-12-14,2025,12,Dec,50,Sunday,1,0,2026
2025-12-15,2025,12,Dec,50,Monday,0,0,2026
2025-12-16,2025,12,Dec,50,Tuesday,0,0,2026
2025-12-17,2025,12,Dec,50,Wednesday,0,0,2026
2025-12-18,2025,12,Dec,50,Thursday,0,0,2026
2025-12-19,2025,12,Dec,50,Friday,0,0,2026
2025-12-20,2025,12,Dec,50,Saturday,1,0,2026
2025-12-21,2025,12,Dec,51,Sunday,1,0,2026
2025-12-22,2025,12,Dec,51,Monday,0,0,2026
2025-12-23,2025,12,Dec,51,Tuesday,0,0,2026
2025-12-24,2025,12,Dec,51,Wednesday,0,0,2026
2025-12-25,2025,12,Dec,51,Thursday,0,0,2026
2025-12-26,2025,12,Dec,51,Friday,0,0,2026
2025-12-27,2025,12,Dec,51,Saturday,1,1,2026
2025-12-28,2025,12,Dec,52,Sunday,1,0,2026
2025-12-29,2025,12,Dec,52,Monday,0,0,2026
2025-12-30,2025,12,Dec,52,Tuesday,0,0,2026
2025-12-31,2025,12,Dec,52,Wednesday,0,0,2026
2026-01-01,2026,1,Jan,0,Thursday,0,0,2026
2026-01-02,2026,1,Jan,0,Friday,0,0,2026
2026-01-03,2026,1,Jan,0,Saturday,1,0,2026
2026-01-04,2026,1,Jan,1,Sunday,1,0,2026
2026-01-05,2026,1,Jan,1,Monday,0,0,2026
2026-01-06,2026,1,Jan,1,Tuesday,0,0,2026
2026-01-07,2026,1,Jan,1,Wednesday,0,0,2026
2026-01-08,2026,1,Jan,1,Thursday,0,0,2026
2026-01-09,2026,1,Jan,1,Friday,0,0,2026
2026-01-10,2026,1,Jan,1,Saturday,1,0,2026
2026-01-11,2026,1,Jan,2,Sunday,1,0,2026
2026-01-12,2026,1,Jan,2,Monday,0,0,2026
2026-01-13,2026,1,Jan,2,Tuesday,0,0,2026
2026-01-14,2026,1,Jan,2,Wednesday,0,0,2026
2026-01-15,2026,1,Jan,2,Thursday,0,0,2026
2026-01-16,2026,1,Jan,2,Friday,0,0,2026
2026-01-17,2026,1,Jan,2,Saturday,1,0,2026
2026-01-18,2026,1,Jan,3,Sunday,1,0,2026
2026-01-19,2026,1,Jan,3,Monday,0,0,2026
2026-01-20,2026,1,Jan,3,Tuesday,0,0,2026
2026-01-21,2026,1,Jan,3,Wednesday,0,0,2026
2026-01-22,2026,1,Jan,3,Thursday,0,0,2026
2026-01-23,2026,1,Jan,3,Friday,0,0,2026
2026-01-24,2026,1,Jan,3,Saturday,1,0,2026
2026-01-25,2026,1,Jan,4,Sunday,1,0,2026
2026-01-26,2026,1,Jan,4,Monday,0,1,2026
2026-01-27,2026,1,Jan,4,Tuesday,0,0,2026
2026-01-28,2026,1,Jan,4,Wednesday,0,0,2026
2026-01-29,2026,1,Jan,4,Thursday,0,0,2026
2026-01-30,2026,1,Jan,4,Friday,0,0,2026
2026-01-31,2026,1,Jan,4,Saturday,1,0,2026
2026-02-01,2026,2,Feb,5,Sunday,1,0,2026
2026-02-02,2026,2,Feb,5,Monday,0,0,2026
2026-02-03,2026,2,Feb,5,Tuesday,0,0,2026
2026-02-04,2026,2,Feb,5,Wednesday,0,0,2026
2026-02-05,2026,2,Feb,5,Thursday,0,0,2026
2026-02-06,2026,2,Feb,5,Friday,0,0,2026
2026-02-07,2026,2,Feb,5,Saturday,1,0,2026
2026-02-08,2026,2,Feb,6,Sunday,1,0,2026
2026-02-09,2026,2,Feb,6,Monday,0,0,2026
2026-02-10,2026,2,Feb,6,Tuesday,0,0,2026
2026-02-11,2026,2,Feb,6,Wednesday,0,0,2026
2026-02-12,2026,2,Feb,6,Thursday,0,0,2026
2026-02-13,2026,2,Feb,6,Friday,0,0,2026
2026-02-14,2026,2,Feb,6,Saturday,1,0,2026
2026-02-15,2026,2,Feb,7,Sunday,1,0,2026
2026-02-16,2026,2,Feb,7,Monday,0,0,2026
2026-02-17,2026,2,Feb,7,Tuesday,0,0,2026
2026-02-18,2026,2,Feb,7,Wednesday,0,0,2026
2026-02-19,2026,2,Feb,7,Thursday,0,0,2026
2026-02-20,2026,2,Feb,7,Friday,0,0,2026
2026-02-21,2026,2,Feb,7,Saturday,1,0,2026
2026-02-22,2026,2,Feb,8,Sunday,1,0,2026
2026-02-23,2026,2,Feb,8,Monday,0,1,2026
2026-02-24,2026,2,Feb,8,Tuesday,0,0,2026
2026-02-25,2026,2,Feb,8,Wednesday,0,0,2026
2026-02-26,2026,2,Feb,8,Thursday,0,0,2026
2026-02-27,2026,2,Feb,8,Friday,0,0,2026
2026-02-28,2026,2,Feb,8,Saturday,1,0,2026
2026-03-01,2026,3,Mar,9,Sunday,1,0,2026
2026-03-02,2026,3,Mar,9,Monday,0,0,2026
2026-03-03,2026,3,Mar,9,Tuesday,0,0,2026
2026-03-04,2026,3,Mar,9,Wednesday,0,0,2026
2026-03-05,2026,3,Mar,9,Thursday,0,0,2026
2026-03-06,2026,3,Mar,9,Friday,0,0,2026
2026-03-07,2026,3,Mar,9,Saturday,1,0,2026
2026-03-08,2026,3,Mar,10,Sunday,1,0,2026
2026-03-09,2026,3,Mar,10,Monday,0,0,2026
2026-03-10,2026,3,Mar,10,Tuesday,0,0,2026
2026-03-11,2026,3,Mar,10,Wednesday,0,0,2026
2026-03-12,2026,3,Mar,10,Thursday,0,0,2026
2026-03-13,2026,3,Mar,10,Friday,0,0,2026
2026-03-14,2026,3,Mar,10,Saturday,1,0,2026
2026-03-15,2026,3,Mar,11,Sunday,1,0,2026
2026-03-16,2026,3,Mar,11,Monday,0,0,2026
2026-03-17,2026,3,Mar,11,Tuesday,0,0,2026
2026-03-18,2026,3,Mar,11,Wednesday,0,0,2026
2026-03-19,2026,3,Mar,11,Thursday,0,0,2026
2026-03-20,2026,3,Mar,11,Friday,0,0,2026
2026-03-21,2026,3,Mar,11,Saturday,1,0,2026
2026-03-22,2026,3,Mar,12,Sunday,1,0,2026
2026-03-23,2026,3,Mar,12,Monday,0,0,2026
2026-03-24,2026,3,Mar,12,Tuesday,0,0,2026
2026-03-25,2026,3,Mar,12,Wednesday,0,0,2026
2026-03-26,2026,3,Mar,12,Thursday,0,0,2026
2026-03-27,2026,3,Mar,12,Friday,0,0,2026
2026-03-28,2026,3,Mar,12,Saturday,1,0,2026
2026-03-29,2026,3,Mar,13,Sunday,1,1,2026
2026-03-30,2026,3,Mar,13,Monday,0,0,2026
2026-03-31,2026,3,Mar,13,Tuesday,0,0,2026
2026-04-01,2026,4,Apr,13,Wednesday,0,0,2026
2026-04-02,2026,4,Apr,13,Thursday,0,0,2026
2026-04-03,2026,4,Apr,13,Friday,0,0,2026
2026-04-04,2026,4,Apr,13,Saturday,1,0,2026
2026-04-05,2026,4,Apr,14,Sunday,1,0,2026
2026-04-06,2026,4,Apr,14,Monday,0,0,2026
2026-04-07,2026,4,Apr,14,Tuesday,0,0,2026
2026-04-08,2026,4,Apr,14,Wednesday,0,0,2026
2026-04-09,2026,4,Apr,14,Thursday,0,0,2026
2026-04-10,2026,4,Apr,14,Friday,0,0,2026
2026-04-11,2026,4,Apr,14,Saturday,1,0,2026
2026-04-12,2026,4,Apr,15,Sunday,1,0,2026
2026-04-13,2026,4,Apr,15,Monday,0,0,2026
2026-04-14,2026,4,Apr,15,Tuesday,0,0,2026
2026-04-15,2026,4,Apr,15,Wednesday,0,0,2026
2026-04-16,2026,4,Apr,15,Thursday,0,0,2026
2026-04-17,2026,4,Apr,15,Friday,0,0,2026
2026-04-18,2026,4,Apr,15,Saturday,1,0,2026
2026-04-19,2026,4,Apr,16,Sunday,1,0,2026
2026-04-20,2026,4,Apr,16,Monday,0,0,2026
2026-04-21,2026,4,Apr,16,Tuesday,0,0,2026
2026-04-22,2026,4,Apr,16,Wednesday,0,0,2026
2026-04-23,2026,4,Apr,16,Thursday,0,0,2026
2026-04-24,2026,4,Apr,16,Friday,0,0,2026
2026-04-25,2026,4,Apr,16,Saturday,1,0,2026
2026-04-26,2026,4,Apr,17,Sunday,1,0,2026
2026-04-27,2026,4,Apr,17,Monday,0,1,2026
2026-04-28,2026,4,Apr,17,Tuesday,0,0,2026
2026-04-29,2026,4,Apr,17,Wednesday,0,0,2026
2026-04-30,2026,4,Apr,17,Thursday,0,0,2026
2026-05-01,2026,5,May,17,Friday,0,0,2026
2026-05-02,2026,5,May,17,Saturday,1,0,2026
2026-05-03,2026,5,May,18,Sunday,1,0,2026
2026-05-04,2026,5,May,18,Monday,0,0,2026
2026-05-05,2026,5,May,18,Tuesday,0,0,2026
2026-05-06,2026,5,May,18,Wednesday,0,0,2026
2026-05-07,2026,5,May,18,Thursday,0,0,2026
2026-05-08,2026,5,May,18,Friday,0,1,2026
2026-05-09,2026,5,May,18,Saturday,1,0,2026
2026-05-10,2026,5,May,19,Sunday,1,0,2026
2026-05-11,2026,5,May,19,Monday,0,0,2026
2026-05-12,2026,5,May,19,Tuesday,0,0,2026
2026-05-13,2026,5,May,19,Wednesday,0,0,2026
2026-05-14,2026,5,May,19,Thursday,0,0,2026
2026-05-15,2026,5,May,19,Friday,0,0,2026
2026-05-16,2026,5,May,19,Saturday,1,0,2026
2026-05-17,2026,5,May,20,Sunday,1,0,2026
2026-05-18,2026,5,May,20,Monday,0,1,2026
2026-05-19,2026,5,May,20,Tuesday,0,0,2026
2026-05-20,2026,5,May,20,Wednesday,0,0,2026
2026-05-21,2026,5,May,20,Thursday,0,0,2026
2026-05-22,2026,5,May,20,Friday,0,0,2026
2026-05-23,2026,5,May,20,Saturday,1,1,2026
2026-05-24,2026,5,May,21,Sunday,1,0,2026
2026-05-25,2026,5,May,21,Monday,0,0,2026
2026-05-26,2026,5,May,21,Tuesday,0,0,2026
2026-05-27,2026,5,May,21,Wednesday,0,0,2026
2026-05-28,2026,5,May,21,Thursday,0,0,2026
2026-05-29,2026,5,May,21,Friday,0,0,2026
2026-05-30,2026,5,May,21,Saturday,1,0,2026
2026-05-31,2026,5,May,22,Sunday,1,0,2026
2026-06-01,2026,6,Jun,22,Monday,0,0,2026
2026-06-02,2026,6,Jun,22,Tuesday,0,0,2026
2026-06-03,2026,6,Jun,22,Wednesday,0,0,2026
2026-06-04,2026,6,Jun,22,Thursday,0,0,2026
2026-06-05,2026,6,Jun,22,Friday,0,0,2026
2026-06-06,2026,6,Jun,22,Saturday,1,0,2026
2026-06-07,2026,6,Jun,23,Sunday,1,0,2026
2026-06-08,2026,6,Jun,23,Monday,0,0,2026
2026-06-09,2026,6,Jun,23,Tuesday,0,0,2026
2026-06-10,2026,6,Jun,23,Wednesday,0,0,2026
2026-06-11,2026,6,Jun,23,Thursday,0,0,2026
2026-06-12,2026,6,Jun,23,Friday,0,0,2026
2026-06-13,2026,6,Jun,23,Saturday,1,0,2026
2026-06-14,2026,6,Jun,24,Sunday,1,0,2026
2026-06-15,2026,6,Jun,24,Monday,0,0,2026
2026-06-16,2026,6,Jun,24,Tuesday,0,0,2026
2026-06-17,2026,6,Jun,24,Wednesday,0,0,2026
2026-06-18,2026,6,Jun,24,Thursday,0,0,2026
2026-06-19,2026,6,Jun,24,Friday,0,0,2026
2026-06-20,2026,6,Jun,24,Saturday,1,0,2026
2026-06-21,2026,6,Jun,25,Sunday,1,0,2026
2026-06-22,2026,6,Jun,25,Monday,0,0,2026
2026-06-23,2026,6,Jun,25,Tuesday,0,0,2026
2026-06-24,2026,6,Jun,25,Wednesday,0,0,2026
2026-06-25,2026,6,Jun,25,Thursday,0,0,2026
2026-06-26,2026,6,Jun,25,Friday,0,0,2026
2026-06-27,2026,6,Jun,25,Saturday,1,0,2026
2026-06-28,2026,6,Jun,26,Sunday,1,0,2026
2026-06-29,2026,6,Jun,26,Monday,0,0,2026
2026-06-30,2026,6,Jun,26,Tuesday,0,0,2026
2026-07-01,2026,7,Jul,26,Wednesday,0,0,2026
2026-07-02,2026,7,Jul,26,Thursday,0,0,2026
2026-07-03,2026,7,Jul,26,Friday,0,0,2026
2026-07-04,2026,7,Jul,26,Saturday,1,0,2026
2026-07-05,2026,7,Jul,27,Sunday,1,0,2026
2026-07-06,2026,7,Jul,27,Monday,0,0,2026
2026-07-07,2026,7,Jul,27,Tuesday,0,0,2026
2026-07-08,2026,7,Jul,27,Wednesday,0,0,2026
2026-07-09,2026,7,Jul,27,Thursday,0,0,2026
2026-07-10,2026,7,Jul,27,Friday,0,0,2026
2026-07-11,2026,7,Jul,27,Saturday,1,0,2026
2026-07-12,2026,7,Jul,28,Sunday,1,0,2026
2026-07-13,2026,7,Jul,28,Monday,0,0,2026
2026-07-14,2026,7,Jul,28,Tuesday,0,0,2026
2026-07-15,2026,7,Jul,28,Wednesday,0,0,2026
2026-07-16,2026,7,Jul,28,Thursday,0,0,2026
2026-07-17,2026,7,Jul,28,Friday,0,0,2026
2026-07-18,2026,7,Jul,28,Saturday,1,0,2026
2026-07-19,2026,7,Jul,29,Sunday,1,0,2026
2026-07-20,2026,7,Jul,29,Monday,0,0,2026
2026-07-21,2026,7,Jul,29,Tuesday,0,1,2026
2026-07-22,2026,7,Jul,29,Wednesday,0,0,2026
2026-07-23,2026,7,Jul,29,Thursday,0,0,2026
2026-07-24,2026,7,Jul,29,Friday,0,0,2026
2026-07-25,2026,7,Jul,29,Saturday,1,0,2026
2026-07-26,2026,7,Jul,30,Sunday,1,0,2026
2026-07-27,2026,7,Jul,30,Monday,0,0,2026
2026-07-28,2026,7,Jul,30,Tuesday,0,0,2026
2026-07-29,2026,7,Jul,30,Wednesday,0,0,2026
2026-07-30,2026,7,Jul,30,Thursday,0,0,2026
2026-07-31,2026,7,Jul,30,Friday,0,0,2026
