product_id,product_name,product_family,complexity_score,standard_cycle_seconds,standard_scrap_rate,standard_energy_kwh_per_unit,primary_supplier_id,material_id,standard_unit_cost,list_price,launch_date,active_flag
PRD-056,Industrial Switch 056,industrial_switch,4.3,42.4,0.0315,0.0983,SUP-010,MAT-001,250.4,383.88,2022-05-20,1
PRD-057,Sensor Module 057,sensor_module,5.6,36.5,0.0267,0.1197,SUP-004,MAT-026,363.6,518.72,2024-01-15,1
PRD-058,Sensor Module 058,sensor_module,8.8,48.06,0.0381,0.1543,SUP-013,MAT-005,302.35,420.73,2024-10-08,1
PRD-059,Control Board 059,control_board,5.9,51.35,0.0311,0.1246,SUP-004,MAT-026,220.15,298.12,2025-06-01,1
PRD-060,Connector 060,connector,6.7,31.67,0.0401,0.1404,SUP-003,MAT-030,367.47,489.72,2023-07-02,1
PRD-061,Industrial Switch 061,industrial_switch,4.8,16.2,0.0303,0.1033,SUP-017,MAT-027,340.36,440.15,2024-07-25,1
PRD-062,Sensor Module 062,sensor_module,6.8,61.86,0.0292,0.1473,SUP-013,MAT-030,41.04,54.47,2023-09-14,1
PRD-063,Industrial Switch 063,industrial_switch,5.7,42.42,0.027,0.1363,SUP-016,MAT-010,518.97,756.4,2024-02-28,1
PRD-064,Power Unit 064,power_unit,4.9,21.65,0.0299,0.0927,SUP-002,MAT-030,62.26,113.8,2022-06-02,0
PRD-065,Connector 065,connector,7.8,59.13,0.0423,0.1365,SUP-006,MAT-008,621.35,1051.69,2024-02-23,1
PRD-066,Metal Housing 066,metal_housing,7.6,47.88,0.029,0.1262,SUP-004,MAT-035,70.34,106.61,2023-02-02,1
PRD-067,Sensor Module 067,sensor_module,4.5,33.45,0.0197,0.0972,SUP-001,MAT-018,29.43,45.67,2024-01-05,1
PRD-068,Connector 068,connector,2.3,28.98,0.0244,0.0922,SUP-001,MAT-014,223.52,278.01,2023-07-08,1
PRD-069,Sensor Module 069,sensor_module,10,47.77,0.0436,0.1614,SUP-004,MAT-002,614.21,973.68,2023-02-19,1
PRD-070,Industrial Switch 070,industrial_switch,3.9,33.6,0.026,0.1107,SUP-007,MAT-014,327.53,568.49,2023-12-22,1
PRD-071,Connector 071,connector,6.2,60.19,0.0343,0.1341,SUP-003,MAT-019,40.8,54.13,2022-04-24,1
PRD-072,Metal Housing 072,metal_housing,4.1,28.79,0.0185,0.0911,SUP-003,MAT-027,396.63,608.9,2024-01-06,1
PRD-073,Connector 073,connector,3.4,39.99,0.0228,0.1098,SUP-007,MAT-022,456.17,708.96,2023-03-02,1
PRD-074,Sensor Module 074,sensor_module,6.4,30.98,0.034,0.1153,SUP-015,MAT-001,240.93,332.1,2024-09-07,1
PRD-075,Industrial Switch 075,industrial_switch,6.8,37.74,0.032,0.124,SUP-011,MAT-013,374.01,665.38,2025-05-28,1
PRD-076,Metal Housing 076,metal_housing,9.2,42.22,0.0457,0.1646,SUP-010,MAT-033,287.77,523.9,2022-06-27,1
PRD-077,Control Board 077,control_board,1.7,27.27,0.012,0.0856,SUP-009,MAT-032,187.16,223.58,2022-12-31,1
PRD-078,Connector 078,connector,4.6,49.13,0.0254,0.1221,SUP-003,MAT-018,339.84,574.44,2025-03-26,1
PRD-079,Connector 079,connector,3.3,28.18,0.0184,0.0954,SUP-013,MAT-017,194.27,346.4,2024-06-18,1
PRD-080,Metal Housing 080,metal_housing,5.2,35.19,0.0303,0.0957,SUP-016,MAT-037,514.85,662.18,2023-09-28,0
