case_id,run_id,operator_fairness_group,true_high_defect_risk,model_score_unmitigated,model_score_mitigated,prediction_threshold,human_review_required
FAIR-000025,RUN-010415,G2_mid,1,0.779,0.779,0.5,1
FAIR-000026,RUN-006572,G3_junior,0,0.4478,0.3278,0.5,0
FAIR-000027,RUN-010366,G3_junior,1,0.7178,0.5978,0.5,1
FAIR-000028,RUN-006080,G3_junior,0,0.2681,0.1481,0.5,0
FAIR-000029,RUN-005666,G3_junior,1,0.9819,0.8619,0.5,1
FAIR-000030,RUN-009042,G3_junior,0,0.3254,0.2054,0.5,0
FAIR-000031,RUN-006531,G1_senior,0,0.2866,0.3266,0.5,0
FAIR-000032,RUN-011327,G2_mid,1,0.7907,0.7907,0.5,1
FAIR-000033,RUN-003864,G3_junior,1,1,1,0.5,1
FAIR-000034,RUN-009471,G3_junior,0,0.4724,0.3524,0.5,0
FAIR-000035,RUN-002174,G1_senior,0,0.3384,0.3784,0.5,0
FAIR-000036,RUN-007504,G3_junior,1,0.8163,0.6963,0.5,1
FAIR-000037,RUN-002309,G2_mid,0,0.0027,0.0027,0.5,0
FAIR-000038,RUN-007400,G2_mid,0,0.0059,0.0059,0.5,0
FAIR-000039,RUN-010774,G3_junior,0,0.3382,0.2182,0.5,0
FAIR-000040,RUN-007920,G2_mid,0,0.2198,0.2198,0.5,0
FAIR-000041,RUN-006540,G1_senior,0,0.1554,0.1954,0.5,0
FAIR-000042,RUN-001189,G3_junior,1,0.961,0.841,0.5,1
FAIR-000043,RUN-005646,G2_mid,1,0.5574,0.5574,0.5,0
FAIR-000044,RUN-003307,G2_mid,0,0.1954,0.1954,0.5,0
FAIR-000045,RUN-003664,G3_junior,0,0.302,0.182,0.5,0
FAIR-000046,RUN-000638,G3_junior,1,0.6651,0.5451,0.5,1
FAIR-000047,RUN-003835,G3_junior,1,0.7138,0.5938,0.5,1
FAIR-000048,RUN-001496,G3_junior,1,0.6402,0.5202,0.5,0
FAIR-000049,RUN-006446,G1_senior,1,0.6489,0.6889,0.5,0
FAIR-000050,RUN-000814,G3_junior,0,0.4764,0.3564,0.5,0
FAIR-000051,RUN-000668,G3_junior,1,0.6455,0.5255,0.5,0
FAIR-000052,RUN-003651,G3_junior,1,0.5691,0.4491,0.5,0
FAIR-000053,RUN-000913,G3_junior,1,0.965,0.845,0.5,1
FAIR-000054,RUN-004951,G2_mid,0,0.226,0.226,0.5,0
FAIR-000055,RUN-010177,G3_junior,0,0.3619,0.2419,0.5,0
FAIR-000056,RUN-005768,G3_junior,0,0.5196,0.3996,0.5,0
FAIR-000057,RUN-010860,G3_junior,0,0.368,0.248,0.5,0
FAIR-000058,RUN-002933,G3_junior,0,0.1863,0.0663,0.5,0
FAIR-000059,RUN-003415,G2_mid,0,0.2786,0.2786,0.5,0
FAIR-000060,RUN-000905,G1_senior,1,0.5378,0.5778,0.5,0
FAIR-000061,RUN-006040,G3_junior,0,0.291,0.171,0.5,0
FAIR-000062,RUN-010787,G1_senior,0,0.2083,0.2483,0.5,0
FAIR-000063,RUN-002060,G2_mid,0,0.1541,0.1541,0.5,0
FAIR-000064,RUN-006405,G2_mid,0,0.1784,0.1784,0.5,0
FAIR-000065,RUN-003291,G2_mid,0,0.1474,0.1474,0.5,0
FAIR-000066,RUN-008425,G2_mid,0,0.0928,0.0928,0.5,0
FAIR-000067,RUN-003223,G3_junior,1,0.8533,0.7333,0.5,1
FAIR-000068,RUN-005669,G3_junior,1,0.63,0.51,0.5,0
FAIR-000069,RUN-011236,G2_mid,1,0.6086,0.6086,0.5,0
FAIR-000070,RUN-003451,G1_senior,0,0.2531,0.2931,0.5,0
FAIR-000071,RUN-004919,G2_mid,0,0.0423,0.0423,0.5,0
FAIR-000072,RUN-002904,G1_senior,1,0.6496,0.6896,0.5,0
FAIR-000073,RUN-003815,G3_junior,0,0.3713,0.2513,0.5,0
FAIR-000074,RUN-004814,G3_junior,0,0.3794,0.2594,0.5,0
FAIR-000075,RUN-004907,G1_senior,0,0.0952,0.1352,0.5,0
FAIR-000076,RUN-011350,G3_junior,0,0.3825,0.2625,0.5,0
FAIR-000077,RUN-000177,G3_junior,0,0.423,0.303,0.5,0
FAIR-000078,RUN-004379,G2_mid,0,0.2304,0.2304,0.5,0
FAIR-000079,RUN-002203,G3_junior,1,0.9453,0.8253,0.5,1
FAIR-000080,RUN-009755,G3_junior,1,0.6689,0.5489,0.5,1
FAIR-000081,RUN-011391,G1_senior,1,0.5433,0.5833,0.5,0
FAIR-000082,RUN-000053,G2_mid,0,0.1421,0.1421,0.5,0
FAIR-000083,RUN-001994,G3_junior,0,0.2955,0.1755,0.5,0
FAIR-000084,RUN-000613,G3_junior,1,0.9711,0.8511,0.5,1
FAIR-000085,RUN-006759,G1_senior,0,0.456,0.496,0.5,0
FAIR-000086,RUN-004521,G3_junior,0,0.4015,0.2815,0.5,0
FAIR-000087,RUN-004107,G1_senior,1,0.6749,0.7149,0.5,1
FAIR-000088,RUN-010920,G3_junior,0,0.2935,0.1735,0.5,0
FAIR-000089,RUN-009263,G3_junior,1,0.8594,0.7394,0.5,1
FAIR-000090,RUN-010522,G1_senior,0,0.1584,0.1984,0.5,0
FAIR-000091,RUN-009137,G1_senior,0,0.2349,0.2749,0.5,0
FAIR-000092,RUN-000745,G3_junior,1,0.6676,0.5476,0.5,1
FAIR-000093,RUN-001113,G2_mid,0,0.15,0.15,0.5,0
FAIR-000094,RUN-009428,G3_junior,0,0.12,0,0.5,0
FAIR-000095,RUN-007479,G3_junior,1,0.3941,0.2741,0.5,0
FAIR-000096,RUN-010763,G1_senior,0,0.172,0.212,0.5,0
FAIR-000097,RUN-000221,G1_senior,0,0.3958,0.4358,0.5,0
FAIR-000098,RUN-005043,G3_junior,0,0.2635,0.1435,0.5,0
FAIR-000099,RUN-004060,G2_mid,0,0.2957,0.2957,0.5,0
FAIR-000100,RUN-008761,G1_senior,0,0.3551,0.3951,0.5,0
FAIR-000101,RUN-011044,G3_junior,0,0.3454,0.2254,0.5,0
FAIR-000102,RUN-006490,G2_mid,0,0.135,0.135,0.5,0
FAIR-000103,RUN-006943,G1_senior,0,0.1345,0.1745,0.5,0
FAIR-000104,RUN-006191,G3_junior,1,0.8867,0.7667,0.5,1
FAIR-000105,RUN-003603,G1_senior,1,0.8473,0.8873,0.5,1
FAIR-000106,RUN-000226,G1_senior,0,0.1431,0.1831,0.5,0
FAIR-000107,RUN-006352,G3_junior,1,1,0.9471,0.5,1
FAIR-000108,RUN-005054,G3_junior,0,0.1642,0.0442,0.5,0
FAIR-000109,RUN-011118,G0_unknown,0,0.1356,0.1356,0.5,0
FAIR-000110,RUN-001473,G3_junior,1,0.7195,0.5995,0.5,1
FAIR-000111,RUN-011155,G2_mid,0,0,0,0.5,0
FAIR-000112,RUN-009896,G2_mid,1,0.4451,0.4451,0.5,0
FAIR-000113,RUN-005440,G2_mid,1,0.6933,0.6933,0.5,1
FAIR-000114,RUN-001492,G3_junior,1,0.8775,0.7575,0.5,1
FAIR-000115,RUN-007957,G3_junior,1,0.6365,0.5165,0.5,0
FAIR-000116,RUN-003587,G2_mid,1,0.5685,0.5685,0.5,0
FAIR-000117,RUN-002476,G1_senior,0,0.1809,0.2209,0.5,0
FAIR-000118,RUN-008968,G1_senior,0,0.1099,0.1499,0.5,0
FAIR-000119,RUN-000931,G3_junior,0,0.4308,0.3108,0.5,0
FAIR-000120,RUN-003318,G3_junior,0,0.2914,0.1714,0.5,0
FAIR-000121,RUN-004370,G2_mid,1,0.6968,0.6968,0.5,1
FAIR-000122,RUN-003518,G0_unknown,1,0.4336,0.4336,0.5,0
FAIR-000123,RUN-000367,G3_junior,0,0.2892,0.1692,0.5,0
FAIR-000124,RUN-001395,G2_mid,1,0.7058,0.7058,0.5,1
FAIR-000125,RUN-005810,G2_mid,0,0.2718,0.2718,0.5,0
FAIR-000126,RUN-002421,G3_junior,0,0.3552,0.2352,0.5,0
FAIR-000127,RUN-001159,G3_junior,0,0.3581,0.2381,0.5,0
FAIR-000128,RUN-009525,G3_junior,1,0.7312,0.6112,0.5,1
FAIR-000129,RUN-011008,G3_junior,1,0.9193,0.7993,0.5,1
FAIR-000130,RUN-001821,G3_junior,0,0.3165,0.1965,0.5,0
FAIR-000131,RUN-010310,G3_junior,0,0.2801,0.1601,0.5,0
FAIR-000132,RUN-003382,G1_senior,0,0.2117,0.2517,0.5,0
FAIR-000133,RUN-004100,G3_junior,0,0.1935,0.0735,0.5,0
FAIR-000134,RUN-005244,G3_junior,1,0.6442,0.5242,0.5,0
FAIR-000135,RUN-008544,G2_mid,0,0.3018,0.3018,0.5,0
FAIR-000136,RUN-001499,G3_junior,0,0.4089,0.2889,0.5,0
FAIR-000137,RUN-007431,G2_mid,0,0.059,0.059,0.5,0
FAIR-000138,RUN-005795,G2_mid,0,0.1405,0.1405,0.5,0
FAIR-000139,RUN-002146,G3_junior,0,0.4262,0.3062,0.5,0
FAIR-000140,RUN-010653,G3_junior,1,0.5647,0.4447,0.5,0
FAIR-000141,RUN-009139,G2_mid,0,0.1833,0.1833,0.5,0
FAIR-000142,RUN-001097,G3_junior,1,0.9806,0.8606,0.5,1
FAIR-000143,RUN-006887,G3_junior,1,0.7406,0.6206,0.5,1
FAIR-000144,RUN-007091,G2_mid,1,0.6948,0.6948,0.5,1
FAIR-000145,RUN-006525,G2_mid,0,0,0,0.5,0
FAIR-000146,RUN-003374,G3_junior,0,0.12,0,0.5,0
FAIR-000147,RUN-010337,G2_mid,1,0.5522,0.5522,0.5,0
FAIR-000148,RUN-005156,G3_junior,0,0.12,0,0.5,0
FAIR-000149,RUN-000999,G2_mid,0,0.3458,0.3458,0.5,0
FAIR-000150,RUN-007932,G2_mid,0,0.2751,0.2751,0.5,0
FAIR-000151,RUN-011313,G3_junior,0,0.212,0.092,0.5,0
FAIR-000152,RUN-001763,G3_junior,0,0.4076,0.2876,0.5,0
FAIR-000153,RUN-000324,G3_junior,0,0.1871,0.0671,0.5,0
FAIR-000154,RUN-009934,G3_junior,0,0.3073,0.1873,0.5,0
FAIR-000155,RUN-005313,G2_mid,0,0,0,0.5,0
FAIR-000156,RUN-002166,G2_mid,0,0.0558,0.0558,0.5,0
FAIR-000157,RUN-005266,G3_junior,0,0.3875,0.2675,0.5,0
FAIR-000158,RUN-005220,G3_junior,1,0.7795,0.6595,0.5,1
FAIR-000159,RUN-002125,G3_junior,1,0.6504,0.5304,0.5,1
FAIR-000160,RUN-002455,G3_junior,1,0.7369,0.6169,0.5,1
FAIR-000161,RUN-007655,G3_junior,0,0.3342,0.2142,0.5,0
FAIR-000162,RUN-001964,G3_junior,0,0.4004,0.2804,0.5,0
FAIR-000163,RUN-007719,G3_junior,1,0.5865,0.4665,0.5,0
FAIR-000164,RUN-004448,G1_senior,1,0.6017,0.6417,0.5,0
FAIR-000165,RUN-008252,G3_junior,0,0.1753,0.0553,0.5,0
FAIR-000166,RUN-000416,G2_mid,1,0.7681,0.7681,0.5,1
FAIR-000167,RUN-005635,G3_junior,1,0.7161,0.5961,0.5,1
FAIR-000168,RUN-008954,G3_junior,1,0.7153,0.5953,0.5,1
FAIR-000169,RUN-000460,G3_junior,1,0.9144,0.7944,0.5,1
FAIR-000170,RUN-003388,G3_junior,0,0.4927,0.3727,0.5,0
FAIR-000171,RUN-009392,G3_junior,0,0.1259,0.0059,0.5,0
FAIR-000172,RUN-003362,G3_junior,0,0.3851,0.2651,0.5,0
FAIR-000173,RUN-003094,G2_mid,0,0,0,0.5,0
FAIR-000174,RUN-009878,G3_junior,1,0.7161,0.5961,0.5,1
FAIR-000175,RUN-001779,G3_junior,0,0.1967,0.0767,0.5,0
FAIR-000176,RUN-001005,G3_junior,1,0.6116,0.4916,0.5,0
FAIR-000177,RUN-004888,G2_mid,0,0.1729,0.1729,0.5,0
FAIR-000178,RUN-000295,G3_junior,1,0.7582,0.6382,0.5,1
FAIR-000179,RUN-002939,G3_junior,1,0.8958,0.7758,0.5,1
FAIR-000180,RUN-009567,G3_junior,1,0.5039,0.3839,0.5,0
FAIR-000181,RUN-008753,G3_junior,0,0.3568,0.2368,0.5,0
FAIR-000182,RUN-000323,G3_junior,1,0.4537,0.3337,0.5,0
FAIR-000183,RUN-005101,G2_mid,1,0.6669,0.6669,0.5,1
FAIR-000184,RUN-009245,G2_mid,1,0.6023,0.6023,0.5,0
FAIR-000185,RUN-005117,G3_junior,0,0.5402,0.4202,0.5,0
FAIR-000186,RUN-006582,G3_junior,1,0.6857,0.5657,0.5,1
FAIR-000187,RUN-010286,G3_junior,1,0.7365,0.6165,0.5,1
FAIR-000188,RUN-000874,G1_senior,0,0.1837,0.2237,0.5,0
FAIR-000189,RUN-004262,G1_senior,0,0.0466,0.0866,0.5,0
FAIR-000190,RUN-001268,G3_junior,1,0.9261,0.8061,0.5,1
FAIR-000191,RUN-006131,G1_senior,0,0.209,0.249,0.5,0
FAIR-000192,RUN-006049,G3_junior,1,0.8915,0.7715,0.5,1
FAIR-000193,RUN-009059,G3_junior,0,0.2439,0.1239,0.5,0
FAIR-000194,RUN-005528,G2_mid,0,0.3684,0.3684,0.5,0
FAIR-000195,RUN-004045,G1_senior,0,0.2805,0.3205,0.5,0
FAIR-000196,RUN-002706,G3_junior,0,0.1702,0.0502,0.5,0
FAIR-000197,RUN-006932,G3_junior,1,0.8176,0.6976,0.5,1
FAIR-000198,RUN-009954,G0_unknown,1,0.6969,0.6969,0.5,1
FAIR-000199,RUN-007138,G3_junior,0,0.5018,0.3818,0.5,0
FAIR-000200,RUN-011099,G3_junior,1,0.7961,0.6761,0.5,1
FAIR-000201,RUN-006370,G1_senior,0,0,0.0355,0.5,0
FAIR-000202,RUN-009920,G2_mid,1,0.6985,0.6985,0.5,1
FAIR-000203,RUN-006501,G1_senior,0,0.1381,0.1781,0.5,0
FAIR-000204,RUN-009982,G3_junior,1,0.6964,0.5764,0.5,1
FAIR-000205,RUN-010334,G2_mid,0,0,0,0.5,0
FAIR-000206,RUN-007551,G3_junior,0,0.12,0,0.5,0
FAIR-000207,RUN-011332,G3_junior,0,0.2568,0.1368,0.5,0
FAIR-000208,RUN-008031,G3_junior,0,0.283,0.163,0.5,0
FAIR-000209,RUN-001364,G3_junior,0,0.424,0.304,0.5,0
FAIR-000210,RUN-000089,G3_junior,1,0.8377,0.7177,0.5,1
FAIR-000211,RUN-003327,G2_mid,1,0.8284,0.8284,0.5,1
FAIR-000212,RUN-002469,G2_mid,0,0.1969,0.1969,0.5,0
FAIR-000213,RUN-002973,G3_junior,0,0.2668,0.1468,0.5,0
FAIR-000214,RUN-007225,G2_mid,1,0.5007,0.5007,0.5,0
FAIR-000215,RUN-004583,G1_senior,1,0.8048,0.8448,0.5,1
FAIR-000216,RUN-010659,G2_mid,0,0.0462,0.0462,0.5,0
FAIR-000217,RUN-011280,G3_junior,1,0.7244,0.6044,0.5,1
FAIR-000218,RUN-006592,G3_junior,0,0.3712,0.2512,0.5,0
FAIR-000219,RUN-010611,G1_senior,1,0.6328,0.6728,0.5,0
FAIR-000220,RUN-002709,G3_junior,1,1,0.9431,0.5,1
FAIR-000221,RUN-011113,G3_junior,1,0.8902,0.7702,0.5,1
FAIR-000222,RUN-009981,G3_junior,1,0.8427,0.7227,0.5,1
FAIR-000223,RUN-006466,G2_mid,0,0,0,0.5,0
FAIR-000224,RUN-004748,G1_senior,0,0.0584,0.0984,0.5,0
FAIR-000225,RUN-003921,G3_junior,0,0.3923,0.2723,0.5,0
FAIR-000226,RUN-001676,G2_mid,1,0.6058,0.6058,0.5,0
FAIR-000227,RUN-009722,G3_junior,1,0.7893,0.6693,0.5,1
FAIR-000228,RUN-001109,G3_junior,1,0.73,0.61,0.5,1
FAIR-000229,RUN-009926,G3_junior,0,0.4833,0.3633,0.5,0
FAIR-000230,RUN-010402,G3_junior,1,0.9449,0.8249,0.5,1
FAIR-000231,RUN-008590,G3_junior,1,1,0.8951,0.5,1
FAIR-000232,RUN-001915,G1_senior,0,0.0731,0.1131,0.5,0
FAIR-000233,RUN-008193,G3_junior,1,0.8317,0.7117,0.5,1
FAIR-000234,RUN-003653,G3_junior,1,0.6252,0.5052,0.5,0
FAIR-000235,RUN-004847,G3_junior,1,0.8305,0.7105,0.5,1
FAIR-000236,RUN-004349,G3_junior,0,0.3629,0.2429,0.5,0
FAIR-000237,RUN-001347,G1_senior,0,0.291,0.331,0.5,0
FAIR-000238,RUN-000016,G2_mid,0,0.1811,0.1811,0.5,0
FAIR-000239,RUN-008269,G3_junior,1,0.816,0.696,0.5,1
FAIR-000240,RUN-008999,G1_senior,0,0.2612,0.3012,0.5,0
FAIR-000241,RUN-000754,G3_junior,0,0.4654,0.3454,0.5,0
FAIR-000242,RUN-004824,G3_junior,0,0.3652,0.2452,0.5,0
FAIR-000243,RUN-004792,G2_mid,0,0.4648,0.4648,0.5,0
FAIR-000244,RUN-007277,G0_unknown,0,0.1487,0.1487,0.5,0
FAIR-000245,RUN-004664,G2_mid,1,0.6331,0.6331,0.5,0
FAIR-000246,RUN-004080,G3_junior,0,0.4362,0.3162,0.5,0
FAIR-000247,RUN-003253,G2_mid,1,0.6481,0.6481,0.5,0
FAIR-000248,RUN-007857,G3_junior,0,0.456,0.336,0.5,0
FAIR-000249,RUN-005860,G2_mid,1,0.9311,0.9311,0.5,1
FAIR-000250,RUN-009759,G3_junior,0,0.3413,0.2213,0.5,0
FAIR-000251,RUN-002239,G1_senior,0,0.0876,0.1276,0.5,0
FAIR-000252,RUN-004237,G3_junior,0,0.2504,0.1304,0.5,0
FAIR-000253,RUN-010316,G3_junior,0,0.1859,0.0659,0.5,0
FAIR-000254,RUN-007684,G3_junior,1,0.6199,0.4999,0.5,0
FAIR-000255,RUN-007941,G2_mid,0,0.4014,0.4014,0.5,0
FAIR-000256,RUN-005172,G3_junior,0,0.12,0,0.5,0
FAIR-000257,RUN-004459,G3_junior,0,0.3439,0.2239,0.5,0
FAIR-000258,RUN-010373,G3_junior,0,0.2897,0.1697,0.5,0
FAIR-000259,RUN-007708,G3_junior,0,0.2303,0.1103,0.5,0
FAIR-000260,RUN-010440,G2_mid,0,0.2479,0.2479,0.5,0
FAIR-000261,RUN-008644,G2_mid,1,0.6651,0.6651,0.5,1
FAIR-000262,RUN-011385,G3_junior,1,0.768,0.648,0.5,1
FAIR-000263,RUN-003372,G3_junior,0,0.2202,0.1002,0.5,0
FAIR-000264,RUN-001116,G2_mid,0,0.1651,0.1651,0.5,0
FAIR-000265,RUN-003185,G2_mid,0,0,0,0.5,0
FAIR-000266,RUN-003348,G3_junior,1,0.7185,0.5985,0.5,1
FAIR-000267,RUN-007669,G1_senior,0,0.1141,0.1541,0.5,0
FAIR-000268,RUN-008579,G3_junior,1,0.8905,0.7705,0.5,1
FAIR-000269,RUN-007359,G3_junior,1,0.8487,0.7287,0.5,1
FAIR-000270,RUN-001603,G1_senior,0,0.1069,0.1469,0.5,0
FAIR-000271,RUN-005118,G2_mid,0,0.1874,0.1874,0.5,0
FAIR-000272,RUN-011374,G2_mid,1,0.813,0.813,0.5,1
FAIR-000273,RUN-010010,G3_junior,1,0.7156,0.5956,0.5,1
FAIR-000274,RUN-000947,G1_senior,0,0.1433,0.1833,0.5,0
FAIR-000275,RUN-004166,G3_junior,1,0.8225,0.7025,0.5,1
FAIR-000276,RUN-007843,G3_junior,1,0.7461,0.6261,0.5,1
FAIR-000277,RUN-007666,G1_senior,0,0.0904,0.1304,0.5,0
FAIR-000278,RUN-005521,G3_junior,1,0.8042,0.6842,0.5,1
FAIR-000279,RUN-004052,G1_senior,0,0.0906,0.1306,0.5,0
FAIR-000280,RUN-002856,G3_junior,0,0.3123,0.1923,0.5,0
FAIR-000281,RUN-000064,G2_mid,0,0.1499,0.1499,0.5,0
FAIR-000282,RUN-003615,G1_senior,0,0,0,0.5,0
FAIR-000283,RUN-001079,G3_junior,0,0.3737,0.2537,0.5,0
FAIR-000284,RUN-008541,G3_junior,1,0.6907,0.5707,0.5,1
FAIR-000285,RUN-003237,G3_junior,0,0.5253,0.4053,0.5,0
FAIR-000286,RUN-000962,G3_junior,1,0.8842,0.7642,0.5,1
FAIR-000287,RUN-008097,G3_junior,0,0.2856,0.1656,0.5,0
FAIR-000288,RUN-005010,G3_junior,0,0.4363,0.3163,0.5,0
FAIR-000289,RUN-000985,G2_mid,0,0.4045,0.4045,0.5,0
FAIR-000290,RUN-000183,G2_mid,0,0,0,0.5,0
FAIR-000291,RUN-007547,G3_junior,0,0.3073,0.1873,0.5,0
FAIR-000292,RUN-006604,G3_junior,0,0.1531,0.0331,0.5,0
FAIR-000293,RUN-007809,G3_junior,1,0.7664,0.6464,0.5,1
FAIR-000294,RUN-009915,G3_junior,1,0.9048,0.7848,0.5,1
FAIR-000295,RUN-005623,G3_junior,1,0.9111,0.7911,0.5,1
FAIR-000296,RUN-008617,G1_senior,0,0.0695,0.1095,0.5,0
FAIR-000297,RUN-003347,G1_senior,1,0.3334,0.3734,0.5,0
FAIR-000298,RUN-006297,G3_junior,1,0.5567,0.4367,0.5,0
FAIR-000299,RUN-007117,G3_junior,0,0.3453,0.2253,0.5,0
FAIR-000300,RUN-001641,G2_mid,0,0.2823,0.2823,0.5,0
FAIR-000301,RUN-011127,G1_senior,1,0.6203,0.6603,0.5,0
FAIR-000302,RUN-002588,G2_mid,0,0.1694,0.1694,0.5,0
FAIR-000303,RUN-011285,G2_mid,0,0.1356,0.1356,0.5,0
FAIR-000304,RUN-006825,G1_senior,0,0,0,0.5,0
FAIR-000305,RUN-002616,G3_junior,1,0.701,0.581,0.5,1
FAIR-000306,RUN-004733,G2_mid,0,0.4722,0.4722,0.5,0
FAIR-000307,RUN-006811,G2_mid,1,0.7762,0.7762,0.5,1
FAIR-000308,RUN-008680,G3_junior,0,0.4119,0.2919,0.5,0
FAIR-000309,RUN-010450,G1_senior,0,0,0,0.5,0
FAIR-000310,RUN-003541,G3_junior,1,0.9537,0.8337,0.5,1
FAIR-000311,RUN-007432,G3_junior,0,0.5245,0.4045,0.5,0
FAIR-000312,RUN-005158,G2_mid,0,0.0626,0.0626,0.5,0
FAIR-000313,RUN-008083,G3_junior,1,0.8288,0.7088,0.5,1
FAIR-000314,RUN-007664,G1_senior,0,0.1404,0.1804,0.5,0
FAIR-000315,RUN-005149,G3_junior,1,0.6091,0.4891,0.5,0
FAIR-000316,RUN-009472,G0_unknown,0,0.2021,0.2021,0.5,0
FAIR-000317,RUN-004273,G1_senior,0,0.0795,0.1195,0.5,0
FAIR-000318,RUN-000846,G3_junior,1,0.8729,0.7529,0.5,1
FAIR-000319,RUN-009695,G3_junior,1,0.9382,0.8182,0.5,1
FAIR-000320,RUN-007578,G3_junior,0,0.3755,0.2555,0.5,0
FAIR-000321,RUN-002183,G2_mid,0,0.3528,0.3528,0.5,0
FAIR-000322,RUN-009215,G3_junior,1,0.7143,0.5943,0.5,1
FAIR-000323,RUN-004427,G3_junior,0,0.2761,0.1561,0.5,0
FAIR-000324,RUN-004791,G3_junior,0,0.2665,0.1465,0.5,0
FAIR-000325,RUN-002028,G2_mid,0,0.1887,0.1887,0.5,0
FAIR-000326,RUN-003325,G3_junior,1,0.699,0.579,0.5,1
FAIR-000327,RUN-010797,G1_senior,1,0.6868,0.7268,0.5,1
FAIR-000328,RUN-011206,G2_mid,0,0.139,0.139,0.5,0
FAIR-000329,RUN-001166,G3_junior,0,0.2769,0.1569,0.5,0
FAIR-000330,RUN-009801,G3_junior,1,0.479,0.359,0.5,0
FAIR-000331,RUN-007235,G3_junior,0,0.3741,0.2541,0.5,0
FAIR-000332,RUN-008778,G3_junior,1,0.5182,0.3982,0.5,0
FAIR-000333,RUN-000949,G3_junior,0,0.3351,0.2151,0.5,0
FAIR-000334,RUN-002169,G2_mid,1,0.5391,0.5391,0.5,0
FAIR-000335,RUN-002931,G1_senior,0,0,0,0.5,0
FAIR-000336,RUN-005815,G1_senior,0,0.1465,0.1865,0.5,0
FAIR-000337,RUN-004694,G3_junior,0,0.1688,0.0488,0.5,0
FAIR-000338,RUN-001444,G1_senior,0,0.1444,0.1844,0.5,0
FAIR-000339,RUN-001154,G1_senior,0,0.1636,0.2036,0.5,0
FAIR-000340,RUN-010285,G3_junior,1,0.9199,0.7999,0.5,1
FAIR-000341,RUN-010234,G2_mid,1,0.8137,0.8137,0.5,1
FAIR-000342,RUN-006007,G3_junior,0,0.12,0,0.5,0
FAIR-000343,RUN-010304,G3_junior,1,0.6135,0.4935,0.5,0
FAIR-000344,RUN-001436,G2_mid,0,0,0,0.5,0
FAIR-000345,RUN-005724,G0_unknown,0,0.0219,0.0219,0.5,0
FAIR-000346,RUN-005639,G3_junior,0,0.3476,0.2276,0.5,0
FAIR-000347,RUN-003558,G0_unknown,0,0.1526,0.1526,0.5,0
FAIR-000348,RUN-000337,G3_junior,0,0.3687,0.2487,0.5,0
FAIR-000349,RUN-004326,G3_junior,0,0.2478,0.1278,0.5,0
FAIR-000350,RUN-006365,G1_senior,0,0.3206,0.3606,0.5,0
FAIR-000351,RUN-000229,G3_junior,0,0.448,0.328,0.5,0
FAIR-000352,RUN-003088,G3_junior,0,0.1433,0.0233,0.5,0
FAIR-000353,RUN-000281,G1_senior,0,0.4009,0.4409,0.5,0
FAIR-000354,RUN-008613,G3_junior,0,0.2444,0.1244,0.5,0
FAIR-000355,RUN-001153,G3_junior,0,0.1942,0.0742,0.5,0
FAIR-000356,RUN-001060,G0_unknown,1,0.6596,0.6596,0.5,1
FAIR-000357,RUN-005464,G3_junior,0,0.2603,0.1403,0.5,0
FAIR-000358,RUN-003193,G3_junior,1,0.7282,0.6082,0.5,1
FAIR-000359,RUN-003098,G2_mid,0,0.1741,0.1741,0.5,0
FAIR-000360,RUN-008521,G2_mid,0,0.1459,0.1459,0.5,0
